question,answer
" 已知 $\mathrm{{NO}}\left( \mathrm{g}\right)$ 的生成热为 ${90.25}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1},{\mathrm{\;N}}_{2}$ 分子中三键的键能为 ${941.69}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1},{\mathrm{O}}_{2}$ 分子中双键的键能为 ${493.59}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ,求 $\mathrm{{NO}}\left( \mathrm{g}\right)$ 中 $\mathrm{N} - \mathrm{O}$ 键的键能。","根据题中给出的热力学数据, 设计热力学循环:

$$
{\mathrm{N}}_{2}\left( \mathrm{\;g}\right) \; + \;{\mathrm{O}}_{2}\left( \mathrm{\;g}\right) \;\overset{\Delta {H}_{4}}{ \rightarrow }2\mathrm{{NO}}\left( \mathrm{g}\right)
$$

$$
2\mathrm{\;N}\left( \mathrm{\;g}\right) + 2\mathrm{O}\left( \mathrm{g}\right) \;\Delta
$$

$\Delta {H}_{1} = D\left( {\mathrm{\;N} \equiv \mathrm{N}}\right) = {941.69}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

$$
\Delta {H}_{2} = D\left( {\mathrm{O} = \mathrm{O}}\right) = {493.59}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
\Delta {H}_{4} = 2{\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {\mathrm{{NO}},\mathrm{g}}\right) = 2 \times {90.25}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} = {180.50}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
\Delta {H}_{3} = - {2E}\left( {\mathrm{\;N} - \mathrm{O}}\right)
$$

由盖斯定律:

$$
\Delta {H}_{4} = \Delta {H}_{1} + \Delta {H}_{2} + \Delta {H}_{3}
$$

则 $\Delta {H}_{3} = \Delta {H}_{4} - \Delta {H}_{1} - \Delta {H}_{2}$

$$
= {180.50}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} - {941.69}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} - {493.59}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
= - {1254.78}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
E\left( {\mathrm{\;N} - \mathrm{O}}\right) = - \frac{1}{2}\Delta {H}_{3} = {627.39}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$
"
"乙烯 $\left( {{\mathrm{H}}_{2}\mathrm{C} = {\mathrm{{CH}}}_{2}}\right)$ 分子中,两个 $\mathrm{C}$ 原子之间成双键。试以左 $\mathrm{C}$ 为中心,用价层电子对互斥理论判断其空间构型, 并用杂化轨道理论解释其成键情况。
","以乙烯 $= {\mathrm{{CH}}}_{2}$ 分子左 $\mathrm{C}$ 为中心,将其归为 ${\mathrm{{AB}}}_{n}$ 型分子。中心 $\mathrm{C}$ 原子的 $\mathrm{s}$ 电子和 $\mathrm{p}$

电子之和为 4,两个 $\mathrm{H}$ 配体提供的电子数为 2,配体 ${\mathrm{{CH}}}_{2}$ 与中心 $\mathrm{C}$ 原子成双键提供的电子数为 2,故价层电子总数为 8,则电子对数为 4 。因有非 VI A 族配体 ${\mathrm{{CH}}}_{2}$ 与中心 $\mathrm{C}$ 原子之间成双键而使价层电子对数减 1, 故为 3 对, 共有 3 个配体, 所以乙烯分子以左 $\mathrm{C}$ 为中心呈平面三角形。

价层电子对数为 3,中心 $\mathrm{C}$ 原子的轨道应为 ${\mathrm{{sp}}}^{2}$ 杂化。



3 条能量相等的 ${\mathrm{{sp}}}^{2}$ 杂化轨道中,各有一个单电子,与 $\mathrm{H}$ 之间的 $\mathrm{C} - \mathrm{H}$ 键是 ${\mathrm{{sp}}}^{2} - 1\mathrm{\;s}$ 轨道重叠,均为 $\sigma$ 键。故以左 $\mathrm{C}$ 为中心,形成三角形构型。与右 $\mathrm{C}$ 之间的 $\mathrm{C} - \mathrm{C}$ 键是 ${\mathrm{{sp}}}^{2} - {\mathrm{{sp}}}^{2}$ 轨道重叠, 并确定了乙烯的分子平面。

两个 $\mathrm{C}$ 原子中未参加杂化的 ${\mathrm{p}}_{z}$ 轨道,垂直于乙烯的分子平面,互相平行,两个 ${\mathrm{p}}_{z}$ 之间成 $\pi$ 键,故乙烯中有 $\mathrm{C} = \mathrm{C}$ 双键存在。
"
"在 ${\mathrm{{BCl}}}_{3}$ 和 ${\mathrm{{NCl}}}_{3}$ 分子中,中心原子的氧化数和配位数都相同,为什么二者的中心原子采取的杂化方式和分子的空间构型却不同?","中心原子的杂化类型、分子的空间构型是由分子中的中心原子价层电子数、价层轨道数和配位数共同决定的。只从中心原子的氧化数和配位数不能决定中心原子采取的杂化类型和分子的空间构型。

在 ${\mathrm{{NCl}}}_{3}$ 分子中, $\mathrm{N}$ 原子价层电子排布为 $2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{3},4$ 个轨道有 5 个电子,因孤电子对占有杂化轨道,每个 $\mathrm{N} - \mathrm{{Cl}}$ 键占一个杂化轨道, $\mathrm{N}$ 只能采取 ${\mathrm{{sp}}}^{3}$ 杂化。因有一孤电子对,分子构型为三角锥形。

在 ${\mathrm{{BCl}}}_{3}$ 分子中, $\mathrm{B}$ 原子价层电子排布为 $2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{1},3$ 个价电子占有 4 个价轨道中的两个。因配位数为 3,应形成 3 个 $\sigma$ 键,用去 3 个杂化轨道。为保证 3 个杂化轨道中都有一个可供

配对的电子, $2\mathrm{\;s}$ 轨道的 2 个电子先激发一个到 $\mathrm{p}$ 轨道中。价电子数和配位数 (成键轨道数) 决定了 $\mathrm{B}$ 原子只能采取 ${\mathrm{{sp}}}^{2}$ 杂化。
"
"举例说明主族元素形成的 ${\mathrm{{AB}}}_{3}$ 型分子有几种空间构型? 指出分子的中心原子 $\mathrm{A}$ 的杂化方式、价层孤电子对数和分子是否有极性。
","${\mathrm{{AB}}}_{3}$ 型分子共有三种空间构型,有关结果见下表:

<table><thead><tr><th>空间构型</th><th>实例</th><th>A 的杂化方式</th><th>价层孤电子对 数目</th><th>是否有极性</th></tr></thead><tr><td>平面三角形</td><td>${\mathrm{{BCl}}}_{3}$</td><td>${\mathrm{{sp}}}^{2}$</td><td>0</td><td>无极性</td></tr><tr><td>三角锥形</td><td>${\mathrm{{NH}}}_{3}$</td><td>${\mathrm{{sp}}}^{3}$</td><td>1</td><td>有极性</td></tr><tr><td>T 形</td><td>${\mathrm{{BrF}}}_{3}$</td><td>${\operatorname{sp}}^{3}\mathrm{\;d}$</td><td>2</td><td>有极性</td></tr></table>
"
"用价层电子对互斥理论判断下列稀有气体化合物的空间构型, 再用杂化轨道理论说明它们的成键情况。

$$
{\mathrm{{XeF}}}_{2},\;{\mathrm{{XeF}}}_{4},\;{\mathrm{{XeO}}}_{3},\;{\mathrm{{XeO}}}_{4}\text{。}
$$
","
<table><thead><tr><th>化合物 分子式</th><th>价层电 子对数</th><th>配体 数目</th><th>电子对空间 构型</th><th>分子空间 构型</th><th>杂化方式</th><th>成键 轨道</th><th>化学键 类型</th></tr></thead><tr><td>${\mathrm{{XeF}}}_{2}$</td><td>5</td><td>2</td><td>三角双锥形</td><td>直线形</td><td>${\operatorname{sp}}^{3}\mathrm{\;d}$ 不等性杂化</td><td>${\mathrm{{sp}}}^{3}\mathrm{\;d} - 2\mathrm{p}$</td><td>$\sigma$ 键</td></tr><tr><td>${\mathrm{{XeF}}}_{4}$</td><td>6</td><td>4</td><td>正八面体形</td><td>正方形</td><td>${\operatorname{sp}}^{3}{d}^{2}$ 不等性杂化</td><td>${\mathrm{{sp}}}^{3}{\mathrm{\;d}}^{2} - 2\mathrm{p}$</td><td>$\sigma$ 键</td></tr><tr><td>${\mathrm{{XeO}}}_{3}$</td><td>4</td><td>3</td><td>正四面体形</td><td>三角锥形</td><td>${\mathrm{{sp}}}^{3}$ 不等性杂化</td><td>${\mathrm{{sp}}}^{3} - 2\mathrm{p}$</td><td>$\sigma$ 键</td></tr><tr><td>${\mathrm{{XeO}}}_{4}$</td><td>4</td><td>4</td><td>正四面体形</td><td>正四面体形</td><td>${\mathrm{{sp}}}^{3}$ 等性杂化</td><td>${\mathrm{{sp}}}^{3} - 2\mathrm{p}$</td><td>$\sigma$ 键</td></tr></table>
"
"实验测得 ${\mathrm{{BF}}}_{3}$ 分子中, $\mathrm{B} - \mathrm{F}$ 键的键长为 ${130}\mathrm{{pm}}$ ,比理论 $\mathrm{B} - \mathrm{F}$ 单键键长 ${152}\mathrm{{pm}}$ 短,试加以解释。","B 的价层电子排布为 $2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{1}$ ,在 ${\mathrm{{BF}}}_{3}$ 分子中, $\mathrm{B}$ 的原子轨道为 ${\mathrm{{sp}}}^{2}$ 杂化,中心原子 $\mathrm{B}$ 与 3 个 $\mathrm{F}$ 结合形成等同的 3 个 $\sigma$ 键,故 ${\mathrm{{BF}}}_{3}$ 分子呈正三角形。此外, B 还有一个空的未参与杂化的 ${\mathrm{p}}_{z}$ 轨道, $3$ 个 $\mathrm{F}$ 各有 1 个有对电子的 ${\mathrm{p}}_{z}$ 轨道,这 4 个垂直于分子平面的 ${\mathrm{p}}_{z}$ 轨道形成离域大 $\pi$ 键,即 ${\Pi }_{4}^{6}$ 键。这个离域大 $\pi$ 键使 $\mathrm{B}$ 与 $\mathrm{F}$ 的结合力增大,键能增强,因此其键长比理论单键键长短。"
"已知 ${\mathrm{{NO}}}_{2},{\mathrm{{CO}}}_{2},{\mathrm{{SO}}}_{2}$ 分子中键角分别为 ${132}^{ \circ },{180}^{ \circ },{120}^{ \circ }$ ,判断它们的中心原子的杂化方式, 说明成键情况。","${\mathrm{{NO}}}_{2}$ 中心原子 $\mathrm{N}$ 的价层电子排布为 $2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{3}$ ,与 $\mathrm{O}$ 成键时, $\mathrm{N}$ 采取 ${\mathrm{{sp}}}^{2}$ 杂化,孤电子对不占有杂化轨道,而是激发后留下一对电子占有 $\mathrm{p}$ 轨道,不参与杂化而形成离域 $\pi$ 键: 杂化后的三个单电子有两个与 $\mathrm{O}$ 成两个 $\sigma$ 键,另一个为不成键的单电子。不成键的单电子与成键电子间的斥力较小,因而键角远大于 ${120}^{ \circ }$ (即 ${132}^{ \circ }$ )。另外,分子中还有一个 ${\Pi }_{3}^{4}$ 键。但也有不同的观点,认为分子中有单电子是不稳定的, ${\mathrm{{NO}}}_{2}$ 分子中 $\mathrm{N}$ 上不成键的应是孤电子对,除 $\mathrm{N}$ 与 $\mathrm{O}$ 间的两个 $\sigma$ 键外,分子中还有一个离域的 ${\Pi }_{3}^{3}$ 键。在解释键角大于 ${120}^{ \circ }$ 时,可以从另一个角度来解释: 由于氮和氧的电负性较大且半径较小, $\mathrm{N} - \mathrm{O}$ 间距离较小,因而两个氧原子间有较大斥力 (氧上还有两个孤电子对),因此造成键角远大于 ${120}^{ \circ }$ 。但这不是 $\mathrm{N}$ 上的不成键电子决定的。${\mathrm{{CO}}}_{2}$ 中心原子 $\mathrm{C}$ 的价层电子排布为 $2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{2}$ ,在与 $\mathrm{O}$ 成键时, $\mathrm{C}$ 原子 $2\mathrm{\;s}$ 两个电子激发后,采取 $\mathrm{{sp}}$ 杂化。两个 $\mathrm{{sp}}$ 杂化轨道上的单电子与两个 $\mathrm{O}$ 原子形成两个 $\sigma$ 键。按价键理论, $\mathrm{C}$ 原子上两个未参与杂化的 $2\mathrm{p}$ 电子,与两个氧原子形成两个 $\pi$ 键。而按分子轨道理论, $\mathrm{C}$ 上的两个未杂化的 $2\mathrm{p}$ 单电子与两个 $\mathrm{O}$ 原子形成两个 ${\Pi }_{3}^{4}$ 键${\mathrm{{SO}}}_{2}$ 中心原子 $\mathrm{S}$ 的价层电子排布为 $3{\mathrm{\;s}}^{2}3{\mathrm{p}}^{4}$ ,与 $\mathrm{O}$ 成键时 $\mathrm{S}$ 采取 ${\mathrm{{sp}}}^{2}$ 杂化,余下的一对 $3\mathrm{p}$ 电子与两个 $\mathrm{O}$ 原子形成 ${\Pi }_{3}^{4}$ 键由于 $\mathrm{S}$ 上的孤电子对中有一对占有杂化轨道,因而 ${\mathrm{{SO}}}_{2}$ 分子为 $\mathrm{V}$ 形。由于 $\mathrm{S}$ 原子半径较大,两个氧原子间斥力不大,两个氧原子间的斥力与 $\mathrm{S}$ 上的孤电子对对成键电子的斥力相当,因而 ${\mathrm{{SO}}}_{2}$ 分子中键角恰好为 ${120}^{ \circ }$ 。"
"$\mathrm{{CO}},{\mathrm{N}}_{2}$ 和 ${\mathrm{{CN}}}^{ - }$ 为等电子体。

（1）用分子轨道理论说明 $\mathrm{{CO}},{\mathrm{N}}_{2}$ 和 ${\mathrm{{CN}}}^{ - }$ 的键能都很大的原因。

(2) 已知 $\mathrm{{CO}}$ 键能 $\left( {{1070}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right)$ 比 ${\mathrm{N}}_{2}$ 键能 $\left( {{942}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right)$ 大,为什么 $\mathrm{{CO}}$ 易被氧化而 ${\mathrm{N}}_{2}$ 却很稳定?","(1) $\mathrm{{CO}},{\mathrm{N}}_{2}$ 和 ${\mathrm{{CN}}}^{ - }$ 为等电子体,分子结构相似,其电子排布式为

$$
\left\lbrack {\operatorname{KK}{\left( {\sigma }_{2s}\right) }^{2}{\left( {\sigma }_{2s}^{ * }\right) }^{2}{\left( {\pi }_{2\mathrm{{py}}}\right) }^{2}{\left( {\pi }_{2\mathrm{{py}}}\right) }^{2}{\left( {\sigma }_{2\mathrm{{py}}}\right) }^{2}}\right\rbrack
$$

键级均为 3 , 所以键能都很大。

(2) $\mathrm{{CO}}$ 分子由两种元素的原子形成,两个原子周围的电子密度不同,对称性低;同时,由于有 $\mathrm{O}$ 向 $\mathrm{C}$ 的配键,使 $\mathrm{C}$ 周围的电子密度增大,这个电负性小而电子密度大的 $\mathrm{C}$ 易失去电子而被氧化。 ${\mathrm{N}}_{2}$ 键能虽然比 $\mathrm{{CO}}$ 小,但分子的对称性高,加之 $\mathrm{N}$ 的电负性大使其束缚电子能力强, 不易失去电子。"
"在下列各对化合物中, 哪一种化合物的键角大? 说明原因。

(1) ${\mathrm{{CH}}}_{4}$ 和 ${\mathrm{{NH}}}_{3}$ ; (2) ${\mathrm{{OF}}}_{2}$ 和 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ ; (3) ${\mathrm{{NH}}}_{3}$ 和 ${\mathrm{{NF}}}_{3}$ ; (4) ${\mathrm{{PH}}}_{3}$ 和 ${\mathrm{{NH}}}_{3}$ 。
","(a) 键角 ${\mathrm{{CH}}}_{4} > {\mathrm{{NH}}}_{3}$

${\mathrm{{CH}}}_{4}$ 分子的中心原子采取 ${\mathrm{{sp}}}^{3}$ 等性杂化,键角为 ${109}^{ \circ }{28}^{\prime }$ ,而 ${\mathrm{{NH}}}_{3}$ 分子的中心原子为 ${\mathrm{{sp}}}^{3}$ 不等性杂化, 有一孤电子对, 孤电子对的能量较低, 距原子核较近, 因而孤电子对对成键电子的斥力较大,使 ${\mathrm{{NH}}}_{3}$ 分子键角变小,为 ${106}^{ \circ }{42}^{\prime }$ 。

(b) 键角 ${\mathrm{{Cl}}}_{2}\mathrm{O} > {\mathrm{{OF}}}_{2}$

${\mathrm{{OF}}}_{2}$ 和 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子的中心原子氧均为 ${\mathrm{{sp}}}^{3}$ 不等性杂化,有两个孤电子对,分子构型为 $\mathrm{V}$ 形。但配位原子 $\mathrm{F}$ 的电负性远大于 $\mathrm{{Cl}}$ 的电负性, ${\mathrm{{OF}}}_{2}$ 分子中成键电子对偏向配位原子 $\mathrm{F},{\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中成键电子对偏向中心原子 $\mathrm{O}$ ,在 ${\mathrm{{OF}}}_{2}$ 分子中两成键电子对间的斥力小,而 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中两成键电子对的斥力大,因而 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子的键角大于 ${\mathrm{{OF}}}_{2}$ 分子的键角。一般都用配位原子与中心原子电负性来解释键角大小。

仅从成键电子对间的斥力来解释分子键角的大小不尽合理。在分子中, 孤电子对的能量要比成键电子对能量低, 孤电子对距中心原子的核更近, 因而孤电子对与成键电子对间的斥力要大于成键电子对与成键电子对间的斥力。显然这与 ${\mathrm{{OF}}}_{2}$ 分子的键角小于 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子的键角相矛盾。实际上, ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子的键角为 ${111}^{ \circ }$ ,比 ${\mathrm{{sp}}}^{3}$ 等性杂化轨道间的键角还要大。那么,怎样解释 ${\mathrm{{OF}}}_{2}$ 分子的键角小于 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子的键角更合理呢?

在 ${\mathrm{{OF}}}_{2}$ 和 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中,中心原子 $\mathrm{O}$ 的半径较小且电负性较大。在 ${\mathrm{{OF}}}_{2}$ 分子中,成键电子对偏向 $\mathrm{F}$ 原子,结果使 $\mathrm{O}$ 原子上的孤电子对更靠近 $\mathrm{O}$ 原子,孤电子对的能量进一步降低,则使 $\mathrm{O}$ 的孤电子对对成键电子对的斥力增大。同时, $\mathrm{O}$ 上孤电子对的能量降低,则孤电子对在不等性的 ${\mathrm{{sp}}}^{3}$ 杂化轨道中占有更多的 $\mathrm{s}$ 轨道成分,而成键电子中有较多的 $\mathrm{p}$ 轨道成分,使成键电子对间夹角变小。另外, ${\mathrm{{OF}}}_{2}$ 分子中两个 $\mathrm{F}$ 原子半径较小,两个 $\mathrm{F}$ 原子间的斥力可忽略; 但在 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中,两个 $\mathrm{{Cl}}$ 原子间的斥力则较大,因 $\mathrm{{Cl}}$ 原子的半径远大于 $\mathrm{F}$ 原子的半径。

(c) 键角 ${\mathrm{{NH}}}_{3} > {\mathrm{{NF}}}_{3}$

${\mathrm{{NH}}}_{3}$ 和 ${\mathrm{{NF}}}_{3}$ 分子中, $\mathrm{H}$ 和 $\mathrm{F}$ 的半径都较小,分子中 $\mathrm{H}$ 与 $\mathrm{H}$ 及 $\mathrm{F}$ 与 $\mathrm{F}$ 间的斥力可忽略。 决定键角大小的主要因素是孤电子对对成键电子对的斥力大小。

${\mathrm{{NF}}}_{3}$ 分子中成键电子对偏向 $\mathrm{F}$ 原子,则 $\mathrm{N}$ 上的孤电子对更靠近原子核,能量更低,因此孤电子对对成键电子对的斥力更大。在 ${\mathrm{{NH}}}_{3}$ 分子中,成键电子对偏向 $\mathrm{N}$ 原子,成键电子对间的斥力增大,同时 $\mathrm{N}$ 上的孤电子对受核的引力不如 ${\mathrm{{NF}}}_{3}$ 分子中的大。孤电子对的能量与成键电子对能量相差不大。造成孤电子对与成键电子对的压力与成键电子对和成键电子对的斥力相差不大。所以, ${\mathrm{{NH}}}_{3}$ 分子的键角与 ${109}^{ \circ }{28}^{\prime }$ 相差不大 $\left( {{106}^{ \circ }{42}^{\prime }}\right)$ 。

(d) 键角 ${\mathrm{{NH}}}_{3} > {\mathrm{{PH}}}_{3}$

${\mathrm{{NH}}}_{3}$ 分子和 ${\mathrm{{PH}}}_{3}$ 分子的空间构型均为三角锥形。配体相同,但中心原子不同。 $\mathrm{N}$ 的电负性大而半径小, $\mathrm{P}$ 的电负性小而半径大。半径小电负性大的 $\mathrm{N}$ 原子周围的孤电子对和成键电子对间尽量保持最大角度才能保持斥力均衡,因而 ${\mathrm{{NH}}}_{3}$ 分子的键角接近 ${109}^{ \circ }{28}^{\prime }$ 。 此外, ${\mathrm{{PH}}}_{3}$ 分子的键角接近 ${90}^{ \circ }$ (实际为 ${93}^{ \circ }{18}^{\prime }$ ) 也可能与 $\mathrm{P}$ 有与 ${\mathrm{{sp}}}^{3}$ 轨道能量相近的 $3\mathrm{\;d}$ 轨道有关,如 ${\mathrm{{AsH}}}_{3},{\mathrm{{PH}}}_{3},{\mathrm{{PF}}}_{3}$ 及 ${\mathrm{H}}_{2}\mathrm{\;S}$ 等分子的键角都接近 ${90}^{ \circ }$ 。
"
"用价层电子对互斥理论判断下列分子或离子的空间构型。

${\mathrm{{BeCl}}}_{2},{\mathrm{{BCl}}}_{3},{\mathrm{{NH}}}_{4}^{ + },{\mathrm{H}}_{2}\mathrm{O},{\mathrm{{ClF}}}_{3},{\mathrm{{PCl}}}_{5},{\mathrm{I}}_{3}^{ - },{\mathrm{{ICl}}}_{4}^{ - },{\mathrm{{ClO}}}_{2}^{ - },{\mathrm{{PO}}}_{4}^{3 - },{\mathrm{{CO}}}_{2},{\mathrm{{SO}}}_{2},\mathrm{{NOCl}},{\mathrm{{POCl}}}_{3}$ 。","
<table><thead><tr><th>分子或离子</th><th>价层电子对数</th><th>电子对空间 构型</th><th>孤电子对 数目</th><th>配体数目</th><th>分子或离子 的空间构型</th></tr></thead><tr><td>${\mathrm{{BeCl}}}_{2}$</td><td>2</td><td>直线形</td><td>0</td><td>2</td><td>直线形</td></tr><tr><td>${\mathrm{{BCl}}}_{3}$</td><td>3</td><td>正三角形</td><td>0</td><td>3</td><td>正三角形</td></tr></table>

续表

<table><thead><tr><th>分子或离子</th><th>价层电子对数</th><th>电子对空间 构型</th><th>孤电子对 数目</th><th>配体数目</th><th>分子或离子 的空间构型</th></tr></thead><tr><td>${\mathrm{{NH}}}_{4}^{ + }$</td><td>4</td><td>正四面体形</td><td>0</td><td>4</td><td>正四面体形</td></tr><tr><td>${\mathrm{H}}_{2}\mathrm{O}$</td><td>4</td><td>正四面体形</td><td>2</td><td>2</td><td>V 形</td></tr><tr><td>${\mathrm{{ClF}}}_{3}$</td><td>5</td><td>三角双锥形</td><td>2</td><td>3</td><td>T 形</td></tr><tr><td>${\mathrm{{PCl}}}_{5}$</td><td>5</td><td>三角双锥形</td><td>0</td><td>5</td><td>三角双锥形</td></tr><tr><td>${\mathrm{I}}_{3}^{ - }$</td><td>5</td><td>三角双锥形</td><td>3</td><td>2</td><td>直线形</td></tr><tr><td>${\mathrm{{ICl}}}_{4}^{ - }$</td><td>6</td><td>正八面体形</td><td>2</td><td>4</td><td>正方形</td></tr><tr><td>${\mathrm{{ClO}}}_{2}^{ - }$</td><td>4</td><td>正四面体形</td><td>2</td><td>2</td><td>V 形</td></tr><tr><td>${\mathrm{{PO}}}_{4}^{3 - }$</td><td>4</td><td>正四面体形</td><td>0</td><td>4</td><td>正四面体形</td></tr><tr><td>${\mathrm{{CO}}}_{2}$</td><td>2</td><td>直线形</td><td>0</td><td>2</td><td>直线形</td></tr><tr><td>${\mathrm{{SO}}}_{2}$</td><td>3</td><td>正三角形</td><td>1</td><td>2</td><td>V 形</td></tr><tr><td>NOCI</td><td>3</td><td>正三角形</td><td>1</td><td>2</td><td>V 形</td></tr><tr><td>${\mathrm{{POCl}}}_{3}$</td><td>4</td><td>正四面体形</td><td>0</td><td>4</td><td>四面体形</td></tr></table>
"
