question,answer
"某化学反应 $2\mathrm{A} + \mathrm{B} = \mathrm{C}$ 是基元反应。 $\mathrm{A}$ 的起始浓度为 $2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3},\mathrm{\;B}$ 的起始浓度为

$4\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,反应的初始速率为 ${1.80} \times {10}^{-2}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{s}}^{-1}$ 。 $t$ 时刻, A 的浓度下降到 $1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,试求此时的反应速率。","
|              | A                                            | B                                                |
| ------------ | -------------------------------------------- | ------------------------------------------------ |
| ${t}_{0}$ 时刻 | $2\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ | $4\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$     |
| $t$ 时刻       | $1\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ | ${3.5}\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ |

反应为基元反应, 其速率方程可以写作

$$
v = k{\left\lbrack c\left( \mathrm{\;A}\right) \right\rbrack }^{2}c\left( \mathrm{\;B}\right)
$$

$$
{v}_{0} = k \times {\left( 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\right) }^{2} \times 4\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
{v}_{t} = k \times {\left( 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\right) }^{2} \times {3.5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
\frac{{v}_{t}}{{v}_{0}} = \frac{k \times {\left( 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\right) }^{2} \times {3.5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}{k \times {\left( 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\right) }^{2} \times 4\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}
$$

所以 ${v}_{t} = {v}_{0} \times {0.219}$ ,将题设中的 ${v}_{0}$ 值代入其中,得

$$
{v}_{t} = {1.80} \times {10}^{-2}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{s}}^{-1} \times {0.219} = {3.94} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{s}}^{-1}
$$
"
"臭氧分解反应的机理为

① ${\mathrm{O}}_{3}\xrightarrow[]{{K}_{1}}{\mathrm{O}}_{2} + \mathrm{O}$ (快)

② $\mathrm{O} + {\mathrm{O}}_{3}\xrightarrow[]{{k}_{2}}2{\mathrm{O}}_{2}$ （慢）

根据上述反应机理,试用 ${\mathrm{O}}_{3}$ 和 ${\mathrm{O}}_{2}$ 的浓度表示它的速率方程。","慢反应②为定速步骤, 故有

$$
v\left( {\mathrm{O}}_{2}\right) = {k}_{2}c\left( \mathrm{O}\right) c\left( {\mathrm{O}}_{3}\right) \tag{1}
$$

由反应①得

$$
{K}_{1} = \frac{c\left( {\mathrm{O}}_{2}\right) c\left( \mathrm{O}\right) }{c\left( {\mathrm{O}}_{3}\right) }
$$

所以有

$$
c\left( \mathrm{O}\right) = \frac{{K}_{1}c\left( {\mathrm{O}}_{3}\right) }{c\left( {\mathrm{O}}_{2}\right) } \tag{2}
$$

将式 (2) 代入式 (1), 得

$$
v\left( {\mathrm{O}}_{2}\right) = {k}_{2}\frac{{K}_{1}c\left( {\mathrm{O}}_{3}\right) }{c\left( {\mathrm{O}}_{2}\right) } \cdot c\left( {\mathrm{O}}_{3}\right)
$$

令 $k = {k}_{2}{K}_{1}$ ,则有

$$
v\left( {\mathrm{O}}_{2}\right) = k\frac{{\left\lbrack c\left( {\mathrm{O}}_{3}\right) \right\rbrack }^{2}}{c\left( {\mathrm{O}}_{2}\right) }
$$
"
"反应 $2\mathrm{{NO}} + 2{\mathrm{H}}_{2} = {\mathrm{N}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$ 的反应机理为

① $\mathrm{{NO}} + \mathrm{{NO}} \rightleftharpoons {\mathrm{N}}_{2}{\mathrm{O}}_{2}$ (快)

② ${\mathrm{N}}_{2}{\mathrm{O}}_{2} + {\mathrm{H}}_{2} = {\mathrm{N}}_{2}\mathrm{O} + {\mathrm{H}}_{2}\mathrm{O}$ (慢)

③ ${\mathrm{N}}_{2}\mathrm{O} + {\mathrm{H}}_{2} \rightleftharpoons {\mathrm{N}}_{2} + {\mathrm{H}}_{2}\mathrm{O}$ (快)

试确定总反应速率方程。","反应机理中各步反应都是基元反应, 总反应的速率由速率最慢的那一步基元反应决定, 所以总反应的速率方程应为

$$
v = {k}_{2}c\left( {{\mathrm{\;N}}_{2}{\mathrm{O}}_{2}}\right) c\left( {\mathrm{H}}_{2}\right)
$$

${\mathrm{N}}_{2}{\mathrm{O}}_{2}$ 是反应 $\Phi$ 的产物,该步反应为快反应,立即达平衡,则

$$
{K}_{1} = \frac{c\left( {{\mathrm{\;N}}_{2}{\mathrm{O}}_{2}}\right) }{{\left\lbrack c\left( \mathrm{{NO}}\right) \right\rbrack }^{2}}
$$

即

$$
c\left( {{\mathrm{\;N}}_{2}{\mathrm{O}}_{2}}\right) = {K}_{1}{\left\lbrack c\left( \mathrm{{NO}}\right) \right\rbrack }^{2}
$$

代入总反应的速率方程得 $v = {k}_{2}{K}_{1}{\left\lbrack c\left( \mathrm{{NO}}\right) \right\rbrack }^{2}c\left( {\mathrm{H}}_{2}\right) = k{\left\lbrack c\left( \mathrm{{NO}}\right) \right\rbrack }^{2}c\left( {\mathrm{H}}_{2}\right)$ 。
"
"一氧化碳与氯气在高温下作用得到光气: $\mathrm{{CO}}\left( \mathrm{g}\right) + {\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{{COCl}}}_{2}\left( \mathrm{\;g}\right)$ ,实验测得反应的速率方程为

$$
\frac{\mathrm{d}c\left( {\mathrm{{COCl}}}_{2}\right) }{\mathrm{d}t} = {kc}\left( \mathrm{{CO}}\right) {\left\lbrack c\left( {\mathrm{{Cl}}}_{2}\right) \right\rbrack }^{\frac{3}{2}}
$$

有人提出其反应机理为

① ${\mathrm{{Cl}}}_{2}\xrightarrow[{k}_{-1}]{{k}_{1}}2\mathrm{{Cl}} \cdot$ (快平衡)

② $\mathrm{{Cl}} \cdot + \mathrm{{CO}}\xrightarrow[{k}_{-2}]{{k}_{2}}\mathrm{{COCl}} \cdot$ (快平衡)

③ $\mathrm{{COCl}} \cdot + {\mathrm{{Cl}}}_{2}\xrightarrow[]{{k}_{3}}{\mathrm{{COCl}}}_{2} + \mathrm{{Cl}} \cdot$ (慢反应)

（1）试说明这一机理与速率方程相符合;

（2）指出反应速率方程中的 $k$ 与反应机理中的速率常数 $\left( {{k}_{1},{k}_{-1},{k}_{2},{k}_{-2}}\right)$ 间的关系。","(1) 机理中③ 为慢反应, 因此整个反应的速率取决于反应③, 故有

$$
\frac{\mathrm{d}c\left( {\mathrm{{COCl}}}_{2}\right) }{\mathrm{d}t} = {k}_{3}c\left( {\mathrm{{COCl}} \cdot }\right) c\left( {\mathrm{{Cl}}}_{2}\right) \tag{a}
$$

速率方程中出现活性很大的自由基 COCl. 的浓度, 必须设法在速率方程中消去它, 使速率方程中只包含反应物的浓度。为此需找到自由基的浓度和反应物浓度的关系。因反应① 和反应 ② 速率很快, 几乎一直处于平衡态, 因此, 由 ①, ②得

$$
{v}_{ + } = {v}_{ - }
$$

即

$$
{k}_{1}c\left( {\mathrm{{Cl}}}_{2}\right) = {k}_{-1}{\left\lbrack c\left( \mathrm{{Cl}} \cdot \right) \right\rbrack }^{2}
$$

得

$$
c\left( {\mathrm{{Cl}} \cdot }\right) = \frac{{k}_{1}^{\frac{1}{2}}}{{k}_{-1}^{\frac{1}{2}}}{\left\lbrack c\left( {\mathrm{{Cl}}}_{2}\right) \right\rbrack }^{\frac{1}{2}} \tag{b}
$$

由

$$
{k}_{2}c\left( \mathrm{{CO}}\right) c\left( {\mathrm{{Cl}} \cdot }\right) = {k}_{-2}c\left( {\mathrm{{COCl}} \cdot }\right)
$$

得

$$
c\left( {\mathrm{{COCl}} \cdot }\right) = \frac{{k}_{2}}{{k}_{-2}}c\left( \mathrm{{CO}}\right) c\left( {\mathrm{{Cl}} \cdot }\right) \tag{c}
$$

将式(b)、式(c)代入式(a)得

$$
\frac{\mathrm{d}c\left( {\mathrm{{COCl}}}_{2}\right) }{\mathrm{d}t} = {k}_{3}\frac{{k}_{2}{k}_{1}^{\frac{1}{2}}}{{k}_{-2}{k}_{-1}^{\frac{1}{2}}}c\left( \mathrm{{CO}}\right) {\left\lbrack c\left( {\mathrm{{Cl}}}_{2}\right) \right\rbrack }^{\frac{3}{2}}
$$

令

$$
k = \frac{{k}_{1}^{\frac{1}{2}}{k}_{2}{k}_{3}}{{k}_{-1}^{\frac{1}{2}}{k}_{-2}}
$$

$$
\frac{\mathrm{d}c\left( {\mathrm{{COCl}}}_{2}\right) }{\mathrm{d}t} = {kc}\left( \mathrm{{CO}}\right) {\left\lbrack c\left( {\mathrm{{Cl}}}_{2}\right) \right\rbrack }^{\frac{3}{2}}
$$

可见建议的机理与速率方程相符合。

(2) $k = \frac{{k}_{1}^{\frac{1}{2}}{k}_{2}{k}_{3}}{{k}_{-1}^{\frac{1}{2}}{k}_{-2}}$
"
"在 ${373}\mathrm{K}$ 时,反应 ${\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - } + {\mathrm{{OH}}}^{ - } = {\mathrm{{HPO}}}_{3}^{2 - } + {\mathrm{H}}_{2}$ 的实验数据如下:

<table><thead><tr><th colspan=""2"">初始浓度</th><th rowspan=""2"">$- \frac{\mathrm{d}c\left( {{\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }}\right) }{\mathrm{d}t}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{{min}}}^{-1}}\right)$</th></tr><tr><th>$c\left( {{\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }}\right) /\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$</th><th>$c\left( {\mathrm{{OH}}}^{ - }\right) /\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$</th></tr></thead><tr><td>0.10</td><td>1.0</td><td>${3.2} \times {10}^{-5}$</td></tr><tr><td>0.50</td><td>1.0</td><td>${1.6} \times {10}^{-4}$</td></tr><tr><td>0.50</td><td>4.0</td><td>${2.56} \times {10}^{-3}$</td></tr></table>

（1）确定反应级数, 写出速率方程;

（2）计算此温度下的速率常数。","(1) 设反应的速率方程为 $v = k{\left\lbrack c\left( {\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }\right) \right\rbrack }^{m}{\left\lbrack c\left( {\mathrm{{OH}}}^{ - }\right) \right\rbrack }^{n}$

当 $c\left( {\mathrm{{OH}}}^{ - }\right)$ 不变时,有

$$
\frac{{3.2} \times {10}^{-5}}{{1.6} \times {10}^{-4}} = \frac{k{\left( {0.10}\right) }^{m}{\left( {1.0}\right) }^{n}}{k{\left( {0.50}\right) }^{m}{\left( {1.0}\right) }^{n}}
$$

得 $m = 1$ 。

当 $c\left( {{\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }}\right)$ 不变时,有

$$
\frac{{1.6} \times {10}^{-4}}{{2.56} \times {10}^{-3}} = \frac{k{\left( {0.50}\right) }^{m}{\left( {1.0}\right) }^{n}}{k{\left( {0.50}\right) }^{m}{\left( {4.0}\right) }^{n}}
$$

得 $n = 2$ 。

反应级数为 $m + n = 3$ ,反应速率方程为 $v = {kc}\left( {{\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }}\right) {\left\lbrack c\left( {\mathrm{{OH}}}^{ - }\right) \right\rbrack }^{2}$ 。

（2）将任一组数据代入速率方程得

$$
k = \frac{v}{c\left( {{\mathrm{H}}_{2}{\mathrm{{PO}}}_{2}^{ - }}\right) {\left\lbrack c\left( {\mathrm{{OH}}}^{ - }\right) \right\rbrack }^{2}}
$$

$$
= \frac{{3.2} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{{min}}}^{-1}}{{0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \times {\left( {1.0}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\right) }^{2}}
$$

$$
= {3.2} \times {10}^{-4}{\mathrm{\;{mol}}}^{-2} \cdot {\mathrm{{dm}}}^{6} \cdot {\mathrm{{min}}}^{-1}
$$
"
"反应 ${\mathrm{C}}_{2}{\mathrm{H}}_{6} = {\mathrm{C}}_{2}{\mathrm{H}}_{4} + {\mathrm{H}}_{2}$ 开始阶段反应级数近似为 $3/2$ 级, ${910}\mathrm{\;K}$ 时速率常数为 1. ${13}{\mathrm{{dm}}}^{\frac{3}{2}} \cdot {\mathrm{{mol}}}^{-\frac{1}{2}} \cdot {\mathrm{s}}^{-1}$ 。试计算 ${\mathrm{C}}_{2}{\mathrm{H}}_{6}\left( \mathrm{\;g}\right)$ 的压强为 ${1.33} \times {10}^{4}\mathrm{\;{Pa}}$ 时的起始分解速率 ${v}_{0}$ 。","以 $c\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{6}}\right)$ 的变化表示起始分解速率:

$$
{v}_{0} = - \frac{\mathrm{d}c\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{6}}\right) }{\mathrm{d}t} = k{\left\lbrack c\left( {\mathrm{C}}_{2}{\mathrm{H}}_{6}\right) \right\rbrack }^{\frac{3}{2}}
$$

由理想气体状态方程 ${pV} = {nRT}$ 得

$$
c\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{6}}\right) = \frac{n}{V} = \frac{p}{RT}
$$

$$
{v}_{0} = k{\left( \frac{p}{RT}\right) }^{\frac{3}{2}} = {1.13}{\mathrm{{dm}}}^{\frac{3}{2}} \cdot {\mathrm{{mol}}}^{-\frac{1}{2}} \cdot {\mathrm{s}}^{-1} \times {\left( \frac{{1.33} \times {10}^{4}\mathrm{\;{Pa}}}{{8.314} \times {10}^{3}\mathrm{\;{Pa}} \cdot {\mathrm{{dm}}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {910}\mathrm{\;K}}\right) }^{\frac{3}{2}}
$$

$$
= {8.3} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot {\mathrm{s}}^{-1}
$$
"
"考古学者从古墓中取出的纺织品,经取样分析其 ${}^{14}\mathrm{C}$ 含量为动植物活体的 ${85}\%$ 。若放射性核衰变符合一级反应速率方程,且已知 ${}^{14}\mathrm{C}$ 的半衰期为 520 年,试估算该纺织品的年龄。","由于放射性同位素 ${}^{14}\mathrm{C}$ 的衰变相当于一级反应,因此可根据一级反应的反应物浓度与时间

的关系进行计算。

$$
{t}_{1/2} = \frac{0.693}{k}
$$

所以

$$
k = \frac{0.693}{{t}_{1/2}} = \frac{0.693}{{5720}\mathrm{a}} = {1.21} \times {10}^{-4}{\mathrm{a}}^{-1}
$$

由

$$
\lg \frac{c}{{c}_{0}} = - \frac{k}{2.303}t
$$

得

$$
t = - \frac{{2.303}\lg \frac{c}{{c}_{0}}}{k}
$$

$$
= - \frac{{2.303} \times \lg \frac{85}{100}}{{1.21} \times {10}^{-4}{\mathrm{a}}^{-1}} = {1.3} \times {10}^{3}\mathrm{a}
$$

故该纺织品的年龄约为 ${1.3} \times {10}^{3}$ 年。
"
"在 ${28}^{ \circ }\mathrm{C}$ 时,鲜牛奶大约 $4\mathrm{\;h}$ 变酸,但在 $5{}^{ \circ }\mathrm{C}$ 的冰箱中可保持 ${48}\mathrm{\;h}$ 。假定反应速率与变酸时间成反比, 求牛奶变酸反应的活化能。","反应速率与变酸时间成反比,即 $\frac{{k}_{2}}{{k}_{1}} = \frac{{t}_{1}}{{t}_{2}} = \frac{48}{4}$ 。

$$
\lg \frac{{k}_{2}}{{k}_{1}} = \frac{{E}_{\mathrm{a}}}{2.303R}\left( \frac{{T}_{2} - {T}_{1}}{{T}_{1}{T}_{2}}\right)
$$

$$
\lg \frac{48}{4} = \frac{{E}_{\mathrm{a}}}{{2.303} \times {8.314} \times {10}^{-3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1}} \times \left( \frac{{301}\mathrm{\;K} - {278}\mathrm{\;K}}{{301}\mathrm{\;K} \times {278}\mathrm{\;K}}\right)
$$

$$
{E}_{\mathrm{a}} = {75}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$
"
"已知反应 ${\mathrm{{CH}}}_{3}\mathrm{{CHO}}\left( \mathrm{g}\right) = {\mathrm{{CH}}}_{4}\left( \mathrm{\;g}\right) + \mathrm{{CO}}\left( \mathrm{g}\right)$ 的活化能 ${E}_{\mathrm{a}} = {188.3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; 如果以碘蒸气为催化剂,反应的活化能 ${E}_{\mathrm{a}}^{\prime } = {138.1}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。计算温度为 ${800}\mathrm{\;K}$ 时,加碘催化剂, 反应速率增大为原来的多少倍。","反应速率之比等于反应速率常数之比。

加催化剂前

$$
\lg k = - \frac{{E}_{\mathrm{a}}}{2.303RT} + \lg A
$$

加催化剂后

$$
\lg {k}^{\prime } = - \frac{{E}_{\mathrm{a}}^{\prime }}{2.303RT} + \lg {A}^{\prime }
$$

对于同一反应, $A = {A}^{\prime }$ 。两式相减得

$$
\lg \frac{{k}^{\prime }}{k} = - \frac{{E}_{\mathrm{a}}^{\prime } - {E}_{\mathrm{a}}}{2.303RT}
$$

$$
= \frac{-\left( {{138.1} - {188.3}}\right) \times {10}^{3}\mathrm{\;J} \cdot {\mathrm{{mol}}}^{-1}}{{2.303} \times {8.314}\mathrm{\;J} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {800}\mathrm{\;K}}
$$

$$
= {3.277}
$$

$$
\frac{{k}^{\prime }}{k} = {1.89} \times {10}^{3}
$$
"
"某化合物在 ${100}\mathrm{\;{min}}$ 内被消耗掉 ${25}\%$ ,若分别是零级、一级和二级反应,则 ${200}\mathrm{\;{min}}$ 时,对于各级反应, 该物质分别被消耗了多少?","零级反应

$$
c = {c}_{0} - {kt}
$$

即

$$
{c}_{0} - c = {kt}
$$

$$
\frac{{\left( {c}_{0} - c\right) }_{{100}\mathrm{\;{min}}}}{{\left( {c}_{0} - c\right) }_{{200}\mathrm{\;{min}}}} = \frac{{t}_{{100}\mathrm{\;{min}}}}{{t}_{{200}\mathrm{\;{min}}}}
$$

$$
\frac{0.25}{{\left( {c}_{0} - c\right) }_{{200}\mathrm{\;{min}}}} = \frac{{100}\mathrm{\;{min}}}{{200}\mathrm{\;{min}}}
$$

$$
{c}_{0} - c = {0.5} = {50}\%
$$

$$
\text{一级反应}
$$

$$
\lg c = \lg {c}_{0} - \frac{k}{2.303}t
$$

$$
\lg \frac{{c}_{0}}{c} = \frac{k}{2.303}t
$$

$$
\frac{\lg {\left( \frac{{c}_{0}}{c}\right) }_{{100}\mathrm{\;{min}}}}{\lg {\left( \frac{{c}_{0}}{c}\right) }_{{200}\mathrm{\;{min}}}} = \frac{{t}_{{100}\mathrm{\;{min}}}}{{t}_{{200}\mathrm{\;{min}}}}
$$

$$
\frac{\lg {\left( \frac{1}{0.75}\right) }_{{100}\mathrm{\;{min}}}}{\lg {\left( \frac{1}{c}\right) }_{{200}\mathrm{\;{min}}}} = \frac{{100}\mathrm{\;{min}}}{{200}\mathrm{\;{min}}}
$$

$c = {0.56}$ ,即消耗了 ${44}\%$

二级反应

$$
\frac{1}{c} - \frac{1}{{c}_{0}} = {kt}
$$

$$
\frac{{\left( \frac{1}{c} - \frac{1}{{c}_{0}}\right) }_{{100}\mathrm{\;{min}}}}{{\left( \frac{1}{c} - \frac{1}{{c}_{0}}\right) }_{{200}\mathrm{\;{min}}}} = \frac{{t}_{{100}\mathrm{\;{min}}}}{{t}_{{200}\mathrm{\;{min}}}}
$$

$$
\frac{{\left( \frac{1}{0.75} - 1\right) }_{{100}\mathrm{\;{min}}}}{{\left( \frac{1}{c} - 1\right) }_{{200}\mathrm{\;{min}}}} = \frac{{100}\mathrm{\;{min}}}{{200}\mathrm{\;{min}}}
$$

解得 $c = {0.60}$ ,即消耗了 ${40}\%$
"
