question,answer
给出下列物质的化学式。萤石,${\mathrm{{CaF}}}_{2}$
给出下列物质的化学式。冰晶石,${\mathrm{{Na}}}_{3}{\mathrm{{AlF}}}_{6}$
给出下列物质的化学式。氟磷灰石,${\mathrm{{Ca}}}_{5}\mathrm{\;F}{\left( {\mathrm{{PO}}}_{4}\right) }_{3}$
给出下列物质的化学式。光卤石,$\mathrm{{KCl}} \cdot {\mathrm{{MgCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。光气,${\mathrm{{COCl}}}_{2}$
"下列物质或溶液的颜色为: ${\mathrm{I}}_{2}$ ___ 色, ${\mathrm{I}}_{2}$ 溶于 ${\mathrm{{CCl}}}_{4}$ 中 ___ 色，${\mathrm{I}}_{2}$ 溶于乙醇中 ___ 色,少量 ${\mathrm{I}}_{2}$ 溶于 $\mathrm{{KI}}$ 溶液中___色。","紫黑, 紫, 红棕, 黄"
"将 ${\mathrm{{Cl}}}_{2}$ 通入热的 $\mathrm{{Ca}}{\left( \mathrm{{OH}}\right) }_{2}$ 溶液中,反应产物是 ___ ,低温下 ${\mathrm{{Br}}}_{2}$ 与 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液反应的产物是 ___ , ${\mathrm{I}}_{2}$ 与 $\mathrm{{NaOH}}$ 溶液反应的产物是 ___
","$\mathrm{{Ca}}{\left( {\mathrm{{ClO}}}_{3}\right) }_{2} + {\mathrm{{CaCl}}}_{2},\mathrm{{NaBr}} + {\mathrm{{NaBrO}}}_{3} + {\mathrm{{CO}}}_{2},{\mathrm{{NaIO}}}_{3} + {\mathrm{{NaI}}}$"
"F, Cl, Br 三元素中电子亲和能最大的是 ___ , 单质的解离能最小的是 ___","Cl,F"
"反应 $\mathrm{{KX}}\left( \mathrm{s}\right) + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $= {\mathrm{{KHSO}}}_{4} + \mathrm{{HX}}$ 中,卤化物 $\mathrm{{KX}}$ 是指 ___  和 ___","KCl, KF"
"导致氢氟酸的酸性与其他氢卤酸的酸性明显不同的因素主要是 ___　小, 而 ___ 特别大。","$\mathrm{\;F}$ 原子半径, $\mathrm{H} - \mathrm{F}$ 键的解离能"
比较下列物质的热稳定性:${\mathrm{{ClO}}}_{2}$ ___ ${\mathrm{I}}_{2}{\mathrm{O}}_{5}$,<
比较下列物质的热稳定性:${\mathrm{{HClO}}}_{2}$ ___ ${\mathrm{HClO}}_{4}$,<
比较下列物质的热稳定性: ${\mathrm{{IF}}}_{7}$ ___ ${\mathrm{{BrF}}}_{7}$,>
比较下列物质的热稳定性: ${\mathrm{{NaICl}}}_{4}$ ___ ${\mathrm{{CsICl}}}_{4}$ ,<
"氢卤酸中,酸性最强的是___; 能使 ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{6}\right\rbrack }^{3 - }$ 溶液褪色的是 ___ ; 不能使酸性 ${\mathrm{{KMnO}}}_{4}$ 溶液褪色的是___。",HI; HF 和 HI; HF
"氧化性 ${\mathrm{{HClO}}}_{3}$ ___ $\mathrm{{HClO}}$ ,酸性 ${\mathrm{{HClO}}}_{3}$ ___ $\mathrm{{HClO}}$ ","<,>"
"高碘酸是 ___ 元酸, 其酸根离子的空间构型为 ___ 形, 其中碘原子的杂化方式为 ___ , 高碘酸具有强 ___ 性。","五,中强,八面体, ${\operatorname{sp}}^{3}{\mathrm{\;d}}^{2}$ ,氧化"
"${\mathrm{{Cl}}}_{2}\mathrm{O}$ 和 ${\mathrm{{ClO}}}_{2}$ 分子结构均为___,但 ${\mathrm{{ClO}}}_{2}$ 分子中的 $\mathrm{{Cl}} - \mathrm{O}$ 键长比 ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中的 $\mathrm{{Cl}} - \mathrm{O}$ 键长___,原因是___。","$\mathrm{\;V}$ 形,短, ${\mathrm{{ClO}}}_{2}$ 分子中的 $\mathrm{{Cl}} - \mathrm{O}$ 键键级大于 $1,{\mathrm{{Cl}}}_{2}\mathrm{O}$ 分子中 $\mathrm{{Cl}} - \mathrm{O}$ 键键级等于 1 。"
"",
"",
"",
"",
