question,answer
完成并配平化学反应方程式:次氯酸钠溶液与硫酸锰反应。,${\mathrm{{ClO}}}^{ - } + {\mathrm{{Mn}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = {\mathrm{{MnO}}}_{2} \downarrow + {\mathrm{{Cl}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:在酸性条件下由 ${\mathrm{{SCN}}}^{ - }$ 还原 ${\mathrm{{MnO}}}_{2}$ 。,"${\mathrm{{MnO}}}_{2} + 2{\mathrm{{SCN}}}^{ - } + 4{\mathrm{H}}^{ + } = {\mathrm{{Mn}}}^{2 + } + {\left( \mathrm{{SCN}}\right) }_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:将 ${\mathrm{I}}_{2}{\mathrm{O}}_{5}$ 和 $\mathrm{{KI}}$ 混合后加入稀硫酸。,${\mathrm{I}}_{2}{\mathrm{O}}_{5} + {10}{\mathrm{I}}^{ - } + {10}{\mathrm{H}}^{ + } = 6{\mathrm{I}}_{2} + 5{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向碘化亚铁溶液中滴加过量氯水。,"$2{\mathrm{{FeI}}}_{2} + 3{\mathrm{{Cl}}}_{2} = 2{\mathrm{{FeCl}}}_{3} + 2{\mathrm{I}}_{2}$

${\mathrm{I}}_{2} + 5{\mathrm{{Cl}}}_{2} + 6{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{HIO}}}_{3} + {10}\mathrm{{HCl}}$
"
"完成并配平化学反应方程式:向碘化铬溶液中加入次氯酸钠溶液。
",$2{\mathrm{{CrI}}}_{3} + 6{\mathrm{{ClO}}}^{ - } + 4{\mathrm{{OH}}}^{ - } = 2{\mathrm{{CrO}}}_{4}^{2 - } + 3{\mathrm{I}}_{2} + 6{\mathrm{{Cl}}}^{ - } + 2{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:用氢碘酸溶液处理氧化铜。,$2\mathrm{{CuO}} + 4\mathrm{{HI}} = 2\mathrm{{CuI}} + {\mathrm{I}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:将氯气通入碘酸钾的碱性溶液中。,"${\mathrm{{Cl}}}_{2} + {\mathrm{{KIO}}}_{3} + 2\mathrm{{KOH}} = {\mathrm{{KIO}}}_{4} + 2\mathrm{{KCl}} + {\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:向 $\mathrm{{KI}}$ 溶液中滴加 $\mathrm{{KClO}}$ 溶液。,"KI 过量:

$$
2{\mathrm{I}}^{ - } + {\mathrm{{ClO}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O} = {\mathrm{I}}_{2} + {\mathrm{{Cl}}}^{ - } + 2{\mathrm{{OH}}}^{ - }
$$

$\mathrm{{KClO}}$ 过量:

$$
{\mathrm{I}}_{2} + 5{\mathrm{{ClO}}}^{ - } + 2{\mathrm{{OH}}}^{ - } = 2{\mathrm{{IO}}}_{3}^{ - } + 5{\mathrm{{Cl}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{I}}_{2} + {10}{\mathrm{{ClO}}}^{ - } + 4{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{IO}}}_{3}^{ - } + 5{\mathrm{{Cl}}}_{2} \uparrow + 8{\mathrm{{OH}}}^{ - }
$$
"
"完成并配平化学反应方程式:将 $\mathrm{{KClO}}$ 溶液与浓盐酸混合。
","${\mathrm{{ClO}}}^{ - } + {\mathrm{{Cl}}}^{ - } + 2{\mathrm{H}}^{ + } = {\mathrm{{Cl}}}_{2} \uparrow + {\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:向 $\mathrm{{KClO}}$ 溶液中加入 $\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液。,"${\mathrm{{ClO}}}^{ - } + {\mathrm{{Pb}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = {\mathrm{{Cl}}}^{ - } + {\mathrm{{PbO}}}_{2} \downarrow + {\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:加热氯气和氨气混合气体。,"$3{\mathrm{{Cl}}}_{2} + 8{\mathrm{{NH}}}_{3} = 6{\mathrm{{NH}}}_{4}\mathrm{{Cl}} + {\mathrm{N}}_{2}$
"
完成并配平化学反应方程式:氯气通入氢氧化钠溶液中。,"${\mathrm{{Cl}}}_{2} + 2\mathrm{{NaOH}}\left( \mathrm{{aq}}\right) = \mathrm{{NaCl}} + \mathrm{{NaClO}} + {\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:次氯酸受热分解。,$3\mathrm{{HClO}}\overset{\bigtriangleup }{ \rightleftharpoons }2\mathrm{{HCl}} \uparrow + {\mathrm{{HClO}}}_{3}$
完成并配平化学反应方程式:将二氧化氯气体通入氢氧化钠溶液中。,"$2{\mathrm{{ClO}}}_{2} + 2{\mathrm{{OH}}}^{ - } \rightleftharpoons {\mathrm{{ClO}}}_{2}^{ - } + {\mathrm{{ClO}}}_{3}^{ - } + {\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:热的 ${\mathrm{I}}_{2}{\mathrm{O}}_{5}$ 与一氧化碳作用。,"${\mathrm{I}}_{2}{\mathrm{O}}_{5} + 5\mathrm{{CO}}\overset{\bigtriangleup }{ = }{\mathrm{I}}_{2} + 5{\mathrm{{CO}}}_{2}$
"
完成并配平化学反应方程式:次氯酸溶液与单质硫反应。,"$3\mathrm{HClO}+\mathrm{S}+{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} + 3\mathrm{{HCl}}$
"
完成并配平化学反应方程式:向碱性溴化钾溶液中加入氯水。,$3{\mathrm{{Cl}}}_{2} + {\mathrm{{Br}}}^{ - } + 6{\mathrm{{OH}}}^{ - } = 6{\mathrm{{Cl}}}^{ - } + {\mathrm{{BrO}}}_{3}^{ - } + 3{\mathrm{H}}_{2}\mathrm{O}$
"",
"",
"",
"",
"",
