question,answer
完成并配平化学反应方程式:高温下用氢气还原四氯化钛。,$2{\mathrm{H}}_{2} + {\mathrm{{TiCl}}}_{4}\xrightarrow[]{\text{ 高温 }}\mathrm{{Ti}} + 4\mathrm{{HCl}}$
"完成并配平化学反应方程式:在乙醚溶液中, 氢化锂与三氯化铝反应。",$4\mathrm{{LiH}} + {\mathrm{{AlCl}}}_{3}\xrightarrow[]{\text{ 乙醚 }}{\mathrm{{LiAlH}}}_{4} + 3\mathrm{{LiCl}}$
完成并配平化学反应方程式:高温下二氧化碳与氢化钡作用。,$2{\mathrm{{CO}}}_{2} + {\mathrm{{BaH}}}_{2}\xrightarrow[]{\text{ 高温 }}2\mathrm{{CO}} + \mathrm{{Ba}}{\left( \mathrm{{OH}}\right) }_{2}$
完成并配平化学反应方程式:二氟化氙在水中缓慢水解。,$2{\mathrm{{XeF}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Xe}} \uparrow + {\mathrm{O}}_{2} \uparrow + 4\mathrm{{HF}}$
完成并配平化学反应方程式:在一定的温度和压强下以 $\mathrm{{ZnO}} - {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3}$ 催化一氧化碳和氢气反应。,$\mathrm{{CO}}\left( \mathrm{g}\right) + 2{\mathrm{H}}_{2}\left( \mathrm{\;g}\right) \xrightarrow[]{\mathrm{{ZnO}} - {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3}}{\mathrm{{CH}}}_{3}\mathrm{{OH}}\left( \mathrm{g}\right)$
完成并配平化学反应方程式:六氟化氙与二氧化硅反应。,"$2{\mathrm{{XeF}}}_{6} + {\mathrm{{SiO}}}_{2} = 2{\mathrm{{XeOF}}}_{4} + {\mathrm{{SiF}}}_{4} \uparrow$
"
完成并配平化学反应方程式:四氟化氙在水中歧化分解。,$6{\mathrm{{XeF}}}_{4} + {12}{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{XeO}}}_{3} + 4\mathrm{{Xe}} \uparrow + {24}\mathrm{{HF}} + 3{\mathrm{O}}_{2} \uparrow$
完成并配平化学反应方程式:六氟化氙的完全水解。,"${\mathrm{{XeF}}}_{6} + 3{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 完全水解 }}6\mathrm{{HF}} + {\mathrm{{XeO}}}_{3}$
"
完成并配平化学反应方程式:六氟化氙的不完全水解。,"${\mathrm{{XeF}}}_{6} + {\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 不完全水解 }}2\mathrm{{HF}} + {\mathrm{{XeOF}}}_{4}$
"
"完成并配平化学反应方程式:浓硫酸使高氙酸盐脱水。
",${\mathrm{{Na}}}_{4}{\mathrm{{XeO}}}_{6} + 2{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $= {\mathrm{{XeO}}}_{4} + 2{\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} + 2{\mathrm{H}}_{2}\mathrm{O}$
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
