question,answer
"电池 $\left( -\right) \mathrm{{Pt}}\left| {{\mathrm{H}}_{2}\left( {{1.013} \times {10}^{5}\mathrm{{Pa}}}\right) \mid {\mathrm{H}}^{ + }\left( {1 \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) \parallel {\mathrm{H}}^{ + }\left( {1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) }\right| {\mathrm{H}}_{2}$ $\left( {{1.013} \times {10}^{5}\mathrm{\;{Pa}}}\right) \mid \mathrm{{Pt}}\left( +\right)$ 属于___电池,该电池的电动势为___ $\mathrm{V}$ ,电池反应为___
",浓差; ${0.177};{\mathrm{H}}^{ + }\left( {1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) \rightarrow {\mathrm{H}}^{ + }\left( {1 \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$
"标准状态下, 下列反应均自发进行:

$$
2{\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{H}}_{2}{\mathrm{O}}_{2} + 6{\mathrm{H}}^{ + } = 2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{O}}_{2} + 8{\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{I}}^{ - } + 2{\mathrm{H}}^{ + } = 2{\mathrm{H}}_{2}\mathrm{O} + {\mathrm{I}}_{2}
$$

$$
{\mathrm{I}}_{2} + 2{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}^{2 - } = 2{\mathrm{I}}^{ - } + {\mathrm{S}}_{4}{\mathrm{O}}_{6}^{2 - }
$$

由此判断反应所涉及的物质中还原性最强的是___, 氧化性最强的是___。",${\mathrm{\;S}}_{2}{\mathrm{O}}_{3}^{2 - };{\mathrm{{MnO}}}_{4}^{ - }$
"电池 $\left( -\right) \mathrm{{Cu}}\left| {\mathrm{{Cu}}}^{ + }\right| {\mathrm{{Cu}}}^{ + },{\mathrm{{Cu}}}^{2 + } \mid \mathrm{{Pt}}\left( +\right)$ 和 $\left( -\right) \mathrm{{Cu}}\left| {\mathrm{{Cu}}}^{2 + }\right| {\mathrm{{Cu}}}^{ + },{\mathrm{{Cu}}}^{2 + } \mid \mathrm{{Pt}}\left( +\right)$ 的反应均可写成 $\mathrm{{Cu}} + {\mathrm{{Cu}}}^{2 + } = 2{\mathrm{{Cu}}}^{ + }$ ,则两电池的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ ___ ${E}^{ \ominus }$___ ${K}^{ \ominus }$___ (填 “相同”或“不同”）。",相同; 不同; 相同
"已知 ${E}^{ \ominus }\left( {{\mathrm{{Cu}}}^{2 + }/\mathrm{{Cu}}}\right) = {0.34}\mathrm{\;V},{K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack = {2.2} \times {10}^{-{20}}$ ,则 ${E}^{ \ominus }\left\lbrack {\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}/\mathrm{{Cu}}}\right\rbrack =$ ___V。",-0.24V
"在 ${\mathrm{{Fe}}}^{3 + } + {\mathrm{e}}^{ - } = {\mathrm{{Fe}}}^{2 + }$ 电极反应中,加入 ${\mathrm{{Fe}}}^{3 + }$ 的配位剂 ${\mathrm{F}}^{ - }$ 可使电极电势的数值___; 在 ${\mathrm{{Cu}}}^{2 + } + {\mathrm{e}}^{ - } = {\mathrm{{Cu}}}^{ + }$ 电极反应中,加入 ${\mathrm{{Cu}}}^{ + }$ 的沉淀剂 ${\mathrm{I}}^{ - }$ 可使其电极电势的数值___。","减小, 增大"
"对某一自发的氧化还原反应, 若将反应方程式中各物质的化学计量数扩大到原来的 2 倍,则此反应的 $\left| {{\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}}\right|$ 将",变大; 不变
"已知 ${\mathrm{{MnO}}}_{4}^{ - } + 8{\mathrm{H}}^{ + } + 5{\mathrm{e}}^{ - } = {\mathrm{{Mn}}}^{2 + } + 4{\mathrm{H}}_{2}\mathrm{O}\;{E}^{ \ominus } = {1.51}\mathrm{\;V}$ ,当 ${\mathrm{{MnO}}}_{4}^{ - }$ 和 ${\mathrm{{Mn}}}^{2 + }$ 处于标准状态时,电极电势与 $\mathrm{{pH}}$ 的关系是: $E/\mathrm{V} =$",${1.51} - {0.094}\mathrm{{pH}}$
"保持标准氢电极中 ${\mathrm{H}}_{2}$ 的压强不变,而将标准浓度的盐酸换成 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 的醋酸,则此时氢电极的电极电势为 $\;\mathrm{V}$ (已知醋酸的 ${K}_{\mathrm{a}}^{ \ominus } = {1.8} \times {10}^{-5}$ )。",-0.17
"已知 ${E}^{ \ominus }\left( {{\mathrm{{MnO}}}_{4}/{\mathrm{{Mn}}}^{2 + }}\right) = {1.51}\mathrm{\;V},{E}^{ \ominus }\left( {{\mathrm{{Br}}}_{2}/{\mathrm{{Br}}}^{ - }}\right) = {1.08}\mathrm{\;V},{E}^{ \ominus }\left( {{\mathrm{{Cl}}}_{2}/{\mathrm{{Cl}}}^{ - }}\right) = {1.36}\mathrm{\;V}$ 。拟使酸性混合溶液中的 ${\mathrm{{Br}}}^{ - }$ 被 ${\mathrm{{MnO}}}_{4}^{ - }$ 氧化而 ${\mathrm{{Cl}}}^{ - }$ 不被氧化,则溶液的 $\mathrm{{pH}}$ 控制范围是",${1.59} \sim {4.56}$
"对于原电池 $\left( -\right) \mathrm{A} \mid {\mathrm{A}}^{2 + }\left( {c}_{1}\right) \begin{Vmatrix}{{\mathrm{B}}^{2 + }\left( {c}_{2}\right) }\end{Vmatrix}\mathrm{B}\left( +\right)$ ,当 ${c}_{1} = {c}_{2}$ 时, $E = {0.78}\mathrm{\;V}$ ,则放电一段时
间至电动势减半时, ${c}_{1}/{c}_{2} =$",${1.7} \times {10}^{13}$
