question,answer
"除去下列物质中的杂质, 给出相关化学反应方程式。${\mathrm{{KNO}}}_{2}$ 晶体中的少量 ${\mathrm{{KNO}}}_{3}$ 晶体;","晶体在煤气灯上加热, ${\mathrm{{KNO}}}_{3}$ 转化为 ${\mathrm{{KNO}}}_{2}$ :

$$
2{\mathrm{{KNO}}}_{3}\xrightarrow[]{\bigtriangleup }2{\mathrm{{KNO}}}_{2} + {\mathrm{O}}_{2} \uparrow
$$
"
"除去下列物质中的杂质, 给出相关化学反应方程式。 ${\mathrm{N}}_{2}\mathrm{O}$ 气体中混有的少量 $\mathrm{{NO}}$ ;","使气体通过 ${\mathrm{{FeSO}}}_{4}$ 溶液除去 $\mathrm{{NO}}$ :

$$
\mathrm{{NO}} + {\mathrm{{FeSO}}}_{4} = \mathrm{{Fe}}\left( \mathrm{{NO}}\right) {\mathrm{{SO}}}_{4}
$$
"
"除去下列物质中的杂质, 给出相关化学反应方程式。 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ 溶液中的少量 ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4}$ 。","向溶液中加少量 ${\mathrm{{NaNO}}}_{2}$ 后加热可除去 ${\mathrm{{NH}}}_{4}^{ + }$ :

$$
{\mathrm{{NH}}}_{4}^{ + } + {\mathrm{{NO}}}_{2}^{ - }\mathop{\rightleftharpoons }\limits^{\bigtriangleup }{\mathrm{N}}_{2} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
"${\mathrm{H}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$ 的解离平衡常数 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = {1.2} \times {10}^{-1},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {7.9} \times {10}^{-3},{K}_{{\mathrm{a}}_{3}}^{ \ominus } = {2.0} \times {10}^{-7},{K}_{{\mathrm{a}}_{4}}^{ \ominus } = {4.5}$ $\times {10}^{-{10}}$ ,为什么 ${K}_{{\mathrm{a}}_{1}}^{ \ominus }$ 与 ${K}_{{\mathrm{a}}_{2}}^{ \ominus }$ 相近, ${K}_{{\mathrm{a}}_{3}}^{ \ominus }$ 与 ${K}_{{\mathrm{a}}_{4}}^{ \ominus }$ 相近,但 ${K}_{{\mathrm{a}}_{2}}^{ \ominus }$ 与 ${K}_{{\mathrm{a}}_{3}}^{ \ominus }$ 相差较大?","${\mathrm{H}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$解离出第一个 ${\mathrm{H}}^{ + }$ 和第二个 ${\mathrm{H}}^{ + }$ 是从两个不同的磷氧四面体失去 ${\mathrm{H}}^{ + }$ ,二者解离时相互影响不大,因此, ${K}_{{\mathfrak{a}}_{1}}^{ \ominus }$ 与 ${K}_{{\mathfrak{a}}_{2}}^{ \ominus }$ 相差不大。但解离出第三个 ${\mathrm{H}}^{ + }$ 时,是从失去一个 ${\mathrm{H}}^{ + }$ 并带负电的四面体上再解离出第二个 ${\mathrm{H}}^{ + }$ ,显然困难得多。因而 ${K}_{{\mathrm{a}}_{2}}^{ \ominus }$ 与 ${K}_{{\mathrm{a}}_{3}}^{ \ominus }$ 相差较大。同理, ${K}_{{\mathrm{a}}_{3}}^{ \ominus }$ 与 ${K}_{{\mathrm{a}}_{4}}^{ \ominus }$ 相近。"
" 在酸性溶液中,按氧化能力由大到小排列这些离子,并简要说明: ${\mathrm{{NO}}}_{3}^{ - },{\mathrm{{PO}}}_{4}^{3 - },{\mathrm{{AsO}}}_{4}^{3 - }$ , ${\mathrm{{SbO}}}_{4}^{3 - },{\mathrm{{BiO}}}_{3}^{ - }$ 。","氧化能力:

$$
{\mathrm{{BiO}}}_{3}^{ - } > {\mathrm{{NO}}}_{3}^{ - } > {\mathrm{{SbO}}}_{4}^{3 - } > {\mathrm{{AsO}}}_{4}^{3 - } > {\mathrm{{PO}}}_{4}^{3 - }
$$

在氮族的五价化合物中, 随周期数增加, 元素 $\mathrm{R}$ 的半径增大, $\mathrm{R} - \mathrm{O}$ 键强度减弱,则氧化能力增强。由于 $\mathrm{{Bi}}\left( \mathrm{V}\right)$ 的惰性电子对效应,其氧化性最强且有一个突跃。而 $\mathrm{N}\left( \mathrm{V}\right)$ 由于无空的价层 $\mathrm{d}$ 轨道, $\mathrm{N} - \mathrm{O}$ 间不存在 $\mathrm{d} - \mathrm{p}\pi$ 配键使键强度变弱, $\mathrm{N} - \mathrm{O}$ 键易断而有明显的氧化性。"
"解释实验现象。向含有 ${\mathrm{{Bi}}}^{3 + }$ 和 ${\mathrm{{Sn}}}^{2 + }$ 的澄清溶液中加入 $\mathrm{{NaOH}}$ 溶液会有黑色沉淀生成。
","在碱性条件下 ${\mathrm{{Sn}}}^{2 + }$ 将 ${\mathrm{{Bi}}}^{3 + }$ 还原为单质 $\mathrm{{Bi}}$ ,生成的粉末产物为黑色:

$$
3{\mathrm{{Sn}}}^{2 + } + 2{\mathrm{{Bi}}}^{3 + } + {18}{\mathrm{{OH}}}^{ - } = 2\mathrm{{Bi}} \downarrow + 3{\left\lbrack \mathrm{{Sn}}{\left( \mathrm{{OH}}\right) }_{6}\right\rbrack }^{2 - }
$$
"
"解释实验现象。向 ${\mathrm{{FeCl}}}_{3}$ 溶液中滴加 ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ 溶液,先有黄色沉淀生成; 继续滴加时沉淀减少,最后消失得无色溶液。","黄色沉淀为 ${\mathrm{{FePO}}}_{4}$ 。因磷酸具有配位性,当磷酸过量时,生成可溶性配位化合物 ${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}\right\rbrack }^{3 - }$ :

$$
{\mathrm{{Fe}}}^{3 + } + {\mathrm{{PO}}}_{4}^{3 - } = {\mathrm{{FePO}}}_{4} \downarrow
$$

$$
{\mathrm{{FePO}}}_{4} + {\mathrm{{PO}}}_{4}^{3 - } = {\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}\right\rbrack }^{3 - }
$$
"
"解释实验现象。 ${\mathrm{{AsH}}}_{3}$ 通入一玻璃管并在入口处加热,管壁出现有金属光泽的黑色物质。"," ${\mathrm{{AsH}}}_{3}$ 受热分解,在玻璃管壁生成了黑亮的单质 $\mathrm{{As}}$ :

$$
2{\mathrm{{AsH}}}_{3}\xrightarrow[]{\bigtriangleup }2\mathrm{{As}} + 3{\mathrm{H}}_{2}
$$
"
解释实验现象。向 ${\mathrm{{NaNO}}}_{2}$ 溶液中加 ${\mathrm{{AgNO}}}_{3}$ 溶液有黄色沉淀生成。,"${\mathrm{{AgNO}}}_{2}$ 为微溶盐:

$$
{\mathrm{{Ag}}}^{ + } + {\mathrm{{NO}}}_{2}^{ - } = {\mathrm{{AgNO}}}_{2} \downarrow
$$
"
"解释实验现象。将 $\mathrm{{NaOH}}$ 溶液与 ${\mathrm{{BiCl}}}_{3}$ 溶液充分混合有白色沉淀生成,再向其中通入 ${\mathrm{{Cl}}}_{2}$ 时有黄棕色沉淀生成。","白色沉淀为 $\mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3}$ ,呈碱性,不溶于过量的 $\mathrm{{NaOH}}$ :

$$
{\mathrm{{Bi}}}^{3 + } + 3{\mathrm{{OH}}}^{ - } = \mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow
$$

在碱性介质中,强氧化剂 ${\mathrm{{Cl}}}_{2}$ 可氧化 $\mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3}$ 得到上黄色沉淀物 ${\mathrm{{NaBiO}}}_{3}$ :

$$
{\mathrm{{BiCl}}}_{3} + {\mathrm{{Cl}}}_{2} + 6\mathrm{{NaOH}}\left( \mathrm{{aq}}\right) = {\mathrm{{NaBiO}}}_{3} \downarrow + 5\mathrm{{NaCl}} + 3{\mathrm{H}}_{2}\mathrm{O}
$$
"
