question,answer
难溶电解质 ${\mathrm{{MgNH}}}_{4}{\mathrm{{PO}}}_{4}$ 和 $\mathrm{{TiO}}{\left( \mathrm{{OH}}\right) }_{2}$ 的溶度积表达式分别是___。,"${K}_{\mathrm{{sp}}}^{ \ominus }\left( {{\mathrm{{MgNH}}}_{4}{\mathrm{{PO}}}_{4}}\right) = c\left( {\mathrm{{Mg}}}^{2 + }\right) c\left( {\mathrm{{NH}}}_{4}^{ + }\right) c\left( {\mathrm{{PO}}}_{4}^{3 - }\right) ,$

${K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{{TiO}}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack = c\left( {\mathrm{{TiO}}}^{2 + }\right) {\left\lbrack c\left( {\mathrm{{OH}}}^{ - }\right) \right\rbrack }^{2}。$"
"已知 ${\mathrm{{PbF}}}_{2}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {3.3} \times {10}^{-8}$ ,则在 ${\mathrm{{PbF}}}_{2}$ 饱和溶液中, $c\left( {\mathrm{\;F}}^{ - }\right) =$ mol $\cdot {\mathrm{{dm}}}^{-3}$ ,溶解度为___ $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。","${4.0} \times {10}^{-3},{2.0} \times {10}^{-3}$"
"已知 ${K}_{\mathrm{{sp}}}^{ \ominus } : \mathrm{{FeS}} {6.3}\times {10}^{-{18}},\mathrm{{ZnS}} {2.5} \times {10}^{-{22}},\mathrm{{CdS}} {8.0} \times {10}^{-{27}}$ 。在浓度相同的 ${\mathrm{{Fe}}}^{2 + },{\mathrm{{Zn}}}^{2 + }$ 和 ${\mathrm{{Cd}}}^{2 + }$ 混合溶液中滴加 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液,最先生成沉淀的离子是子是___。","${\mathrm{{Cd}}}^{2 + },{\mathrm{{Fe}}}^{2 + }$"
"若 $\mathrm{{AgCl}}$ 在水中, ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{CaCl}}}_{2}$ 溶液中, ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{NaCl}}$ 溶液中及 0.050 $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{AgNO}}}_{3}$ 溶液中的溶解度分别为 ${s}_{1},{s}_{2},{s}_{3}$ 和 ${s}_{4}$ ,将这些溶解度按由大到小排列的顺序为___",${s}_{1} > {s}_{3} > {s}_{2} > {s}_{4}$
"在纯水中 $\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2}$ 的溶解度为___ $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。若使 ${0.050}\mathrm{\;{mol}}\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2}$ 刚好溶解在 ${0.50}{\mathrm{{dm}}}^{3}$ 的 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 溶液中,则此 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 溶液的浓度为 $\;\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。已知 $\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {1.9} \times {10}^{-{13}},{\mathrm{{NH}}}_{3}$ 的 ${K}_{\mathrm{b}}^{ \ominus } = {1.8} \times {10}^{-5}$ 。","${3.6} \times {10}^{-5},{2.8}$ "
"${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 固体加到 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液中,大部分 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 转化为 ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ ,这是由于",${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 的溶解度比 ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ 的大
"已知 ${K}_{\text{sp }}^{ \ominus } : {\mathrm{{BaSO}}}_{4}{1.1} \times {10}^{-{10}},{\mathrm{{BaCO}}}_{3}{2.6} \times {10}^{-9}$ 。溶液中 ${\mathrm{{BaSO}}}_{4}$ 转化为 ${\mathrm{{BaCO}}}_{3}$ 反应的标

准平衡常数值为",${4.2} \times {10}^{-2}$
"向含有固体 $\mathrm{{AgI}}$ 的饱和溶液中:

(1) 加入固体 ${\mathrm{{AgNO}}}_{3}$ ,则 $c\left( {\mathrm{I}}^{ - }\right)$ 变

（2）若改加更多的 $\mathrm{{AgI}}$ ,则 $c\left( {\mathrm{{Ag}}}^{ + }\right)$ 将

（3）若改加 $\mathrm{{AgBr}}$ 固体,则 $c\left( {\mathrm{I}}^{ - }\right)$ 变","(1)小; (2) 不变; (3)小, 增大"
"$\mathrm{{AgCl}}$ 饱和溶液中 ${\mathrm{{Ag}}}^{ + }$ 和 ${\mathrm{{Cl}}}^{ - }$ 的浓度均为 ${1.3} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,则 $\mathrm{{AgCl}}$ 溶解反应的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ 为___ $\mathrm{{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。
",55.7
"混合溶液中 ${\mathrm{{Ba}}}^{2 + }$ 和 ${\mathrm{{Sr}}}^{2 + }$ 的浓度均为 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,将稀 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ 溶液滴加到混合溶液中,当 ${\mathrm{{Ba}}}^{2 + }$ 已有 ${99}\%$ 沉淀为 ${\mathrm{{BaSO}}}_{4}$ 时,溶液中 ${\mathrm{{Sr}}}^{2 + }$ 的浓度为 $\;\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。已知 ${\mathrm{{BaSO}}}_{4}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {1.1} \times {10}^{-{10}},{\mathrm{{SrSO}}}_{4}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {3.4} \times {10}^{-7}$ 。",0.10
