question,answer
"${\mathrm{\;N}}_{2}$ 和 $\mathrm{{CO}}$ 具有相同的分子轨道式和相似的分子结构,但 $\mathrm{{CO}}$ 与过渡金属形成配位化合物的能力比 ${\mathrm{N}}_{2}$ 强得多,请解释原因。","${\mathrm{\;N}}_{2}$ 与 $\mathrm{{CO}}$ 有相同的分子轨道式,原子间都为三重键,互为等电子体。但两者成键情况不完全相同。 ${\mathrm{N}}_{2}$ 分子结构为: $\mathrm{N} \equiv \mathrm{N} : ,\mathrm{{CO}}$ 分子结构为: $\mathrm{C} \leqq \mathrm{O} :$ ,由于 $\mathrm{{CO}}$ 分子中 $\mathrm{O}$ 向 $\mathrm{C}$ 有 $\pi$ 配键,使 $\mathrm{C}$ 原子周围电子密度增大,另外, $\mathrm{C}$ 的电负性比 $\mathrm{N}$ 小得多,束缚电子能力弱, 给电子对能力强, 因此, CO 配位能力强。"
"硅单质虽可有类似于金刚石的结构, 但其熔点、硬度却比金刚石差得多, 请解释原因。
","Si 和 C 单质都可采取 ${\mathrm{{sp}}}^{3}$ 杂化形成金刚石型结构,但 $\mathrm{{Si}}$ 的半径比 $\mathrm{C}$ 大得多,因此 $\mathrm{{Si}} - \mathrm{{Si}}$ 键较弱, 键能低, 使单质硅的熔点、硬度比金刚石低得多。"
"常温下 ${\mathrm{{SiF}}}_{4}$ 为气态, ${\mathrm{{SiCl}}}_{4}$ 为液态; 而 ${\mathrm{{SnF}}}_{4}$ 为固态, ${\mathrm{{SnCl}}}_{4}$ 为液态,请解释原因。","硅与氟和氯形成的化合物 ${\mathrm{{SiF}}}_{4},{\mathrm{{SiCl}}}_{4}$ 都是共价化合物,分子半径 ${\mathrm{{SiF}}}_{4} < {\mathrm{{SiCl}}}_{4}$ ,色散力 ${\mathrm{{SiF}}}_{4} < {\mathrm{{SiCl}}}_{4}$ ,因此熔点 ${\mathrm{{SiF}}}_{4} < {\mathrm{{SiCl}}}_{4}$ ,常温下 ${\mathrm{{SiF}}}_{4}$ 为气态, ${\mathrm{{SiCl}}}_{4}$ 为液态。

在锡的四卤化物中,氟的电负性较大,只有 ${\mathrm{{SnF}}}_{4}$ 为离子化合物 (电负性差大)。而氯的电负性较小,与锡形成的 ${\mathrm{{SnCl}}}_{4}$ 为共价化合物 (电负性差 ${\Delta \chi } < {1.7}$ )。因而 ${\mathrm{{SnF}}}_{4}$ 熔点比 ${\mathrm{{SnCl}}}_{4}$ 高,常温下 ${\mathrm{{SnF}}}_{4}$ 为固态, ${\mathrm{{SnCl}}}_{4}$ 为液态。"
为什么常温下 ${\mathrm{{SiO}}}_{2}$ 是一种熔点极高的无限聚合物固体而 ${\mathrm{{CO}}}_{2}$ 却是气体分子?,"${\mathrm{{CO}}}_{2}$ 属于分子晶体,晶体中质点之间的结合力属于分子间力。这种力远小于离子键和共价键的结合作用, 所以分子晶体一般来说熔点低, 在室温下多以气体形式存在。

${\mathrm{{SiO}}}_{2}$ 属于原子晶体,原子晶体中原子间都是以共价键相互联结的。由于共价键十分强, 所以这类物质具有很高的熔点, 在室温下多以固体形式存在。

总之,由于晶体类型的不同,所以常温下 ${\mathrm{{CO}}}_{2}$ 是气体,而 ${\mathrm{{SiO}}}_{2}$ 是固体。
"
"为什么难溶的碳酸盐如 ${\mathrm{{CaCO}}}_{3}$ ,其酸式盐溶解度比正盐溶解度大; 而酸式盐 ${\mathrm{{NaHCO}}}_{3}$ , ${\mathrm{{KHCO}}}_{3}$ 的溶解度却小于相应的 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3},{\mathrm{\;K}}_{2}{\mathrm{{CO}}}_{3}$ ?","相对于 ${\mathrm{{CaCO}}}_{3}$ 等难溶的碳酸盐,碳酸氢盐 $\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ 等的溶解度较大,原因可以归结为: ${\mathrm{{CaCO}}}_{3}$ 的解离必须克服 +2 价的离子与 -2 价的离子之间的引力:

$$
{\mathrm{{CaCO}}}_{3} = {\mathrm{{Ca}}}^{2 + } + {\mathrm{{CO}}}_{3}^{2 - }
$$

而 $\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ 的解离只需克服 +2 价的离子与 -1 价的离子之间的引力:

$$
\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2} = {\mathrm{{Ca}}}^{2 + } + 2{\mathrm{{HCO}}}_{3}^{ - }
$$

所以通入 ${\mathrm{{CO}}}_{2}$ ,可以将 ${\mathrm{{CaCO}}}_{3}$ 转化成 $\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ 而发生溶解:

$$
{\mathrm{{CaCO}}}_{3} + {\mathrm{{CO}}}_{2} + {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}
$$

相对于易溶的 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 和 ${\mathrm{K}}_{2}{\mathrm{{CO}}}_{3}$ 等,其碳酸氢盐 ${\mathrm{{NaHCO}}}_{3}$ 和 ${\mathrm{{KHCO}}}_{3}$ 的溶解度却相对较小, 其原因可以解释为碳酸氢根之间由于存在氢键而缔合成相对分子质量较大的酸根造成的。
"
"碳和硅都是 IV A 族元素, 为什么碳链构成的化合物有上千万种, 而由硅链构成的化合物却远不及碳的化合物那样多?","碳属于第二周期元素,原子半径很小,所以碳碳之间的 $\sigma$ 键,其原子轨道的 “头碰头”重叠程度很大,键很强,而且 $\pi$ 键的轨道 “肩并肩”重叠程度也很大。所以碳碳之间可以形成形形色色的链, 以构成上千万种的有机化合物。

硅属于第三周期元素,原子半径比碳大,所以硅硅之间的 $\sigma$ 键,其原子轨道的 “头碰头”重叠程度远小于碳碳之间的 $\sigma$ 键,键很弱。其 $\pi$ 轨道 “肩并肩”重叠的可能性十分小,以至于不能形成硅硅双键和三键。故硅链构成的化合物仅有数种。
"
"$\mathrm{Pb}$ 的标准电极电势小于 $\mathrm{H}$ ,为什么 $\mathrm{Pb}$ 却不溶于稀盐酸和稀硫酸,而溶于热浓硫酸、浓盐酸及稀硝酸?","因为 $\mathrm{{Pb}}$ 与稀硫酸和稀盐酸反应的产物 ${\mathrm{{PbSO}}}_{4}$ 和 ${\mathrm{{PbCl}}}_{2}$ 是难溶或微溶化合物,阻止了反应的进行。在热浓硫酸、浓盐酸及稀硝酸中,由于能生成可溶性的 $\mathrm{{Pb}}{\left( {\mathrm{{HSO}}}_{4}\right) }_{2}$ , $\mathrm{H}\left\lbrack {\mathrm{{PbCl}}}_{3}\right\rbrack$ 和 $\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ ,故反应可以进行:

$$
\mathrm{{Pb}} + 3{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}\text{ (浓) } = \mathrm{{Pb}}{\left( {\mathrm{{HSO}}}_{4}\right) }_{2} + {\mathrm{{SO}}}_{2} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}
$$

$$
\mathrm{{Pb}} + 3\mathrm{{HCl}}\text{ (浓) } = \mathrm{H}\left\lbrack {\mathrm{{PbCl}}}_{3}\right\rbrack + {\mathrm{H}}_{2} \uparrow
$$

$$
3\mathrm{\;{Pb}} + 8{\mathrm{{HNO}}}_{3} = 3\mathrm{\;{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 2\mathrm{{NO}} \uparrow + 4{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象:向 ${\mathrm{{SnCl}}}_{4}$ 溶液中滴加 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液,有沉淀生成,继续滴加沉淀又溶解,再以稀盐酸处理此溶液, 又析出沉淀。","${\mathrm{{SnCl}}}_{4}$ 与 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 反应生成难溶的 ${\mathrm{{SnS}}}_{2}$ 沉淀:

$$
{\mathrm{{SnCl}}}_{4} + 2{\mathrm{{Na}}}_{2}\mathrm{\;S} = {\mathrm{{SnS}}}_{2} \downarrow + 4\mathrm{{NaCl}}
$$

酸性硫化物 ${\mathrm{{SnS}}}_{2}$ 可溶于碱性硫化物 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 中,故沉淀又溶解:

$$
{\mathrm{{SnS}}}_{2} + {\mathrm{{Na}}}_{2}\mathrm{\;S} = {\mathrm{{Na}}}_{2}{\mathrm{{SnS}}}_{3}
$$

硫代酸盐不稳定, 遇到酸发生分解, 重新生成硫化物沉淀:

$$
{\mathrm{{Na}}}_{2}{\mathrm{{SnS}}}_{3} + 2\mathrm{{HCl}} = {\mathrm{{SnS}}}_{2} \downarrow + {\mathrm{H}}_{2}\mathrm{\;S} \uparrow + 2\mathrm{{NaCl}}
$$
"
"解释实验现象:向盛有 $\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液的试管中加入 $\mathrm{{KI}}$ 溶液,生成黄色沉淀; 将试管加热则沉淀溶解; 再将试管缓慢冷却到室温, 有金黄色针状晶体析出。","$\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液与 $\mathrm{{KI}}$ 溶液反应,生成黄色沉淀 ${\mathrm{{PbI}}}_{2}$ :

$$
\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 2\mathrm{{KI}} = {\mathrm{{PbI}}}_{2} \downarrow + 2{\mathrm{{KNO}}}_{3}
$$

${\mathrm{{PbI}}}_{2}$ 溶于热水则沉淀消失,同时在过量 $\mathrm{{KI}}$ 溶液中有配离子生成:

$$
{\mathrm{{PbI}}}_{2} + {\mathrm{I}}^{ - } = {\left\lbrack {\mathrm{{PbI}}}_{3}\right\rbrack }^{ - }
$$

缓慢冷却至室温,析出金黄色晶体 ${\mathrm{{PbI}}}_{2}$ 。"
"灰黑色固体单质 (A) 在常温下不与酸反应, 与浓 NaOH 溶液作用时生成无色溶液 (B) 和气体 $\left( \mathrm{C}\right)$ 。气体 $\left( \mathrm{C}\right)$ 在灼热的条件下可以将一黑色的氧化物还原成红色金属 $\left( \mathrm{D}\right)$ 。 $\left( \mathrm{A}\right)$ 在很高的温度下与氧气作用的产物为白色固体 (E)。(E) 与氢氟酸作用时能产生无色气体 $\left( \mathrm{F}\right)$ 。 $\left( \mathrm{F}\right)$ 通入水中时生成白色沉淀 $\left( \mathrm{G}\right)$ 及溶液 $\left( \mathrm{H}\right)$ 。 $\left( \mathrm{G}\right)$ 用适量的 $\mathrm{{NaOH}}$ 溶液处理得溶液 $\left( \mathrm{B}\right)$ 。试给出 $\left( \mathrm{A}\right) \text{、}\left( \mathrm{B}\right) \text{、}\left( \mathrm{C}\right) \text{、}\left( \mathrm{D}\right) \text{、}\left( \mathrm{E}\right) \text{、}\left( \mathrm{F}\right) \text{、}\left( \mathrm{G}\right)$ 和 $\left( \mathrm{H}\right)$ 所代表的物质的化学式。","(A)-Si; (B) $- {\mathrm{{Na}}}_{2}{\mathrm{{SiO}}}_{3}$ ; (C) $- {\mathrm{H}}_{2}$ ; (D)-Cu; (E) $- {\mathrm{{SiO}}}_{2}$ ; (F) $- {\mathrm{{SiF}}}_{4}$ ;

(G) $- {\mathrm{H}}_{4}{\mathrm{{SiO}}}_{4}$ ; (H) $- \mathrm{{HF}} + {\mathrm{H}}_{2}{\mathrm{{SiF}}}_{6}$ 。"
