question,answer
"已知 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 的二级解离平衡常数为 ${1.0} \times {10}^{-2}$ ,则 ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 溶液的 $c\left( {\mathrm{H}}^{ + }\right)$ 为 ___ mol $\cdot {\mathrm{{dm}}}^{-3},\mathrm{{pH}}$ 为___。","0.014,1.85"
"某一元弱酸的钠盐 $\left( \mathrm{{NaX}}\right)$ 溶液浓度为 ${0.2}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,测得其 $\mathrm{{pH}} = 9$ ,则钠盐 $\mathrm{{NaX}}$ 的水解度为___,弱酸 $\mathrm{{HX}}$ 的解离平衡常数为___
","$\left( {5 \times {10}^{-3}}\right) \%$ (或 $5 \times {10}^{-5}$ ), $2 \times {10}^{-5}$"
"已知 ${18}^{ \circ }\mathrm{C}$ 时水的 ${K}_{\mathrm{w}}^{ \ominus } = {6.4} \times {10}^{-{15}}$ ,此时中性溶液中氢离子的浓度为 $\;\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ , $\mathrm{{pH}}$ 为___。","$8\times {10}^{-8},$ 7.10"
"已知某二元弱酸 ${\mathrm{H}}_{2}\mathrm{\;A}$ 的 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = 1 \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = 1 \times {10}^{-{14}}$ ,则 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{H}}_{2}\mathrm{\;A}$ 溶液中 $c\left( {\mathrm{\;A}}^{2 - }\right)$ 为___ $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ; 在 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{H}}_{2}\mathrm{\;A}$ 和 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸混合溶液中 $c\left( {\mathrm{\;A}}^{2 - }\right)$ 为___ $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。","$1 \times {10}^{-{14}},1 \times {10}^{-{20}}$"
"下列溶液中各物质的浓度均为 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,则按 $\mathrm{{pH}}$ 由大到小排列的顺序为

(1) ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 和 ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 混合溶液;
(2) NaAc 和 HAc 混合溶液;
(3) $\mathrm{{HAc}}$ ;
(4) ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ ;
(5) $\mathrm{{HCl}}$ ;
(6) $\mathrm{{NaOH}}$ 。",$\left( 6\right) \left( 4\right) \left( 1\right) \left( 2\right) \left( 3\right) \left( 5\right)$
"在 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{HAc}}$ 溶液中加入少许 $\mathrm{{NaCl}}$ 晶体,溶液的 $\mathrm{{pH}}$ 将会___; 若以 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 代替 $\mathrm{{NaCl}}$ ,则溶液的 $\mathrm{{pH}}$ 将会___。","减小, 增大"
"实验室有 $\mathrm{{HCl}},\mathrm{{HAc}}\left( {{K}_{\mathrm{a}}^{ \ominus } = {1.8} \times {10}^{-5}}\right) ,\mathrm{{NaOH}},\mathrm{{NaAc}}$ 四种浓度相同的溶液,现要配制 $\mathrm{{pH}} = {4.44}$ 的缓冲溶液,共有三种配法,每种配法所用的两种溶液及其体积比分别为 ____________________________,_________________________________________________________________________,______________________________________________________________","HAc-NaAc, 2:1; HCl-NaAc, 2:3; HAc-NaOH, 3:1"
"在 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 中加入 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 固体,则 ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 的浓度___ ,解离度 ___ , pH___ ,解离平衡常数 ___","增大,变小,变小,不变"
"$2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}\left( {{K}_{\mathrm{b}}^{ \ominus } = {1.8} \times {10}^{-5}}\right)$ 的 $\mathrm{{pH}}$ 为___; 将它与 $2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸等体积混合后,溶液的 $\mathrm{{pH}}$ 为 $\;$ ; 若将氨水与 $4\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸等体积混合,则混合溶液的 $\mathrm{{pH}}$ 为___。","11.78,4.63,0.00"
"已知 ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 的 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = {6.9} \times {10}^{-3},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {6.1} \times {10}^{-8},{K}_{{\mathrm{a}}_{3}}^{ \ominus } = {4.8} \times {10}^{-{13}}$ 。 ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 的共轭碱为___,其 ${K}_{\mathrm{b}}^{ \ominus }$ 值为___。","${\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - },{1.4} \times {10}^{-{12}}$"
"在醋酸溶剂中, 高氯酸的酸性比盐酸 ___ , 因为醋酸是 ___ 溶剂; 在水中, 高氯酸的酸

性与盐酸的酸性 ___ , 这是因为水是 ___ 溶剂。","强, 示差; 相近, 拉平"
"已知 $\mathrm{{HAc}}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {1.8} \times {10}^{-5},\mathrm{{HCN}}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {6.2} \times {10}^{-{10}},\mathrm{{HF}}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {6.3} \times {10}^{-4}$ ,则相同浓度的稀溶液 $\mathrm{{NaAc}},\mathrm{{NaCN}}$ 和 $\mathrm{{NaF}}$ ,水解度由大到小的顺序是

${\mathrm{{OH}}}^{ - },{\mathrm{{Ac}}}^{ - },{\mathrm{{CN}}}^{ - },{\mathrm{F}}^{ - }$ 碱性由强至弱的顺序是","NaCN, NaAc, NaF; ${\mathrm{{OH}}}^{ - } > {\mathrm{{CN}}}^{ - } > {\mathrm{{Ac}}}^{ - } > {\mathrm{F}}^{ - }$ "
"根据酸碱质子理论,
${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\left( \mathrm{{OH}}\right) \right\rbrack }^{2 + }$ 的共轭酸是
${\mathrm{{HNO}}}_{3}$ 的共轭酸是
${\mathrm{{NH}}}_{2}^{ - }$ 的共轭碱是","${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + },{\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{4}{\left( \mathrm{{OH}}\right) }_{2}\right\rbrack }^{ + };{\mathrm{H}}_{2}{\mathrm{{NO}}}_{3}^{ + };{\mathrm{{NH}}}^{2 - }$ "

