question,answer
"计算下列溶液的 $\mathrm{{pH}}$ 。
 ${0.01}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \cdot \mathrm{{HCN}}$ 溶液 $\left( {{K}_{\mathrm{a}}^{ \ominus } = {6.2} \times {10}^{-{10}}}\right)$ ;","${c}_{0}/{K}_{\mathrm{a}}^{ \ominus } = {0.01}/{6.2} \times {10}^{-{10}} = {1.6} \times {10}^{7} > > {400}$ ,可用最简式进行计算。

$$
c\left( {\mathrm{H}}^{ + }\right) = \sqrt{{K}_{\mathrm{a}}^{ \ominus }{c}_{0}} = \sqrt{{6.2} \times {10}^{-{10}} \times {0.01}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {2.49} \times {10}^{-6}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
\mathrm{{pH}} = - \lg c\left( {\mathrm{H}}^{ + }\right) = - \lg \left( {{2.49} \times {10}^{-6}}\right) = {5.60}
$$
"
计算下列溶液的 $\mathrm{{pH}}$ 。${0.01}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{HNO}}}_{2}$ 溶液 $\left( {{K}_{\mathrm{a}}^{ \ominus } = {5.1} \times {10}^{-4}}\right)$ ;," ${c}_{0}/{K}_{\mathrm{a}}^{ \ominus } = {0.01}/\left( {{5.1} \times {10}^{-4}}\right) = {19.61} < {400}$ ,不能用最简式进行计算。

$$
{\mathrm{{HNO}}}_{2} \rightleftharpoons {\mathrm{H}}^{ + } + {\mathrm{{NO}}}_{2}^{ - }
$$

平衡浓度 $/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) \;{0.01} - x\;x\;x$

由 ${K}_{\mathrm{a}}^{ \ominus } = \frac{c\left( {\mathrm{H}}^{ + }\right) c\left( {\mathrm{{NO}}}_{2}^{ - }\right) }{c\left( {\mathrm{{HNO}}}_{2}\right) }$ 得 $\frac{{x}^{2}}{{0.01} - x} = {5.1} \times {10}^{-4}\;x = {2.0} \times {10}^{-3}$

$$
c\left( {\mathrm{H}}^{ + }\right) = {2.0} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\;\mathrm{{pH}} = - \lg c\left( {\mathrm{H}}^{ + }\right) = {2.70}
$$
"
"计算下列溶液的 $\mathrm{{pH}}$ 。 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{KHC}}}_{2}{\mathrm{O}}_{4}$ 溶液 $\left( {{\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4} : {K}_{{\mathrm{a}}_{1}}^{ \ominus } = {5.4} \times {10}^{-2},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {5.4} \times {10}^{-5}}\right.$ );","${\mathrm{{KHC}}}_{2}{\mathrm{O}}_{4}$ 溶液既有酸式草酸盐的解离又有酸式草酸盐的水解,故

$$
c\left( {\mathrm{H}}^{ + }\right) = \sqrt{{K}_{{\mathrm{a}}_{1}}^{ \ominus }{K}_{{\mathrm{a}}_{2}}^{ \ominus }} = \sqrt{{5.4} \times {10}^{-2} \times {5.4} \times {10}^{-5}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {1.71} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
\mathrm{{pH}} = {2.77}
$$
"
"计算下列溶液的 $\mathrm{{pH}}$ 。 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液 $\left( {{\mathrm{H}}_{2}{\mathrm{{CO}}}_{3} : {K}_{{\mathrm{a}}_{1}}^{ \ominus } = {4.5} \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {4.7} \times {10}^{-{11}}}\right)$ ;","${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 完全解离,故溶液中 ${\mathrm{{CO}}}_{3}^{2 - }$ 的起始浓度为 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3},{\mathrm{{CO}}}_{3}^{2 - }$ 的两步水解常数为

$$
{K}_{{\mathrm{h}}_{1}}^{ \ominus } = \frac{{K}_{\mathrm{w}}^{ \ominus }}{{K}_{{\mathrm{a}}_{2}}^{ \ominus }} = \frac{{1.0} \times {10}^{-{14}}}{{4.7} \times {10}^{-{11}}} = {2.1} \times {10}^{-4}
$$

$$
{K}_{{\mathrm{h}}_{2}}^{ \ominus } = \frac{{K}_{\mathrm{w}}^{ \ominus }}{{K}_{{\mathrm{a}}_{1}}^{ \ominus }} = \frac{{1.0} \times {10}^{-{14}}}{{4.5} \times {10}^{-7}} = {2.2} \times {10}^{-8}
$$

由于 ${K}_{{\mathrm{h}}_{1}}^{ \ominus } > > {K}_{{\mathrm{h}}_{2}}^{ \ominus }$ ,故水解产生的 $c\left( {\mathrm{{OH}}}^{ - }\right)$ 由第一步水解决定。

$$
{\mathrm{{CO}}}_{3}^{2 - } + {\mathrm{H}}_{2}\mathrm{O} \rightleftharpoons {\mathrm{{HCO}}}_{3}^{ - } + {\mathrm{{OH}}}^{ - }
$$

${c}_{\text{平 }}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$

$$
{0.10} - x
$$

$$
{K}_{\mathrm{{hl}}}^{ \ominus } = \frac{c\left( {\mathrm{{HCO}}}_{3}^{ - }\right) c\left( {\mathrm{{OH}}}^{ - }\right) }{c\left( {\mathrm{{CO}}}_{3}^{2 - }\right) } = \frac{{x}^{2}}{{0.10} - x} = {2.1} \times {10}^{-4}
$$

$$
x = {4.6} \times {10}^{-3}
$$

即

$$
c\left( {\mathrm{{OH}}}^{ - }\right) = {4.6} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

所以

$$
\mathrm{{pOH}} = {2.34},\mathrm{{pH}} = {11.66}
$$
"
"计算下列溶液的 $\mathrm{{pH}}$ 。 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液 $\left( {{\mathrm{H}}_{2}\mathrm{\;S} : {K}_{{\mathrm{a}}_{1}}^{ \ominus } = {1.1} \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {1.3} \times {10}^{-{13}}}\right)$ ;"," ${\mathrm{S}}^{2 - }$ 在水溶液中分两步水解,但 ${K}_{{\mathrm{h}}_{1}}^{ \ominus } > > {K}_{{\mathrm{h}}_{2}}^{ \ominus }$ ,计算时只需考虑第一步水解。

$$
{\mathrm{S}}^{2 - } + {\mathrm{H}}_{2}\mathrm{O} \rightleftharpoons {\mathrm{{HS}}}^{ - } + {\mathrm{{OH}}}^{ - }
$$

$$
{c}_{\text{平 }}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)
$$

${0.1} - x$

$$
\frac{{x}^{2}}{{0.1} - x} = {K}_{{\mathrm{h}}_{1}}^{ \ominus }\;{K}_{{\mathrm{h}}_{1}}^{ \ominus } = \frac{{K}_{\mathrm{w}}^{ \ominus }}{{K}_{{\mathrm{a}}_{2}}^{ \ominus }} = \frac{{1.0} \times {10}^{-{14}}}{{1.3} \times {10}^{-{13}}} = {7.7} \times {10}^{-2}
$$

$x = {0.057c}\left( {\mathrm{{OH}}}^{ - }\right) = {0.057}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\;\mathrm{{pOH}} = {1.24}$

$$
\mathrm{{pH}} = {12.76}
$$
"
计算下列溶液的 $\mathrm{{pH}}$ 。${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 溶液 $\left( {{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} : {K}_{\mathrm{b}}^{ \ominus } = {1.8} \times {10}^{-5}}\right)$ 。,"${\mathrm{{NH}}}_{4}^{ + } + {\mathrm{H}}_{2}\mathrm{O} \rightleftharpoons {\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} + {\mathrm{H}}^{ + }$

$$
{K}_{\mathrm{h}}^{ \ominus } = \frac{{K}_{\mathrm{w}}^{ \ominus }}{{K}_{\mathrm{b}}^{ \ominus }} = \frac{{1.0} \times {10}^{-{14}}}{{1.8} \times {10}^{-5}} = {5.56} \times {10}^{-{10}}
$$

${c}_{0}/{K}_{\mathrm{h}}^{ \ominus } = {0.10}/{5.6} \times {10}^{-{10}} > {400}$ ,可用最简式计算。

$$
c\left( {\mathrm{H}}^{ + }\right) = \sqrt{{K}_{\mathrm{h}}^{\Theta }{c}_{0}} = \sqrt{{5.56} \times {10}^{-{10}} \times {0.10}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {7.46} \times {10}^{-6}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
\mathrm{{pH}} = {5.13}
$$
"
"通过计算说明: 中和 ${50.0}{\mathrm{\;{cm}}}^{3},\mathrm{{pH}} = {3.80}$ 的盐酸与中和 ${50.0}{\mathrm{\;{cm}}}^{3},\mathrm{{pH}} = {3.80}$ 的醋酸溶液所需 $\mathrm{{NaOH}}$ 的物质的量是否相同。已知 ${K}_{\mathrm{a}}^{ \ominus }\left( \mathrm{{HAc}}\right) = {1.8} \times {10}^{-5}$ 。","盐酸为强酸, 在水中全部解离:

$$
c\left( {\mathrm{H}}^{ + }\right) = c\left( \mathrm{{HCl}}\right) = {10}^{-{3.8}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {1.6} \times {10}^{-4}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

中和 ${50}{\mathrm{\;{cm}}}^{3}$ 盐酸需 $\mathrm{{NaOH}}$ 的物质的量:

$$
{50} \times {10}^{-3}{\mathrm{{dm}}}^{3} \times {1.6} \times {10}^{-4}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {8.0} \times {10}^{-6}\mathrm{\;{mol}}
$$

醋酸为弱酸,在水中部分解离,则 $\mathrm{{pH}} = {3.80}$ 的醋酸溶液的浓度为

$$
c\left( \mathrm{{HAc}}\right) = \frac{{\left\lbrack c\left( {\mathrm{H}}^{ + }\right) \right\rbrack }^{2}}{{K}_{\mathrm{a}}^{ \ominus }} = \frac{{\left( {1.6} \times {10}^{-4}\right) }^{2}}{{1.8} \times {10}^{-5}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {1.4} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

中和 ${50}{\mathrm{\;{cm}}}^{3}$ 醋酸时需 $\mathrm{{NaOH}}$ 的物质的量为

$$
{50} \times {10}^{-3}{\mathrm{{dm}}}^{3} \times {1.4} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} = {7.0} \times {10}^{-5}\mathrm{\;{mol}}
$$

计算结果表明,中和体积相同, $\mathrm{{pH}}$ 相同的盐酸和醋酸时,由于 $c\left( \mathrm{{HAc}}\right) > c\left( \mathrm{{HCl}}\right)$ ,所需

$\mathrm{{NaOH}}$ 的物质的量不同,中和弱酸所需的 $\mathrm{{NaOH}}$ 的物质的量要大于中和强酸所需的 $\mathrm{{NaOH}}$ 的物质的量。
"
"$\mathrm{{298}}\mathrm{\;K}$ 时,测得 ${0.100}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{HF}}$ 溶液中 $c\left( {\mathrm{H}}^{ + }\right)$ 为 ${7.63} \times {10}^{-3}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。求反应

$$
\mathrm{{HF}}\left( \mathrm{{aq}}\right) \rightleftharpoons {\mathrm{H}}^{ + }\left( \mathrm{{aq}}\right) + {\mathrm{F}}^{ - }\left( \mathrm{{aq}}\right)
$$

的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ 。","
$$
\mathrm{{HF}}\left( \mathrm{{aq}}\right) \; \rightleftharpoons \;{\mathrm{H}}^{ + }\left( \mathrm{{aq}}\right) + {\mathrm{F}}^{ - }\left( \mathrm{{aq}}\right)
$$

${c}_{0}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$ 0.100

${c}_{\text{平 }}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$

$$
{0.100} - {7.63} \times {10}^{-3}\;{7.63} \times {10}^{-3}\;{7.63} \times {10}^{-3}
$$

$$
{K}_{\mathrm{a}}^{ \ominus } = \frac{c\left( {\mathrm{H}}^{ + }\right) c\left( {\mathrm{\;F}}^{ - }\right) }{c\left( \mathrm{{HF}}\right) }
$$

$$
= \frac{{\left( {7.63} \times {10}^{-3}\right) }^{2}}{{0.100} - {7.63} \times {10}^{-3}}
$$

$$
= {6.30} \times {10}^{-4}
$$

$$
{\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } = - {RT}\ln {K}_{\mathrm{a}}^{ \ominus }
$$

$$
= - {8.314}\mathrm{\;J} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {298}\mathrm{\;K} \times \ln \left( {{6.30} \times {10}^{-4}}\right)
$$

$$
= {18.3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$
"
"$150{\mathrm{\;{cm}}}^{3}{0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{HAc}}$ 溶液和 ${50}{\mathrm{\;{cm}}}^{3}{0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{NaOH}}$ 溶液混合,若已知 $\mathrm{{HAc}}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {1.8} \times {10}^{-5}$ ,求混合溶液的 $c\left( {\mathrm{H}}^{ + }\right)$ 。","依题意 $V\left( \mathrm{{HAc}}\right) = {0.15}{\mathrm{{dm}}}^{3}, V\left( \mathrm{{NaOH}}\right) = {0.050}{\mathrm{{dm}}}^{3}$ ,则混合溶液

$$
V = {0.15}{\mathrm{{dm}}}^{3} + {0.050}{\mathrm{{dm}}}^{3} = {0.20}{\mathrm{{dm}}}^{3}
$$

$$
n\left( \mathrm{{HAc}}\right) = {0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \times {0.15}{\mathrm{{dm}}}^{3} = {0.015}\mathrm{\;{mol}}
$$

$$
n\left( \mathrm{{NaOH}}\right) = {0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3} \times {0.050}{\mathrm{{dm}}}^{3} = {0.0050}\mathrm{\;{mol}}
$$

$$
\mathrm{{HAc}} + {\mathrm{{OH}}}^{ - } \rightleftharpoons {\mathrm{{Ac}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}
$$

反应后剩余

$$
n\left( \mathrm{{HAc}}\right) = {0.015}\mathrm{\;{mol}} - {0.0050}\mathrm{\;{mol}} = {0.010}\mathrm{\;{mol}}
$$

生成

$$
n\left( {\mathrm{{Ac}}}^{ - }\right) = {0.0050}\mathrm{\;{mol}}
$$

故在混合溶液中

$$
c\left( \mathrm{{HAc}}\right) = \frac{{0.010}\mathrm{\;{mol}}}{{0.20}{\mathrm{{dm}}}^{3}} = {0.050}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
c\left( {\mathrm{{Ac}}}^{ - }\right) = \frac{{0.0050}\mathrm{\;{mol}}}{{0.20}{\mathrm{{dm}}}^{3}} = {0.025}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

因为

$$
\mathrm{{HAc}} \rightleftharpoons {\mathrm{H}}^{ + } + {\mathrm{{Ac}}}^{ - }
$$

$$
{K}_{\mathrm{a}}^{ \ominus } = \frac{c\left( {\mathrm{H}}^{ + }\right) c\left( {\mathrm{{Ac}}}^{ - }\right) }{c\left( \mathrm{{HAc}}\right) }
$$

所以

$$
c\left( {\mathrm{H}}^{ + }\right) = {K}_{\mathrm{a}}^{ \ominus }\frac{c\left( \mathrm{{HAc}}\right) }{c\left( {\mathrm{{Ac}}}^{ - }\right) }
$$

$$
= {1.8} \times {10}^{-5} \times \frac{0.050}{0.025}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

$$
= {3.6} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$

或用公式直接求出该缓冲溶液的 $\mathrm{{pH}}$ 。

$$
\mathrm{{pH}} = \mathrm{p}{K}_{\mathrm{a}}^{ \ominus } - \lg \frac{{c}_{\text{酸 }}}{{c}_{\text{盐 }}}
$$

$$
= {4.74} - \lg \frac{0.050}{0.025} = {4.44}
$$

故

$$
c\left( {\mathrm{H}}^{ + }\right) = {3.6} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$
"
"将 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸和 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4}$ 溶液等体积混合后,求溶液中 ${\mathrm{C}}_{2}{\mathrm{O}}_{4}^{2 - }$ 和 ${\mathrm{{HC}}}_{2}{\mathrm{O}}_{4}^{ - }$ 的浓度。已知 ${\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4}$ 的 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = {5.4} \times {10}^{-2},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {5.4} \times {10}^{-5}$ 。","由于 ${K}_{{\mathrm{a}}_{2}}^{ \ominus }\left( {{\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4}}\right)$ 较小,加之 $\mathrm{{HCl}}$ 中 ${\mathrm{H}}^{ + }$ 的同离子效应,在求溶液中 ${\mathrm{{HC}}}_{2}{\mathrm{O}}_{4}^{ - }$ 浓度时,只考虑第一步解离即可:

$$
{\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4} \rightleftharpoons {\mathrm{H}}^{ + } + {\mathrm{{HC}}}_{2}{\mathrm{O}}_{4}^{ - }
$$

$$
{c}_{\text{平 }}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)
$$

$$
{0.1} - x\;{0.1} + x\;x
$$

$$
\frac{\left( {{0.1} + x}\right) x}{{0.1} - x} = {K}_{{\mathrm{a}}_{1}}^{ \ominus } = {5.4} \times {10}^{-2}
$$

$$
x = {2.9} \times {10}^{-2}
$$

${\mathrm{C}}_{2}{\mathrm{O}}_{4}^{2 - }$ 由 ${\mathrm{H}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4}$ 的第二步解离求得

$$
{\mathrm{{HC}}}_{2}{\mathrm{O}}_{4}^{ - } \rightleftharpoons {\mathrm{H}}^{ + } + {\mathrm{C}}_{2}{\mathrm{O}}_{4}^{2 - }
$$

$$
{c}_{\text{平 }}/\left( {\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)
$$

$$
{0.029} - y\;{0.129} + y\; :
$$

$$
\frac{\left( {{0.129} + y}\right) y}{{0.029} - y} = {K}_{{\mathrm{a}}_{2}}^{ \ominus } = {5.4} \times {10}^{-5}
$$

$$
y = {1.2} \times {10}^{-5}
$$

则混合溶液中 $c\left( {{\mathrm{C}}_{2}{\mathrm{O}}_{4}^{2 - }}\right) = {1.2} \times {10}^{-5}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$

$$
c\left( {{\mathrm{{HC}}}_{2}{\mathrm{O}}_{4}^{ - }}\right) = {2.9} \times {10}^{-2}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}
$$
"
