question,answer
给出下列物质的化学式。金红石, ${\mathrm{{TiO}}}_{2}$
给出下列物质的化学式。钛铁矿,${\mathrm{{FeTiO}}}_{3}$
给出下列物质的化学式。钙钛矿,${\mathrm{{CaTiO}}}_{3}$
给出下列物质的化学式。榍石,${\mathrm{{CaTiSiO}}}_{5}$
给出下列物质的化学式。锆英石,${\mathrm{{ZrSiO}}}_{4}$
给出下列物质的化学式。斜锆石,${\mathrm{{ZrO}}}_{2}$
给出下列物质的化学式。绿硫钒石,${\mathrm{{VS}}}_{4}$
给出下列物质的化学式。钒铅矿,${\mathrm{{Pb}}}_{5}{\left( {\mathrm{{VO}}}_{4}\right) }_{3}\mathrm{{Cl}}$
"钛溶于热的浓盐酸的氧化产物是 ___ , 钛与干燥的氯在高温下的反应产物是___ ; 钒与稀硝酸反应的氧化产物是 ___","${\mathrm{{TiCl}}}_{3},{\mathrm{{TiCl}}}_{4},\mathrm{{VO}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$"
"$\mathrm{Ti}( \uppercase\expandafter{\romannumeral4}$ ) 在酸性溶液中的存在形式为___, $\mathrm{V}\left( \uppercase\expandafter{\romannumeral4}\right)$ 在酸性溶液中的存在形式为___
","${\mathrm{{TiO}}}^{2 + },{\mathrm{{VO}}}^{2 + }$"
"用 $\mathrm{{Ti}}{\left( {\mathrm{{CO}}}_{3}\right) }_{4},{\mathrm{{TiI}}}_{4},{\mathrm{{Ti}({NO}}}_{3}{)}_{4},\mathrm{{Ti}}{\left( \mathrm{{OH}}\right) }_{4}$ 表示的化合物中,其中 ___ 可以从溶液中析出, 实际上不可能存在的是 ___"," $\mathrm{{Ti}}{\left( \mathrm{{OH}}\right) }_{4},\mathrm{{Ti}}{\left( {\mathrm{{CO}}}_{3}\right) }_{4}$ "
"用过量 $\mathrm{{Zn}}$ 还原 ${\mathrm{{VO}}}^{2 + }$ 溶液,最终的还原产物为 ${\mathrm{{Fe}}}^{3 + }$ 溶液氧化 ${\mathrm{V}}^{3 + }$ ,最终的氧化产物为","${\mathrm{V}}^{2 + },{\mathrm{{VO}}}^{2 + }$"
"五价钒的溶液与 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 发生 反应,在酸性条件下的反应产物为 ___

在碱性条件下的反应产物为 ___","过氧链转移, ${\left\lbrack \mathrm{V}\left( {\mathrm{O}}_{2}\right) \right\rbrack }^{3 + },{\left\lbrack {\mathrm{{VO}}}_{2}{\left( {\mathrm{O}}_{2}\right) }_{2}\right\rbrack }^{3 - }$"
给出下列离子在溶液中的颜色。${\mathrm{{Ti}}}^{3 + }$ ,${\mathrm{{Ti}}}^{3 + }$ 紫红
给出下列离子在溶液中的颜色。${\mathrm{V}}^{2 + }$,${\mathrm{V}}^{2 + }$ 紫
给出下列离子在溶液中的颜色。${\mathrm{V}}^{3 + }$ ,${\mathrm{V}}^{3 + }$ 绿
给出下列离子在溶液中的颜色。${\mathrm{{VO}}}^{2 + }$,${\mathrm{{VO}}}^{2 + }$ 蓝
给出下列离子在溶液中的颜色。${\mathrm{{VO}}}_{2}^{ + }$,${\mathrm{{VO}}}_{2}^{ + }$ 黄
给出下列离子在溶液中的颜色。${\mathrm{{VO}}}_{4}^{3 - }$,${\mathrm{{VO}}}_{4}^{3 - }$ 无
给出下列离子在溶液中的颜色。${\mathrm{V}}_{10}{\mathrm{O}}_{28}^{6 - }$ ,${\mathrm{V}}_{10}{\mathrm{O}}_{28}^{6 - }$ 橙红
给出下列离子在溶液中的颜色。$\mathrm{{Ti}}{\left( {\mathrm{O}}_{2}\right) }^{2 + }$ ,$\mathrm{{Ti}}{\left( {\mathrm{O}}_{2}\right) }^{2 + }$ 橘黄
给出下列离子在溶液中的颜色。${\left\lbrack \mathrm{V}\left( {\mathrm{O}}_{2}\right) \right\rbrack }^{3 + }$ ,${\left\lbrack \mathrm{V}\left( {\mathrm{O}}_{2}\right) \right\rbrack }^{3 + }$ 红棕
给出下列离子在溶液中的颜色。${\left\lbrack {\mathrm{{VO}}}_{2}{\left( {\mathrm{O}}_{2}\right) }_{2}\right\rbrack }^{3 - }$,${\left\lbrack {\mathrm{{VO}}}_{2}{\left( {\mathrm{O}}_{2}\right) }_{2}\right\rbrack }^{3 - }$ 黄
