question,answer
以粗镍为原料制备高纯镍。,"在 ${50} \sim {100}{}^{ \circ }\mathrm{C}$ 条件下,使粗 $\mathrm{{Ni}}$ 粉末与 $\mathrm{{CO}}$ 反应生成液态的 ${\left\lbrack \mathrm{{Ni}}\left( \mathrm{{CO}}\right) \right\rbrack }_{4}$ ,分离后将 ${\left\lbrack \mathrm{{Ni}}\left( \mathrm{{CO}}\right) \right\rbrack }_{4}$ 在 ${200}{}^{ \circ }\mathrm{C}$ 加热分解,即得到高纯 $\mathrm{{Ni}}$ :

$$
\mathrm{{Ni}}\left( \mathrm{s}\right) + 4\mathrm{{CO}}\left( \mathrm{g}\right) \xrightarrow[]{{50} \sim {100}{}^{ \circ }\mathrm{C}}{\left\lbrack \mathrm{{Ni}}\left( \mathrm{{CO}}\right) \right\rbrack }_{4}\left( \mathrm{l}\right)
$$

$$
{\left\lbrack \mathrm{{Ni}}\left( \mathrm{{CO}}\right) \right\rbrack }_{4}\left( \mathrm{l}\right) = \frac{{200}{}^{ \circ }\mathrm{C}}{}\mathrm{{Ni}}\left( \mathrm{s}\right) + 4\mathrm{{CO}}\left( \mathrm{g}\right)
$$
"
"如何鉴别分别含有 ${\mathrm{{Fe}}}^{3 + },{\mathrm{{Co}}}^{2 + }$ 和 ${\mathrm{{Ni}}}^{2 + }$ 的溶液?"," ${\mathrm{{Fe}}}^{3 + }$ 的鉴别:

(1) 与 KSCN 作用产生血红色:

$$
{\mathrm{{Fe}}}^{3 + } + n{\mathrm{{SCN}}}^{ - } = {\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{n}\right\rbrack }^{3 \sim n}\text{(血红色)}
$$

（2）与黄血盐 ${\mathrm{K}}_{4}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack$ 作用产生蓝色沉淀:

$$
{\mathrm{K}}^{ + } + {\mathrm{{Fe}}}^{3 + } + {\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - } = \mathrm{K}\left\lbrack {\mathrm{{FeFe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack \downarrow \text{(蓝色)}
$$

${\mathrm{{Co}}}^{2 + }$ 的鉴别:

加入饱和 KSCN 溶液及丙酮 (或乙醚), 在丙酮 (或乙醚) 层中产生蓝色:

$$
{\mathrm{{Co}}}^{2 + } + 4{\mathrm{{SCN}}}^{ - } = {\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }\text{(在丙酮或乙醚中形成稳定的蓝色)}
$$

若防止 ${\mathrm{{Fe}}}^{3 + }$ 千扰 ${\mathrm{{Co}}}^{2 + }$ 的鉴别,可加入 $\mathrm{{NaF}}$ 或 ${\mathrm{{NH}}}_{4}\mathrm{\;F}$ 掩蔽 ${\mathrm{{Fe}}}^{3 + }$ 。

${\mathrm{{Ni}}}^{2 + }$ 的鉴别:

向溶液中滴加丁二酮肟,生成鲜红色沉淀,表示有 ${\mathrm{{Ni}}}^{2 + }$ 存在。

若溶液中含有 ${\mathrm{{Fe}}}^{3 + }$ 及 ${\mathrm{{Co}}}^{2 + }$ ,则可用氨水调至碱性,有 $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$ 析出, ${\mathrm{{Co}}}^{2 + }$ 和 ${\mathrm{{Ni}}}^{2 + }$ 在氨

水过量时生成 ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$ 和 ${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$ ,离心分离除去沉淀; ${\mathrm{{Co}}}^{2 + }$ 不与丁二酮肟反应, 对实验无影响。
"
鉴别下列物质:${\mathrm{{NiSO}}}_{4}$ 和 ${\mathrm{{FeSO}}}_{4}$," 将样品溶于水, 向两种溶液中滴加 $\mathrm{{NaOH}}$ 溶液,生成灰绿色沉淀并逐渐变成红棕色的是 ${\mathrm{{FeSO}}}_{4}$ :

$$
{\mathrm{{Fe}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow
$$

$$
4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}
$$

生成绿色沉淀,且不变色的为 ${\mathrm{{NiSO}}}_{4}$ ,进一步确认可加入氨水,该沉淀溶于氨水:

$$
{\mathrm{{Ni}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow
$$

$$
\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} + 6{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$
"
鉴别下列物质: ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ 和 $\mathrm{{CuO}}$,"将样品溶于稀盐酸, 后向其中滴加氨水, 先生成浅蓝色沉淀, 后沉淀溶解生成蓝色溶液的是 $\mathrm{{CuO}}$ :

$$
\mathrm{{CuO}} + 2\mathrm{{HCl}} = {\mathrm{{CuCl}}}_{2} + {\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{{CuCl}}}_{2} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2{\mathrm{{NH}}}_{4}\mathrm{{Cl}}
$$

$$
\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2} + 4{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + 4{\mathrm{H}}_{2}\mathrm{O}
$$

加入氨水,生成红棕色沉淀的是 ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ ,且该沉淀不溶于过量氨水:

$$
{\mathrm{{Fe}}}^{3 + } + 3{\mathrm{{OH}}}^{ - } = \mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow
$$
"
"如何在不引入杂质的情况下,将粗 ${\mathrm{{ZnSO}}}_{4}$ 溶液中含有的 ${\mathrm{{Fe}}}^{3 + },{\mathrm{{Fe}}}^{2 + },{\mathrm{{Cu}}}^{2 + }$ 杂质除去?","首先,向溶液中加入 $\mathrm{{Zn}}$ 粉,将 ${\mathrm{{Cu}}}^{2 + }$ 还原为 $\mathrm{{Cu}}$ 过滤除去:

$$
\mathrm{{Zn}} + {\mathrm{{Cu}}}^{2 + } = {\mathrm{{Zn}}}^{2 + } + \mathrm{{Cu}}
$$

然后,向滤液中加入 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ ,将溶液中的 ${\mathrm{{Fe}}}^{2 + }$ 氧化为 ${\mathrm{{Fe}}}^{3 + }$ 。

$$
2{\mathrm{{Fe}}}^{2 + } + {\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{H}}^{ + } = 2{\mathrm{{Fe}}}^{3 + } + 2{\mathrm{H}}_{2}\mathrm{O}
$$

加入 $\mathrm{{ZnO}}$ 调节溶液的 $\mathrm{{pH}} = 4 \sim 5$ ,使 $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$ 沉淀完全,过滤除去。

最后,将滤液加热,将多余的 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 分解除去。"
,
"",
"",
"",
"",
