question,answer
完成并配平化学反应方程式:将四氧化三铁溶于氢碘酸。,${\mathrm{{Fe}}}_{3}{\mathrm{O}}_{4} + 8\mathrm{{HI}} = 3{\mathrm{{FeI}}}_{2} + {\mathrm{I}}_{2} + 4{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:硫酸亚铁受热分解。,$2{\mathrm{{FeSO}}}_{4}\xrightarrow[]{\Delta }{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} + {\mathrm{{SO}}}_{2} \uparrow + {\mathrm{{SO}}}_{3} \uparrow$
"完成并配平化学反应方程式:氢氧化亚铁沉淀置于空气中。
",$\mathrm{{4Fe}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$
"完成并配平化学反应方程式:铁与水蒸气在赤热的条件下反应。
",$\mathrm{{2Fe}} + 3{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 赤热 }}{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2} \uparrow$
"完成并配平化学反应方程式:向三氯化铁溶液中加入过量的碳酸钠。
","${\mathrm{{FeCl}}}_{3} + 3{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{NaHCO}}}_{3} + 3\mathrm{{NaCl}}$
"
"完成并配平化学反应方程式:草酸亚铁受热分解。
","${\mathrm{{FeC}}}_{2}{\mathrm{O}}_{4}\xrightarrow[]{\bigtriangleup }\mathrm{{FeO}} + \mathrm{{CO}} \uparrow + {\mathrm{{CO}}}_{2} \uparrow$
"
完成并配平化学反应方程式:向三氯化铁溶液中滴加碘化钾溶液。,$2{\mathrm{{FeCl}}}_{3} + 2\mathrm{{KI}} = 2{\mathrm{{FeCl}}}_{2} + {\mathrm{I}}_{2} + 2\mathrm{{KCl}}$
"完成并配平化学反应方程式:氯气通入混有氢氧化铁的氢氧化钾浓溶液。
",$2\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} + 3{\mathrm{{Cl}}}_{2} + {10}\mathrm{{KOH}} = 2{\mathrm{\;K}}_{2}{\mathrm{{FeO}}}_{4} + 6\mathrm{{KCl}} + 8{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向黄血盐溶液中通入氯气。,$2{\mathrm{K}}_{4}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack + {\mathrm{{Cl}}}_{2} = 2{\mathrm{\;K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack + 2\mathrm{{KCl}}$
完成并配平化学反应方程式:三草酸根合铁 (III) 酸钾光照分解。,$2{\mathrm{K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{3}}\right\rbrack \xrightarrow[]{{h}_{\nu }}2{\mathrm{{FeC}}}_{2}{\mathrm{O}}_{4} + 2{\mathrm{{CO}}}_{2} \uparrow + 3{\mathrm{\;K}}_{2}{\mathrm{C}}_{2}{\mathrm{O}}_{4}$
"完成并配平化学反应方程式:将四氧化三钴溶于盐酸。
","${\mathrm{{Co}}}_{3}{\mathrm{O}}_{4} + 8\mathrm{{HCl}} = 3{\mathrm{{CoCl}}}_{2} + {\mathrm{{Cl}}}_{2} \uparrow + 4{\mathrm{H}}_{2}\mathrm{O}$
"
"完成并配平化学反应方程式:氢氧化亚钴分别与盐酸和浓氢氧化钠溶液作用。
","$\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{2} + 2\mathrm{{HCl}} = {\mathrm{{CoCl}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$

$\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{2} + 2\mathrm{{NaOH}}$ (浓) $= {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack$"
完成并配平化学反应方程式:向 ${\mathrm{{CoCl}}}_{2}$ 和溴水的混合溶液中滴加 $\mathrm{{NaOH}}$ 溶液。,$2{\mathrm{{CoCl}}}_{2} + {\mathrm{{Br}}}_{2} + 6\mathrm{{NaOH}} = 2\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 4\mathrm{{NaCl}} + 2\mathrm{{NaBr}}$
