question,answer
叙述下列生产或制备过程。以黄铜矿 $\left( {\mathrm{{CuFeS}}}_{2}\right)$ 为原料提炼粗铜;,"将 ${\mathrm{{CuFeS}}}_{2}$ 进行焙烧:

$$
2{\mathrm{{CuFeS}}}_{2} + {\mathrm{O}}_{2}\xrightarrow[]{\text{ 焙烧 }}{\mathrm{{Cu}}}_{2}\mathrm{\;S} + 2\mathrm{{FeS}} + {\mathrm{{SO}}}_{2}
$$

$$
2\mathrm{{FeS}} + 3{\mathrm{O}}_{2}\xrightarrow[]{\text{ 焙烧 }}2\mathrm{{FeO}} + 2{\mathrm{{SO}}}_{2}
$$

将焙烧过的矿石与沙子 $\left( {\mathrm{{SiO}}}_{2}\right)$ 混合,在反射炉中加热,使 $\mathrm{{FeO}}$ 与 ${\mathrm{{SiO}}}_{2}$ 反应形成 ${\mathrm{{FeSiO}}}_{3}$ 熔渣：

$$
\mathrm{{FeO}} + {\mathrm{{SiO}}}_{2}\xrightarrow[]{\text{ 高温 }}{\mathrm{{FeSiO}}}_{3}
$$

${\mathrm{{FeSiO}}}_{3}$ 密度小浮在上层, ${\mathrm{{Cu}}}_{2}\mathrm{\;S}$ 和剩余的 $\mathrm{{FeS}}$ 熔融在一起形成较重的 “冰铜”,沉于下层。 将冰铜放入转炉熔炼, 鼓入大量的空气, 得到粗铜:

$$
2{\mathrm{{Cu}}}_{2}\mathrm{\;S} + 3{\mathrm{O}}_{2}\xrightarrow[]{\text{ 高温 }}2{\mathrm{{Cu}}}_{2}\mathrm{O} + 2{\mathrm{{SO}}}_{2}
$$

$$
2{\mathrm{{Cu}}}_{2}\mathrm{O} + {\mathrm{{Cu}}}_{2}\mathrm{\;S}\xrightarrow[]{\text{ 高温 }}6\mathrm{{Cu}} + {\mathrm{{SO}}}_{2} \uparrow
$$
"
叙述下列生产或制备过程。氰化法炼金;,"首先用氰化钠溶液浸取矿粉, 将金溶出:

$$
4\mathrm{{Au}} + 8\mathrm{{NaCN}} + 2{\mathrm{H}}_{2}\mathrm{O} + {\mathrm{O}}_{2} = 4\mathrm{{Na}}\left\lbrack {\mathrm{{Au}}{\left( \mathrm{{CN}}\right) }_{2}}\right\rbrack + 4\mathrm{{NaOH}}
$$

再用金属锌还原 ${\left\lbrack \mathrm{{Au}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - }$ 得到单质金:

$$
2{\left\lbrack \mathrm{{Au}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - } + \mathrm{{Zn}} = {\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - } + 2\mathrm{{Au}}
$$

或者电解 $\mathrm{{Na}}\left\lbrack {\mathrm{{Au}}{\left( \mathrm{{CN}}\right) }_{2}}\right\rbrack$ 溶液,在阴极上得到金:

阴极主要反应

$$
{\left\lbrack \mathrm{{Au}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - } + {\mathrm{e}}^{ - } = \mathrm{{Au}} + 2{\mathrm{{CN}}}^{ - }
$$

阳极主要反应

$$
{\mathrm{{CN}}}^{ - } + 2{\mathrm{{OH}}}^{ - } - 2{\mathrm{e}}^{ - } = {\mathrm{{CNO}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}
$$

$$
2{\mathrm{{CNO}}}^{ - } + 4{\mathrm{{OH}}}^{ - } - 6{\mathrm{e}}^{ - } = 2{\mathrm{{CO}}}_{2} + {\mathrm{N}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
叙述下列生产或制备过程。以含有杂质 $\mathrm{{CdS}}$ 的闪锌矿 $\left( \mathrm{{ZnS}}\right)$ 提炼金属 $\mathrm{{Zn}}$ ;,"焙烧经浮选的闪锌矿 (含 $\mathrm{{CdS}}$ ),使它转化为氧化锌 (含 $\mathrm{{CdO}}$ ):

$$
2\mathrm{{ZnS}} + 3{\mathrm{O}}_{2}\xrightarrow[]{\text{ 焙烧 }}2\mathrm{{ZnO}} + 2{\mathrm{{SO}}}_{2} \uparrow
$$

再把氧化锌和焦炭混合, 在鼓风炉中加热:

$$
2\mathrm{C} + {\mathrm{O}}_{2}\xrightarrow[]{\text{ 高温 }}2\mathrm{{CO}}
$$

$$
\mathrm{{ZnO}} + \mathrm{{CO}}\xrightarrow[]{\text{ 高温 }}\mathrm{{Zn}}\left( \mathrm{g}\right) + {\mathrm{{CO}}}_{2}
$$

将生成的锌 (含 $\mathrm{{Cd}}$ ) 蒸馏出来,得到粗锌。通过精馏除掉 $\mathrm{{Cd}}\left( \mathrm{g}\right)$ ,得到高纯度的锌。
"
叙述下列生产或制备过程。以辰砂（ $\mathrm{{HgS}}$ ）为原料制取高纯汞。,"方法一 将 $\mathrm{{HgS}}$ 在空气中灼烧可得单质 $\mathrm{{Hg}}$ :

$$
\mathrm{{HgS}} + {\mathrm{O}}_{2}\xrightarrow[]{\text{ 灼烧 }}\mathrm{{Hg}} + {\mathrm{{SO}}}_{2}
$$

方法二 将 $\mathrm{{HgS}}$ 溶于碱性硫化物 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 中得 ${\mathrm{{Na}}}_{2}\left\lbrack {{\mathrm{{HgS}}}_{2}\text{ }}\right\rbrack$ ,经电解得到金属汞。
"
请将下列合成用化学反应方程式表示出来。由 ${\mathrm{{CuSO}}}_{4}$ 合成 $\mathrm{{CuBr}}$ ;,${\mathrm{{CuSO}}}_{4} + \mathrm{{Cu}} + 2\mathrm{{KBr}}\xrightarrow[]{\bigtriangleup }2\mathrm{{CuBr}} \downarrow + {\mathrm{K}}_{2}{\mathrm{{SO}}}_{4}$
请将下列合成用化学反应方程式表示出来。由 $\mathrm{{ZnS}}$ 合成无水 ${\mathrm{{ZnCl}}}_{2}$ ;," $\mathrm{{ZnS}} + 2\mathrm{{HCl}} + n{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{ZnCl}}}_{2} \cdot n{\mathrm{H}}_{2}\mathrm{O} + {\mathrm{H}}_{2}\mathrm{\;S} \uparrow$

$$
{\mathrm{{ZnCl}}}_{2} \cdot n{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[\bigtriangleup ]{\mathrm{{HCl}}\left( \mathrm{g}\right) }{\mathrm{{ZnCl}}}_{2} + n{\mathrm{H}}_{2}\mathrm{O}
$$
"
请将下列合成用化学反应方程式表示出来。由 $\mathrm{{Hg}}$ 制备 ${\mathrm{K}}_{2}\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack$ ," $3\mathrm{{Hg}} + 8{\mathrm{{HNO}}}_{3} = 3\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 2\mathrm{{NO}} \uparrow + 4{\mathrm{H}}_{2}\mathrm{O}$

$\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 4\mathrm{{KI}} = {\mathrm{K}}_{2}\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack + 2{\mathrm{{KNO}}}_{3}$"
请将下列合成用化学反应方程式表示出来。由 ${\mathrm{{ZnCO}}}_{3}$ 提取 $\mathrm{{Zn}}$ ," ${\mathrm{{ZnCO}}}_{3} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} = {\mathrm{{ZnSO}}}_{4} + {\mathrm{{CO}}}_{2} \uparrow + {\mathrm{H}}_{2}\mathrm{O}$

$2{\mathrm{{ZnSO}}}_{4} + 2{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 电解 }}2\mathrm{{Zn}} + {\mathrm{O}}_{2} \uparrow + 2{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$"
请将下列合成用化学反应方程式表示出来。以金属 $\mathrm{{Ag}}$ 为主要原料制取硝酸银、氯化银、碘化银和硫化银;," $3\mathrm{{Ag}} + 4{\mathrm{{HNO}}}_{3} = 3{\mathrm{{AgNO}}}_{3} + \mathrm{{NO}} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{{Ag}}}^{ + } + {\mathrm{{Cl}}}^{ - } = \mathrm{{AgCl}} \downarrow$

${\mathrm{{Ag}}}^{ + } + {\mathrm{I}}^{ - } = \mathrm{{AgI}} \downarrow$

$2{\mathrm{{Ag}}}^{ + } + {\mathrm{S}}^{2 - } = {\mathrm{{Ag}}}_{2}\mathrm{\;S} \downarrow$"
请将下列合成用化学反应方程式表示出来。以金属 $\mathrm{{Zn}}$ 为主要原料制取硝酸锌、氯化锌和硫化锌;," $\mathrm{{Zn}} + 2\mathrm{{NaOH}} + 2{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack + {\mathrm{H}}_{2} \uparrow$

${\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack + 2{\mathrm{{CO}}}_{2} = {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + {\mathrm{{ZnCO}}}_{3} \downarrow + 2{\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{{ZnCO}}}_{3} + 2{\mathrm{{HNO}}}_{3} = \mathrm{{Zn}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + {\mathrm{{CO}}}_{2} \uparrow + {\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{{ZnCO}}}_{3} + 2\mathrm{{HCl}} = {\mathrm{{ZnCl}}}_{2} + {\mathrm{{CO}}}_{2} \uparrow + {\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{{Zn}}}^{2 + } + {\mathrm{S}}^{2 - } = \mathrm{{ZnS}} \downarrow$"
