question,answer
"通过计算说明 ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 能否氧化浓度分别为 $1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 和 ${12}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸中的 ${\mathrm{{Cl}}}^{ - }$ 。已知 ${E}^{ \ominus }\left( {{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }/{\mathrm{{Cr}}}^{3 + }}\right) = {1.36}\mathrm{\;V},{E}^{ \ominus }\left( {{\mathrm{{Cl}}}_{2}/{\mathrm{{Cl}}}^{ - }}\right) = {1.36}\mathrm{\;V}$ 。
","盐酸浓度为 $1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 时 (标准状态下):

$$
{E}^{ \ominus }\left( {{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }/{\mathrm{{Cr}}}^{3 + }}\right) = {E}^{ \ominus }\left( {{\mathrm{{Cl}}}_{2}/{\mathrm{{Cl}}}^{ - }}\right)
$$

考虑由 ${\mathrm{{Cl}}}^{ - }$ 生成 ${\mathrm{{Cl}}}_{2}$ 时存在超电势,所以 ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 不能氧化 $1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸中的 ${\mathrm{{Cl}}}^{ - }$ 。

盐酸浓度为 ${12}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 时, $c\left( {\mathrm{H}}^{ + }\right) = c\left( {\mathrm{{Cl}}}^{ - }\right) \approx {12}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。由电极反应

$$
{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + {14}{\mathrm{H}}^{ + } + 6{\mathrm{e}}^{ - } = 2{\mathrm{{Cr}}}^{3 + } + 7{\mathrm{H}}_{2}\mathrm{O}
$$

则 ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }/{\mathrm{{Cr}}}^{3 + }$ 电对的电极电势 (设 ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }$ 和 ${\mathrm{{Cr}}}^{3 + }$ 的浓度符合标准状态):

$$
E = {E}^{ \ominus } + \frac{{0.059}\mathrm{\;V}}{6}\lg \frac{c{\left( {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }\right) }^{14}{\left\lbrack c\left( {\mathrm{H}}^{ + }\right) \right\rbrack }^{14}}{c\left( {\mathrm{{Cr}}}^{3 + }\right) }
$$

$$
= {E}^{ \ominus } + \frac{{0.059}\mathrm{\;V}}{6}\lg {\left\lbrack c\left( {\mathrm{H}}^{ + }\right) \right\rbrack }^{14} = {1.36}\mathrm{\;V} + \frac{{0.059}\mathrm{\;V}}{6}\lg {\left( {12}\right) }^{14}
$$

$$
= {1.51}\mathrm{\;V}
$$

由电极反应

$$
{\mathrm{{Cl}}}_{2} + 2{\mathrm{e}}^{ - } = 2{\mathrm{{Cl}}}^{ - }
$$

则 ${\mathrm{{Cl}}}_{2}/{\mathrm{{Cl}}}^{ - }$ 电对的电极电势 (设 ${\mathrm{{Cl}}}_{2}$ 的分压符合标准状态):

$$
E = {E}^{ \ominus } + \frac{{0.059}\mathrm{\;V}}{2}\lg \frac{p\left( {\mathrm{{Cl}}}_{2}\right) /{p}^{ \ominus }}{{\left\lbrack c\left( {\mathrm{{Cl}}}^{ - }\right) /{c}^{ \ominus }\right\rbrack }^{2}}
$$

$$
= {E}^{ \ominus } + \frac{{0.059}\mathrm{\;V}}{2}\lg \frac{1}{{\left\lbrack c\left( {\mathrm{{Cl}}}^{ - }\right) \right\rbrack }^{2}} = {1.36}\mathrm{\;V} + \frac{{0.059}\mathrm{\;V}}{2}\lg \frac{1}{{12}^{2}}
$$

$$
= {1.30}\mathrm{\;V}
$$

计算结果表明, ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 能氧化浓盐酸中的 ${\mathrm{{Cl}}}^{ - }$ :

$$
{\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + {14}\mathrm{{HCl}}\text{ (浓) } = 2{\mathrm{{CrCl}}}_{3} + 3{\mathrm{{Cl}}}_{2} \uparrow + 2\mathrm{{KCl}} + 7{\mathrm{H}}_{2}\mathrm{O}
$$
"
为什么用 $\mathrm{{Cr}}\left( \text{II}\right)$ 可以除去氮气中痕量的氧气?," $\mathrm{{Cr}}\left( \text{II}\right)$ 具有强还原性,据此可以用来从氮气中除去痕量的氧:

$$
4{\mathrm{{Cr}}}^{2 + } + {\mathrm{O}}_{2} + 4{\mathrm{H}}^{ + } = 4{\mathrm{{Cr}}}^{3 + } + 2{\mathrm{H}}_{2}\mathrm{O}
$$

将气体通过 $\mathrm{{Cr}}\left( \text{ II }\right)$ 溶液, $\mathrm{{Cr}}\left( \text{ II }\right)$ 迅速被氮气中痕量的氧气所氧化,杂质氧气因而被除去。

一般来说,凡是有强还原性且与 ${\mathrm{O}}_{2}$ 反应较快的还原剂都可用来除去氮气中痕量的氧气, 如保险粉 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{4}$ 等。
"
"在三份 ${\mathrm{{Cr}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3}$ 溶液中分别加入下列溶液:

(1) ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ ; (2) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (3) ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 。

得到的沉淀各是什么? 写出化学反应方程式。
","${\mathrm{{Cr}}}^{3 + }$ 正电荷数高,半径也比较小,极化能力强,在 ${\mathrm{{Na}}}_{2}\mathrm{\;S},{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 和 ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 溶液中均生成氢氧化物沉淀。

(1) ${\mathrm{{Cr}}}^{3 + } + 3{\mathrm{\;S}}^{2 - } + 3{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{HS}}}^{ - }$

$2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{\;S}}^{2 - } + 6{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{H}}_{2}\mathrm{\;S} \uparrow$

${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液过量时生成 ${\mathrm{{HS}}}^{ - },{\mathrm{{Cr}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3}$ 溶液过量时生成 ${\mathrm{H}}_{2}\mathrm{\;S}$ 。 ${\mathrm{H}}_{2}\mathrm{\;S}$ 溶解度为 ${0.1}\mathrm{\;{mol}}$ . ${\mathrm{{dm}}}^{-3}$ ,浓度较低时不能从溶液中逸出。

(2) ${\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{CO}}}_{3}^{2 - } + 3{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{HCO}}}_{3}^{ - }$

$2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{CO}}}_{3}^{2 - } + 3{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{CO}}}_{2} \uparrow$

${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液过量时生成 ${\mathrm{{HCO}}}_{3}^{ - },{\mathrm{{Cr}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3}$ 溶液过量时生成 ${\mathrm{{CO}}}_{2}$ 。 ${\mathrm{{CO}}}_{2}$ 溶解度为 ${0.04}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,浓度较高时从溶液中逸出。

(3) ${\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{NH}}}_{4}^{ + }$

由于 $\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3}$ 溶度积常数很小而 ${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$ 稳定常数不是很大,在过量 ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ 中 $\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3}$ 溶解度不大。
"
"测定水中溶氧量的方法是,在隔绝空气的条件下向一定量的水样中加入适量的 ${\mathrm{{MnCl}}}_{2}$ 及过量的 $\mathrm{{NaOH}}$ 溶液。然后以过量的 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 酸化该溶液,再加入过量的 $\mathrm{{KI}}$ 溶液。充分反应后用已知浓度的标准 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液滴定生成的 ${\mathrm{I}}_{2}$ 。

写出有关化学反应方程式,并给出 ${\mathrm{O}}_{2}$ 和消耗 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 的物质的量之比。","在碱性溶液中,水中溶解的氧气能将 ${\mathrm{{Mn}}}^{2 + }$ 氧化成 $\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}$ 或 ${\mathrm{{MnO}}}_{2}$ :

$$
{\mathrm{{Mn}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow
$$

$$
2\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} = 2\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}
$$

在酸性溶液中, $\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}$ 能将 ${\mathrm{I}}^{ - }$ 氧化成 ${\mathrm{I}}_{2}$ :

$$
\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2} + 2{\mathrm{I}}^{ - } + 4{\mathrm{H}}^{ + } = {\mathrm{{Mn}}}^{2 + } + {\mathrm{I}}_{2} + 3{\mathrm{H}}_{2}\mathrm{O}
$$

通过消耗 ${\mathrm{S}}_{2}{\mathrm{O}}_{3}^{2 - }$ 的量可间接地测定水中溶氧量:

$$
{\mathrm{I}}_{2} + 2{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}^{2 - } = {\mathrm{S}}_{4}{\mathrm{O}}_{6}^{2 - } + 2{\mathrm{I}}^{ - }
$$

根据上述反应式得各物质的计量关系:

$$
{\mathrm{O}}_{2} \sim 2\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2} \sim 2{\mathrm{I}}_{2} \sim 4{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}^{2 - }
$$

从而有 ${\mathrm{O}}_{2}$ 和 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 的定量关系为 ${\mathrm{O}}_{2} : {\mathrm{S}}_{2}{\mathrm{O}}_{3}^{2 - } = 1 : 4$ 。
"
"根据下列实验现象, 给出化学反应方程式。在酸性介质中,用 $\mathrm{{Zn}}$ 还原 ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - }$ 时,溶液由橙色经绿色最后变为蓝色,放置一段时间后又变为绿色。"," ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 3\mathrm{{Zn}} + {14}{\mathrm{H}}^{ + } = 2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{Zn}}}^{2 + } + 7{\mathrm{H}}_{2}\mathrm{O}$

$2{\mathrm{{Cr}}}^{3 + } + \mathrm{{Zn}} = 2{\mathrm{{Cr}}}^{2 + } + {\mathrm{{Zn}}}^{2 + }$

$4{\mathrm{{Cr}}}^{2 + } + {\mathrm{O}}_{2} + 4{\mathrm{H}}^{ + } = 4{\mathrm{{Cr}}}^{3 + } + 2{\mathrm{H}}_{2}\mathrm{O}$
"
"根据下列实验现象, 给出化学反应方程式。向酸性 ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 溶液中通入 ${\mathrm{{SO}}}_{2}$ 气体时,溶液由橙色变为绿色。", ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 3{\mathrm{{SO}}}_{2} + 2{\mathrm{H}}^{ + } = 2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{SO}}}_{4}^{2 - } + {\mathrm{H}}_{2}\mathrm{O}$
"根据下列实验现象, 给出化学反应方程式。向 ${\mathrm{{MnSO}}}_{4}$ 溶液中滴加 $\mathrm{{NaOH}}$ 溶液有白色沉淀生成,在空气中放置沉淀逐渐变为棕褐色。"," ${\mathrm{{Mn}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow$

$2\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} = 2\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}$"
"根据下列实验现象, 给出化学反应方程式。向酸性 ${\mathrm{{KMnO}}}_{4}$ 溶液中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,溶液由紫色变成近无色,并有乳白色沉淀析出。", $2{\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{H}}_{2}\mathrm{\;S} + 6{\mathrm{H}}^{ + } = 2{\mathrm{{Mn}}}^{2 + } + 5\mathrm{\;S} \downarrow + 8{\mathrm{H}}_{2}\mathrm{O}$
"解释实验现象。
向 ${\mathrm{{BaCrO}}}_{4}$ 固体加浓盐酸时无明显变化,经加热后溶液变绿。","${\mathrm{{BaCrO}}}_{4}$ 与浓盐酸反应较慢; 加热时反应速率较快,同时 $\mathrm{{Cr}}\left( \mathrm{{VI}}\right)$ 氧化能力增强。反应

产物 ${\mathrm{{CrCl}}}_{3}$ 为绿色:

$$
2{\mathrm{{BaCrO}}}_{4} + 2{\mathrm{H}}^{ + } = {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 2{\mathrm{{Ba}}}^{2 + } + {\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 6{\mathrm{{Cl}}}^{ - } + {14}{\mathrm{H}}^{ + } = 2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{Cl}}}_{2} \uparrow + 7{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。
向 ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 溶液中滴加 ${\mathrm{{AgNO}}}_{3}$ 溶液,有砖红色沉淀析出,再加入 $\mathrm{{NaCl}}$ 溶液并煮沸, 沉淀变为白色。"," ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 与 ${\mathrm{{AgNO}}}_{3}$ 生成溶解度较小的 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ (砖红色),加入 $\mathrm{{NaCl}}$ 后沉淀转化为溶解度更小的 $\mathrm{{AgCl}}$ :

$$
{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 4{\mathrm{{Ag}}}^{ + } + {\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4} \downarrow + 2{\mathrm{H}}^{ + }
$$

$$
{\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4} + 2{\mathrm{{Cl}}}^{ - } = 2\mathrm{{AgCl}} \downarrow + {\mathrm{{CrO}}}_{4}^{2 - }
$$
"
