question,answer
"用化学反应方程式表示下列反应过程, 并给出实验现象。用过量 ${\mathrm{{HClO}}}_{3}$ 溶液处理 ${\mathrm{I}}_{2}$ ;"," $2{\mathrm{{HClO}}}_{3} + {\mathrm{I}}_{2} = 2{\mathrm{{HIO}}}_{3} + {\mathrm{{Cl}}}_{2} \uparrow$

紫黑色的碘消失, 并有气体放出。"
"用化学反应方程式表示下列反应过程, 并给出实验现象。氯水滴入 $\mathrm{{KBr}}$ 和 $\mathrm{{KI}}$ 混合溶液中;","${\mathrm{{Cl}}}_{2} + 3{\mathrm{I}}^{ - } = {\mathrm{I}}_{3}^{ - } + 2{\mathrm{{Cl}}}^{ - }$

溶液先变成黄色或橙色。

$5{\mathrm{{Cl}}}_{2} + {\mathrm{I}}_{2} + 6{\mathrm{H}}_{2}\mathrm{O} = {10}{\mathrm{{Cl}}}^{ - } + 2{\mathrm{{IO}}}_{3}^{ - } + {12}{\mathrm{H}}^{ + }$

然后变成无色。

${\mathrm{{Cl}}}_{2} + 2{\mathrm{{Br}}}^{ - } = 2{\mathrm{{Cl}}}^{ - } + {\mathrm{{Br}}}_{2}$

最后溶液又变成黄色或橙色。"
"用化学反应方程式表示下列反应过程, 并给出实验现象。向 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 溶液中加入 ${\mathrm{{HIO}}}_{3}$ 溶液;"," ${\mathrm{{IO}}}_{3}^{ - } + 3{\mathrm{{SO}}}_{3}^{2 - } = {\mathrm{I}}^{ - } + 3{\mathrm{{SO}}}_{4}^{2 - }$

$2{\mathrm{{IO}}}_{3}^{ - } + 5{\mathrm{{SO}}}_{3}^{2 - } + {\mathrm{I}}^{ - } + 2{\mathrm{H}}^{ + } = {\mathrm{I}}_{3}^{ - } + 5{\mathrm{{SO}}}_{4}^{2 - } + {\mathrm{H}}_{2}\mathrm{O}$

开始时 ${\mathrm{{SO}}}_{3}^{2 - }$ 过量,生成 ${\mathrm{I}}^{ - }$ ,溶液无色; ${\mathrm{{SO}}}_{3}^{2 - }$ 耗尽后生成 ${\mathrm{I}}_{3}^{ - }$ ,溶液变黄。

${\mathrm{{IO}}}_{3}^{ - } + 5{\mathrm{I}}_{3}^{ - } + 6{\mathrm{H}}^{ + } = 8{\mathrm{I}}_{2} \downarrow + 3{\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{I}}^{ - }$ 耗尽后,析出灰黑色 ${\mathrm{I}}_{2}$ 沉淀。"
"用化学反应方程式表示下列反应过程, 并给出实验现象。向酸性的 ${\mathrm{{KIO}}}_{3}$ 和淀粉混合溶液中滴加少量 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 溶液;","$2{\mathrm{{IO}}}_{3}^{ - } + 5{\mathrm{{SO}}}_{3}^{2 - } + 2{\mathrm{H}}^{ + } = {\mathrm{I}}_{2} + 5{\mathrm{{SO}}}_{4}^{2 - } + {\mathrm{H}}_{2}\mathrm{O}$

溶液变蓝。"
"用化学反应方程式表示下列反应过程, 并给出实验现象。将次氯酸钠溶液滴入硝酸铅溶液中。"," ${\mathrm{{Pb}}}^{2 + } + {\mathrm{{ClO}}}^{ - } + 2{\mathrm{{OH}}}^{ - } = {\mathrm{{PbO}}}_{2} \downarrow + {\mathrm{{Cl}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}$

有黑色沉淀析出。"
"解释实验现象。向 KI 溶液中滴加少量 KClO 溶液, 溶液变黄。但向 KClO 溶液中滴加入少量 KI 溶液, 溶液不变黄。
","前者 $\mathrm{{KI}}$ 过量,生成的 ${\mathrm{I}}_{3}^{ - }$ 不再反应,溶液显黄色; 后者 $\mathrm{{KClO}}$ 过量,生成的 ${\mathrm{I}}_{2}$ 进一步被氧化为 ${\mathrm{{IO}}}_{3}^{ - }$ ,溶液为无色。"
"解释实验现象。向 ${\mathrm{{KClO}}}_{3}$ 溶液中加入少量浓盐酸,溶液不变黄; 向浓盐酸中加入 ${\mathrm{{KClO}}}_{3}$ 晶体,则溶液变黄。","前者 ${\mathrm{H}}^{ + }$ 浓度低, ${\mathrm{{KClO}}}_{3}$ 与 $\mathrm{{HCl}}$ 不反应; 后者 ${\mathrm{H}}^{ + }$ 浓度高, ${\mathrm{{KClO}}}_{3}$ 与 $\mathrm{{HCl}}$ 反应生成 ${\mathrm{{ClO}}}_{2}$ (黄绿色,部分溶于水后溶液呈黄色):

$$
8{\mathrm{{KClO}}}_{3} + {24}\mathrm{{HCl}} = 9{\mathrm{{Cl}}}_{2} \uparrow + 8\mathrm{{KCl}} + 6{\mathrm{{ClO}}}_{2} \uparrow + {12}{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。向 ${\mathrm{{FeSO}}}_{4}$ 溶液中加入碘水,碘水不褪色; 再加入 ${\mathrm{{NH}}}_{4}\mathrm{\;F}$ 溶液,则碘水褪色。","${E}^{ \ominus }\left( {{\mathrm{{Fe}}}^{3 + }/{\mathrm{{Fe}}}^{2 + }}\right) = {0.771}\mathrm{\;V},{E}^{ \ominus }\left( {{\mathrm{I}}_{2}/{\mathrm{I}}^{ - }}\right) = {0.535}\mathrm{\;V}$ 。由于 ${E}^{ \ominus }\left( {{\mathrm{I}}_{2}/{\mathrm{I}}^{ - }}\right) < {E}^{ \ominus }\left( {{\mathrm{{Fe}}}^{3 + }/}\right.$ ${\mathrm{{Fe}}}^{2 + }$ ),碘水不能氧化 ${\mathrm{{Fe}}}^{2 + }$ 。因而向 ${\mathrm{{FeSO}}}_{4}$ 溶液中加入碘水时,碘水不褪色。加入 ${\mathrm{{NH}}}_{4}\mathrm{\;F}$ 溶液后, ${\mathrm{F}}^{ - }$ 与 ${\mathrm{{Fe}}}^{3 + }$ 生成稳定的配位化合物使 ${\mathrm{{Fe}}}^{2 + }$ 的还原性增强,碘水褪色:

$$
{\mathrm{I}}_{2} + 2{\mathrm{{Fe}}}^{2 + } + {12}{\mathrm{\;F}}^{ - } = 2{\mathrm{I}}^{ - } + 2{\left\lbrack {\mathrm{{FeF}}}_{6}\right\rbrack }^{3 - }
$$
"
"解释实验现象。 $\mathrm{{NaClO}}$ 溶液能够氧化 ${\mathrm{I}}^{ - }$ ,而 ${\mathrm{{NaClO}}}_{3}$ 溶液却不能。"," $\mathrm{{NaClO}}$ 的氧化性强于 ${\mathrm{{NaClO}}}_{3}$ 。 ${\mathrm{{NaClO}}}_{3}$ 的氧化性依赖于介质,有酸存在时, ${\mathrm{{NaClO}}}_{3}$ 才具有氧化性。没有 ${\mathrm{H}}^{ + },{\mathrm{{ClO}}}_{3}^{ - }$ 不能氧化 ${\mathrm{I}}^{ - }$ 。 ${\mathrm{{ClO}}}^{ - }$ 氧化 ${\mathrm{I}}^{ - }$ 的反应为

$$
{\mathrm{{ClO}}}^{ - } + 2{\mathrm{I}}^{ - } + {\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Cl}}}^{ - } + {\mathrm{I}}_{2} + 2{\mathrm{{OH}}}^{ - }
$$
"
"解释实验现象。浓 ${\mathrm{{HClO}}}_{4}$ 溶液能够氧化 ${\mathrm{I}}_{2}$ ,而稀 ${\mathrm{{HClO}}}_{4}$ 溶液却不能氧化 ${\mathrm{I}}_{2}$ 。","在浓溶液中, ${\mathrm{{HClO}}}_{4}$ 以分子形式存在,只有一个氧原子与质子结合,形成对称性较低的分子,同时 ${\mathrm{H}}^{ + }$ 的反极化作用使高氯酸分子不稳定。所以浓 ${\mathrm{{HClO}}}_{4}$ 溶液有较强的氧化性,能够氧化 ${\mathrm{I}}_{2}$ :

$$
2{\mathrm{{HClO}}}_{4}\text{ (浓) } + {\mathrm{I}}_{2} + 4{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{H}}_{5}{\mathrm{{IO}}}_{6} + {\mathrm{{Cl}}}_{2} \uparrow
$$

稀溶液中, ${\mathrm{{HClO}}}_{4}$ 完全解离, ${\mathrm{{ClO}}}_{4}^{ - }$ 为正四面体结构,对称性高,且不受 ${\mathrm{H}}^{ + }$ 的反极化作用的影响,比较稳定,所以氧化能力弱。稀 ${\mathrm{{HClO}}}_{4}$ 溶液中的 $\mathrm{{Cl}}\left( \mathrm{{VII}}\right)$ 甚至不能被活泼金属 $\mathrm{{Zn}}$ 还原,只能置换出 ${\mathrm{H}}_{2}$ :

$$
\mathrm{{Zn}} + 2{\mathrm{{HClO}}}_{4}\text{ (稀) } = \mathrm{{Zn}}{\left( {\mathrm{{ClO}}}_{4}\right) }_{2} + {\mathrm{H}}_{2} \uparrow
$$
"
