question,answer
"对于稀有气体化合物的研究, 为什么多集中于元素氙?","稀有气体的第一电离能 $\left\lbrack {{I}_{1}/\left( {\mathrm{{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right) }\right\rbrack$ 分别为: $\mathrm{{He}}{2372.3},\mathrm{{Ne}}{2080.7},\mathrm{{Ar}}{1520.6}$ , $\mathrm{{Kr}}{1350.7},\mathrm{{Xe}}{1170.3},\mathrm{{Rn}}{1037.1}$ 。由于 $\mathrm{{He}},\mathrm{{Ne}},\mathrm{{Ar}}$ 的电离能大,其化合物极难制得; 而且所得化合物稳定性差,必须在低温下保存。 $\mathrm{{Rn}}$ 放射性强,半衰期很短。所以,对 $\mathrm{{Xe}}$ 以外的化合物研究得较少。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。 ${\mathrm{{XeF}}}_{2}$"," ${\mathrm{{XeF}}}_{2}\;{\mathrm{{XeF}}}_{2}$ 分子中共 5 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}\mathrm{\;d}$ 杂化,电子对构型为三角双锥形。 三对孤电子对占据在两个三角锥共同的底面三角形的三个顶角上, ${\mathrm{{XeF}}}_{2}$ 分子构型为直线形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeF}}}_{4}$"," ${\mathrm{{XeF}}}_{4}\;{\mathrm{{XeF}}}_{4}$ 分子中有 6 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}{\mathrm{\;d}}^{2}$ 杂化,电子对构型为正八面体形。 两对孤电子对占据两个相对的顶点, ${\mathrm{{XeF}}}_{4}$ 分子构型为正方形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeF}}}_{6}$"," ${\mathrm{{XeF}}}_{6}\;{\mathrm{{XeF}}}_{6}$ 的结构很难用价层电子对互斥理论预测。 ${\mathrm{{XeF}}}_{6}$ 中 $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}{\mathrm{\;d}}^{3}$ 杂化, 6 个 F 原子位于八面体的 6 个顶点, 而一对孤电子对伸向一个棱的中点。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeO}}}_{3}$","${\mathrm{{XeO}}}_{3}\;{\mathrm{{XeO}}}_{3}$ 分子中有 4 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}$ 杂化,电子对构型为正四面体形。 一对孤电子对占据一个四面体的顶点, ${\mathrm{{XeO}}}_{3}$ 分子构型为三角锥形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeO}}}_{4}$"," ${\mathrm{{XeO}}}_{4}\;{\mathrm{{XeO}}}_{4}$ 分子中有 4 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}$ 杂化,电子对构型为正四面体形。 4 对电子对,4 个配体, ${\mathrm{{XeO}}}_{4}$ 分子构型为正四面体形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeOF}}}_{4}$"," ${\mathrm{{XeOF}}}_{4}\;{\mathrm{{XeOF}}}_{4}$ 分子中有 6 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}{\mathrm{\;d}}^{2}$ 杂化,电子对构型为正八面体形。一对孤电子对占据一个八面体的顶点, ${\mathrm{{XeOF}}}_{4}$ 分子构型为四角锥形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。 ${\mathrm{{XeOF}}}_{2}$","${\mathrm{{XeOF}}}_{2}\;{\mathrm{{XeOF}}}_{2}$ 分子中有 5 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}\mathrm{\;d}$ 杂化,电子对构型为三角双锥形。两对孤电子对占据三角双锥形的底面, ${\mathrm{{XeOF}}}_{2}$ 分子构型为 $\mathrm{T}$ 形。"
"根据价层电子对互斥理论,讨论下列分子的空间构型,并根据杂化轨道理论讨论其中 $\mathrm{{Xe}}$

的轨道杂化方式。${\mathrm{{XeO}}}_{3}{\mathrm{\;F}}_{2}$"," ${\mathrm{{XeO}}}_{3}{\mathrm{\;F}}_{2}\;{\mathrm{{XeO}}}_{3}{\mathrm{\;F}}_{2}$ 分子中有 5 对电子对, $\mathrm{{Xe}}$ 采取 ${\mathrm{{sp}}}^{3}\mathrm{\;d}$ 杂化,电子对构型为三角双锥形。 5 对电子对,5 个配体, ${\mathrm{{XeO}}}_{3}{\mathrm{\;F}}_{2}$ 分子构型为三角双锥形。"
"比较 ${\mathrm{{XeF}}}_{2},{\mathrm{{XeF}}}_{4},{\mathrm{{XeF}}}_{6}$ 氧化性的强弱,并写出它们与水反应的化学方程式。","根据中心原子的氧化数高低可以判断同类型的化合物的氧化性强弱。中心原子氧化数越高,吸电子能力越强,其氧化性越强。由此可以得出氧化性: ${\mathrm{{XeF}}}_{6} > {\mathrm{{XeF}}}_{4} > {\mathrm{{XeF}}}_{2}$ 。 ${\mathrm{{XeF}}}_{2},{\mathrm{{XeF}}}_{4},{\mathrm{{XeF}}}_{6}$ 与水反应的化学方程式为

$$
2{\mathrm{{XeF}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Xe}} \uparrow + {\mathrm{O}}_{2} \uparrow + 4\mathrm{{HF}}
$$

$$
6{\mathrm{{XeF}}}_{4} + {12}{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{Xe}} \uparrow + 2{\mathrm{{XeO}}}_{3} + 3{\mathrm{O}}_{2} \uparrow + {24}\mathrm{{HF}}
$$

$$
{\mathrm{{XeF}}}_{6} + {\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 不完全水解 }}{\mathrm{{XeOF}}}_{4} + 2\mathrm{{HF}}
$$

$$
{\mathrm{{XeF}}}_{6} + 3{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\text{ 完全水解 }}{\mathrm{{XeO}}}_{3} + 6\mathrm{{HF}}
$$
"
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
