question,answer
完成并配平化学反应方程式:过氧化钠与冷的稀硫酸作用。,${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} + {10}{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} \cdot {10}{\mathrm{H}}_{2}\mathrm{O} + {\mathrm{H}}_{2}{\mathrm{O}}_{2}$
完成并配平化学反应方程式: 过氧化氢与氢碘酸反应。,"${\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{I}}^{ - } + 2{\mathrm{H}}^{ + } = {\mathrm{I}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:电解硫酸氢铵溶液。,$2{\mathrm{{NH}}}_{4}{\mathrm{{HSO}}}_{4}\xrightarrow[]{\text{ 电解 }}{\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8} + {\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:高温下三氧化硫与碘化钾反应。,"${\mathrm{{SO}}}_{3} + 2\mathrm{{KI}}\xrightarrow[]{\text{ 高温 }}{\mathrm{K}}_{2}{\mathrm{{SO}}}_{3} + {\mathrm{I}}_{2}$
"
完成并配平化学反应方程式:亚硫酸与硫化氢作用。,${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3} + 2{\mathrm{H}}_{2}\mathrm{\;S} = 3\mathrm{\;S} \downarrow + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:三氧化二铝与焦硫酸钾共熔。,${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{\;K}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{7}\xrightarrow[]{\text{ 共熔 }}{\mathrm{{Al}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} + 3{\mathrm{\;K}}_{2}{\mathrm{{SO}}}_{4}$
"完成并配平化学反应方程式:无氧条件下锌粉还原亚硫酸氢钠和亚硫酸的混合溶液。
",$2{\mathrm{{NaHSO}}}_{3} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{3} + \mathrm{{Zn}} = {\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{4} + {\mathrm{{ZnSO}}}_{3} + 2{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:硫化汞溶于硫化钠溶液。,$\mathrm{{HgS}} + {\mathrm{{Na}}}_{2}\mathrm{\;S} = {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{HgS}}}_{2}\right\rbrack$
完成并配平化学反应方程式: 硫酸亚铁受热分解。,$2{\mathrm{{FeSO}}}_{4}\xrightarrow[]{\Delta }{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} + {\mathrm{{SO}}}_{3} \uparrow + {\mathrm{{SO}}}_{2} \uparrow$
完成并配平化学反应方程式:氧化铁与焦硫酸钾共熔。,"${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{\;K}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{7}\xrightarrow[]{\text{ 共熔 }}{\mathrm{{Fe}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} + 3{\mathrm{\;K}}_{2}{\mathrm{{SO}}}_{4}$
"
