question,answer
"解释实验现象。少量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液和 ${\mathrm{{AgNO}}}_{3}$ 溶液反应生成白色沉淀,沉淀逐渐变黄至棕色,最后变成黑色。白色沉淀溶于过量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液,而黑色沉淀不溶于过量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液。
","少量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液和 ${\mathrm{{AgNO}}}_{3}$ 溶液反应生成白色的难溶盐 ${\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ :

$$
2{\mathrm{{Ag}}}^{ + } + {\mathrm{S}}_{2}{\mathrm{O}}_{3}^{2 - } = {\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3} \downarrow
$$

${\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 不稳定,逐渐分解,转化为黑色的 ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ 沉淀:

$$
{\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3} + {\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Ag}}}_{2}\mathrm{\;S} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}
$$

${\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶于过量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液生成无色的配位化合物,但 ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ 溶度积常数很小,不溶于过量 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ 溶液:

$$
{\mathrm{{Ag}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}^{2 - } = 2{\left\lbrack \mathrm{{Ag}}{\left( {\mathrm{S}}_{2}{\mathrm{O}}_{3}\right) }_{2}\right\rbrack }^{3 - }
$$
"
"解释实验现象。 将 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体通入 ${\mathrm{{MnSO}}}_{4}$ 溶液中不产生 $\mathrm{{MnS}}$ 沉淀,若 ${\mathrm{{MnSO}}}_{4}$ 溶液中含有一定量的氨水,再通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体时即有 MnS 沉淀产生。","由于 $\mathrm{{MnS}}$ 的溶度积常数较大, ${\mathrm{H}}_{2}\mathrm{\;S}$ 是很弱的二元酸,在水中解离出的 ${\mathrm{S}}^{2 - }$ 浓度很小; 同时沉淀过程有 ${\mathrm{H}}^{ + }$ 生成, ${\mathrm{H}}^{ + }$ 的存在更降低了 ${\mathrm{H}}_{2}\mathrm{\;S}$ 的解离度,使得溶液中 $c\left( {\mathrm{{Mn}}}^{2 + }\right) c\left( {\mathrm{\;S}}^{2 - }\right) <$ ${K}_{\mathrm{{sp}}}^{ \ominus }\left( \mathrm{{MnS}}\right)$ ,所以不会析出 $\mathrm{{MnS}}$ 沉淀。当溶液中含有一定量的氨水时, ${\mathrm{{NH}}}_{3}$ 与 ${\mathrm{H}}^{ + }$ 结合, $c\left( {\mathrm{H}}^{ + }\right)$ 减小, ${\mathrm{H}}_{2}\mathrm{\;S}$ 的解离度增大,使 $c\left( {\mathrm{{Mn}}}^{2 + }\right) c\left( {\mathrm{\;S}}^{2 - }\right) > {K}_{\mathrm{{sp}}}^{ \ominus }\left( \mathrm{{MnS}}\right)$ ,故会有 MnS 沉淀析出。
"
"解释实验现象。向稀盐酸和 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 混合溶液中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,溶液变浑浊; 向稀盐酸和 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ 混合溶液中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,溶液无变化。","稀盐酸和 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 混合溶液相当于 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3}$ 稀溶液。 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3}$ 有一定的氧化性,通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体时发生氧化还原反应生成单质 $\mathrm{S}$ 沉淀,故溶液变浑浊:

$$
{\mathrm{H}}_{2}{\mathrm{{SO}}}_{3} + 2{\mathrm{H}}_{2}\mathrm{\;S} = 3\mathrm{\;S} \downarrow + 3{\mathrm{H}}_{2}\mathrm{O}
$$

稀盐酸和 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ 混合溶液相当于 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 稀溶液。 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 稀溶液氧化性不如 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3}$ , 不能将 ${\mathrm{H}}_{2}\mathrm{\;S}$ 氧化,因此通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体溶液无变化。"
"解释实验现象。将少量酸性 ${\mathrm{{MnSO}}}_{4}$ 溶液与 ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}$ 溶液混合后水浴加热,很快生成棕黑色沉淀; 但在加热前加入几滴 ${\mathrm{{AgNO}}}_{3}$ 溶液,混合溶液逐渐变红。","${\mathrm{{MnSO}}}_{4}$ 与 ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}$ 反应生成难溶的 ${\mathrm{{MnO}}}_{2}$ ,由 ${\mathrm{{MnO}}}_{2}$ 生成 ${\mathrm{{MnO}}}_{4}^{ - }$ 的速率较慢,因而只看到 ${\mathrm{{MnO}}}_{2}$ 生成。向反应体系中加入几滴 ${\mathrm{{AgNO}}}_{3}$ 溶液,由于 ${\mathrm{{Ag}}}^{ + }$ 对 ${\mathrm{{MnSO}}}_{4}$ 与 ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}$ 反应生成 ${\mathrm{{MnO}}}_{4}^{ - }$ 有催化作用,则很快有 ${\mathrm{{MnO}}}_{4}^{ - }$ 生成,溶液变红。"
"已知 ${\mathrm{O}}_{2}{\mathrm{\;F}}_{2}$ 结构与 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 相似,但 ${\mathrm{O}}_{2}{\mathrm{\;F}}_{2}$ 中 $\mathrm{O} - \mathrm{O}$ 键长 ${121}\mathrm{{pm}},{\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 中 $\mathrm{O} - \mathrm{O}$ 键长 ${148}\mathrm{{pm}}$ ,请给出 ${\mathrm{O}}_{2}{\mathrm{\;F}}_{2}$ 的结构,并解释两个化合物中 $\mathrm{O} - \mathrm{O}$ 键长不同的原因。","${\mathrm{O}}_{2}{\mathrm{\;F}}_{2}$两个 $\mathrm{O}$ 为 ${\mathrm{{sp}}}^{3}$ 杂化

两个 $\mathrm{O}$ 与两个 $\mathrm{F}$ 不在同一平面

由于 $\mathrm{F}$ 的电负性大于 $\mathrm{O}$ ,则 $\mathrm{O}$ 周围的电子密度降低使 $\mathrm{O}$ 有一定的正电性,两个 $\mathrm{O}$ 原子对共用电子对的引力变大,因而 ${\mathrm{O}}_{2}{\mathrm{\;F}}_{2}$ 中 $\mathrm{O} - \mathrm{O}$ 键变短。"
"溶于水的 ${\mathrm{O}}_{2}$ 以氢键形式与水形成一水合物和二水合物,为什么 ${\mathrm{O}}_{2}$ 能与水形成氢键但溶解度却非常小?","溶于水的 ${\mathrm{O}}_{2}$ 以氢键形式与水形成一水合物和二水合物

氧的电负性大, ${\mathrm{O}}_{2}$ 分子中的两个氧原子互为强吸电子基团,因此氧的孤电子对给出电子能力很差, ${\mathrm{O}}_{2}$ 分子中的原子没有明显的负电荷。所以, ${\mathrm{O}}_{2}$ 分子的原子与水分子的氢静电引力很小, ${\mathrm{O}}_{2}$ 与水形成的氢键弱,使其在水中溶解度很小。"
为什么 ${\mathrm{{SOCl}}}_{2}$ 既可作路易斯酸又可作路易斯碱?,"分子中的中心原子 $\mathrm{S}$ 有孤电子对,能给出电子,故可作路易斯碱。

分子的中心原子 $\mathrm{S}$ 有空的价层 $\mathrm{d}$ 轨道,又可以接受电子对,因此 ${\mathrm{{SOCl}}}_{2}$ 又可作电子接受体, 为路易斯酸。"
"给出 ${\mathrm{{SOF}}}_{2},{\mathrm{{SOCl}}}_{2},{\mathrm{{SOBr}}}_{2}$ 分子中 $\mathrm{S} - \mathrm{O}$ 键强度的变化规律,并解释原因。","分子中 $\mathrm{S} - \mathrm{O}$ 键强度: ${\mathrm{{SOF}}}_{2} > {\mathrm{{SOCl}}}_{2} > {\mathrm{{SOBr}}}_{2}$ 。

三个化合物的结构均为三角锥形, $\mathrm{S}$ 为中心原子,中心原子上有一孤电子对。① X 电负性越大,吸引电子能力越强,则 $\mathrm{S}$ 原子周围的电子密度越低,硫的正电性越高, $\mathrm{S}$ 对 $\mathrm{O}$ 的极化作用越强, $\mathrm{S} - \mathrm{O}$ 键共价成分越大,键越短,故 $\mathrm{S} - \mathrm{O}$ 键越强。

② $\mathrm{S} - \mathrm{O}$ 间存在 $\mathrm{d} - \mathrm{p}$ 反馈 $\pi$ 键, $\mathrm{S}$ 周围电子密度小,吸引氧的反馈电子能力越强, $\mathrm{S} - \mathrm{O}$ 键越强。

元素电负性 $\mathrm{F} > \mathrm{{Cl}} > \mathrm{{Br}}$

分子中 $\mathrm{S}$ 周围电子密度 $\;{\mathrm{{SOF}}}_{2} < {\mathrm{{SOCl}}}_{2} < {\mathrm{{SOBr}}}_{2}$"
"为什么 ${\mathrm{{SF}}}_{6}$ 稳定、不易水解,而 ${\mathrm{{SF}}}_{4}$ 不稳定、又易水解?","${\mathrm{{SF}}}_{6}$ 分子为正八面体结构,中心原子电子对全部用于成键,不易受到水分子的进攻。 故对称性高、无孤电子对的 ${\mathrm{{SF}}}_{6}$ 分子非常稳定,也难以水解。

${\mathrm{{SF}}}_{4}$ 分子为变形四面体结构,中心原子有一对孤电子对,易与水分子作用而水解; 同时,对称性低的 ${\mathrm{{SF}}}_{4}$ 分子稳定性差,易分解。 ${\mathrm{{SF}}}_{4}$ 歧化为 ${\mathrm{{SF}}}_{6}$ 和 $\mathrm{S}$ 是自发进行的 (放热反应)。"
试用价层电子对互斥理论判断 ${\mathrm{{SOF}}}_{2}$ 和 ${\mathrm{{SOCl}}}_{2}$ 的空间构型。说明在 $\mathrm{O}$ 原子和 $\mathrm{S}$ 原子之间的 $\mathrm{d} - \mathrm{p}\pi$ 配键是怎样形成的。试比较两者的 $\mathrm{d} - \mathrm{p}\pi$ 配键的强弱。,"按照价层电子对互斥理论, ${\mathrm{{SOF}}}_{2}$ 和 ${\mathrm{{SOCl}}}_{2}$ 的中心价层电子对数均为 4,电子对空间构型为四面体, 配体数为 3 , 故分子的空间构型为三角锥形。 ${\mathrm{{SOF}}}_{2}$ 和 ${\mathrm{{SOCl}}}_{2}$ 分子中,中心 $\mathrm{S}$ 采取 ${\mathrm{{sp}}}^{3}$ 不等性杂化。其中含有单电子的杂化轨道分别与两个卤素原子形成 $\sigma$ 键。中心原子 $\mathrm{S}$ 有一个电子对向端基原子 $\mathrm{O}$ 空的 $2\mathrm{p}$ 轨道 (经过重排形成的) 配位,形成 $\sigma$ 配键; 同时中心原子 $\mathrm{S}$ 有空的 $3\mathrm{\;d}$ 轨道,可以接受端基原子 $\mathrm{O}$ 的 $2\mathrm{p}$ 轨道中的对电子,形成反馈 $\pi$ 键。这个反馈键,就对称性而言属于 $\pi$ 键,且是 $\mathrm{d}$ 轨道与 $\mathrm{p}$ 轨道的重叠,就电子对的来源属于配位键,故称为 $\mathrm{d} - \mathrm{p}\pi$ 配键。

在 ${\mathrm{{SOX}}}_{2}$ 分子中,卤素 $\mathrm{X}$ 的电负性越大,吸引电子能力越强,使中心原子 $\mathrm{S}$ 更易接受端基原子 $\mathrm{O}$ 中对电子的配入,故 ${\mathrm{{SOF}}}_{2}$ 分子中的 $\mathrm{d} - \mathrm{p}\pi$ 配键比 ${\mathrm{{SOCl}}}_{2}$ 分子中的强。"
为什么不宜采用高温浓缩的办法制备 ${\mathrm{{NaHSO}}}_{3}$ 晶体?,"${\mathrm{{NaHSO}}}_{3}$ 受热易缩水,不宜采用高温浓缩的办法制备 ${\mathrm{{NaHSO}}}_{3}$ :

$$
2{\mathrm{{NaHSO}}}_{3} = {\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{5} + {\mathrm{H}}_{2}\mathrm{O}
$$
"
某学生实验时发现 $\mathrm{{SnS}}$ 能溶于 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液。你认为出现这种反常现象的原因是什么? 如何证明你的判断是正确的?,"可能是 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液暴露在空气中时间过长,被氧化而有过硫化钠生成,过硫化钠能够将 SnS 氧化而溶解:

$$
2{\mathrm{{Na}}}_{2}\mathrm{\;S} + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{\;S} \downarrow + 4\mathrm{{NaOH}}
$$

$$
{\mathrm{{Na}}}_{2}\mathrm{\;S} + \mathrm{S} = {\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}
$$

$$
\mathrm{{SnS}} + {\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2} = {\mathrm{{Na}}}_{2}{\mathrm{{SnS}}}_{3}
$$

将溶解 $\mathrm{{SnS}}$ 的溶液进行酸化,若溶液变浑浊且放出臭鸡蛋气味的 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,则说明判断是正确的:

${\mathrm{{Na}}}_{2}{\mathrm{{SnS}}}_{3} + 2\mathrm{{HCl}} = {\mathrm{{SnS}}}_{2} \downarrow + {\mathrm{H}}_{2}\mathrm{\;S} \uparrow + 2\mathrm{{NaCl}}$
"
"一种盐 (A) 溶于水后加入稀硫酸, 有刺激性气体 (B) 和乳白色沉淀 (C) 生成。气体 (B) 溶于 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液则转化为 $\left( \mathrm{D}\right)$ 并放出气体 $\left( \mathrm{E}\right)$ 。 $\left( \mathrm{A}\right)$ 溶液与碘水作用则转化为 $\left( \mathrm{F}\right)$ ,同时碘水褪色。(A) 溶液加入氯水则转化为溶液 $\left( \mathrm{G}\right) ,\left( \mathrm{G}\right)$ 与钡盐作用,即产生不溶于强酸的白色沉淀 (H)。(C) 与 (D) 溶液混合后煮沸, 则又缓慢转化为 (A)。试给出 (A)、(B)、 (C)、(D)、(E)、(F)、(G) 和 (H) 所代表的物质的化学式。","(A)- ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ ; (B)- ${\mathrm{{SO}}}_{2}$ ; (C)- $\mathrm{S}$ ; (D)- ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ ; (E)- ${\mathrm{{CO}}}_{2}$ ; (F)- ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{4}{\mathrm{O}}_{6}$ ;

(G) $- {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (H) $- {\mathrm{{BaSO}}}_{4}$ 。
"
"将 ${0.108}\mathrm{\;g}$ 白色固体 $\left( \mathrm{A}\right)$ 置于干燥箱中于 ${105}^{ \circ }\mathrm{C}$ 干燥一段时间后,得到 ${0.72}\mathrm{\;g}$ 黄色固体 (B)。将 (B) 在 ${400}{}^{ \circ }\mathrm{C}$ 加热,失重 ${0.16}\mathrm{\;g}$ ,得到白色固体 (C)。将 (A) 与 KI 晶体混合后溶于稀盐酸得到黄色溶液 (D)。向溶液 (D) 中加入过量固体 (C), 则溶液变成无色溶液 (E)和白色沉淀 $\left( \mathrm{F}\right)$ 。少量 $\left( \mathrm{C}\right)$ 溶于水后加入 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液有白色沉淀 $\left( \mathrm{G}\right)$ 生成。试确定 (A)、(B)、(C)、(D)、(E)和(F)各为何物质。
","(A) $- {\mathrm{{CaO}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ ; (B) $- {\mathrm{{CaO}}}_{2};\;$ (C) $- \mathrm{{CaO}};\;$ (D) $- {\mathrm{{KI}}}_{3}$ 或 ${\mathrm{I}}_{2};\;$ (E) $- {\mathrm{I}}^{ - } + {\mathrm{{IO}}}_{3}^{ - }$ ;

$\left( \mathrm{F}\right) - \mathrm{{Ca}}{\left( {\mathrm{{IO}}}_{3}\right) }_{2}$ 。"
"将无色钠盐溶于水得无色溶液 $\left( \mathrm{A}\right)$ ,用 $\mathrm{{pH}}$ 试纸检验知 $\left( \mathrm{A}\right)$ 显酸性。 $\left( \mathrm{A}\right)$ 能使 ${\mathrm{{KMnO}}}_{4}$ 溶液褪色,同时 $\left( \mathrm{A}\right)$ 被氧化为 $\left( \mathrm{B}\right)$ 。向 $\left( \mathrm{B}\right)$ 的溶液中加入 ${\mathrm{{BaCl}}}_{2}$ 溶液得不溶于强酸的白色沉淀 (C)。向 (A) 中加入稀盐酸有无色气体 (D) 放出, 将 (D) 通入氯水则又得到无色的 (B)。 向含有淀粉的 ${\mathrm{{KIO}}}_{3}$ 溶液中通入少许 (D) 则溶液立即变蓝,说明有 (E) 生成,(D) 过量时蓝色消失得无色溶液。试给出 (A)、(B)、(C)、(D) 和 (E) 所代表的物质的化学式。",(A) $- {\mathrm{{NaHSO}}}_{3}$ ; (B) $- {\mathrm{{SO}}}_{4}^{2 - }$ ; (C) $- {\mathrm{{BaSO}}}_{4}$ ; (D) $- {\mathrm{{SO}}}_{2}$ ; (E) $- {\mathrm{I}}_{2}$ 。
"向无色溶液 (A) 中加入 HI 溶液有无色气体 (B) 和黑色沉淀 (C) 生成, (C) 在 KCN 溶液中部分溶解得无色溶液 $\left( \mathrm{D}\right)$ ,向 $\left( \mathrm{D}\right)$ 中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体析出黑色沉淀 $\left( \mathrm{E}\right) ,\left( \mathrm{E}\right)$ 不溶于浓盐酸。 若向 $\left( \mathrm{A}\right)$ 中加入 $\mathrm{{KI}}$ 溶液有黄色沉淀 $\left( \mathrm{F}\right)$ 生成,将 $\left( \mathrm{F}\right)$ 投入 $\mathrm{{KCN}}$ 溶液则 $\left( \mathrm{F}\right)$ 全部溶解。试给出 (A)、(B)、(C)、(D)、(E) 和 (F) 所代表的物质的化学式。"," (A)- ${\left\lbrack \mathrm{{Ag}}{\left( {\mathrm{S}}_{2}{\mathrm{O}}_{3}\right) }_{2}\right\rbrack }^{3 - }$ ; (B)- ${\mathrm{{SO}}}_{2}$ ; (C)- ${\mathrm{{Ag}}}_{2}\mathrm{S} + \mathrm{S}$ ; (D)- ${\left\lbrack \mathrm{{Ag}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - }$ ; (E)- ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ ;

(F)-AgI。"
"将无水钠盐固体 (A) 溶于水, 滴加稀硫酸有无色气体 (B) 生成, (B) 通入碘水溶液, 则碘水褪色,说明 $\left( \mathrm{B}\right)$ 转化为 $\left( \mathrm{C}\right)$ 。晶体 $\left( \mathrm{A}\right)$ 在 ${600}^{ \circ }\mathrm{C}$ 以上加热至恒重后生成混合物 $\left( \mathrm{D}\right)$ 。用 $\mathrm{{pH}}$ 试纸检验发现 (D) 的水溶液的碱性大大高于 (A) 的水溶液。向 (D) 的水溶液中加 ${\mathrm{{CuCl}}}_{2}$ 溶液,有不溶于盐酸的黑色沉淀 $\left( \mathrm{E}\right)$ 生成。若用 ${\mathrm{{BaCl}}}_{2}$ 溶液代替 ${\mathrm{{CuCl}}}_{2}$ 进行实验, 则有白色沉淀 $\left( \mathrm{F}\right)$ 生成, $\left( \mathrm{F}\right)$ 不溶于硝酸、氢氧化钠溶液及氨水。试给出 $\left( \mathrm{A}\right) \text{、}\left( \mathrm{B}\right) \text{、}\left( \mathrm{C}\right)$ 、 (D)、(E) 和 (F) 所代表的物质的化学式。","(A)- ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ ; (B)- ${\mathrm{{SO}}}_{2}$ ; (C)- ${\mathrm{{SO}}}_{4}^{2 - }$ ; (D)- ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} + {\mathrm{{Na}}}_{2}\mathrm{\;S}$ ; (E)- $\mathrm{{CuS}}$ ;

(F) $- {\mathrm{{BaSO}}}_{4}$ 。"
,
"",
"",
"",
"",
