question,answer
由辉锑矿生产单质 $\mathrm{{Sb}}$ ,"高温下焙烧 ${\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{3}$ 生成 ${\mathrm{{Sb}}}_{2}{\mathrm{O}}_{3}$ :

$$
2{\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{3} + 9{\mathrm{O}}_{2}\xrightarrow[]{\bigtriangleup }2{\mathrm{{Sb}}}_{2}{\mathrm{O}}_{3} + 6{\mathrm{{SO}}}_{2}
$$

高温下用 $\mathrm{C}$ 还原 ${\mathrm{{Sb}}}_{2}{\mathrm{O}}_{3}$ ,即得金属锑单质:

$$
{\mathrm{{Sb}}}_{2}{\mathrm{O}}_{3} + 3\mathrm{C}\xrightarrow[]{\Delta }2\mathrm{{Sb}}\left( \mathrm{g}\right) + 3\mathrm{{CO}}\left( \mathrm{g}\right)
$$
"
由 ${\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3}$ 制备 ${\mathrm{{NaBiO}}}_{3}$ ," 高温下焙烧 ${\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3}$ 生成 ${\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3}$ :

$$
2{\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3} + 9{\mathrm{O}}_{2}\xrightarrow[]{\bigtriangleup }2{\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3} + 6{\mathrm{{SO}}}_{2}
$$

盐酸与 ${\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3}$ 反应得 ${\mathrm{{BiCl}}}_{3}$ :

$$
{\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3} + 6\mathrm{{HCl}} = 2{\mathrm{{BiCl}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}
$$

在碱性介质中,强氧化剂 ${\mathrm{{Cl}}}_{2}$ 可氧化 $\mathrm{{Bi}}$ (III) 到 $\mathrm{{Bi}}\left( \mathrm{V}\right)$ :

$$
{\mathrm{{BiCl}}}_{3} + {\mathrm{{Cl}}}_{2} + 6\mathrm{{NaOH}}\left( \mathrm{{aq}}\right) = {\mathrm{{NaBiO}}}_{3} \downarrow + 5\mathrm{{NaCl}} + 3{\mathrm{H}}_{2}\mathrm{O}
$$
"
分离下列离子${\mathrm{{Sb}}}^{3 + }$ 和 ${\mathrm{{Bi}}}^{3 + }$,"向溶液中加入过量 $\mathrm{{NaOH}}$ 溶液, ${\mathrm{{Sb}}}^{3 + }$ 生成可溶性的 ${\mathrm{{SbO}}}_{3}^{3 - }$ 而 ${\mathrm{{Bi}}}^{3 + }$ 生成 $\mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3}$ 沉淀:

$$
{\mathrm{{Sb}}}^{3 + } + 6{\mathrm{{OH}}}^{ - } = {\mathrm{{SbO}}}_{3}^{3 - } + 3{\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{{Bi}}}^{3 + } + 3{\mathrm{{OH}}}^{ - } = \mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow
$$
"
分离下列离子${\mathrm{{PO}}}_{4}^{3 - }$ 和 ${\mathrm{{NO}}}_{3}^{ - }$,"向溶液中加入 ${\mathrm{{AgNO}}}_{3}$ 溶液, ${\mathrm{{PO}}}_{4}^{3 - }$ 与 ${\mathrm{{Ag}}}^{ + }$ 生成 ${\mathrm{{Ag}}}_{3}{\mathrm{{PO}}}_{4}$ 沉淀而 ${\mathrm{{NO}}}_{3}^{ - }$ 留在溶液中。
"
分离下列离子 ${\mathrm{{PO}}}_{4}^{3 - }$ 和 ${\mathrm{{SO}}}_{4}^{2 - }$,"将溶液用硝酸酸化后加入 ${\mathrm{{BaCl}}}_{2}$ 溶液, ${\mathrm{{SO}}}_{4}^{2 - }$ 转化为 ${\mathrm{{BaSO}}}_{4}$ 沉淀而 ${\mathrm{{PO}}}_{4}^{3 - }$ 转化为 ${\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - }$ 留在溶液中。
"
分离下列离子${\mathrm{{PO}}}_{4}^{3 - }$ 和 ${\mathrm{{Cl}}}^{ - }$,"将溶液用硝酸酸化后加入 ${\mathrm{{AgNO}}}_{3}$ 溶液, ${\mathrm{{Cl}}}^{ - }$ 转化为 $\mathrm{{AgCl}}$ 沉淀而 ${\mathrm{{PO}}}_{4}^{3 - }$ 转化为 ${\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - }$ 留在溶液中"
"提纯下列物质。
除去 ${\mathrm{N}}_{2}$ 中的少量 ${\mathrm{O}}_{2}$ 和 ${\mathrm{H}}_{2}\mathrm{O}$ ","将 ${\mathrm{N}}_{2}$ 气通过赤热的铜粉,除去 ${\mathrm{O}}_{2}$ :

$$
{\mathrm{O}}_{2} + 2\mathrm{{Cu}} = 2\mathrm{{CuO}}
$$

再用 ${\mathrm{P}}_{2}{\mathrm{O}}_{5}$ 千燥 ${\mathrm{N}}_{2}$ ,除去 ${\mathrm{H}}_{2}\mathrm{O}$ 。"
"提纯下列物质。
除去 $\mathrm{{NO}}$ 中的少量 ${\mathrm{{NO}}}_{2}$","将气体通过水或 $\mathrm{{NaOH}}$ 溶液除去 ${\mathrm{{NO}}}_{2}$ ,再用 ${\mathrm{P}}_{2}{\mathrm{O}}_{5}$ 干燥:

$$
3{\mathrm{{NO}}}_{2} + {\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{HNO}}}_{3} + \mathrm{{NO}}
$$

$$
2{\mathrm{{NO}}}_{2} + 2\mathrm{{NaOH}} = {\mathrm{{NaNO}}}_{3} + {\mathrm{{NaNO}}}_{2} + {\mathrm{H}}_{2}\mathrm{O}
$$
"
"提纯下列物质。
除去 ${\mathrm{{NaNO}}}_{3}$ 溶液中的少量 ${\mathrm{{NaNO}}}_{2}$ ","向溶液中加入少量 ${\mathrm{{HNO}}}_{3}$ 溶液后加热,可除去溶液中的 ${\mathrm{{NO}}}_{2}^{ - }$ :

$$
2{\mathrm{{NO}}}_{2}^{ - } + 2{\mathrm{H}}^{ + } = {\mathrm{{NO}}}_{2} \uparrow + \mathrm{{NO}} \uparrow + {\mathrm{H}}_{2}\mathrm{O}
$$

或向溶液中加入少量 ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{3}$ 溶液后加热,可除去溶液中的 ${\mathrm{{NO}}}_{2}^{ - }$ :

$$
{\mathrm{{NH}}}_{4}^{ + } + {\mathrm{{NO}}}_{2}^{ - } = {\mathrm{N}}_{2} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
用三种方法鉴别下列物质${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ 和 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ,"
向两种盐的溶液中加入 ${\mathrm{{AgNO}}}_{3}$ 溶液,有黄色沉淀生成的是 ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ ,有白色沉淀生成的是 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ :

$$
3{\mathrm{{Ag}}}^{ + } + {\mathrm{{PO}}}_{4}^{3 - } = {\mathrm{{Ag}}}_{3}{\mathrm{{PO}}}_{4} \downarrow \text{(黄色)}
$$

$$
2{\mathrm{{Ag}}}^{ + } + {\mathrm{{SO}}}_{4}^{2 - } = {\mathrm{{Ag}}}_{2}{\mathrm{{SO}}}_{4} \downarrow \text{(白色)}
$$

向两种盐的溶液中加入 ${\mathrm{{BaCl}}}_{2}$ 溶液,生成的白色沉淀不溶于硝酸的是 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ,生成的白色沉淀溶于硝酸的是 ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ :

$$
{\mathrm{{Ba}}}^{2 + } + {\mathrm{{SO}}}_{4}^{2 - } = {\mathrm{{BaSO}}}_{4} \downarrow
$$

$$
3{\mathrm{{Ba}}}^{2 + } + 2{\mathrm{{PO}}}_{4}^{3 - } = {\mathrm{{Ba}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2} \downarrow
$$

$$
{\mathrm{{Ba}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2} + 4{\mathrm{H}}^{ + } = 3{\mathrm{{Ba}}}^{2 + } + 2{\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - }
$$

向两种盐的溶液中加入碘水,能使碘水褪色的是 ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ ,不能使碘水褪色的是 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ 。因为 ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ 溶液碱性较强,碘水发生歧化反应:

$$
3{\mathrm{I}}_{2} + 6{\mathrm{{PO}}}_{4}^{3 - } + 3{\mathrm{H}}_{2}\mathrm{O} = 5{\mathrm{I}}^{ - } + {\mathrm{{IO}}}_{3}^{ - } + 6{\mathrm{{HPO}}}_{4}^{2 - }
$$
"
