question,answer
完成并配平化学反应方程式:氯化铵与亚硝酸钠溶液混合后加热。,"${\mathrm{{NH}}}_{4}^{ + } + {\mathrm{{NO}}}_{2}^{ - }\overset{\bigtriangleup }{ \rightleftharpoons }{\mathrm{N}}_{2} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:亚硝酸钠晶体与浓硝酸混合。,${\mathrm{{NaNO}}}_{2}\left( \mathrm{\;s}\right) + 2{\mathrm{{HNO}}}_{3}$ (浓) $= 2{\mathrm{{NO}}}_{2} \uparrow + {\mathrm{{NaNO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O}$
"完成并配平化学反应方程式:二氧化氮通入氢氧化钠溶液。
",$2{\mathrm{{NO}}}_{2} + 2\mathrm{{NaOH}} = {\mathrm{{NaNO}}}_{2} + {\mathrm{{NaNO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:亚硝酸钠晶体受热分解。,$2{\mathrm{{NaNO}}}_{2}\xrightarrow[]{\bigtriangleup }{\mathrm{{Na}}}_{2}\mathrm{O} + {\mathrm{{NO}}}_{2} \uparrow + \mathrm{{NO}} \uparrow$
完成并配平化学反应方程式:氨气通过热的氧化铜。,$2{\mathrm{{NH}}}_{3} + 3\mathrm{{CuO}}\overset{\bigtriangleup }{ \rightleftharpoons }{\mathrm{N}}_{2} + 3\mathrm{{Cu}} + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:用羟胺处理 $\mathrm{{AgBr}}$ 。,"$2{\mathrm{{NH}}}_{2}\mathrm{{OH}} + 2\mathrm{{AgBr}} = {\mathrm{N}}_{2} \uparrow + 2\mathrm{{Ag}} \downarrow + 2\mathrm{{HBr}} + 2{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:叠氮酸铅受热分解。,$\mathrm{{Pb}}{\left( {\mathrm{N}}_{3}\right) }_{2} \triangleq \mathrm{{Pb}} + 3{\mathrm{N}}_{2} \uparrow$
完成并配平化学反应方程式:金溶于王水。,$\mathrm{{Au}}+ {\mathrm{{HNO}}}_{3} + 4\mathrm{{HCl}} = {\mathrm{{HAuCl}}}_{4} + \mathrm{{NO}} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:铂溶于王水。,$3\mathrm{{Pt}} + 4{\mathrm{{HNO}}}_{3} + {18}\mathrm{{HCl}} = 3{\mathrm{H}}_{2}{\mathrm{{PtCl}}}_{6} + 4\mathrm{{NO}} \uparrow + 8{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向红磷与水的混合物中滴加溴。,"$3{\mathrm{{Br}}}_{2} + 2\mathrm{P} + 6{\mathrm{H}}_{2}\mathrm{O} = 6\mathrm{{HBr}} + 2{\mathrm{H}}_{3}{\mathrm{{PO}}}_{3}$
"
完成并配平化学反应方程式:白磷溶于硝酸溶液。,"$3{\mathrm{P}}_{4} + {20}{\mathrm{{HNO}}}_{3} + 8{\mathrm{H}}_{2}\mathrm{O} = {12}{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4} + {20}\mathrm{{NO}} \uparrow$
"
