question,answer
以硼砂为原料生产单质硼。,"将硼砂溶于水,用 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 调节酸度,析出硼酸晶体:

$$
{\mathrm{{Na}}}_{2}{\mathrm{\;B}}_{4}{\mathrm{O}}_{7} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} + 5{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{\;B}{\left( \mathrm{{OH}}\right) }_{3} + {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}
$$

加热使硼酸脱水,得到 ${\mathrm{B}}_{2}{\mathrm{O}}_{3}$ :

$$
2\mathrm{\;B}{\left( \mathrm{{OH}}\right) }_{3}\overset{\bigtriangleup }{ = }{\mathrm{B}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}
$$

再用活泼金属 $\mathrm{{Mg}}$ 在高温下还原 ${\mathrm{B}}_{2}{\mathrm{O}}_{3}$ ,得到纯度 ${95}\% \sim {98}\%$ 的粗硼:

$$
{\mathrm{B}}_{2}{\mathrm{O}}_{3} + 3\mathrm{{Mg}}\xrightarrow[]{\text{ 高温 }}2\mathrm{\;B} + 3\mathrm{{MgO}}
$$
"
以铝土矿 $\left( {{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} \cdot n{\mathrm{H}}_{2}\mathrm{O}}\right)$ 为原料提取单质铝。,"将粉碎后的铝土矿用碱浸取, 加压煮沸, 使之转变成可溶性的铝酸钠:

$$
{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} + 2\mathrm{{NaOH}}\xrightarrow[\text{ 煮沸 }]{\text{ 加压 }}2{\mathrm{{NaAlO}}}_{2} + {\mathrm{H}}_{2}\mathrm{O}
$$

过滤将铝酸钠溶液与不溶的杂质分开。之后通入 ${\mathrm{{CO}}}_{2}$ 调节溶液 $\mathrm{{pH}}$ ,使 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ 沉淀、 析出:

$$
2{\mathrm{{NaAlO}}}_{2} + {\mathrm{{CO}}}_{2} + 3{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}
$$

经分离、焙烧得到符合电解需要的较纯净的 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ :

$$
2\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}\overset{\bigtriangleup }{ = }{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} \uparrow
$$

将 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 溶解在熔融的冰晶石 $\left( {{\mathrm{{Na}}}_{3}\left\lbrack {\mathrm{{AlF}}}_{6}\right\rbrack }\right)$ 中,在 ${1223}\mathrm{\;K}$ 下进行电解,在阴极上得到金属铝。电解反应可以表示为

$$
2{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}\xrightarrow[]{\text{ 通电 }}4\mathrm{{Al}} + 3{\mathrm{O}}_{2} \uparrow
$$
"
无水 ${\mathrm{{AlCl}}}_{3}$ 如何制备? 能否直接加热使 ${\mathrm{{AlCl}}}_{3} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ 脱水制备无水 ${\mathrm{{AlCl}}}_{3}$ ?,"无水氯化铝可用干燥的氯气在高温下与金属 $\mathrm{{Al}}$ 反应制备。反应方程式为

$$
2\mathrm{{Al}} + 3{\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right) \xrightarrow[]{\bigtriangleup }2{\mathrm{{AlCl}}}_{3}
$$

${\mathrm{{AlCl}}}_{3}$ 遇水剧烈水解,因此直接加热使 ${\mathrm{{AlCl}}}_{3} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ 脱水制备无水 ${\mathrm{{AlCl}}}_{3}$ 是不可能的。 ${\mathrm{{AlCl}}}_{3} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ 受热脱水时,发生的反应为

$$
{\mathrm{{AlCl}}}_{3} \cdot 6{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\bigtriangleup }\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{2}\mathrm{{Cl}} + 4{\mathrm{H}}_{2}\mathrm{O} + 2\mathrm{{HCl}} \uparrow
$$

最终产物是 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 。
"
如何从明矾制备氢氧化铝? 写出化学反应方程式。,"将明矾 ${\mathrm{K}}_{2}{\mathrm{{SO}}}_{4} \cdot {\mathrm{{Al}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} \cdot {24}{\mathrm{H}}_{2}\mathrm{O}$ 溶于水,制成溶液。向其中加入 ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ ,生成的沉淀经过滤、洗涤得氢氧化铝 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ 。反应方程式为

$$
{\mathrm{{Al}}}^{3 + } + 3{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{NH}}}_{4}^{ + }
$$
"
如何鉴定硼酸?,"硼酸与乙醇在浓硫酸的催化下发生酯化反应:

$$
3{\mathrm{C}}_{2}{\mathrm{H}}_{5}\mathrm{{OH}} + \mathrm{B}{\left( \mathrm{{OH}}\right) }_{3}\xrightarrow[]{\text{ 浓硫酸 }}\mathrm{B}{\left( {\mathrm{{OC}}}_{2}{\mathrm{H}}_{5}\right) }_{3} + 3{\mathrm{H}}_{2}\mathrm{O}
$$

点燃产物硼酸三乙酯, 燃烧时产生绿色火焰。以此可以鉴定硼酸。
"
"有两种绿色物质,分别为 $\mathrm{{MnO}}$ 和 $\mathrm{{NiO}}$ ,试用硼珠试验加以鉴别。","在熔融条件下, ${\mathrm{B}}_{2}{\mathrm{O}}_{3}$ 与金属氧化物生成有特征颜色的偏硼酸盐熔珠,称为硼珠试验,该试验可用于鉴定金属氧化物。用处理好的镍铬丝蘸取少量 ${\mathrm{B}}_{2}{\mathrm{O}}_{3}$ ,微热,再蘸取绿色的固体在氧化焰上烧成熔珠, 通过熔珠的颜色可鉴别两种物质。MnO 和 $\mathrm{{NiO}}$ 的熔珠分别为紫色和绿色:

$$
\mathrm{{MnO}} + {\mathrm{B}}_{2}{\mathrm{O}}_{3}\xrightarrow[]{\text{ 熔融 }}\mathrm{{Mn}}{\left( {\mathrm{{BO}}}_{2}\right) }_{2}\text{ (紫色) }
$$

$$
\mathrm{{NiO}} + {\mathrm{B}}_{2}{\mathrm{O}}_{3}\xrightarrow[]{\text{ 熔融 }}\mathrm{{Ni}}{\left( {\mathrm{{BO}}}_{2}\right) }_{2}\text{ (绿色) }
$$
"
,
"",
"",
"",
