question,answer
完成并配平化学反应方程式:高温下单质硼与氮气反应。, $2\mathrm{\;B} + {\mathrm{N}}_{2}\xrightarrow[]{\text{ 高温 }}2\mathrm{{BN}}$
完成并配平化学反应方程式:无定形硼与热的浓硫酸反应。,$2\mathrm{B} + 3{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $\overset{\bigtriangleup }{ = }2\mathrm{\;B}{\left( \mathrm{{OH}}\right) }_{3} + 3{\mathrm{{SO}}}_{2} \uparrow$
完成并配平化学反应方程式:三碘化硼在灼热的金属钽丝上分解。, $2{\mathrm{{BI}}}_{3}\xrightarrow[\mathrm{{Ta}}]{{1000}\mathrm{\;K}}2\mathrm{\;B} + 3{\mathrm{I}}_{2}$
完成并配平化学反应方程式:乙硼烷在空气中自燃。,"${\mathrm{\;B}}_{2}{\mathrm{H}}_{6} + 3{\mathrm{O}}_{2}\xrightarrow[]{\text{ 自燃 }}{\mathrm{B}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:硼氢化锂与水作用。, ${\mathrm{{LiBH}}}_{4} + 2{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{LiBO}}}_{2} + 4{\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:三氧化二硼遇到热的水蒸气。,${\mathrm{{3B}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right) = 2{\mathrm{\;B}}_{3}{\mathrm{O}}_{3}{\left( \mathrm{{OH}}\right) }_{3}\left( \mathrm{\;g}\right)$
完成并配平化学反应方程式: 三氟化硼水解。,"${\mathrm{{BF}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} = \mathrm{B}{\left( \mathrm{{OH}}\right) }_{3} + 3\mathrm{{HF}}$

${\mathrm{{BF}}}_{3} + \mathrm{{HF}} = \mathrm{H}\left\lbrack {\mathrm{{BF}}}_{4}\right\rbrack$"
完成并配平化学反应方程式:赤热下无定形硼与水蒸气作用。,$\mathrm{{2B}} + 6{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right) = 2\mathrm{\;B}{\left( \mathrm{{OH}}\right) }_{3} + 3{\mathrm{H}}_{2}\left( \mathrm{\;g}\right)$
"完成并配平化学反应方程式:三氧化二硼和氟化钙的混合物中加入浓硫酸。
",$3{\mathrm{{CaF}}}_{2} + {\mathrm{B}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $\xrightarrow[]{\Delta }2{\mathrm{{BF}}}_{3} \uparrow + 3{\mathrm{{CaSO}}}_{4} + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向硼砂溶液中加稀硫酸。,${\mathrm{{Na}}}_{2}{\mathrm{\;B}}_{4}{\mathrm{O}}_{7} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} + 5{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{\;B}{\left( \mathrm{{OH}}\right) }_{3} + {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$
"完成并配平化学反应方程式:将 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 和 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 一起熔烧,然后将熔块打碎并投入水中。","${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + {\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}\xrightarrow[]{\bigtriangleup }2{\mathrm{{NaAlO}}}_{2} + {\mathrm{{CO}}}_{2} \uparrow$

${\mathrm{{NaAlO}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + \mathrm{{NaOH}}$"
完成并配平化学反应方程式:铝溶于热的 $\mathrm{{NaOH}}$ 溶液中。,$2\mathrm{{Al}} + 2\mathrm{{NaOH}} + 2{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\bigtriangleup }2{\mathrm{{NaAlO}}}_{2} + 3{\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式: 向 ${\mathrm{{NaAlO}}}_{2}$ 溶液中加 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 。,${\mathrm{{NaAlO}}}_{2} + {\mathrm{{NH}}}_{4}\mathrm{{Cl}} + 2{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + {\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} + \mathrm{{NaCl}}$
完成并配平化学反应方程式:金属镓与稀硫酸反应。,$2\mathrm{{Ga}} + 3{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (稀) $= {\mathrm{{Ga}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} + 3{\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:金属镓与浓硝酸反应。,$\mathrm{{Ga}} + 6{\mathrm{{HNO}}}_{3}$ (浓) $= \mathrm{{Ga}}{\left( {\mathrm{{NO}}}_{3}\right) }_{3} + 3{\mathrm{{NO}}}_{2} \uparrow + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向 $\mathrm{{TlOH}}$ 溶液中加 $\mathrm{{NaCl}}$ 溶液。,$\mathrm{{TlOH}}+ \mathrm{{NaCl}} = \mathrm{{TlCl}} + \mathrm{{NaOH}}$
完成并配平化学反应方程式:向 $\mathrm{{KI}}$ 溶液中加入 ${\mathrm{{TlCl}}}_{3}$ 。, ${\mathrm{{TlCl}}}_{3} + 3\mathrm{{KI}} = \mathrm{{TlI}} + {\mathrm{I}}_{2} + 3\mathrm{{KCl}}$
,
"",
"",
"",
"",
