question,answer
"判断下列反应能否实现, 写出有关化学反应方程式。三氯化铊与硫化钠反应生成 ${\mathrm{{Tl}}}_{2}{\mathrm{\;S}}_{3}$ ;","该反应不能实现。三氯化铊氧化性很强, 硫化钠还原性很强, 两者将发生氧化还原反应:

$$
2{\mathrm{{TlCl}}}_{3} + 3{\mathrm{{Na}}}_{2}\mathrm{\;S} = {\mathrm{{Tl}}}_{2}\mathrm{\;S} \downarrow + 2\mathrm{\;S} \downarrow + 6\mathrm{{NaCl}}
$$
"
"判断下列反应能否实现, 写出有关化学反应方程式。$\mathrm{{Al}}{\left( {\mathrm{{NO}}}_{3}\right) }_{3}$ 与 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 作用生成 ${\mathrm{{Al}}}_{2}{\left( {\mathrm{{CO}}}_{3}\right) }_{3}$ 沉淀;","该反应不能实现。 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ 的溶度积常数极小,因此 ${\mathrm{{Al}}}^{3 + }$ 会与 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 水解得到的 ${\mathrm{{OH}}}^{ - }$ 反应,生成 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ :

$$
2\mathrm{{Al}}{\left( {\mathrm{{NO}}}_{3}\right) }_{3} + 3{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 6{\mathrm{{NaNO}}}_{3} + 3{\mathrm{{CO}}}_{2} \uparrow
$$
"
"判断下列反应能否实现, 写出有关化学反应方程式。铝酸钠与 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 发生反应生成铝酸铵。","该反应不能实现。铝酸钠是 $\mathrm{{Al}}$ (III) 在强碱性条件下的存在形式。在铝酸钠溶液中加入酸性的 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 时,体系失去强碱性, $\mathrm{{Al}}\left( \mathrm{{III}}\right)$ 将以 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ 形式存在。实际将发生的过程是

$$
{\mathrm{{NaAlO}}}_{2} + {\mathrm{{NH}}}_{4}\mathrm{{Cl}} + 2{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + \mathrm{{NaCl}} + {\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释:

（1）铝的抗腐蚀性能比铁强得多;

（2）铝比铜活泼得多,但冷的浓 ${\mathrm{{HNO}}}_{3}$ 能溶解铜而不能溶解铝。
","(1) $\mathrm{{Fe}}$ 在空气中被氧化,产物是一种疏松的含水氧化物。它与 $\mathrm{{Fe}}$ 的表面结合不紧密,甚

至于不断剥落, 导致金属主体与空气接触进一步被氧化。Al 虽然比 $\mathrm{{Fe}}$ 活泼,但其在空气中被氧化的产物是一种致密的氧化物薄膜。它紧密地覆盖在 $\mathrm{{Al}}$ 的表面,使金属主体与空气隔绝, 氧化反应不能继续进行。所以铝的抗腐蚀性能比铁强得多。

（2）Al 虽然比 $\mathrm{{Cu}}$ 活泼,但其与冷的浓 ${\mathrm{{HNO}}}_{3}$ 反应在 $\mathrm{{Al}}$ 的表面生成一种致密氧化物薄膜, 发生钝化现象,而 $\mathrm{{Cu}}$ 与冷的浓 ${\mathrm{{HNO}}}_{3}$ 反应没有钝化现象发生,所以 $\mathrm{{Cu}}$ 溶解于硝酸中。"
"根据铝在酸性介质和碱性介质中的标准电极电势说明:

（1）铝在酸、碱、水中溶解的可能性, 从而说明铝在这些溶液中和空气中的稳定性;

（2）铝不溶于水,但能溶于 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液。","
$$
{\mathrm{{Al}}}^{3 + } + 3{\mathrm{e}}^{ - } = \mathrm{{Al}}\;{E}^{ \ominus } = - {1.662}\mathrm{\;V}
$$

$$
\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} + 3{\mathrm{e}}^{ - } = \mathrm{{Al}} + 3{\mathrm{{OH}}}^{ - }\;{E}^{ \ominus } = - {2.31}\mathrm{\;V}
$$

（1）从铝在酸性介质和碱性介质中的标准电极电势看, 铝在酸、碱、水中都是可溶的, 而且在空气中可以被氧化成 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 。正是由于 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 的生成,在金属铝表面形成致密的氧化物薄膜, 既阻碍了金属主体进一步被空气氧化, 也隔绝了水与金属主体的接触, 致使金属铝在水中不能真正溶解。

（2）尽管金属铝在水中不能溶解,但 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液中水解生成的 ${\mathrm{{OH}}}^{ - }$ 却可将两性的 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 膜溶解掉,从而导致铝溶于 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液。
"
溶于水再加热蒸发至干能否将 ${\mathrm{{BCl}}}_{3}$ 回收? 结合化学反应方程式解释。,"不能。 ${\mathrm{{BCl}}}_{3}$ 会与水发生如下反应:

$$
{\mathrm{{BCl}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} = \mathrm{B}{\left( \mathrm{{OH}}\right) }_{3} + 3\mathrm{{HCl}}
$$

将溶液蒸干得到固体 $\mathrm{B}{\left( \mathrm{{OH}}\right) }_{3}$ 。进一步加热 $\mathrm{B}{\left( \mathrm{{OH}}\right) }_{3}$ 会分解。"
"${\mathrm{{AlCl}}}_{3}$ 溶于苯,得到二聚体 ${\left( {\mathrm{{AlCl}}}_{3}\right) }_{2}$ 的溶液。若溶于乙醚,则会导致 ${\mathrm{{AlCl}}}_{3}$ 与 $\mathrm{O}{\left( {\mathrm{C}}_{2}{\mathrm{H}}_{5}\right) }_{2}$ 间的化学反应, 已知其产物为含有一个铝原子的物质, 试推测该产物的分子式。","该产物的分子式为 ${\mathrm{{Cl}}}_{3}\mathrm{{Al}}\left\lbrack {\mathrm{O}{\left( {\mathrm{C}}_{2}{\mathrm{H}}_{5}\right) }_{2}}\right\rbrack$ ,其中乙醚中氧原子的孤电子对与 ${\mathrm{{AlCl}}}_{3}$ 上的铝离子空轨道配位"
举例说明 $\mathrm{{Tl}}\left( \mathrm{I}\right)$ 与 $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 化合物性质的异同点。,"Tl(I)与 $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 的半径相近,电荷数相同,极化能力相近,因而二者的化合物有相似之处:

（1）化合物的难溶性。TlCl 和 $\mathrm{{AgCl}}$ 均为白色难溶化合物, ${\mathrm{{Tl}}}_{2}\mathrm{\;S}$ 和 ${\mathrm{{Ag}}}_{2}\mathrm{\;S}$ 均为难溶化合物。

(2) $\mathrm{{TlCl}}$ 和 $\mathrm{{AgCl}}$ 等卤化物光照均易分解。$\mathrm{{Tl}}\left( \mathrm{I}\right)$ 和 $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 的化合物有很多不同之处,现仅举几例加以说明:

（1）氢氧化物稳定性不同。 $\mathrm{{AgOH}}$ 室温下不稳定,分解为 ${\mathrm{{Ag}}}_{2}\mathrm{O}$ ,而 TlOH 较稳定; $\mathrm{{TlOH}}$ 溶液为强碱性,与 $\mathrm{{KOH}}$ 相似。

(2) $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 易生成稳定配位化合物,而 $\mathrm{{Tl}}\left( \mathrm{I}\right)$ 不易生成配位化合物。如 $\mathrm{{AgCl}}$ 易溶于氨水,生成 ${\left\lbrack \mathrm{{Ag}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}\right\rbrack }^{ + }$ ,而 TlCl 则不溶。

(3) $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 有较强的氧化性,而 $\mathrm{{Tl}}\left( \mathrm{I}\right)$ 有一定的还原性。如:

$$
{\mathrm{{Ag}}}^{ + } + {\mathrm{{Fe}}}^{2 + } = \mathrm{{Ag}} + {\mathrm{{Fe}}}^{3 + }
$$

$$
\mathrm{{TlCl}} + {\mathrm{{Cl}}}_{2} = {\mathrm{{TlCl}}}_{3}
$$

(4) $\mathrm{{Tl}}\left( \mathrm{I}\right)$ 可以替代 ${\mathrm{K}}^{ + }$ 成研,而 $\mathrm{{Ag}}\left( \mathrm{I}\right)$ 则不能,如 $\mathrm{{TlAl}}{\left( {\mathrm{{SO}}}_{4}\right) }_{2} \cdot {12}{\mathrm{H}}_{2}\mathrm{O}$ 。"
"单质 (A) 为棕色粉末, 在空气中燃烧生成物质 (B), (B) 溶于水生成 (C) 的溶液, 该溶液显弱酸性。化合物 (D) 溶液为缓冲溶液,其冷的浓溶液用 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ 酸化,可析出 (C) 的晶体。 (A) 的氯化物 (E) 水解产生 (C) 和刺激性气体 (F)。(D) 受热到 ${400}{}^{ \circ }\mathrm{C}$ 左右将失去约 ${47}\%$ 的质量, 转化成物质 (G)。试给出 (A)、(B)、(C)、(D)、(E)、(F) 和 (G) 所代表的物质的化学式。","(A)-B; (B) $- {\mathrm{B}}_{2}{\mathrm{O}}_{3}$ ; (C) $- \mathrm{B}{\left( \mathrm{{OH}}\right) }_{3}$ ; (D) $- {\mathrm{{Na}}}_{2}{\mathrm{\;B}}_{4}{\mathrm{O}}_{7} \cdot {10}{\mathrm{H}}_{2}\mathrm{O}$ ;

(E) $- {\mathrm{{BCl}}}_{3}$ ; (F)-HCl; (G) $- {\mathrm{{Na}}}_{2}{\mathrm{\;B}}_{4}{\mathrm{O}}_{7}$ 。"
"某金属 (A) 溶于盐酸生成物质 (B) 的溶液, 若溶于氢氧化钠溶液则生成物质 (C) 的溶液, 两个反应均有气体 (D) 生成。向 (C) 溶液中通入 ${\mathrm{{CO}}}_{2}$ ,有白色沉淀 (E) 析出,(E) 不溶于氨水。在较低的温度下加热 (E) 有 (F) 生成, (F) 易溶于盐酸, 也溶于氢氧化钠溶液; 但在高温下灼烧 (E) 后生成的 (G) 既不溶于盐酸, 也不溶于氢氧化钠溶液。试给出 (A)、(B)、 (C)、(D)、(E)、(F)和(G) 所代表的物质的化学式。","(A)-Al; (B) $- {\mathrm{{AlCl}}}_{3}$ ; (C)- $\mathrm{{Na}}\left\lbrack {\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack$ ; (D) $- {\mathrm{H}}_{2}$ ;

(E)-Al(OH) ${}_{3}$ ; (F) $- \gamma - {\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ ; (G) $- \alpha - {\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 。
"
