question,answer
完成并配平化学反应方程式:过氧化钠与冷水作用, ${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{NaOH}} + {\mathrm{H}}_{2}{\mathrm{O}}_{2}$
完成并配平化学反应方程式:在熔融条件下三氧化二铬与过氧化钠反应, ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{{Na}}}_{2}{\mathrm{O}}_{2}\xrightarrow[]{\text{ 熔融 }}2{\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4} + {\mathrm{{Na}}}_{2}\mathrm{O}$
完成并配平化学反应方程式:二氧化碳与过氧化钠作用, $2{\mathrm{{Na}}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{{CO}}}_{2} = 2{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + {\mathrm{O}}_{2}$
完成并配平化学反应方程式:臭氧化钾溶于水,$4{\mathrm{{KO}}}_{3} + 2{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{KOH}} + 5{\mathrm{O}}_{2} \uparrow$
完成并配平化学反应方程式:金属锂在氧气中燃烧, $\mathrm{{4Li}} + {\mathrm{O}}_{2} = 2{\mathrm{{Li}}}_{2}\mathrm{O}$
完成并配平化学反应方程式:用镁还原四氯化钛,${\mathrm{{TiCl}}}_{4} + 2\mathrm{{Mg}} = \mathrm{{Ti}} + 2{\mathrm{{MgCl}}}_{2}$
完成并配平化学反应方程式:超氧化钾与二氧化碳反应, $4{\mathrm{{KO}}}_{2} + 2{\mathrm{{CO}}}_{2} = 2{\mathrm{\;K}}_{2}{\mathrm{{CO}}}_{3} + 3{\mathrm{O}}_{2}$
完成并配平化学反应方程式:硝酸钠 ${800}^{ \circ }\mathrm{C}$ 下受热分解, $4{\mathrm{{NaNO}}}_{3}\xrightarrow[]{{800}{}^{ \circ }\mathrm{C}}2{\mathrm{{Na}}}_{2}\mathrm{O} + 2{\mathrm{\;N}}_{2} \uparrow + 5{\mathrm{O}}_{2} \uparrow$
完成并配平化学反应方程式:碳酸镁受热分解, ${\mathrm{{MgCO}}}_{3}\xrightarrow[]{\bigtriangleup }\mathrm{{MgO}} + {\mathrm{{CO}}}_{2} \uparrow$
完成并配平化学反应方程式:六水合氯化镁受热分解,"${\mathrm{{MgCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\bigtriangleup }\mathrm{{Mg}}\left( \mathrm{{OH}}\right) \mathrm{{Cl}} + 5{\mathrm{H}}_{2}\mathrm{O} + \mathrm{{HCl}} \uparrow$

$\mathrm{{Mg}}\left( \mathrm{{OH}}\right) \mathrm{{Cl}}\xrightarrow[]{\bigtriangleup }\mathrm{{MgO}} + \mathrm{{HCl}} \uparrow$ "
完成并配平化学反应方程式:臭氧与氢氧化钾固体作用, $6\mathrm{{KOH}} + 4{\mathrm{O}}_{3} = 4{\mathrm{{KO}}}_{3} + 2\mathrm{{KOH}} \cdot {\mathrm{H}}_{2}\mathrm{O} + {\mathrm{O}}_{2}$
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
