question,answer
"${\mathrm{{BeCl}}}_{2}$ 的熔盐不导电,但熔入 $\mathrm{{NaCl}}$ ,则混合熔盐变成为优良的电导体,结合化学反应方程式说明其原因。","熔融的 ${\mathrm{{BeCl}}}_{2}$ 液体中 ${\mathrm{{BeCl}}}_{2}$ 以链式结构存在,由于其为共价化合物,该液体内没有发生解离现象,故而不能导电。由于 ${\mathrm{{BeCl}}}_{2}$ 是路易斯酸,在加入 $\mathrm{{NaCl}}$ 后,会与路易斯碱 ${\mathrm{{Cl}}}^{ - }$ 结合生成配离子:

$$
{\mathrm{{BeCl}}}_{2} + {\mathrm{{Cl}}}^{ - } = {\left\lbrack {\mathrm{{BeCl}}}_{3}\right\rbrack }^{ - }
$$

$$
{\left\lbrack {\mathrm{{BeCl}}}_{3}\right\rbrack }^{ - } + {\mathrm{{Cl}}}^{ - } = {\left\lbrack {\mathrm{{BeCl}}}_{4}\right\rbrack }^{2 - }
$$

即形成了离子液体, 故而导电。"
"钾要比钠活泼, 但可以通过下述反应制备金属钾, 请解释原因并分析由此制备金属钾是否可行。

$$
\mathrm{{Na}} + \mathrm{{KCl}}\xrightarrow[]{\text{ 高温熔融 }}\mathrm{{NaCl}} + \mathrm{K}
$$
","钾的沸点为 ${774}{}^{ \circ }\mathrm{C}$ ,钠的沸点为 ${883}{}^{ \circ }\mathrm{C}$ ,钾的沸点比钠低 ${109}{}^{ \circ }\mathrm{C}$ 。控制温度在钠和钾沸点之间, 则生成的钾从反应体系中挥发出来, 有利于平衡向生成钾的方向移动。

由于反应是一个平衡过程, 反应不够彻底。同时, 钾易溶于熔融的氯化物中或易生成超氧化物等因素, 使此方法并不可行。"
举例说明锂与同族的钠、钾元素及化合物的不同点。,"由于 ${\mathrm{{Li}}}^{ + }$ 半径较小,极化能力较强,使锂与同族的钠、钾等元素及化合物有许多不同之处。

（1）锂与水反应不如钠、钾与水反应激烈。主要原因是锂的熔点较高。 $\mathrm{{LiOH}}$ 的溶解度较小。

(2) ${\mathrm{{Li}}}^{ + }$ 极化能力强, ${\mathrm{{LiNO}}}_{3}$ 热分解产物与 ${\mathrm{{NaNO}}}_{3}$ 等不同。

$$
4{\mathrm{{LiNO}}}_{3} = 2{\mathrm{{Li}}}_{2}\mathrm{O} + 4{\mathrm{{NO}}}_{2} \uparrow + {\mathrm{O}}_{2} \uparrow
$$

$$
2{\mathrm{{NaNO}}}_{3}\xrightarrow[]{\bigtriangleup }2{\mathrm{{NaNO}}}_{2} + {\mathrm{O}}_{2} \uparrow
$$

（3）某些锂盐为难溶盐, 而相应的钠盐、钾盐则为易溶盐。

难溶盐: $\mathrm{{LiF}},{\mathrm{{Li}}}_{2}{\mathrm{{CO}}}_{3},{\mathrm{{Li}}}_{3}{\mathrm{{PO}}}_{4}$ ;

易溶盐: $\mathrm{{NaF}},{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3},{\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ ,

$$
\mathrm{{KF}},{\mathrm{K}}_{2}{\mathrm{{CO}}}_{3},{\mathrm{\;K}}_{3}{\mathrm{{PO}}}_{4}\text{。}
$$

（4）锂在空气中燃烧产物与钠、钾不同。钠、钾在空气中燃烧的主要产物为过氧化物; 而锂在空气中燃烧的产物为正常的氧化物。

（5）锂与氮气在室温下即可缓慢化合, 而钠和钾与氮的反应则在高温下才能进行。主要原因是 ${\mathrm{{Li}}}^{ + }$ 半径小, ${\mathrm{{Li}}}_{3}\mathrm{\;N}$ 较稳定。

（6）与 $\mathrm{{NaCl}},\mathrm{{KCl}}$ 不同, $\mathrm{{LiCl}}$ 的水合物受热时发生水解。

（7）锂的氯化物有较明显的共价性, 而钠、钾则形成离子化合物。
"
举例说明锂与镁的相似性。,"(1) 在空气中燃烧均生成正常的氧化物:

$$
4\mathrm{{Li}} + {\mathrm{O}}_{2} = 2{\mathrm{{Li}}}_{2}\mathrm{O}\;2\mathrm{{Mg}} + {\mathrm{O}}_{2} = 2\mathrm{{MgO}}
$$

（2）与 ${\mathrm{N}}_{2}$ 化合能力较强,易生成 ${\mathrm{{Li}}}_{3}\mathrm{\;N}$ 和 ${\mathrm{{Mg}}}_{3}{\mathrm{\;N}}_{2}$ 。

（3）难溶盐: $\mathrm{{LiF}}$ 与 ${\mathrm{{MgF}}}_{2},{\mathrm{{Li}}}_{2}{\mathrm{{CO}}}_{3}$ 与 ${\mathrm{{MgCO}}}_{3},{\mathrm{{Li}}}_{3}{\mathrm{{PO}}}_{4}$ 与 ${\mathrm{{Mg}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}$ 等均为难溶盐。

（4）氢氧化物溶解度较小, 受热易脱水生成氧化物:

$$
2\mathrm{{LiOH}}\xrightarrow[]{\bigtriangleup }{\mathrm{{Li}}}_{2}\mathrm{O} + {\mathrm{H}}_{2}\mathrm{O}\;\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}\xrightarrow[]{\bigtriangleup }\mathrm{{MgO}} + {\mathrm{H}}_{2}\mathrm{O}
$$

（5）硝酸盐热分解产物相似:

$$
4{\mathrm{{LiNO}}}_{3} = 2{\mathrm{{Li}}}_{2}\mathrm{O} + 4{\mathrm{{NO}}}_{2} \uparrow + {\mathrm{O}}_{2} \uparrow
$$

$$
2\mathrm{{Mg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} = 2\mathrm{{MgO}} + 4{\mathrm{{NO}}}_{2} \uparrow + {\mathrm{O}}_{2} \uparrow
$$

（6）水合氯化物受热易水解:

$$
{\mathrm{{MgCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\bigtriangleup }\mathrm{{Mg}}\left( \mathrm{{OH}}\right) \mathrm{{Cl}} + 5{\mathrm{H}}_{2}\mathrm{O} + \mathrm{{HCl}} \uparrow
$$
"
举例说明铍与铝的相似性。,"Be 和 Al 单质及化合物性质有许多相似之处, 可从以下几个方面来理解。

(1) $\mathrm{{Be}}$ 和 $\mathrm{{Al}}$ 都是两性金属,不仅能溶于酸,也都能溶于强碱放出氢气:

$$
\mathrm{{Be}} + 2\mathrm{{NaOH}} + 2{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Be}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack + {\mathrm{H}}_{2} \uparrow
$$

$$
2\mathrm{{Al}} + 2\mathrm{{NaOH}} + 6{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Na}}\left\lbrack {\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack + 3{\mathrm{H}}_{2} \uparrow
$$

（2）铍和铝的氢氧化物都是两性化合物, 易溶于强碱:

$$
\mathrm{{Be}}{\left( \mathrm{{OH}}\right) }_{2} + 2\mathrm{{NaOH}} = {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Be}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack
$$

$$
\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3} + \mathrm{{NaOH}} = \mathrm{{Na}}\left\lbrack {\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack
$$

（3） ${\mathrm{{BeCl}}}_{2}$ 和 ${\mathrm{{AlCl}}}_{3}$ 的共价性明显,易升华、聚合,易溶于有机溶剂。

（4） $\mathrm{{Be}},\mathrm{{Al}}$ 常温下不与水作用,与冷的浓硝酸接触时都发生钝化现象。

（5）铍和铝的盐都易水解。
"
"为什么在配制黑火药时使用 ${\mathrm{{KNO}}}_{3}$ ,而不用 ${\mathrm{{NaNO}}}_{3}$ ?","${\mathrm{{Na}}}^{ + }$ 半径比 ${\mathrm{K}}^{ + }$ 半径小, ${\mathrm{{Na}}}^{ + }$ 极化能力强,水合热大,因而 ${\mathrm{{NaNO}}}_{3}$ 易吸水潮解,配制的黑火药不易长期保存,容易失效; 而 ${\mathrm{{KNO}}}_{3}$ 不易潮解,配制的黑火药可长期保存,不容易失效。
"
"试总结下列卤化物标准摩尔生成热数据的变化规律, 解释其原因; 并预测将 LiI 与 CsF 混合研磨后可能发生的反应。

<table><thead><tr><th rowspan=""2"">卤化物</th><th colspan=""4"">${\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }/\left( {\mathrm{{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right)$</th></tr><tr><th>MF</th><th>MC1</th><th>$\mathrm{{MBr}}$</th><th>MI</th></tr></thead><tr><td>LiX</td><td>$- {616.0}$</td><td>$- {408.6}$</td><td>$- {351.2}$</td><td>$- {270.4}$</td></tr><tr><td>RbX</td><td>$- {557.7}$</td><td>$- {435.4}$</td><td>$- {394.6}$</td><td>$- {333.8}$</td></tr></table>
","从表中可以看出同一碱金属元素,其卤化物的标准摩尔生成热的绝对值随着 ${\mathrm{X}}^{ - }$ 半径的增大而减小。其原因主要是随着 ${\mathrm{X}}^{ - }$ 半径的增大, ${\mathrm{X}}^{ - }$ 与碱金属形成晶体的晶格能逐渐变小, 因此生成时释放的热量逐渐减少。

从 LiF 到 RbF, 标准摩尔生成热的绝对值减小, 其原因是阴、阳离子半径之间越来越不匹配, 导致晶格能降低, 故而生成时释放的热量减少。而从 LiI 到 RbI, 阴、阳离子半径之间则越来越匹配, 故而晶格能升高, 释放的热量增多, 标准摩尔生成热的绝对值增大。

将 LiI 与 CsF 混合研磨后, 将生成 CsI 和 LiF, 因为这样会使阴、阳离子半径之间更匹配, 晶格能更大, 即生成比反应物更稳定的物质。
"
"为什么金属镁不溶于水但溶于氯化铵溶液?
","活泼的金属镁与水反应生成的产物 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}\left( {{K}_{\mathrm{{sp}}}^{ \ominus } = {5.6} \times {10}^{-{12}}}\right)$ 不溶于水,覆盖在金属表面使反应不能继续进行下去。 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 溶液为弱酸性,能够溶解溶解度不是很小的 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ ,故金属镁溶于氯化铵溶液。

$$
\mathrm{{Mg}} + 2{\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{H}}_{2} \uparrow
$$

$$
\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2} + 2{\mathrm{{NH}}}_{4}\mathrm{{Cl}} = {\mathrm{{MgCl}}}_{2} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}
$$
"
"在温度高于 ${1020}\mathrm{\;K}$ 条件下, ${\mathrm{{BeCl}}}_{2}$ 气体以单分子形态存在,其中 $\mathrm{{Be}}$ 为 $\mathrm{{sp}}$ 杂化; 当 ${\mathrm{{BeCl}}}_{2}$ 气体温度低于该温度时,以二聚体形式存在,其中 $\mathrm{{Be}}$ 为 ${\mathrm{{sp}}}^{2}$ 杂化; 无水固态 ${\mathrm{{BeCl}}}_{2}$ 具有链状结构,其中 $\mathrm{{Be}}$ 为 ${\mathrm{{sp}}}^{3}$ 杂化。试分析上述各种 ${\mathrm{{BeCl}}}_{2}$ 的成键形式与空间构型。
","单分子中 $\mathrm{{Be}}$ 原子以 $\mathrm{{sp}}$ 方式杂化,形成两个有单电子的杂化轨道,在空间呈直线形分布。 每个含有单电子的 $\mathrm{{sp}}$ 杂化轨道与 $\mathrm{{Cl}}$ 原子的单电子轨道重叠形成 $\sigma$ 键,故 ${\mathrm{{BeCl}}}_{2}$ 单分子呈直线形。

二聚体中, $\mathrm{{Be}}$ 原子以 ${\mathrm{{sp}}}^{2}$ 方式杂化,形成两个有单电子的杂化轨道和一个空的杂化轨道, 杂化轨道为平面三角形。两个含有单电子的杂化轨道分别与两个 $\mathrm{{Cl}}$ 原子的单电子轨道形成 $\sigma$ 键; 其中一个 $\mathrm{{Cl}}$ 原子为端基 $\mathrm{{Cl}}$ ,而另一个 $\mathrm{{Cl}}$ 原子除了以 $\sigma$ 方式与 $\mathrm{{Be}}$ 原子生成共价键外,还提供孤电子对与另一个 $\mathrm{{Be}}$ 原子中的空 ${\mathrm{{sp}}}^{2}$ 杂化轨道形成配位键,因此分子中每个 $\mathrm{{Be}}$ 原子外均为平面三角形构型。对于链状结构的 ${\mathrm{{BeCl}}}_{2},\mathrm{{Be}}$ 原子以 ${\mathrm{{sp}}}^{3}$ 方式杂化,形成两个有单电子的杂化轨道和两个空的杂化轨道,杂化轨道呈正四面体分布。每个 $\mathrm{{Cl}}$ 原子除了以 $\sigma$ 方式与 $\mathrm{{Be}}$ 原子生成共价键外, 还提供孤电子对与 $\mathrm{{Be}}$ 原子的空 ${\mathrm{{sp}}}^{3}$ 杂化轨道形成配位键,分子中每个 $\mathrm{{Be}}$ 原子均与 4 个 $\mathrm{{Cl}}$ 原子成键,且处于 4 个 $\mathrm{{Cl}}$ 原子构成的正四面体的中心"
"在电炉法炼镁时, 要用大量的冷氢气将炉口馏出的蒸气稀释、降温, 以得到金属镁粉。请问能否用空气、氮气、二氧化碳代替氢气作冷却剂? 为什么?","不能用空气、氮气、二氧化碳代替氢气作冷却剂, 因为电炉法炼镁时炉口馏出的镁蒸气温度很高, 能和空气、氮气、二氧化碳发生反应:

$$
2\mathrm{{Mg}} + {\mathrm{O}}_{2} = 2\mathrm{{MgO}}
$$

$$
3\mathrm{{Mg}} + {\mathrm{N}}_{2} = {\mathrm{{Mg}}}_{3}{\mathrm{\;N}}_{2}
$$

$$
2\mathrm{{Mg}} + {\mathrm{{CO}}}_{2} = 2\mathrm{{MgO}} + \mathrm{C}
$$
"
