question,answer
完成并配平化学反应方程式:将甲酸滴加到热浓硫酸中。,$\mathrm{{HCOOH}}\xrightarrow[]{\text{ 浓 }{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}}\mathrm{{CO}} \uparrow + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向 +3 价铁离子的溶液中加入碳酸钠溶液。,$2{\mathrm{{Fe}}}^{3 + } + 3{\mathrm{{CO}}}_{3}^{2 - } + 3{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{{CO}}}_{2} \uparrow$
完成并配平化学反应方程式:向浓氨水中通入过量 ${\mathrm{{CO}}}_{2}$ ,${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} + {\mathrm{{CO}}}_{2} = {\mathrm{{NH}}}_{4}{\mathrm{{HCO}}}_{3}$
完成并配平化学反应方程式:向 ${\mathrm{{Na}}}_{2}{\mathrm{{SiO}}}_{3}$ 溶液中加入饱和 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 溶液。,${\mathrm{{SiO}}}_{3}^{2 - } + 2{\mathrm{{NH}}}_{4}^{ + } = {\mathrm{H}}_{2}{\mathrm{{SiO}}}_{3} \downarrow + 2{\mathrm{{NH}}}_{3}$
完成并配平化学反应方程式:石英与熔融状态的纯碱作用。,${\mathrm{{SiO}}}_{2} + {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}\xrightarrow[]{\text{ 共熔 }}{\mathrm{{Na}}}_{2}{\mathrm{{SiO}}}_{3} + {\mathrm{{CO}}}_{2} \uparrow$
完成并配平化学反应方程式:二氧化硅溶于过量的氢氟酸中。,${\mathrm{{SiO}}}_{2} + 6\mathrm{{HF}} = {\mathrm{H}}_{2}\left\lbrack {\mathrm{{SiF}}}_{6}\right\rbrack + 2{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:甲硅烷受热分解。,${\mathrm{{SiH}}}_{4}\xrightarrow[]{{500}{}^{ \circ }\mathrm{C}}\mathrm{{Si}} + 2{\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:在乙醚中用氢化铝锂还原四氯化硅。,"${\mathrm{{SiCl}}}_{4} + {\mathrm{{LiAlH}}}_{4}\xrightarrow[]{\text{ 乙醚 }}{\mathrm{{SiH}}}_{4} \uparrow + \mathrm{{LiCl}} + {\mathrm{{AlCl}}}_{3}$
"
完成并配平化学反应方程式:四氟化硅水解。,${\mathrm{{SiF}}}_{4} + 4{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{H}}_{4}{\mathrm{{SiO}}}_{4} \downarrow + 4\mathrm{{HF}}$${\mathrm{{SiF}}}_{4} + 2\mathrm{{HF}} = 2{\mathrm{H}}^{ + } + {\left\lbrack {\mathrm{{SiF}}}_{6}\right\rbrack }^{2 - }$
完成并配平化学反应方程式:甲硅烷在空气中自燃。,${\mathrm{{SiH}}}_{4} + 2{\mathrm{O}}_{2}\xrightarrow[]{\text{ 自燃 }}{\mathrm{{SiO}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O}$
