question,answer
完成并配平化学反应方程式:向三氯化钛溶液中加入稀硝酸。,"$3{\mathrm{{Ti}}}^{3 + } + {\mathrm{{NO}}}_{3}^{ - } + {\mathrm{H}}_{2}\mathrm{O} = 3{\mathrm{{TiO}}}^{2 + } + \mathrm{{NO}} \uparrow + 2{\mathrm{H}}^{ + }$ 或

$3{\mathrm{{TiCl}}}_{3} + {\mathrm{{HNO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O} = 3{\mathrm{{TiOCl}}}_{2} + \mathrm{{NO}} \uparrow + 3\mathrm{{HCl}}$"
"完成并配平化学反应方程式:金属钒溶于浓硝酸。
",$\mathrm{\;V} + 8{\mathrm{{HNO}}}_{3} = \mathrm{V}{\left( {\mathrm{{NO}}}_{3}\right) }_{4} + 4{\mathrm{{NO}}}_{2} \uparrow + 4{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向硫酸氧钛溶液中加入过氧化氢。,${\mathrm{{TiO}}}^{2 + } + {\mathrm{H}}_{2}{\mathrm{O}}_{2} = \mathrm{{Ti}}{\left( {\mathrm{O}}_{2}\right) }^{2 + } + {\mathrm{H}}_{2}\mathrm{O}$
"完成并配平化学反应方程式:用 $\mathrm{{NaH}}$ 还原四氯化钛。
",TiCl $+ 2\mathrm{{NaH}} = \mathrm{{Ti}} + 2\mathrm{{NaCl}} + 2\mathrm{{HCl}}$
完成并配平化学反应方程式:五氧化二钒溶于稀硫酸。,${\mathrm{\;V}}_{2}{\mathrm{O}}_{5} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} = {\left( {\mathrm{{VO}}}_{2}\right) }_{2}{\mathrm{{SO}}}_{4} + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向 ${\mathrm{{VO}}}_{2}^{ + }$ 溶液中加入硫酸亚铁。,${\mathrm{{VO}}}_{2}^{ + } + {\mathrm{{Fe}}}^{2 + } + 2{\mathrm{H}}^{ + } = {\mathrm{{VO}}}^{2 + } + {\mathrm{{Fe}}}^{3 + } + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:酸性条件下用 ${\mathrm{{KMnO}}}_{4}$ 溶液滴定四价钒。,$5{\mathrm{{VO}}}^{2 + } + {\mathrm{{MnO}}}_{4}^{ - } + {\mathrm{H}}_{2}\mathrm{O} = 5{\mathrm{{VO}}}_{2}^{ + } + {\mathrm{{Mn}}}^{2 + } + 2{\mathrm{H}}^{ + }$
完成并配平化学反应方程式:金属钛溶于热的氢氟酸中。,$\mathrm{{Ti}} + 6\mathrm{{HF}}\left( \mathrm{{aq}}\right) \triangleq {\mathrm{H}}_{2}\left\lbrack {\mathrm{{TiF}}}_{6}\right\rbrack + 2{\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:高温下金属钛与氮气作用。,$3\mathrm{{Ti}} + 2{\mathrm{\;N}}_{2}\xrightarrow[]{\text{ 高温 }}{\mathrm{{Ti}}}_{3}{\mathrm{\;N}}_{4}$
完成并配平化学反应方程式:二氧化钛与碳酸钡共熔。,"${\mathrm{{TiO}}}_{2} + {\mathrm{{BaCO}}}_{3}\xrightarrow[]{\text{ 熔融 }}{\mathrm{{BaTiO}}}_{3} + {\mathrm{{CO}}}_{2} \uparrow$
"
完成并配平化学反应方程式:将四氯化钛加到氢氧化钠溶液中。,${\mathrm{{TiCl}}}_{4} + 4\mathrm{{NaOH}}\left( \mathrm{{aq}}\right) = \mathrm{{Ti}}{\left( \mathrm{{OH}}\right) }_{4} \downarrow + 4\mathrm{{NaCl}}$
完成并配平化学反应方程式:金属锌与四氯化钛的盐酸溶液作用。,"$2{\mathrm{{TiCl}}}_{4} + \mathrm{{Zn}}\xrightarrow[]{\mathrm{{HCl}}\left( \mathrm{{aq}}\right) }2{\mathrm{{TiCl}}}_{3} + {\mathrm{{ZnCl}}}_{2}$
"
完成并配平化学反应方程式:金属钒与氢氟酸反应。,$2\mathrm{\;V} + {12}\mathrm{{HF}}\left( \mathrm{{aq}}\right) = 2{\mathrm{H}}_{3}\left\lbrack {\mathrm{{VF}}}_{6}\right\rbrack + 3{\mathrm{H}}_{2} \uparrow$
"完成并配平化学反应方程式:三氯氧钒水解。
",$2{\mathrm{{VOCl}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{V}}_{2}{\mathrm{O}}_{5} \downarrow + 6\mathrm{{HCl}}$
完成并配平化学反应方程式:五氧化二钒与浓盐酸作用。,${\mathrm{\;V}}_{2}{\mathrm{O}}_{5} + 6\mathrm{{HCl}}$ (浓) $= 2{\mathrm{{VOCl}}}_{2} + {\mathrm{{Cl}}}_{2} \uparrow + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向酸性的正钒酸盐中通入硫化氢气体。,$2{\mathrm{H}}_{3}{\mathrm{{VO}}}_{4} + {\mathrm{H}}_{2}\mathrm{\;S} + 4{\mathrm{H}}^{ + } = 2{\mathrm{{VO}}}^{2 + } + 6{\mathrm{H}}_{2}\mathrm{O} + \mathrm{S} \downarrow$
完成并配平化学反应方程式:铌与氧高温下反应。,"$4\mathrm{{Nb}} + 5{\mathrm{O}}_{2}\xrightarrow[]{\text{ 高温 }}2{\mathrm{{Nb}}}_{2}{\mathrm{O}}_{5}$
"
