question,answer
"分别向 ${\mathrm{{FeSO}}}_{4},{\mathrm{{CoSO}}}_{4},{\mathrm{{NiSO}}}_{4}$ 溶液中缓慢滴加氨水,生成的产物和实验现象是什么?
","向 ${\mathrm{{FeSO}}}_{4}$ 溶液中缓慢滴加氨水,先有白色沉淀生成,后迅速变成灰绿色,最终变成红棕色的沉淀:

$$
{\mathrm{{Fe}}}^{2 + } + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow \text{(白色)} + 2{\mathrm{{NH}}}_{4}^{ + }
$$

$$
4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}\text{(红棕色)}
$$

在 ${\mathrm{{CoSO}}}_{4}$ 溶液中滴加氨水,先析出蓝绿色沉淀,氨水过量时沉淀溶解,生成棕黄色溶液, 在空气中放置, 溶液逐渐变成棕褐色:

$$
2{\mathrm{{CoSO}}}_{4} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{2} \cdot {\mathrm{{CoSO}}}_{4} \downarrow + {\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4}
$$

$$
\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{2} \cdot {\mathrm{{CoSO}}}_{4} + {12}{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = 2{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + {\mathrm{{SO}}}_{4}^{2 - } + {12}{\mathrm{H}}_{2}\mathrm{O}
$$

$$
4{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 4{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + } + 4{\mathrm{{OH}}}^{ - }
$$

向 ${\mathrm{{NiSO}}}_{4}$ 溶液中缓慢滴加氨水,先有绿色沉淀生成:

$$
{\mathrm{{Ni}}}^{2 + } + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2{\mathrm{{NH}}}_{4}^{ + }
$$

氨水过量则绿色沉淀溶解,生成蓝色 ${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$ 溶液:

$$
\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} + 6{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$
"
"为什么铝板氧化层用极稀的 $\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液处理后灼烧,即显蓝色?","铝板氧化层用极稀的 $\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液处理后灼烧,加热条件下 $\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 分解生成 $\mathrm{{CoO}}$ :

$$
2\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}\xrightarrow[]{\bigtriangleup }2\mathrm{{CoO}} + 4{\mathrm{{NO}}}_{2} \uparrow + {\mathrm{O}}_{2} \uparrow
$$

$\mathrm{{CoO}}$ 与铝板氧化层的 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 作用生成蓝色的偏铝酸钴:

$$
\mathrm{{CoO}} + {\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} = \mathrm{{Co}}{\left( {\mathrm{{AlO}}}_{2}\right) }_{2}
$$

因而显蓝色。
"
" 利用 ${\mathrm{{NH}}}_{4}\mathrm{{SCN}}$ 试剂鉴定 ${\mathrm{{Co}}}^{2 + }$ 时,为什么要用浓的 ${\mathrm{{NH}}}_{4}\mathrm{{SCN}}$ 溶液,并加丙酮萃取? 溶液中存在什么常见离子时会发生干扰? 如何消除这些干扰?","${\mathrm{{Co}}}^{2 + }$ 与 ${\mathrm{{SCN}}}^{ - }$ 结合形成蓝色的 ${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$ ,常用于 ${\mathrm{{Co}}}^{2 + }$ 的鉴定。但该配离子稳定常数较小,在水溶液中有时不易观察到蓝色。用水稀释时也易变成粉红色的 ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ 。 所以在实际操作时,使用浓的 ${\mathrm{{NH}}}_{4}\mathrm{{SCN}}$ 溶液,并加入丙酮 (或戊醇) 进行萃取,以抑制 ${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$ 的解离,确保观察到该离子显示的蓝色。

溶液中若有 ${\mathrm{{Fe}}}^{3 + }$ 存在,它将与 ${\mathrm{{SCN}}}^{ - }$ 结合形成血红色配离子,干扰 ${\mathrm{{Co}}}^{2 + }$ 的鉴定。通常加入 ${\mathrm{F}}^{ - }$ 与 ${\mathrm{{Fe}}}^{3 + }$ 形成更稳定的 ${\left\lbrack {\mathrm{{FeF}}}_{6}\right\rbrack }^{3 - }$ 无色配离子以消除干扰。
"
"在用稀硫酸清洗被 $\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3}$ 和 $\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}$ 污染的玻璃器皿时,为什么要加入一些过氧化氢溶液?","由于 $\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3}$ 和 $\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2}$ 都是难溶物,它们附着在被污染的玻璃器皿壁上难以完全去除, 在酸性条件下, 加入一些过氧化氢溶液作为还原剂, 把 $\operatorname{Co}\left( \text{ III }\right)$ 和 $\operatorname{Mn}\left( \mathrm{{IV}}\right)$ 还原为易溶物而除去:

$$
2\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3} + {\mathrm{H}}_{2}{\mathrm{O}}_{2} + 4{\mathrm{H}}^{ + } = 2{\mathrm{{Co}}}^{2 + } + {\mathrm{O}}_{2} \uparrow + 6{\mathrm{H}}_{2}\mathrm{O}
$$

$$
\mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{H}}^{ + } = {\mathrm{{Mn}}}^{2 + } + {\mathrm{O}}_{2} \uparrow + 3{\mathrm{H}}_{2}\mathrm{O}
$$
"
"$\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CO}}\right) }_{4}}\right\rbrack$ 和 ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 都是逆磁性的,两者在结构上是否相同? 试用配位化合物的价键理论给予说明。","$\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CO}}\right) }_{4}}\right\rbrack$ 中 $\mathrm{{Ni}}$ 的电子构型为 $3{\mathrm{\;d}}^{10},\mathrm{{Ni}}$ 采取 ${\mathrm{{sp}}}^{3}$ 杂化, $\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CO}}\right) }_{4}}\right\rbrack$ 的空间构型为四面体形, $\mathrm{{Ni}}$ 原子中无成单电子,所以配位化合物为逆磁性。

${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 中 ${\mathrm{{Ni}}}^{2 + }$ 的电子构型为 $3{\mathrm{\;d}}^{8},{\mathrm{{Ni}}}^{2 + }$ 采取 ${\mathrm{{dsp}}}^{2}$ 杂化, ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 的空间构型为平面四边形, ${\mathrm{{Ni}}}^{2 + }$ 中也无成单电子,所以配位化合物也为逆磁性。
"
"写出与下述实验现象有关的化学反应方程式。 向含有 ${\mathrm{{Fe}}}^{2 + }$ 的溶液中加入 $\mathrm{{NaOH}}$ 溶液后生成灰绿色沉淀,空气中放置沉淀逐渐变为棕色。过滤后, 用盐酸溶解棕色沉淀得黄色溶液。向黄色溶液中加几滴 KSCN 溶液则溶液立即变红,再通入 ${\mathrm{{SO}}}_{2}$ 气体则红色消失。向溶液中再滴入 ${\mathrm{{KMnO}}}_{4}$ 溶液,则 ${\mathrm{{KMnO}}}_{4}$ 紫色褪去。最后加入黄血盐溶液时, 生成蓝色沉淀。","${\mathrm{{Fe}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow$ 白色,遇 ${\mathrm{O}}_{2}$ 迅速变灰绿色

$4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{O}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 4\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$ 棕色

$\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} + 3\mathrm{{HCl}} = {\mathrm{{FeCl}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}$ 黄色

${\mathrm{{FeCl}}}_{3} + {\mathrm{{SCN}}}^{ - } = {\left\lbrack \mathrm{{Fe}}\left( \mathrm{{SCN}}\right) \right\rbrack }^{2 + } + 3{\mathrm{{Cl}}}^{ - }\;$ 血红色

$2{\left\lbrack \mathrm{{Fe}}\left( \mathrm{{SCN}}\right) \right\rbrack }^{2 + } + {\mathrm{{SO}}}_{2} + 2{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{Fe}}}^{2 + } + {\mathrm{{SO}}}_{4}^{2 - } + 4{\mathrm{H}}^{ + } + 2{\mathrm{{SCN}}}^{ - }$

${\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{{Fe}}}^{2 + } + 8{\mathrm{H}}^{ + } = {\mathrm{{Mn}}}^{2 + } + 5{\mathrm{{Fe}}}^{3 + } + 4{\mathrm{H}}_{2}\mathrm{O}$

${\mathrm{{Fe}}}^{3 + } + {\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - } + {\mathrm{K}}^{ + } = \mathrm{K}\left\lbrack {\mathrm{{Fe}}\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack \downarrow$ 蓝色
"
"给出下列实验的现象和化学反应方程式。向含有 ${\mathrm{{CCl}}}_{4}$ 的黄血盐溶液中滴加碘水;
","向含有 ${\mathrm{{CCl}}}_{4}$ 的黄血盐溶液中滴加碘水, ${\mathrm{I}}_{2}$ 的颜色消失:

$$
2{\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - } + {\mathrm{I}}_{2} = 2{\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - } + 2{\mathrm{I}}^{ - }
$$
"
"给出下列实验的现象和化学反应方程式。将 $3\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{CoCl}}}_{2}$ 溶液加热,再滴加 ${\mathrm{{AgNO}}}_{3}$ 溶液;","将 $3\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{CoCl}}}_{2}$ 溶液加热,溶液由粉红色变蓝色:

$$
{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + } + 4{\mathrm{{Cl}}}^{ - } = {\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$

再加入 ${\mathrm{{AgNO}}}_{3}$ 溶液,溶液由蓝色变粉红色,并有白色沉淀生成:

$$
{\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - } + 4{\mathrm{{Ag}}}^{ + } + 6{\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + } + 4\mathrm{{AgCl}} \downarrow
$$
"
给出下列实验的现象和化学反应方程式。将 $\left\lbrack {\mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}}\right\rbrack {\mathrm{{SO}}}_{4}$ 溶液水浴加热一段时间再加氨水;,"水浴加热一段时间后, 有绿色沉淀生成:

$$
{\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + 2{\mathrm{H}}_{2}\mathrm{O}\overset{\bigtriangleup }{ \rightleftharpoons }\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2{\mathrm{{NH}}}_{4}^{ + } + 4{\mathrm{{NH}}}_{3} \uparrow
$$

再加入氨水, 沉淀又溶解, 得蓝色溶液:

$$
\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2} + 6{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$
"
"给出下列实验的现象和化学反应方程式。用浓盐酸处理 $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3},\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3},\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{3}$ 。","用浓盐酸处理 $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$ 时,棕色 $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$ 溶解,得黄色溶液:

$$
\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3} + 3\mathrm{{HCl}} = {\mathrm{{FeCl}}}_{3} + 3{\mathrm{H}}_{2}\mathrm{O}
$$

用浓盐酸处理 $\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3}$ 时,棕褐色 $\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3}$ 溶解,得粉红色溶液,并有氯气放出:

$$
2\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{3} + 2{\mathrm{{Cl}}}^{ - } + 6{\mathrm{H}}^{ + } + 6{\mathrm{H}}_{2}\mathrm{O} = 2{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + } + {\mathrm{{Cl}}}_{2} \uparrow
$$

浓盐酸过量时, 溶液变蓝:

$$
{\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + } + 4{\mathrm{{Cl}}}^{ - } = {\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$

用浓盐酸处理 $\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{3}$ 时,黑色 $\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{3}$ 溶解,得绿色溶液并有氯气放出:

$$
2\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{3} + 2{\mathrm{{Cl}}}^{ - } + 6{\mathrm{H}}^{ + } + 6{\mathrm{H}}_{2}\mathrm{O} = 2{\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + } + {\mathrm{{Cl}}}_{2} \uparrow
$$
"
