question,answer
完成并配平化学反应方程式:向 ${\mathrm{{ZnCl}}}_{2}$ 的稀溶液中连续滴加氢氧化钠溶液。,"${\mathrm{{ZnCl}}}_{2} + 2\mathrm{{NaOH}} = \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2\mathrm{{NaCl}}$

$\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} + 2\mathrm{{NaOH}} = {\mathrm{{Na}}}_{2}\left\lbrack {\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}}\right\rbrack$"
完成并配平化学反应方程式:向 ${\mathrm{{CdCl}}}_{2}$ 的稀溶液中连续滴加氢氧化钠溶液。,${\mathrm{{CdCl}}}_{2} + 2\mathrm{{NaOH}} = \mathrm{{Cd}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2\mathrm{{NaCl}}$
完成并配平化学反应方程式:向 ${\mathrm{{ZnCl}}}_{2}$ 的稀溶液中连续滴加氨水。,"${\mathrm{{ZnCl}}}_{2} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + 2{\mathrm{{NH}}}_{4}\mathrm{{Cl}}$
$\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} + 4{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = {\left\lbrack \mathrm{{Zn}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + } + 2{\mathrm{{OH}}}^{ - } + 4{\mathrm{H}}_{2}\mathrm{O}$"
完成并配平化学反应方程式:向 $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中滴加氢氧化钠溶液。,$\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 2\mathrm{{NaOH}} = \mathrm{{HgO}} \downarrow + 2{\mathrm{{NaNO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:向 ${\mathrm{{HgCl}}}_{2}$ 溶液中滴加氨水。,"${\mathrm{{HgCl}}}_{2} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Hg}}\left( {\mathrm{{NH}}}_{2}\right) \mathrm{{Cl}} \downarrow + {\mathrm{{NH}}}_{4}\mathrm{{Cl}} + 2{\mathrm{H}}_{2}\mathrm{O}$

"
完成并配平化学反应方程式:向 $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中连续滴加碘化钾溶液。,"${\mathrm{{Hg}}}^{2 + } + 2{\mathrm{I}}^{ - } = {\mathrm{{HgI}}}_{2} \downarrow$

${\mathrm{{HgI}}}_{2} + 2{\mathrm{I}}^{ - } = {\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }$"
完成并配平化学反应方程式:奈斯勒试剂与 ${\mathrm{{NH}}}_{4}^{ + }$ 作用。,"$2{\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - } + {\mathrm{{NH}}}_{4}^{ + } + 4{\mathrm{{OH}}}^{ - } = \left\lbrack {\mathrm{O}\overset{\mathrm{{Hg}} \smallsetminus }{\overbrace{}}{\mathrm{{NH}}}_{2}}\right\rbrack \mathrm{I} \downarrow + 7{\mathrm{I}}^{ - } + 3{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:氯化汞与亚锡离子反应。,"$2{\mathrm{{HgCl}}}_{2} + {\mathrm{{Sn}}}^{2 + } = {\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2} \downarrow + {\mathrm{{Sn}}}^{4 + } + 2{\mathrm{{Cl}}}^{ - }$

${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2} + {\mathrm{{Sn}}}^{2 + } = 2\mathrm{{Hg}} + {\mathrm{{Sn}}}^{4 + } + 2{\mathrm{{Cl}}}^{ - }$"
完成并配平化学反应方程式:氯化铜溶液与亚硫酸氢钠溶液混合后微热。,$2{\mathrm{{CuCl}}}_{2} + {\mathrm{{NaHSO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\Delta }2\mathrm{{CuCl}} \downarrow + {\mathrm{{NaHSO}}}_{4} + 2\mathrm{{HCl}}$
完成并配平化学反应方程式:向 ${\mathrm{{CuSO}}}_{4}$ 溶液中连续滴加 $\mathrm{{NaCN}}$ 溶液。,"$2{\mathrm{{Cu}}}^{2 + } + 4{\mathrm{{CN}}}^{ - } = 2\mathrm{{CuCN}} \downarrow + {\left( \mathrm{{CN}}\right) }_{2} \uparrow$

$\mathrm{{CuCN}} + {\mathrm{{CN}}}^{ - } = {\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{2}\right\rbrack }^{ - }$"
完成并配平化学反应方程式:氯化亚铜暴露于空气中。,$\mathrm{{4CuCl}} + {\mathrm{O}}_{2} = 2{\mathrm{{CuCl}}}_{2} \cdot \mathrm{{CuO}}$
