question,answer
"解释实验现象。向盛有 ${\mathrm{{CuSO}}}_{4}$ 溶液的试管中加入 $\mathrm{{NaOH}}$ 溶液,析出浅蓝色沉淀,然后将试管水浴加热则沉淀变黑;"," 生成的浅蓝色沉淀为 $\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$ :

$$
{\mathrm{{CuSO}}}_{4} + 2\mathrm{{NaOH}} = \mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow + {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}
$$

微热 $\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$ 则转化为黑色的 $\mathrm{{CuO}}$ :

$$
\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}\xrightarrow[]{\bigtriangleup }\mathrm{{CuO}} + {\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。向 ${\mathrm{{HgCl}}}_{2}$ 溶液中加入 $\mathrm{{NaOH}}$ 溶液析出黄色沉淀,而向 ${\mathrm{{HgCl}}}_{2}$ 溶液中加入氨水析出白色沉淀;"," ${\mathrm{{Hg}}}^{2 + }$ 遇 $\mathrm{{NaOH}}$ 溶液生成黄色 $\mathrm{{HgO}}$ 沉淀:

$$
{\mathrm{{Hg}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{HgO}} \downarrow + {\mathrm{H}}_{2}\mathrm{O}
$$

${\mathrm{{HgCl}}}_{2}$ 与氨水反应生成白色 $\mathrm{{Hg}}\left( {\mathrm{{NH}}}_{2}\right) \mathrm{{Cl}}$ 沉淀:

$$
{\mathrm{{HgCl}}}_{2} + 2{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{Hg}}\left( {\mathrm{{NH}}}_{2}\right) \mathrm{{Cl}} \downarrow + {\mathrm{{NH}}}_{4}\mathrm{{Cl}} + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。 $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶于水时析出黄色沉淀,而 ${\mathrm{{HgCl}}}_{2}$ 溶于水时没有明显的沉淀析出;"," $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 为离子化合物, $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 在水中水解析出黄色 $\mathrm{{HgO}} \cdot \mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 沉淀:

$$
2\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{HgO}} \cdot \mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} \downarrow + 2{\mathrm{{HNO}}}_{3}
$$

而 ${\mathrm{{HgCl}}}_{2}$ 为共价化合物,在水中主要以分子形式存在,虽有部分水解,但没有明显的沉淀析出。
"
"解释实验现象。黄色的 $\mathrm{{AgI}}$ 受热时显红色,低温时显白色,而 $\mathrm{{AgCl}}$ 常温下显白色;","温度的改变对于极化和电荷迁移有影响, 所以影响到物质的颜色变化。

$\mathrm{{AgI}}$ 中 ${\mathrm{{Ag}}}^{ + }$ 与 ${\mathrm{I}}^{ - }$ 之间有强的相互极化作用,电子吸收蓝色光即可发生跃迁,因而 $\mathrm{{AgI}}$ 常温下显黄色。高温下极化作用更强, 电荷迁移更容易, 吸收比蓝色光能量更低的蓝绿色光即可, 故高温时 AgI 显红色。低温时电荷迁移困难, 需吸收紫外光, 因而 AgI 显白色。 同理 $\mathrm{{AgCl}}$ 因 ${\mathrm{{Cl}}}^{ - }$ 的变形性小,不易给出电子,电荷跃迁所吸收的能量不在可见光区,因而 $\mathrm{{AgCl}}$ 显白色。
"
"解释实验现象。铜与 $\mathrm{{NaCN}}$ 溶液作用放出 ${\mathrm{H}}_{2}$ ,而且在有氧气存在时铜能溶于浓氨水;","与配位化合物的稳定性有关。 ${K}_{\text{总 }}^{ \ominus }$ ( ${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - }$ ) 的大小决定了 ${E}^{ \ominus }\left( {{\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - }/\mathrm{{Cu}}}\right) < {E}^{ \ominus }\left( {{\mathrm{H}}_{2}\mathrm{O}/{\mathrm{H}}_{2}}\right)$ ,所以铜与 ${\mathrm{{CN}}}^{ - }$ 作用放出 ${\mathrm{H}}_{2}$ :

$$
2\mathrm{{Cu}} + 8{\mathrm{{CN}}}^{ - } + 2{\mathrm{H}}_{2}\mathrm{O} = 2{\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - } + 2{\mathrm{{OH}}}^{ - } + {\mathrm{H}}_{2} \uparrow
$$

${K}_{n}^{ \ominus }\left( {\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }\right)$ 的大小决定了 ${E}^{ \ominus }\left( {{\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }/\mathrm{{Cu}}}\right) < {E}^{ \ominus }\left( {{\mathrm{O}}_{2}/{\mathrm{{OH}}}^{ - }}\right)$ ,导致在有氧气存在的条件下铜能溶于氨水:

$$
2\mathrm{{Cu}} + 8{\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O} + {\mathrm{O}}_{2} = 2{\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + } + 4{\mathrm{{OH}}}^{ - } + 6{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。铜可溶于硝酸, 而金只能溶于王水;","与金属的活泼性有关。铜不能与稀盐酸或稀硫酸作用而放出 ${\mathrm{H}}_{2}$ ,但可溶于硝酸。 金的金属活性最差, 只能溶于王水:

$$
\mathrm{{Cu}} + 4{\mathrm{{HNO}}}_{3}\text{ (浓) } = \mathrm{{Cu}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} + 2{\mathrm{{NO}}}_{2} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}
$$

$$
\mathrm{{Au}} + {\mathrm{{HNO}}}_{3} + 4\mathrm{{HCl}} = \mathrm{H}\left\lbrack {\mathrm{{AuCl}}}_{4}\right\rbrack + \mathrm{{NO}} \uparrow + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。向 ${\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - }$ 溶液中不断滴加盐酸,先有白色沉淀生成,继而沉淀溶解;"," $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$ 具有两性, ${\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - }$ 遇酸后先生成 $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$ 白色沉淀。继续加入酸, $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$ 显碱性,与酸成盐而溶解:

$$
{\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - } + 2{\mathrm{H}}^{ + } = \mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow \text{(白色)} + 2{\mathrm{H}}_{2}\mathrm{O}
$$

$$
\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2} + 2{\mathrm{H}}^{ + } = {\mathrm{{Zn}}}^{2 + } + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
"解释实验现象。向 ${\mathrm{{Hg}}}_{2}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中不断滴加 $\mathrm{{KI}}$ 溶液,先有黄色沉淀生成,继而沉淀颜色加深,最后得到黑色沉淀和无色溶液;"," ${\mathrm{{Hg}}}_{2}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 与 ${\mathrm{I}}^{ - }$ 先生成亚汞盐的沉淀, ${\mathrm{{Hg}}}_{2}{\mathrm{I}}_{2}$ 不稳定,歧化分解生成黑色的金属汞和 +2 价汞的配位化合物:

$$
{\mathrm{{Hg}}}_{2}^{2 + } + 2{\mathrm{I}}^{ - } = {\mathrm{{Hg}}}_{2}{\mathrm{I}}_{2} \downarrow \text{(黄色)}
$$

$$
{\mathrm{{Hg}}}_{2}{\mathrm{I}}_{2} = \mathrm{{Hg}}\left( \text{黑色}\right) + {\mathrm{{HgI}}}_{2}\text{(红色)}
$$

继续滴加 $\mathrm{{KI}}$ ,沉淀溶于过量的 $\mathrm{{KI}}$ 溶液中,形成无色的 ${\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }$ 配离子:

$$
{\mathrm{{HgI}}}_{2} + 2{\mathrm{I}}^{ - } = {\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }
$$
"
"解释实验现象。向 $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中不断滴加 $\mathrm{{KI}}$ 溶液,先有红色沉淀生成,继而沉淀消失得到无色溶液。","向 ${\mathrm{{Hg}}}^{2 + }$ 中滴加 $\mathrm{{KI}}$ 溶液,首先生成红色的碘化汞沉淀:

$$
{\mathrm{{Hg}}}^{2 + } + 2{\mathrm{I}}^{ - } = {\mathrm{{HgI}}}_{2} \downarrow \text{(红色)}
$$

继续滴加 $\mathrm{{KI}}$ ,沉淀溶于过量的 $\mathrm{{KI}}$ 溶液中,形成无色的 ${\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }$ 配离子。

$$
{\mathrm{{HgI}}}_{2} + 2{\mathrm{I}}^{ - } = {\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }\text{(无色)}
$$
"
解释下列实验事实。加热 ${\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 得不到无水 ${\mathrm{{CuCl}}}_{2}$ ;,"${\mathrm{{Cu}}}^{2 + }$ 极化能力较强,而 $\mathrm{{HCl}}$ 为挥发性酸, ${\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 受热时发生水解,因而得不到无水 ${\mathrm{{CuCl}}}_{2}$ :

$$
{\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[]{\bigtriangleup }\mathrm{{Cu}}\left( \mathrm{{OH}}\right) \mathrm{{Cl}} + {\mathrm{H}}_{2}\mathrm{O} \uparrow + \mathrm{{HCl}} \uparrow
$$

$$
\mathrm{{Cu}}\left( \mathrm{{OH}}\right) \mathrm{{Cl}}\xrightarrow[]{\bigtriangleup }\mathrm{{CuO}} + \mathrm{{HCl}} \uparrow
$$
"
