question,answer
以铬铁矿为主要原料生产重铬酸钾。," (1) 铬酸钠的生成 将铬铁矿和纯碱置于铁坩埚中, 在空气中加热, 发生如下反应:

$$
4\mathrm{{Fe}}{\left( {\mathrm{{CrO}}}_{2}\right) }_{2} + 8{\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} + 7{\mathrm{O}}_{2}\xrightarrow[]{\bigtriangleup }8{\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4} + 2{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} + 8{\mathrm{{CO}}}_{2}
$$

产物中的 ${\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4}$ 和 ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ 结成块状物,可以将结块置于水中煮沸,浸取,滤掉 ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ , 得 ${\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4}$ 溶液。

（2）重铬酸钠的生成 向 ${\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4}$ 溶液中加酸,发生如下反应:

$$
2{\mathrm{{Na}}}_{2}{\mathrm{{CrO}}}_{4} + 2{\mathrm{H}}^{ + } = {\mathrm{{Na}}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + {\mathrm{H}}_{2}\mathrm{O} + 2{\mathrm{{Na}}}^{ + }
$$

（3）重铬酸钾的生成 向 ${\mathrm{{Na}}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 溶液中加入 $\mathrm{{KCl}}$ :

$$
{\mathrm{{Na}}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + 2\mathrm{{KCl}} = {\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + 2\mathrm{{NaCl}}
$$

${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 溶解度随温度变化较大,溶液蒸发浓缩后趁热过滤除去 $\mathrm{{NaCl}}$ 等,将滤液冷却后析出 ${\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 晶体。"
试分离下列离子。${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Al}}}^{3 + }$,"向含有 ${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Al}}}^{3 + }$ 的溶液中加入过量的 $\mathrm{{NaOH}}$ 和 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 溶液, ${\mathrm{{Cr}}}^{3 + }$ 被氧化为 ${\mathrm{{CrO}}}_{4}^{2 - },{\mathrm{{Al}}}^{3 + }$ 被转化为 ${\mathrm{{AlO}}}_{2}^{ - }$ 。加热分解掉过量的 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 后再将溶液调至弱酸性,加入 ${\mathrm{{BaCl}}}_{2}$ 溶液则 ${\mathrm{{CrO}}}_{4}^{2 - }$ 转化为 ${\mathrm{{BaCrO}}}_{4}$ 沉淀, ${\mathrm{{Al}}}^{3 + }$ 留在溶液中:

$$
2{\mathrm{{CrO}}}_{2}^{ - } + 3{\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{{OH}}}^{ - } = 2{\mathrm{{CrO}}}_{4}^{2 - } + 4{\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{{CrO}}}_{4}^{2 - } + {\mathrm{{Ba}}}^{2 + } = {\mathrm{{BaCrO}}}_{4} \downarrow
$$

$$
{\mathrm{{Al}}}^{3 + } + 4{\mathrm{{OH}}}^{ - } = {\mathrm{{AlO}}}_{2}^{ - } + 2{\mathrm{H}}_{2}\mathrm{O}
$$
"
试分离下列离子。 ${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Mn}}}^{2 + }$ ,"向含有 ${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Mn}}}^{2 + }$ 的溶液中加入过量的 $\mathrm{{NaOH}}$ 溶液, ${\mathrm{{Mn}}}^{2 + }$ 生成沉淀而 ${\mathrm{{Cr}}}^{3 + }$ 生成可溶性的物质留在溶液中:

$$
{\mathrm{{Mn}}}^{2 + } + 2{\mathrm{{OH}}}^{ - } = \mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} \downarrow
$$

$$
{\mathrm{{Cr}}}^{3 + } + 4{\mathrm{{OH}}}^{ - } = {\left\lbrack \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{ - }
$$
"
试分离下列离子。 ${\mathrm{{Mn}}}^{2 + }$ 和 ${\mathrm{{Cu}}}^{2 + }$ ,"向含有 ${\mathrm{{Mn}}}^{2 + }$ 和 ${\mathrm{{Cu}}}^{2 + }$ 的溶液中加入一定量 $1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 的盐酸,并通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体, ${\mathrm{{Cu}}}^{2 + }$ 生成沉淀 $\mathrm{{CuS}}$ ,而 ${\mathrm{{Mn}}}^{2 + }$ 在酸性条件下不生成 MnS 沉淀而留在溶液中:

$$
{\mathrm{{Cu}}}^{2 + } + {\mathrm{H}}_{2}\mathrm{\;S} = \mathrm{{CuS}} \downarrow + 2{\mathrm{H}}^{ + }
$$
"
"实验室经常用 ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8},{\mathrm{{PbO}}}_{2},{\mathrm{{NaBiO}}}_{3}$ 为氧化剂鉴定 ${\mathrm{{Mn}}}^{2 + }$ ,请给出鉴定反应的化学反应方程式和反应条件。
","反应须在酸性条件下进行, 但酸化时不能用还原性酸, 如盐酸等。

${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}$ 氧化能力虽强,但与 ${\mathrm{{Mn}}}^{2 + }$ 反应速率慢,需要加入 ${\mathrm{{Ag}}}^{ + }$ 催化并在加热条件下反应:

$$
2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}^{2 - } + 8{\mathrm{H}}_{2}\mathrm{O}\xrightarrow[\bigtriangleup ]{{\mathrm{{Ag}}}^{ + }}2{\mathrm{{MnO}}}_{4}^{ - } + {10}{\mathrm{{SO}}}_{4}^{2 - } + {16}{\mathrm{H}}^{ + }
$$

由标准电极电势 ${E}^{ \ominus }\left( {{\mathrm{{PbO}}}_{2}/{\mathrm{{Pb}}}^{2 + }}\right) = {1.46}\mathrm{\;V}$ 可知,在标准状态下 ${\mathrm{{PbO}}}_{2}$ 氧化能力不如 ${\mathrm{{MnO}}}_{4}^{ - }$ 。为提高氧化能力,在 ${\mathrm{{PbO}}}_{2}$ 与 ${\mathrm{{Mn}}}^{2 + }$ 反应时使用硫酸酸化, ${\mathrm{{Pb}}}^{2 + }$ 生成溶解度小的 ${\mathrm{{PbSO}}}_{4}$ 而使 $E\left( {{\mathrm{{PbO}}}_{2}/{\mathrm{{Pb}}}^{2 + }}\right)$ 增大; 为加快反应需要加热:

$$
2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{{PbO}}}_{2} + 4{\mathrm{H}}^{ + } + 5{\mathrm{{SO}}}_{4}^{2 - }\overset{\bigtriangleup }{ \rightleftharpoons }2{\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{{PbSO}}}_{4} + 2{\mathrm{H}}_{2}\mathrm{O}
$$

${\mathrm{{NaBiO}}}_{3}$ 氧化能力强,与 ${\mathrm{{Mn}}}^{2 + }$ 反应速率较快,反应时用硫酸和硝酸酸化均可,也无须加热:

$$
2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{{NaBiO}}}_{3} + {14}{\mathrm{H}}^{ + } = 2{\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{{Bi}}}^{3 + } + 5{\mathrm{{Na}}}^{ + } + 7{\mathrm{H}}_{2}\mathrm{O}
$$
"
"一黄色固体,可能是 ${\mathrm{{PbCrO}}}_{4},{\mathrm{{BaCrO}}}_{4}$ 或 ${\mathrm{{SrCrO}}}_{4}$ ,请加以鉴别。","若固体溶于 $\mathrm{{HAc}}$ ,则黄色固体为 ${\mathrm{{SrCrO}}}_{4}$ :

$$
2{\mathrm{{SrCrO}}}_{4} + 2{\mathrm{H}}^{ + } = 2{\mathrm{{Sr}}}^{2 + } + {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + {\mathrm{H}}_{2}\mathrm{O}
$$

若分别加入 ${\mathrm{{HNO}}}_{3}$ 和 $\mathrm{{NaOH}}$ 溶液,固体均溶解,说明黄色固体为 ${\mathrm{{PbCrO}}}_{4}$ :

$$
2{\mathrm{{PbCrO}}}_{4} + 2{\mathrm{H}}^{ + } = 2{\mathrm{{Pb}}}^{2 + } + {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + {\mathrm{H}}_{2}\mathrm{O}
$$

$$
{\mathrm{{PbCrO}}}_{4} + 4{\mathrm{{OH}}}^{ - } = {\left\lbrack \mathrm{{Pb}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{2 - } + {\mathrm{{CrO}}}_{4}^{2 - }
$$

若固体溶于硝酸,但在硫酸中转化为白色沉淀,说明黄色固体为 ${\mathrm{{BaCrO}}}_{4}$ :

$$
2{\mathrm{{BaCrO}}}_{4} + 2{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} = 2{\mathrm{{BaSO}}}_{4} + {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + {\mathrm{H}}_{2}\mathrm{O} + 2{\mathrm{H}}^{ + }
$$
"
"",
"",
"",
"",
