question,answer
完成并配平化学反应方程式:金属铬缓慢地溶于盐酸。,$\mathrm{{Cr}} + 2\mathrm{{HCl}} = {\mathrm{{CrCl}}}_{2} + {\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:三氧化二铬与氯酸钾共熔。,$4{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3} + {16}{\mathrm{{KClO}}}_{3}\xrightarrow[]{\text{ 熔融 }}8{\mathrm{\;K}}_{2}{\mathrm{{CrO}}}_{4} + {14}{\mathrm{{ClO}}}_{2} \uparrow + {\mathrm{{Cl}}}_{2} \uparrow$
完成并配平化学反应方程式:三氧化二铬与硫酸氢钾共熔。,"${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3} + 6{\mathrm{{KHSO}}}_{4}\xrightarrow[]{\text{ 熔融 }}{\mathrm{{Cr}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} + 3{\mathrm{\;K}}_{2}{\mathrm{{SO}}}_{4} + 3{\mathrm{H}}_{2}\mathrm{O}$
"
完成并配平化学反应方程式:三氧化铬受热分解。,$4{\mathrm{{CrO}}}_{3}\xrightarrow[]{\bigtriangleup }2{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3} + 3{\mathrm{O}}_{2} \uparrow$
完成并配平化学反应方程式:向 +3 价铬离子溶液中加入硫化钠溶液。,$2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{\;S}}^{2 - } + 6{\mathrm{H}}_{2}\mathrm{O} = 2\mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{3} \downarrow + 3{\mathrm{H}}_{2}\mathrm{\;S} \uparrow$
完成并配平化学反应方程式:将重铬酸钾加到氢溴酸中。,${\mathrm{\;K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + {14}\mathrm{{HBr}}$ (aq) $= 2{\mathrm{{CrBr}}}_{3} + 2\mathrm{{KBr}} + 3{\mathrm{{Br}}}_{2} + 7{\mathrm{H}}_{2}\mathrm{O}$
"完成并配平化学反应方程式:重铬酸钾与氯化钾混合后, 滴加浓硫酸并加热。",${\mathrm{\;K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7} + 4\mathrm{{KCl}} + 3{\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $\xrightarrow[]{\bigtriangleup }2{\mathrm{{CrO}}}_{2}{\mathrm{{Cl}}}_{2} + 3{\mathrm{\;K}}_{2}{\mathrm{{SO}}}_{4} + 3{\mathrm{H}}_{2}\mathrm{O}$
完成并配平化学反应方程式:单质锰与热水反应。,$\mathrm{{Mn}} + 2{\mathrm{H}}_{2}\mathrm{O}$ (热) $= \mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2} + {\mathrm{H}}_{2} \uparrow$
完成并配平化学反应方程式:硫化锰沉淀在空气中放置。,$\mathrm{{MnS}} + {\mathrm{O}}_{2} + {\mathrm{H}}_{2}\mathrm{O} = \mathrm{{MnO}}{\left( \mathrm{{OH}}\right) }_{2} + \mathrm{S}$
完成并配平化学反应方程式:硫酸锰晶体受热分解。,${\mathrm{{MnSO}}}_{4}\xrightarrow[]{\bigtriangleup }{\mathrm{{MnO}}}_{2} + {\mathrm{{SO}}}_{2} \uparrow$
