question,answer
"在一次渗流实验中,一定物质的量的未知气体通过小孔渗向真空,需要的时间为 $5\mathrm{\;s}$ ; 在相同条件下相同物质的量的氧气渗流需要 ${20}\mathrm{\;s}$ ,则未知气体的相对分子质量应是
(A) 2 ; (B) 4 ; (C) 8 ; (D) 16 。",A
"实验测得 ${\mathrm{H}}_{2}$ 的扩散速率是一未知气体扩散速率的 2.9 倍,则该未知气体的相对分子质量约为

(A) 51 ; (B) 34 ; (C) 17 ; (D) 28 。",C
" 一敞口烧瓶在 ${7}^{ \circ }\mathrm{C}$ 时盛满某种气体,欲使 $1/3$ 的气体逸出烧瓶,需要将烧瓶加热达到的温度为

(A) ${840}^{ \circ }\mathrm{C}$ ; (B) ${693}^{ \circ }\mathrm{C}$ ; (C) ${420}^{ \circ }\mathrm{C}$ ; (D) ${147}^{ \circ }\mathrm{C}$ 。",D
"在 ${25}^{ \circ }\mathrm{C},{101.3}\mathrm{{kPa}}$ 时,下面几种气体的混合气体中分压最大的是

(A) ${0.1}\mathrm{\;g}{\mathrm{H}}_{2}$ ; (B) ${1.0}\mathrm{\;g}\mathrm{{He}}$ ; (C) ${5.0}\mathrm{\;g}{\mathrm{\;N}}_{2}$ ; (D) ${10}\mathrm{\;g}{\mathrm{{CO}}}_{2}$ 。",B
"合成氨的原料气中氢气和氮气的体积比为 $3 : 1$ ,若原料气中含有其他杂质气体的体积分数为 $4\%$ ,原料气总压为 ${15198.75}\mathrm{{kPa}}$ ,则氮气的分压是

(A) ${3799.7}\mathrm{{kPa}}$ ; (B) ${10943.1}\mathrm{{kPa}}$ ;

(C) ${3647.7}\mathrm{{kPa}}$ ; (D) ${11399.1}\mathrm{{kPa}}$ 。",C
"将一定量 ${\mathrm{{KClO}}}_{3}$ 加热后,其质量减少了 ${0.48}\mathrm{\;g}$ 。生成的氧气用排水集气法收集。若温度为 ${21}^{ \circ }\mathrm{C}$ ,压强为 ${99591.8}\mathrm{\;{Pa}}$ ,水的饱和蒸气压为 ${2479.8}\mathrm{\;{Pa}}$ ,氧气的相对分子质量为 32.0, 则收集到的气体体积为

(A) ${188.5}{\mathrm{\;{cm}}}^{3}$ ; (B) ${754}{\mathrm{\;{cm}}}^{3}$ ; (C) ${565.5}{\mathrm{\;{cm}}}^{3}$ ; (D) ${377.6}{\mathrm{\;{cm}}}^{3}$ 。",D
"由 ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{2}$ 分解得氮气和水。在 ${23}^{ \circ }\mathrm{C},{95549.5}\mathrm{\;{Pa}}$ 条件下,用排水集气法收集到 ${57.5}{\mathrm{\;{cm}}}^{3}$ 氮气。已知水的饱和蒸气压为 ${2813.1}\mathrm{\;{Pa}}$ ,则干燥后的氮气的体积为

(A) ${55.8}{\mathrm{\;{cm}}}^{3}$ ; (B) ${27.9}{\mathrm{\;{cm}}}^{3}$ ; (C) ${46.5}{\mathrm{\;{cm}}}^{3}$ ; (D) ${18.6}{\mathrm{\;{cm}}}^{3}$ 。",A
"若溶液的浓度都为 ${0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,则下列水溶液的沸点由高到低排列,顺序正确的是

(A) ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4},\mathrm{{NaCl}},\mathrm{{HAc}}$ ; (B) ${\mathrm{{Al}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3},\mathrm{{NaCl}},{\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ;

(C) $\mathrm{{NaAc}},{\mathrm{K}}_{2}{\mathrm{{CrO}}}_{4},\mathrm{{NaCl}}$ ; (D) $\mathrm{{NaCl}},{\mathrm{K}}_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7},{\mathrm{{CaCl}}}_{2}$ 。",A
" 如果某水合盐的蒸气压低于相同温度下水的蒸气压, 则这种盐可能会发生的现象是

(A) 起泡; (B) 风化; (C) 潮解; (D) 不受大气组成影响。",C
"在 ${100}\mathrm{\;g}$ 水中含 ${4.5}\mathrm{\;g}$ 某非电解质的溶液于 $- {0.465}{}^{ \circ }\mathrm{C}$ 时结冰,则该非电解质的相对分子质量约为 (已知水的 ${K}_{\mathrm{f}} = {1.86}\mathrm{\;K} \cdot \mathrm{{kg}} \cdot {\mathrm{{mol}}}^{-1}$ )

(A) 90 ; (B) 135 ; (C) 172 ; (D) 180 。",D
