question,answer
"${298}\mathrm{\;K}$ 时, ${\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{l}\right) \rightleftharpoons {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ 达平衡时,体系的水蒸气压为 ${3.13}\mathrm{{kPa}}$ ,则标准平衡常数 ${K}^{ \ominus }$ 为

(A) 100 ; (B) ${3.13} \times {10}^{-2}$ ; (C) 3.13 ; (D) 1 。",B
"下列反应中, ${K}^{ \ominus }$ 值小于 ${K}_{p}$ 值的是

(A) ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right) = 2\mathrm{{HCl}}\left( \mathrm{g}\right)$ ; (B) ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + \mathrm{S}\left( \mathrm{g}\right) = {\mathrm{H}}_{2}\mathrm{\;S}\left( \mathrm{\;g}\right)$ ;

(C) ${\mathrm{{CaCO}}}_{3}\left( \mathrm{\;s}\right) = \mathrm{{CaO}}\left( \mathrm{s}\right) + {\mathrm{{CO}}}_{2}\left( \mathrm{\;g}\right)$ ; (D) $\mathrm{C}\left( \mathrm{s}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{{CO}}}_{2}\left( \mathrm{\;g}\right)$ 。",C
"反应 ${\mathrm{{PCl}}}_{5}\left( \mathrm{\;g}\right) \rightleftharpoons {\mathrm{{PCl}}}_{3}\left( \mathrm{\;g}\right) + {\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right)$ 在密闭容器中进行,其焓变小于零。当分解反应达平衡时,下列判断中正确的是

(A) 加入催化剂, 平衡将向右移动;

(B) 保持压强不变, 通入氯气使体积增加一倍, 平衡将向左移动;

(C) 保持体积不变, 加入氮气使压强增加一倍, 平衡将向右移动;

(D) 向容器中通入惰性气体或降低温度, 平衡将向左移动。",B
"在容器中加入相同物质的量的 $\mathrm{{NO}}$ 和 ${\mathrm{{Cl}}}_{2}$ ,在一定温度下发生反应 $\mathrm{{NO}}\left( \mathrm{g}\right) + \frac{1}{2}{\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right) =$ $\mathrm{{NOCl}}\left( \mathrm{g}\right)$ ,达平衡时对有关各物质的分压判断正确的是

(A) $p\left( \mathrm{{NO}}\right) = p\left( {\mathrm{{Cl}}}_{2}\right)$ ; (B) $p\left( \mathrm{{NO}}\right) = p\left( \mathrm{{NOCl}}\right)$ ;

(C) $p\left( \mathrm{{NO}}\right) < p\left( {\mathrm{{Cl}}}_{2}\right)$ ; (D) $p\left( \mathrm{{NO}}\right) > p\left( {\mathrm{{Cl}}}_{2}\right)$ 。",C
"基元反应 $\mathrm{A} + 2\mathrm{\;B} \rightleftharpoons 2\mathrm{C}$ ,已知某温度下正反应速率常数 ${k}_{\text{正 }} = 1$ ,逆反应速率常数 ${k}_{\text{逆 }} =$ 0.5 , 则处于平衡状态的体系是

(A) $c\left( \mathrm{\;A}\right) = 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}, c\left( \mathrm{\;B}\right) = c\left( \mathrm{C}\right) = 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ;

(B) $c\left( \mathrm{\;A}\right) = 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}, c\left( \mathrm{\;B}\right) = c\left( \mathrm{C}\right) = 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ;

(C) $c\left( \mathrm{\;A}\right) = c\left( \mathrm{C}\right) = 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}, c\left( \mathrm{\;B}\right) = 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ;

(D) $c\left( \mathrm{\;A}\right) = c\left( \mathrm{C}\right) = 1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}, c\left( \mathrm{\;B}\right) = 2\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。",C
"反应 $2{\mathrm{{SO}}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right) \rightleftharpoons 2{\mathrm{{SO}}}_{3}\left( \mathrm{\;g}\right)$ 达平衡时,保持体积不变,加入惰性气体 $\mathrm{{He}}$ ,使总压增加一倍, 则

(A) 平衡向右移动; (B) 平衡向左移动;

(C) 平衡不发生移动; (D) 无法判断。",C
"${40}^{ \circ }\mathrm{C}$ 时,反应 ${\mathrm{N}}_{2}{\mathrm{O}}_{4}\left( \mathrm{\;g}\right) \rightleftharpoons 2{\mathrm{{NO}}}_{2}\left( \mathrm{\;g}\right)$ 的 ${K}^{ \ominus } = {0.90}$ ,若平衡时总压为 ${5.07} \times {10}^{5}\mathrm{\;{Pa}}$ ,则 ${\mathrm{N}}_{2}{\mathrm{O}}_{4}\left( \mathrm{\;g}\right)$ 的解离度为

(A) ${4.3}\%$ ; (B) ${20.6}\%$ ; (C) ${34.2}\%$ ; (D) ${42.8}\%$ 。",D
"若反应商等于 1 , 下列关系正确的是

(A) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } = 0$ ; (B) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}} = 0$ ;

(C) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}} = {\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ ; (D) ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } = T{\Delta }_{\mathrm{r}}{S}_{\mathrm{m}}^{ \ominus }$ 。",C
"某化合物 $\mathrm{A}$ 的水合晶体 $\mathrm{A} \cdot 3{\mathrm{H}}_{2}\mathrm{O}$ 脱水反应过程为

$\mathrm{A} \cdot 3{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) = \mathrm{A} \cdot 2{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) + {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ ${K}_{1}^{ \ominus }$

$\mathrm{A} \cdot 2{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) = \mathrm{A} \cdot {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) + {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ ${K}_{2}^{ \ominus }$

$\mathrm{A} \cdot {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) = \mathrm{A}\left( \mathrm{s}\right) + {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ ${K}_{3}^{ \ominus }$

为使 $\mathrm{A} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 晶体保持稳定 (不发生潮解或风化),则容器中水的蒸气压 $p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right)$ 与平衡常数的关系应满足

(A) ${K}_{2}^{ \ominus } > p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) /{p}^{ \ominus } > {K}_{3}^{ \ominus }$ ; (B) $p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) /{p}^{ \ominus } > {K}_{2}^{ \ominus }$ ;

(C) $p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) /{p}^{ \ominus } > {K}_{1}^{ \ominus }$ ; (D) ${K}_{1}^{ \ominus } > p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) /{p}^{ \ominus } > {K}_{2}^{ \ominus }$ 。",D
"反应 ${\mathrm{I}}_{2}\left( \mathrm{\;s}\right) + {\mathrm{{Cl}}}_{2}\left( \mathrm{\;g}\right) = 2\mathrm{{ICl}}\left( \mathrm{g}\right)$ 的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } = - {10.9}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。 ${25}^{ \circ }\mathrm{C}$ 时,将分压为 $p\left( {\mathrm{{Cl}}}_{2}\right) =$ ${0.217}\mathrm{{kPa}}, p\left( \mathrm{{ICl}}\right) = {81.04}\mathrm{{kPa}}$ 的 ${\mathrm{{Cl}}}_{2}$ 和 $\mathrm{{ICl}}$ 与固体 ${\mathrm{I}}_{2}$ 放入一容器中,则混合时反应的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}$ 为

(A) ${14.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (B) ${1.18}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ;

(C) ${3.25}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (D) $- {4.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。",C
