question,answer
"原子轨道角度分布图中, 从原点到曲面的距离表示

(A) $\psi$ 值的大小; (B) $Y$ 值的大小;

(C) $r$ 值的大小; (D) ${4\pi }{r}^{2}\mathrm{\;d}r$ 值的大小。",B
"下列轨道上的电子,在 ${xy}$ 平面上的电子云密度为零的是

(A) $3\mathrm{\;s}$ ; (B) $3{\mathrm{p}}_{x}$ ; (C) $3{\mathrm{p}}_{z}$ ; (D) $3{\mathrm{\;d}}_{z}^{2}$ 。",C
"第四周期元素原子中未成对电子数最多可达

(A) 4 个; (B) 5 个; (C) 6 个; (D) 7 个。",C
"基态原子的第五电子层只有 2 个电子, 则该原子的第四电子层中的电子数肯定为

(A) 8 个; (B) 18 个; (C) $8 \sim {18}$ 个; (D) $8 \sim {32}$ 个。",C
"下列元素中, 原子半径最接近的一组是

(A) $\mathrm{{Ne}},\mathrm{{Ar}},\mathrm{{Kr}},\mathrm{{Xe}}$ ; (B) $\mathrm{{Mg}},\mathrm{{Ca}},\mathrm{{Sr}},\mathrm{{Ba}}$ ;

(C) $\mathrm{B},\mathrm{C},\mathrm{N},\mathrm{O}$ ; (D) $\mathrm{{Cr}},\mathrm{{Mn}},\mathrm{{Fe}},{\mathrm{{Co}}}_{\text{。 }}$",D
"按原子半径由大到小排列, 顺序正确的是

(A) $\mathrm{{Mg}}\mathrm{B}\mathrm{{Si}}$ ; (B) $\mathrm{{Si}}\mathrm{{Mg}}\mathrm{B}$ ; (C) $\mathrm{{Mg}}\mathrm{{Si}}\mathrm{B}$ ; (D) $\mathrm{B}\mathrm{{Si}}\mathrm{{Mg}}$",C
"下列元素中, 电子排布不正确的是

(A) $\mathrm{{Nb}}4{\mathrm{\;d}}^{4}5{\mathrm{\;s}}^{1}$ ; (B) $\mathrm{{Nd}}4{\mathrm{f}}^{4}5{\mathrm{\;d}}^{0}6{\mathrm{\;s}}^{2}$ ; (C) $\mathrm{{Ne}}3{\mathrm{\;s}}^{2}3{\mathrm{p}}^{6}$ ; (D) $\mathrm{{Ni}}3{\mathrm{\;d}}^{8}4{\mathrm{\;s}}^{2}$ 。
",C
"下列各组量子数中, 可以描述核外电子运动状态的是

(A) $n = 3, l = 0, m = + 1,{m}_{\mathrm{s}} = - \frac{1}{2}$ ; (B) $n = 5, l = 2, m = + 2,{m}_{\mathrm{s}} = + \frac{1}{2}$ ;

(C) $n = 4, l = 3, m = - 4,{m}_{\mathrm{s}} = - \frac{1}{2}$ ; (D) $n = 2, l = 2, m = 0,{m}_{\mathrm{s}} = + \frac{1}{2}$ 。
",B
"镧系收缩使下列各对元素中性质相似的是

(A) $\mathrm{{Mn}}$ 和 $\mathrm{{Tc}}$ ; (B) $\mathrm{{Ru}}$ 和 $\mathrm{{Rh}}$ ; (C) $\mathrm{{Nd}}$ 和 $\mathrm{{Ta}}$ ; (D) $\mathrm{{Zr}}$ 和 $\mathrm{{Hf}}$ 。
",D
"具有下列电子排布的元素中, 第一电离能最小的是

(A) $n{\mathrm{\;s}}^{2}n{\mathrm{p}}^{3}$ ; (B) $n{\mathrm{\;s}}^{2}n{\mathrm{p}}^{4}$ ; (C) $n{\mathrm{\;s}}^{2}n{\mathrm{p}}^{5}$ ; (D) $n{\mathrm{\;s}}^{2}n{\mathrm{p}}^{6}$ 。",B
