question,answer
"下列化合物中含有极性共价键的是

(A) ${\mathrm{{KClO}}}_{3}$ ; (B) ${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2}$ ; (C) ${\mathrm{{Na}}}_{2}\mathrm{O}$ ; (D) KI。",A
"下列化合物中键的极性最弱的是

(A) ${\mathrm{{FeCl}}}_{3}$ ; (B) ${\mathrm{{AlCl}}}_{3}$ ; (C) ${\mathrm{{SiCl}}}_{4}$ ; (D) ${\mathrm{{PCl}}}_{5}$ 。",D
"下列化合物中含有非极性共价键的离子化合物是

(A) ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ ; (B) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (C) ${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2}$ ; (D) ${\mathrm{{KO}}}_{3}$ 。",C
"下列分子中属于极性分子的是

(A) ${\mathrm{{CCl}}}_{4}$ ; (B) ${\mathrm{{CH}}}_{3}{\mathrm{{OCH}}}_{3}$ ; (C) ${\mathrm{{BCl}}}_{3}$ ; (D) ${\mathrm{{PCl}}}_{5}$ 。",B
"下列物质熔点变化顺序中正确的一组是

(A) $\mathrm{{BaO}} > \mathrm{{MgO}} > {\mathrm{{ZnI}}}_{2} > {\mathrm{{CdI}}}_{2}$ ; (B) $\mathrm{{MgO}} > \mathrm{{BaO}} > {\mathrm{{CdI}}}_{2} > {\mathrm{{ZnI}}}_{2}$ ;

(C) $\mathrm{{MgO}} > \mathrm{{BaO}} > {\mathrm{{ZnI}}}_{2} > {\mathrm{{CdI}}}_{2}$ ; (D) $\mathrm{{BaO}} > \mathrm{{MgO}} > {\mathrm{{ZnI}}}_{2} > {\mathrm{{CdI}}}_{2}$ 。",C
"熔融 ${\mathrm{{SiO}}}_{2}$ 晶体时,需要克服的作用力主要是

(A) 离子键; (B) 氢键; (C) 共价键; (D) 范德华力。",C
"对于下列化合物在水中的溶解度, 判断中正确的是

(A) $\mathrm{{AgF}} > \mathrm{{HF}}$ ; (B) ${\mathrm{{CaF}}}_{2} > {\mathrm{{CaCl}}}_{2}$ ;

(C) ${\mathrm{{HgCl}}}_{2} > {\mathrm{{HgI}}}_{2}$ ; (D) $\mathrm{{LiF}} > \mathrm{{NaCl}}$ 。",C
"下列离子中变形性最大的是

(A) ${\mathrm{O}}^{2 - }$ ; (B) ${\mathrm{S}}^{2 - }$ ; (C) ${\mathrm{F}}^{ - }$ ; (D) ${\mathrm{{Cl}}}^{ - }$ 。",B
"下列化合物中在水中溶解度最大的是

(A) ${\mathrm{{NH}}}_{3}$ ; (B) $\mathrm{{HCl}}$ ; (C) $\mathrm{{HF}}$ ; (D) ${\mathrm{H}}_{2}\mathrm{\;S}$ 。
",C
"下列化合物中颜色最深的是

(A) ${\mathrm{{HgCl}}}_{2}$ ; (B) ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ ; (C) ${\mathrm{{HgBr}}}_{2}$ ; (D) ${\mathrm{{HgI}}}_{2}$ 。",D
,

