question,answer
"某氧化剂 $\mathrm{{YO}}{\left( \mathrm{{OH}}\right) }_{2}^{ + }$ 中 $\mathrm{Y}$ 元素的价态为 +5,如果还原 ${7.16} \times {10}^{-4}\mathrm{\;{mol}}\mathrm{{YO}}{\left( \mathrm{{OH}}\right) }_{2}^{ + }$ 溶液使 $\mathrm{Y}$ 至较低价态,则需用 ${0.066}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 溶液 ${26.98}\mathrm{\;{mL}}$ 。还原产物中 $\mathrm{Y}$ 元素的价态为

(A) -2 ; (B) -1 ; (C) 0 ; (D) +1 。",C
"使下列电极反应中有关离子浓度减小一半,而 $E$ 值增加的是

(A) ${\mathrm{{Cu}}}^{2 + } + 2{\mathrm{e}}^{ - } = \mathrm{{Cu}}$ ; (B) ${\mathrm{I}}_{2} + 2{\mathrm{e}}^{ - } = 2{\mathrm{I}}^{ - }$ ;

(C) $2{\mathrm{H}}^{ + } + 2{\mathrm{e}}^{ - } = {\mathrm{H}}_{2}$ ; (D) ${\mathrm{{Fe}}}^{3 + } + {\mathrm{e}}^{ - } = {\mathrm{{Fe}}}^{2 + }$ 。",B
"将下列反应设计成原电池时, 不用惰性电极的是

(A) ${\mathrm{H}}_{2} + {\mathrm{{Cl}}}_{2} = 2\mathrm{{HCl}}$ ; (B) $2{\mathrm{{Fe}}}^{3 + } + \mathrm{{Cu}} = 2{\mathrm{{Fe}}}^{2 + } + {\mathrm{{Cu}}}^{2 + }$ ;

(C) ${\mathrm{{Ag}}}^{ + } + {\mathrm{{Cl}}}^{ - } = \mathrm{{AgCl}}$ ; (D) $2{\mathrm{{Hg}}}^{2 + } + {\mathrm{{Sn}}}^{2 + } = {\mathrm{{Hg}}}_{2}^{2 + } + {\mathrm{{Sn}}}^{4 + }$ 。",C
"已知 ${E}^{ \ominus }\left( {{\mathrm{{Zn}}}^{2 + }/\mathrm{{Zn}}}\right) = - {0.76}\mathrm{\;V}$ ,下列原电池反应的电动势为 ${0.46}\mathrm{\;V}$ ,则氢电极溶液中的 $\mathrm{{pH}}$ 为

$$
\mathrm{{Zn}} + 2{\mathrm{H}}^{ + }\left( {a\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) = {\mathrm{{Zn}}}^{2 + }\left( {1\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) + {\mathrm{H}}_{2}\left( {{1.013} \times {10}^{5}\mathrm{\;{Pa}}}\right)
$$

(A) 10.2 ; (B) 2.5 ; (C) 3.0 ; (D) 5.1 。",D
"若要使电池 $\left( -\right) \mathrm{{Pt}}\left| {{\mathrm{H}}_{2}\left( {p}_{1}\right) }\right| {\mathrm{H}}^{ + }\left( {c}_{0}\right) \parallel {\mathrm{H}}^{ + }\left( {c}_{0}\right) \left| {{\mathrm{H}}_{2}\left( {p}_{2}\right) }\right| \mathrm{{Pt}}\left( +\right)$ 的电动势 $E$ 为正值,则 ${p}_{1}$ 和 ${p}_{2}$ 应满足的关系为

(A) ${p}_{1} = {p}_{2}$ ; (B) ${p}_{1} < {p}_{2}$ ;

(C) ${p}_{1} > {p}_{2}$ ; (D) ${p}_{1}$ 和 ${p}_{2}$ 可取任意值。",C
"以惰性电极电解一段时间后, $\mathrm{{pH}}$ 增大的溶液是

(A) $\mathrm{{HCl}}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (C) ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ; (D) ${\mathrm{{NaHSO}}}_{4}$ 。",A
"已知 ${E}^{ \ominus }\left( {{\mathrm{{Ag}}}^{ + }/\mathrm{{Ag}}}\right) = {0.799}\mathrm{\;V},{E}^{ \ominus }\left( {{\mathrm{O}}_{2}/{\mathrm{H}}_{2}\mathrm{O}}\right) = {1.229}\mathrm{\;V},{K}_{\mathrm{{sp}}}^{ \ominus }\left( \mathrm{{AgCl}}\right) = {1.8} \times {10}^{-{10}}$ 。 ${298}\mathrm{\;K}$ 时,电池反应: $4\mathrm{{Ag}} + 4\mathrm{{HCl}} + {\mathrm{O}}_{2} = 4\mathrm{{AgCl}} + 2{\mathrm{H}}_{2}\mathrm{O}$ ,当 $c\left( \mathrm{{HCl}}\right) = {6.0}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ , $p\left( {\mathrm{O}}_{2}\right) = {101.3}\mathrm{{kPa}}$ 时,该原电池的电动势 $E$ 和电池反应的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{\Theta }$ 分别为

(A) ${1.098}\mathrm{\;V}, - {388.3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (B) ${1.053}\mathrm{\;V},{388.6}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ;

(C) ${1.19}\mathrm{\;V}, - {144.8}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (D) ${1.053}\mathrm{\;V}, - {388.6}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。",A
"某氧化还原反应的标准摩尔吉布斯自由能变为 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ ,标准平衡常数为 ${K}^{ \ominus }$ ,标准电动势为 ${E}^{ \ominus }$ ,则下列对 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus },{K}^{ \ominus },{E}^{ \ominus }$ 的值判断合理的一组是

(A) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } > 0,{E}^{ \ominus } < 0,{K}^{ \ominus } < 1$ ; (B) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } > 0,{E}^{ \ominus } < 0,{K}^{ \ominus } > 1$ ;

(C) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } < 0,{E}^{ \ominus } < 0,{K}^{ \ominus } > 1$ ; (D) ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } < 0,{E}^{ \ominus } > 0,{K}^{ \ominus } < 1$ 。",A
"已知 ${E}^{ \ominus }\left( {{\mathrm{M}}^{3 + }/{\mathrm{M}}^{2 + }}\right) > {E}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{3}/\mathrm{M}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack$ ,则溶度积 ${K}_{sp}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{3}}\right\rbrack$ 与 ${K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack$ 的关系应是

(A) ${K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{3}}\right\rbrack > {K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack$ ; (B) ${K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{3}}\right\rbrack < {K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack$ ;

(C) ${K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{3}}\right\rbrack = {K}_{\mathrm{{sp}}}^{ \ominus }\left\lbrack {\mathrm{M}{\left( \mathrm{{OH}}\right) }_{2}}\right\rbrack$ ; (D) 无法判断。",B
"某电池 $\left( -\right) \mathrm{A} \mid {\mathrm{A}}^{2 + }\left( {{0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right) \parallel {\mathrm{B}}^{2 + }\left( {{1.0} \times {10}^{-2}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}) \mid \mathrm{B}\left( +\right) }\right.$ 的电动势 $E$ 为 ${0.27}\mathrm{\;V}$ ,则该电池的标准电动势 ${E}^{ \ominus }$ 为

(A) ${0.24}\mathrm{\;V}$ ; (B) ${0.27}\mathrm{\;V}$ ; (C) ${0.30}\mathrm{\;V}$ ; (D) ${0.33}\mathrm{\;V}$ 。",C
