question,answer
给出下列物质的化学式。雄黄,${\mathrm{{As}}}_{4}{\mathrm{S}}_{4}$
给出下列物质的化学式。雌黄,${\mathrm{{As}}}_{2}{\mathrm{S}}_{3}$
给出下列物质的化学式。辉锑矿,${\mathrm{{Sb}}}_{2}{\mathrm{S}}_{3}$
给出下列物质的化学式。锑硫镍矿,${\mathrm{{NiSbS}}}_{3}$
给出下列物质的化学式。辉铋矿,${\mathrm{{Bi}}}_{2}{\mathrm{S}}_{3}$
给出下列物质的化学式。砷华,${\mathrm{{As}}}_{2}{\mathrm{O}}_{3}$
给出下列物质的化学式。锑华,${\mathrm{{Sb}}}_{2}{\mathrm{O}}_{3}$
给出下列物质的化学式。铋华,${\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3}$
"从 ${\mathrm{{NH}}}_{3}$ 的结构和 $\mathrm{N}$ 的价态考虑,应有 ___ 反应、___ 反应和 ___ 反应。","取代, 加合 (配位), 氧化。"
"氮的氢化物中, 碱性最强的是 ___  , 酸性最强的是 ___  , 配位能力最强的是 ___  ___, 最不稳定的是  ___  ,还原能力最差的是 ___ , 与 $\mathrm{{AgCl}}$ 反应有水生成的是 ___ 。","${\mathrm{{NH}}}_{3},{\mathrm{{HN}}}_{3},{\mathrm{{NH}}}_{3},{\mathrm{{HN}}}_{3},{\mathrm{{NH}}}_{3},{\mathrm{{NH}}}_{2}\mathrm{{OH}}$ "
"${\mathrm{{PH}}}_{3}$ 的空间构型为 形,其毒性比 ${\mathrm{{NH}}}_{3}$ ,溶解性比 ${\mathrm{{NH}}}_{3}$ ,碱性比 ${\mathrm{{NH}}}_{3}$ ,与过渡金属的配位能力比 ${\mathrm{{NH}}}_{3}$ ,热稳定性比 ${\mathrm{{NH}}}_{3}$ 。","三角锥,大,小,弱,强,差"
稀酸的氧化性 ${\mathrm{{HNO}}}_{3}$ ___ ${\mathrm{{HNO}}}_{2}$ ; 盐的热稳定性 ${\mathrm{{AgNO}}}_{3}$ ___ ${\mathrm{{AgNO}}}_{2}$ ; 离子的配位能力 ${\mathrm{{NO}}}_{3}^{ - }$ ___ ${\mathrm{{NO}}}_{2}^{ - }$ 。,"<,>,<"
"依次给出次磷酸、亚磷酸、正磷酸、偏磷酸、焦磷酸的化学式: ___, ___,","${\mathrm{H}}_{3}{\mathrm{{PO}}}_{2},{\mathrm{H}}_{3}{\mathrm{{PO}}}_{3},{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4},{\mathrm{{HPO}}}_{3},{\mathrm{H}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$"
"磷的硫化物的颜色均为___色, 其中组成与结构和对应的氧化物最相似的是 ___ ,分子结构有二重旋转轴的是 ___
","黄, ${\mathrm{P}}_{4}{\mathrm{S}}_{10},{\mathrm{P}}_{4}{\mathrm{S}}_{6}$"
"$\mathrm{{Ca}}{\left( {\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}\right) }_{2},{\mathrm{{CaHPO}}}_{4},{\mathrm{{Ca}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}$ 在水中的溶解度大小次序为",$\mathrm{{Ca}}{\left( {\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}\right) }_{2} > {\mathrm{{CaHPO}}}_{4} > {\mathrm{{Ca}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}$
${\mathrm{{SbCl}}}_{3}$ 的水解产物为 ___ ; $\mathrm{{Cu}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 在不太高温度时的分解产物为度较高时的分解产物为 ___ ;$\mathrm{{Mn}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 受热分解的产物为 ___,"$\mathrm{SbOCl}$, $\mathrm{{Cu}}\left( \mathrm{{OH}}\right) {\mathrm{{NO}}}_{3} + {\mathrm{{HNO}}}_{3} + {\mathrm{H}}_{2}\mathrm{O}$,$\mathrm{{CuO}} + {\mathrm{{HNO}}}_{3} + {\mathrm{{NO}}}_{2} + {\mathrm{O}}_{2} + {\mathrm{H}}_{2}\mathrm{O}$,${\mathrm{{MnO}}}_{2} + {\mathrm{{NO}}}_{2}$ "
"在 ${\mathrm{{NaH}}}_{2}{\mathrm{{PO}}}_{4}$ 溶液中加入 ${\mathrm{{AgNO}}}_{3}$ 溶液时,生成的沉淀为___,沉淀为___色。","${\mathrm{{Ag}}}_{3}{\mathrm{{PO}}}_{4}$ ,黄"
"马氏试砷法中, 把砷的化合物与锌和盐酸作用, 产生分子式为 ___ 的气体, 气体受热, 在玻璃管中出现___。","${\mathrm{{AsH}}}_{3}$ ,亮黑色的砷镜"
${\mathrm{{As}}}_{2}{\mathrm{O}}_{3}$ 与 $\mathrm{{NaOH}}$ 溶液作用生成,"${\mathrm{{Na}}}_{3}{\mathrm{{AsO}}}_{3},{\mathrm{{Na}}}_{3}{\mathrm{{AsO}}}_{4},\mathrm{{NaI}}$"
给出下列化合物或离子的颜色。${\mathrm{{As}}}_{2}{\mathrm{S}}_{3}$,${\mathrm{{As}}}_{2}{\mathrm{S}}_{3}$ 黄
给出下列化合物或离子的颜色。${\mathrm{{As}}}_{2}{\mathrm{S}}_{5}$,${\mathrm{{As}}}_{2}{\mathrm{S}}_{5}$ 黄
给出下列化合物或离子的颜色。${\mathrm{{Sb}}}_{2}{\mathrm{S}}_{3}$,${\mathrm{{Sb}}}_{2}{\mathrm{S}}_{3}$ 橙
给出下列化合物或离子的颜色。${\mathrm{{Sb}}}_{2}{\mathrm{S}}_{5}$,${\mathrm{{Sb}}}_{2}{\mathrm{S}}_{5}$ 橙
给出下列化合物或离子的颜色。${\mathrm{{AgNO}}}_{2}$,${\mathrm{{AgNO}}}_{2}$ 黄
给出下列化合物或离子的颜色。${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{2}\right) }_{6}}\right\rbrack$,${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Co}}{\left( {\mathrm{{NO}}}_{2}\right) }_{6}}\right\rbrack$ 黄
给出下列化合物或离子的颜色。$\mathrm{{Fe}}{\left( \mathrm{{NO}}\right) }^{2 + }$,$\mathrm{{Fe}}{\left( \mathrm{{NO}}\right) }^{2 + }$ 棕
给出下列化合物或离子的颜色。${\mathrm{{NO}}}_{2}$ ,${\mathrm{{NO}}}_{2}$ 棕
给出下列化合物或离子的颜色。${\mathrm{N}}_{2}{\mathrm{O}}_{3}$,${\mathrm{N}}_{2}{\mathrm{O}}_{3}$ 淡蓝
给出下列化合物或离子的颜色。${\mathrm{N}}_{2}{\mathrm{O}}_{4}$,${\mathrm{N}}_{2}{\mathrm{O}}_{4}$ 无

