question,answer
"中心原子采取 ${\mathrm{{sp}}}^{2}$ 杂化的分子是

(A) ${\mathrm{{NH}}}_{3}$ ; (B) ${\mathrm{{BCl}}}_{3}$ ; (C) ${\mathrm{{PCl}}}_{3}$ ; (D) ${\mathrm{H}}_{2}\mathrm{O}$ 。",B
"下列分子或离子中, 不含有孤电子对的是

(A) ${\mathrm{H}}_{2}\mathrm{O}$ ; (B) ${\mathrm{H}}_{3}{\mathrm{O}}^{ + }$ ; (C) ${\mathrm{{NH}}}_{3}$ ; (D) ${\mathrm{{NH}}}_{4}^{ + }$ 。",D
"下列分子中, 中心价层电子对数与配体数不同的是

(A) ${\mathrm{{CCl}}}_{4}$ ; (B) ${\mathrm{{CH}}}_{3}{\mathrm{{OCH}}}_{3}$ ; (C) ${\mathrm{{BCl}}}_{3}$ ; (D) ${\mathrm{{PCl}}}_{5}$ 。
",B
"下列分子中, 中心原子采取等性杂化的是

(A) ${\mathrm{{NCl}}}_{3}$ ; (B) ${\mathrm{{SF}}}_{4}$ ; (C) ${\mathrm{{CCl}}}_{4}$ ; (D) ${\mathrm{H}}_{2}\mathrm{O}$ 。",C
"下列离子中, 中心原子采取不等性杂化的是

(A) ${\mathrm{H}}_{3}{\mathrm{O}}^{ + }$ ; (B) ${\mathrm{{NH}}}_{4}^{ + }$ ; (C) ${\mathrm{{PCl}}}_{6}^{ - }$ ; (D) ${\mathrm{{BF}}}_{4}^{ - }$ 。",A
"下列分子中,不存在离域 $\pi$ 键的是

(A) ${\mathrm{O}}_{3}$ ; (B) ${\mathrm{{SO}}}_{3}$ ; (C) ${\mathrm{{HNO}}}_{3}$ ; (D) ${\mathrm{{HNO}}}_{2}$ 。",D
"下列分子或离子中, 空间构型不为直线形的是

(A) ${\mathrm{I}}_{3}^{ + }$ ; (B) ${\mathrm{I}}_{3}^{ - }$ ; (C) ${\mathrm{{CS}}}_{2}$ ; (D) ${\mathrm{{BeCl}}}_{2}$ 。
",A
"下列分子或离子中, 键角 $\angle \mathrm{{ONO}}$ 最大的是

(A) ${\mathrm{{NO}}}_{2}^{ - }$ ; (B) ${\mathrm{{NO}}}_{2}$ ; (C) ${\mathrm{{NO}}}_{2}^{ + }$ ; (D) ${\mathrm{{NO}}}_{3}^{ - }$ 。",C
"下列分子中, 含有不同长度共价键的是

(A) ${\mathrm{{NH}}}_{3}$ ; (B) ${\mathrm{{SO}}}_{3}$ ; (C) ${\mathrm{{KI}}}_{3}$ ; (D) ${\mathrm{{SF}}}_{4}$ 。",D
"按分子轨道理论, ${\mathrm{O}}_{2}$ 分子中最高能量的电子所处的分子轨道是

(A) ${\pi }_{2\mathrm{p}}$ ; (B) ${\pi }_{2\mathrm{p}}^{ * }$ ; (C) ${\sigma }_{2\mathrm{p}}$ ; (D) ${\sigma }_{2\mathrm{p}}^{ * }$ 。",B
"下列分子中, 属抗磁性的是

(A) ${\mathrm{O}}_{2}$ ; (B) $\mathrm{{CO}}$ ; (C) ${\mathrm{B}}_{2}$ ; (D) $\mathrm{{NO}}$ 。",B
"按分子轨道理论, 下列分子或离子中键长最短的是

(A) ${\mathrm{{NO}}}^{ + }$ ; (B) $\mathrm{{NO}}$ ; (C) ${\mathrm{O}}_{2}$ ; (D) ${\mathrm{O}}_{2}^{ - }$ 。",A
