question,answer
"已知 $1{\mathrm{{dm}}}^{3}$ 某气体在标准状况下的质量为 ${2.86}\mathrm{\;g}$ ,试计算该气体的平均相对分子质量,并计算其在 ${17}^{ \circ }\mathrm{C}$ 和 ${207}\mathrm{{kPa}}$ 时的密度。","先计算气体的物质的量 $n$ 。由理想气体状态方程知

$$
n = \frac{pV}{RT}
$$

依题意 $V = 1{\mathrm{{dm}}}^{3} = 1 \times {10}^{-3}{\mathrm{\;m}}^{3}, p = {101.3} \times {10}^{3}\mathrm{\;{Pa}}, T = {273}\mathrm{\;K}$ ,代入求出 $n$ 。

$$
n = \frac{{101.3} \times {10}^{3}\mathrm{\;{Pa}} \times 1 \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {273}\mathrm{\;K}} = {0.04463}\mathrm{\;{mol}}
$$

由题设知 ${0.04463}\mathrm{\;{mol}}$ 气体的质量为 ${2.86}\mathrm{\;g}$ ,故该气体的摩尔质量为

$$
M = \frac{{2.86}\mathrm{\;g}}{{0.04463}\mathrm{\;{mol}}} = {64.1}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1}
$$

即平均相对分子质量为 64.1 。

设在 ${17}{}^{ \circ }\mathrm{C}$ 和 ${207}\mathrm{{kPa}}$ 时气体的体积为 $V$ ,由理想气体状态方程知

$$
V = \frac{nRT}{p}
$$

代入题设条件

$$
V = \frac{{0.04463}\mathrm{\;{mol}} \times {8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times \left( {{273} + {17}}\right) \mathrm{K}}{{207000}\mathrm{\;{Pa}}}
$$

$$
= {5.198} \times {10}^{-4}{\mathrm{\;m}}^{3}
$$

即气体的体积为 ${0.5198}{\mathrm{{dm}}}^{3}$ 。

设气体的密度为 $\rho$ ,则

$$
\rho = \frac{m}{V} = \frac{{2.86}\mathrm{\;g}}{{0.5198}{\mathrm{{dm}}}^{3}} = {5.50}\mathrm{\;g} \cdot {\mathrm{{dm}}}^{-3}
$$
"
"在体积为 ${0.50}{\mathrm{{dm}}}^{3}$ 的烧瓶中充满 $\mathrm{{NO}}$ 和 ${\mathrm{O}}_{2}$ 气体,温度为 ${298}\mathrm{\;K}$ ,压强为 ${1.23} \times {10}^{5}\mathrm{\;{Pa}}$ 。 反应一段时间后,瓶内总压变为 ${8.3} \times {10}^{4}\mathrm{\;{Pa}}$ 。求生成 ${\mathrm{{NO}}}_{2}$ 的质量。","反应前气体的物质的量为

$$
{n}_{1} = \frac{{p}_{1}V}{RT} = \frac{{1.23} \times {10}^{5}\mathrm{\;{Pa}} \times {0.5} \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {298}\mathrm{\;K}}
$$

$$
= {0.0248}\mathrm{\;{mol}}
$$

反应后气体的物质的量为

$$
{n}_{2} = \frac{{p}_{2}V}{RT} = \frac{{8.3} \times {10}^{4}\mathrm{\;{Pa}} \times {0.5} \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {298}\mathrm{\;K}}
$$

$$
= {0.0168}\mathrm{\;{mol}}
$$

设反应后生成 $x\mathrm{\;{mol}}{\mathrm{{NO}}}_{2}$ 气体,由

$$
2\mathrm{{NO}} + {\mathrm{O}}_{2} = 2{\mathrm{{NO}}}_{2}
$$

$$
\left( {{0.0248} - \frac{3}{2}x}\right) \mathrm{{mol}}\;x\mathrm{\;{mol}}
$$

$$
{n}_{2} = \left( {{0.0248} - \frac{3}{2}x}\right) \mathrm{{mol}} + x\mathrm{\;{mol}} = {0.0168}\mathrm{\;{mol}}
$$

得 $x = {0.016}$ ,生成 ${\mathrm{{NO}}}_{2}$ 的质量为 ${0.016}\mathrm{\;{mol}} \times {46}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1} = {0.74}\mathrm{\;g}$ 。"
"将氮气和水蒸气的混合物通入盛有足量固体干燥剂的瓶中。刚通入时, 瓶中压强为 ${101.3}\mathrm{{kPa}}$ 。放置数小时后,压强降到 ${99.3}\mathrm{{kPa}}$ 的恒定值。

（1）求原气体混合物各组分的摩尔分数;

（2）若温度为 ${293}\mathrm{\;K}$ ,实验后干燥剂增重 ${0.150}\mathrm{\;g}$ ,求瓶的容积。假设干燥剂的体积可忽略且不吸附氮气。"," (1) 混合气体中的水蒸气最后全部被干燥剂吸收, 则混合气体中氮气的分压为

$$
p\left( {\mathrm{\;N}}_{2}\right) = {99.3}\mathrm{{kPa}}
$$

混合气体中水蒸气的分压为

$$
p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) = {101.3}\mathrm{{kPa}} - {99.3}\mathrm{{kPa}} = {2.0}\mathrm{{kPa}}
$$

由公式 ${p}_{i} = {x}_{i}{p}_{\text{总 }}$ ,则混合气体中氮气的摩尔分数为

$$
x\left( {\mathrm{\;N}}_{2}\right) = \frac{p\left( {\mathrm{\;N}}_{2}\right) }{{p}_{\text{总 }}} = \frac{{99.3}\mathrm{{kPa}}}{{101.3}\mathrm{{kPa}}} = {0.98}
$$

混合气体中水蒸气的摩尔分数为

$$
x\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) = \frac{p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) }{{p}_{\text{总 }}} = \frac{{2.0}\mathrm{{kPa}}}{{101.3}\mathrm{{kPa}}} = {0.02}
$$

（2）依题意, 混合气体中水蒸气的质量等于干燥剂增加的质量, 则水蒸气中水的物质的量为

$$
\frac{{0.150}\mathrm{\;g}}{{18}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1}} = {8.33} \times {10}^{-3}\mathrm{\;{mol}}
$$

由理想气体状态方程得瓶的容积为

$$
V\left( \text{ 瓶 }\right) = V\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) = \frac{n\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) {RT}}{p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right) }
$$

$$
= \frac{{8.33} \times {10}^{-3}\mathrm{\;{mol}} \times {8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {293}\mathrm{\;K}}{{2.0} \times {10}^{3}\mathrm{\;{Pa}}}
$$

$$
= {10.1} \times {10}^{-3}{\mathrm{\;m}}^{3} = {10.1}{\mathrm{{dm}}}^{3}
$$
"
"${302}\mathrm{\;K}$ 时在 ${3.0}{\mathrm{{dm}}}^{3}$ 的真空容器中装入氮气和一定量的水,测得初压为 ${1.01} \times {10}^{5}\mathrm{{Pa}}$ 。用电解法将容器中的水完全转变为氢气和氧气后,测得最终压强为 ${1.88} \times {10}^{5}\mathrm{\;{Pa}}$ 。求容器中水的质量。已知 ${302}\mathrm{\;K}$ 时水的饱和蒸气压为 ${4.04} \times {10}^{3}\mathrm{\;{Pa}}$ 。","电解反应为 ${\mathrm{H}}_{2}\mathrm{O} = {\mathrm{H}}_{2} + \frac{1}{2}{\mathrm{O}}_{2}$ ,则 $1\mathrm{\;{mol}}{\mathrm{H}}_{2}\mathrm{O}$ 可生成 ${1.5}\mathrm{\;{mol}}$ 气体。氧气和氢气的分

压之和为

$$
p\left( {\mathrm{H}}_{2}\right) + p\left( {\mathrm{O}}_{2}\right) = {p}_{\text{总 }} - p\left( {\mathrm{\;N}}_{2}\right)
$$

$$
= {1.88} \times {10}^{5}\mathrm{\;{Pa}} - \left( {{1.01} \times {10}^{5}\mathrm{\;{Pa}} - {4.04} \times {10}^{3}\mathrm{\;{Pa}}}\right)
$$

$$
= {9.104} \times {10}^{4}\mathrm{\;{Pa}}
$$

氧气和氢气的物质的量为

$$
n\left( {\mathrm{H}}_{2}\right) + n\left( {\mathrm{O}}_{2}\right) = \frac{\left\lbrack {p\left( {\mathrm{H}}_{2}\right) + p\left( {\mathrm{O}}_{2}\right) }\right\rbrack V}{RT}
$$

$$
= \frac{{9.104} \times {10}^{4}\mathrm{\;{Pa}} \times 3 \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {302}\mathrm{\;K}}
$$

$$
= {0.1088}\mathrm{{mol}}
$$

容器中水的质量为

$$
{0.1088}\mathrm{\;{mol}} \times \frac{2}{3} \times {18}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1} = {1.306}\mathrm{\;g}
$$
"
"在 ${303}\mathrm{\;K},{7.97} \times {10}^{4}\mathrm{\;{Pa}}$ 时由排水集气法收集到 ${1.50}{\mathrm{{dm}}}^{3}$ 氧气,问有多少克氯酸钾按下式发生了分解?

$$
2{\mathrm{{KClO}}}_{3}\xrightarrow[\Delta ]{{\mathrm{{MnO}}}_{2}}2\mathrm{{KCl}} + 3{\mathrm{O}}_{2} \uparrow
$$

已知 ${303}\mathrm{\;K}$ 时水的饱和蒸气压为 ${4.23} \times {10}^{3}\mathrm{\;{Pa}}$ 。","氧气的分压为

$$
p\left( {\mathrm{O}}_{2}\right) = {7.97} \times {10}^{4}\mathrm{\;{Pa}} - {4.23} \times {10}^{3}\mathrm{\;{Pa}} = {7.547} \times {10}^{4}\mathrm{\;{Pa}}
$$

由理想气体状态方程得氧气的物质的量为

$$
n\left( {\mathrm{O}}_{2}\right) = \frac{p\left( {\mathrm{O}}_{2}\right) \cdot V}{RT}
$$

$$
= \frac{{7.547} \times {10}^{4}\mathrm{\;{Pa}} \times {1.5} \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {303}\mathrm{\;K}}
$$

$$
= {4.49} \times {10}^{-2}\mathrm{\;{mol}}
$$

由反应式 $2{\mathrm{{KClO}}}_{3} = 2\mathrm{{KCl}} + 3{\mathrm{O}}_{2}$ 可知分解的 ${\mathrm{{KClO}}}_{3}$ 的质量为

$$
{4.49} \times {10}^{-2}\mathrm{\;{mol}} \times \frac{2}{3} \times {122.6}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1} = {3.67}\mathrm{\;g}
$$
"
"由 ${\mathrm{C}}_{2}{\mathrm{H}}_{4}$ 和过量 ${\mathrm{H}}_{2}$ 组成的混合气体的总压为 ${6930}\mathrm{\;{Pa}}$ 。使混合气体通过铂催化剂进行下列反应:

$$
{\mathrm{C}}_{2}{\mathrm{H}}_{4}\left( \mathrm{\;g}\right) + {\mathrm{H}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{C}}_{2}{\mathrm{H}}_{6}\left( \mathrm{\;g}\right)
$$

待完全反应后,在相同温度和体积下,压强降为 ${4530}\mathrm{\;{Pa}}$ 。求原混合气体中 ${\mathrm{C}}_{2}{\mathrm{H}}_{4}$ 的摩尔分数。
","设原混合气体中 ${\mathrm{C}}_{2}{\mathrm{H}}_{4}$ 的物质的量为 ${n}_{1},{\mathrm{H}}_{2}$ 的物质的量为 ${n}_{2}$ 。

反应 $\;{\mathrm{C}}_{2}{\mathrm{H}}_{4} + {\mathrm{H}}_{2} = {\mathrm{C}}_{2}{\mathrm{H}}_{6}$

反应前 $\;{n}_{1}\;{n}_{2}\;0\;{n}_{\text{总 }} = {n}_{1} + {n}_{2}$

反应后 $\;0\;{n}_{2} - {n}_{1}\;{n}_{1}\;{n}_{\text{总 }} = \left( {{n}_{2} - {n}_{1}}\right) + {n}_{1} = {n}_{2}$

原混合气体中 ${\mathrm{C}}_{2}{\mathrm{H}}_{4}$ 的摩尔分数为

$$
x\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{4}}\right) = \frac{{n}_{1}}{{n}_{1} + {n}_{2}}
$$

$$
= 1 - \frac{{n}_{2}}{{n}_{1} + {n}_{2}} = 1 - \frac{{p}_{\text{终 }}}{{p}_{\text{始 }}}
$$

$$
= 1 - \frac{{4530}\mathrm{\;{Pa}}}{{6930}\mathrm{\;{Pa}}} = {0.346}
$$
"
"某项实验要求缓慢地加入乙醇 $\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{5}\mathrm{{OH}}}\right)$ ,现采用将空气通过液体乙醇带入乙醇气体的方法进行。在 ${293}\mathrm{\;K},{1.013} \times {10}^{5}\mathrm{\;{Pa}}$ 时,为引入 ${2.3}\mathrm{\;g}$ 乙醇,求需空气的体积。已知 ${293}\mathrm{\;K}$ 时乙醇的饱和蒸气压为 5866.2 Pa。","根据理想气体状态方程可知 ${2.3}\mathrm{\;g}$ 乙醇气体所占的体积为

$$
V = \frac{nRT}{p}
$$

$$
= \frac{\left( {{2.3}\mathrm{\;g}/{46}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1}}\right) \times {8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {293}\mathrm{\;K}}{{5866.2}\mathrm{\;{Pa}}}
$$

$$
= {2.076} \times {10}^{-2}{\mathrm{\;m}}^{3} = {20.76}{\mathrm{{dm}}}^{3}
$$

在 ${20.76}{\mathrm{{dm}}}^{3}$ 气体中,空气的分压为

$$
p\left( \text{空气}\right) = {1.013} \times {10}^{5}\mathrm{\;{Pa}} - {5866.2}\mathrm{\;{Pa}} = {9.54} \times {10}^{4}\mathrm{\;{Pa}}
$$

通入 ${1.013} \times {10}^{5}\mathrm{\;{Pa}}$ 的空气的体积为

$$
V\left( \text{ 空气 }\right) = \frac{{9.54} \times {10}^{4}\mathrm{\;{Pa}} \times {20.76}{\mathrm{{dm}}}^{3}}{{1.013} \times {10}^{5}\mathrm{\;{Pa}}} = {19.55}{\mathrm{{dm}}}^{3}
$$

或 $V$ (空气) $= {20.76}{\mathrm{{dm}}}^{3} \times \left( {1 - \frac{{5866.2}\mathrm{\;{Pa}}}{{1.013} \times {10}^{5}\mathrm{\;{Pa}}}}\right) = {19.56}{\mathrm{{dm}}}^{3}$
"
"在 ${273}\mathrm{\;K}$ 和 ${1.013} \times {10}^{5}\mathrm{\;{Pa}}$ 条件下,将 ${1.0}{\mathrm{{dm}}}^{3}$ 干燥的空气缓慢通过二甲醚 $\left( {{\mathrm{{CH}}}_{3}{\mathrm{{OCH}}}_{3}}\right)$ 液体。在此过程中,液体损失了 ${0.0335}\mathrm{\;g}$ 。求二甲醚在 ${273}\mathrm{\;K}$ 时的饱和蒸气压。","通入空气的物质的量为

$$
n\text{(空气)} = \frac{pV}{RT} = \frac{{1.013} \times {10}^{5}\mathrm{\;{Pa}} \times {1.0} \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {273}\mathrm{\;K}} = {0.0446}\mathrm{\;{mol}}
$$

被空气带走的二甲醚蒸气的物质的量为

$$
n\text{(二甲醚)} = \frac{{0.0335}\mathrm{\;g}}{{46}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1}} = {7.28} \times {10}^{-4}\mathrm{\;{mol}}
$$

依题意,混合气体的总压等于外压 $\left( {{1.013} \times {10}^{5}\mathrm{\;{Pa}}}\right)$ ,二甲醚蒸气的分压为

$$
p\text{ (二甲醚) } = \frac{n\left( \text{ 二甲醚 }\right) }{n\left( \text{ 二甲醚 }\right) + n\left( \text{ 空气 }\right) } \cdot {p}_{\text{总 }}
$$

$$
= \frac{{7.28} \times {10}^{-4}}{{7.28} \times {10}^{-4} + {0.0446}} \times {1.013} \times {10}^{5}\mathrm{\;{Pa}}
$$

$$
= {1.63} \times {10}^{3}\mathrm{\;{Pa}}
$$
"
"${313}\mathrm{\;K}$ 时将 ${1000}{\mathrm{\;{cm}}}^{3}$ 饱和苯蒸气和空气的混合气体从压强为 ${9.97} \times {10}^{4}\mathrm{\;{Pa}}$ 压缩到 ${5.05} \times {10}^{5}\mathrm{\;{Pa}}$ ,问在此过程中有多少克苯凝结成了液体? 已知 ${313}\mathrm{\;K}$ 时苯的饱和蒸气压为 ${2.41} \times {10}^{4}\mathrm{\;{Pa}}$ 。
","在压缩前后混合气体中苯的分压均等于苯的饱和蒸气压, 则压缩前空气的分压为

$$
{p}_{1} = {9.97} \times {10}^{4}\mathrm{\;{Pa}} - {2.41} \times {10}^{4}\mathrm{\;{Pa}} = {7.56} \times {10}^{4}\mathrm{\;{Pa}}
$$

压缩后空气的分压为

$$
{p}_{2} = {5.05} \times {10}^{5}\mathrm{\;{Pa}} - {2.41} \times {10}^{4}\mathrm{\;{Pa}} = {4.81} \times {10}^{5}\mathrm{\;{Pa}}
$$

压缩前后空气的物质的量、温度均未发生变化,由 ${p}_{1}{V}_{1} = {p}_{2}{V}_{2}$ 得压缩后混合气体的体

积为

$$
{V}_{2} = \frac{{p}_{1}{V}_{1}}{{p}_{2}} = \frac{{7.56} \times {10}^{4}\mathrm{\;{Pa}} \times {1000}{\mathrm{\;{cm}}}^{3}}{{4.81} \times {10}^{5}\mathrm{\;{Pa}}} = {157.2}{\mathrm{\;{cm}}}^{3}
$$

凝结成液体的苯的物质的量等于压缩前后苯蒸气的物质的量之差:

$$
{n}_{\text{其 }} = {n}_{1} - {n}_{2} = \frac{p{V}_{1}}{RT} - \frac{p{V}_{2}}{RT} = \frac{p}{RT}\left( {{V}_{1} - {V}_{2}}\right)
$$

$$
= \frac{{2.41} \times {10}^{4}\mathrm{\;{Pa}}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {313}\mathrm{\;K}} \times \left( {{1000} - {157.2}}\right) \times {10}^{-6}{\mathrm{\;m}}^{3}
$$

$$
= {7.81} \times {10}^{-3}\mathrm{\;{mol}}
$$

凝结成液体的苯的质量为

$$
{7.81} \times {10}^{-3}\mathrm{\;{mol}} \times {78}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1} = {0.609}\mathrm{\;g}
$$
"
"${313}\mathrm{\;K}$ 时 ${\mathrm{{CHCl}}}_{3}$ 的饱和蒸气压为 ${49.3}\mathrm{{kPa}}$ ,于此温度和 ${98.6}\mathrm{{kPa}}$ 的压强下,将 ${4.00}{\mathrm{{dm}}}^{3}$ 空气缓慢通过 ${\mathrm{{CHCl}}}_{3}$ ,致使每个气泡都为 ${\mathrm{{CHCl}}}_{3}$ 所饱和。求:

（1）通过 ${\mathrm{{CHCl}}}_{3}$ 后,空气和 ${\mathrm{{CHCl}}}_{3}$ 混合气体的体积;

（2）被空气带走的 ${\mathrm{{CHCl}}}_{3}$ 的质量。","(1) 将题设的过程理解为一个 ${p}_{1} = {98.6}\mathrm{{kPa}},{V}_{1} = {4.00}{\mathrm{{dm}}}^{3}$ 的空气气泡缓缓通过 ${\mathrm{{CHCl}}}_{3}$ 液体,气泡在被 ${\mathrm{{CHCl}}}_{3}$ 饱和的过程中体系的总压没变,气泡的体积增大。通过 ${\mathrm{{CHCl}}}_{3}$ 后的气泡是个混合气体体系, ${V}_{\text{总 }}$ 是其体积, ${p}_{\text{总 }} = {98.6}\mathrm{{kPa}}$ 。 ${\mathrm{{CHCl}}}_{3}$ 的饱和蒸气压 ${49.3}\mathrm{{kPa}}$ 是混合气体中该组分的分压 ${p}_{2}$ ,设另一组分空气的分压为 $p$ (空气),则

$$
p\text{ (空气) } = {p}_{\text{总 }} - {p}_{2}
$$

$$
= {98.6}\mathrm{{kPa}} - {49.3}\mathrm{{kPa}}
$$

$$
= {49.3}\mathrm{{kPa}}
$$

对组分气体空气,使用 Boyle 定律,因为 $T, n$ 不变, $p$ (空气) ${V}_{\text{总 }} = {p}_{1}{V}_{1}$ ,故

$$
{V}_{\text{总 }} = \frac{{p}_{1}{V}_{1}}{p\left( \text{ 空气 }\right) }
$$

$$
{V}_{\text{总 }} = \frac{{98.6}\mathrm{{kPa}} \times {4.0}{\mathrm{{dm}}}^{3}}{{49.3}\mathrm{{kPa}}} = {8.0}{\mathrm{{dm}}}^{3}
$$

（2）对组分气体 ${\mathrm{{CHCl}}}_{3}$ 使用理想气体状态方程 ${p}_{2}{V}_{\text{总 }} = {nRT}$ ,故混合气体中 ${\mathrm{{CHCl}}}_{3}$ 的物质的量为

$$
n = \frac{{p}_{2}{V}_{\text{总 }}}{RT} = \frac{{49.3} \times {10}^{3}\mathrm{\;{Pa}} \times {8.0} \times {10}^{-3}{\mathrm{\;m}}^{3}}{{8.314}\mathrm{\;{Pa}} \cdot {\mathrm{m}}^{3} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1} \times {313}\mathrm{\;K}} = {0.152}\mathrm{\;{mol}}
$$

因为 ${\mathrm{{CHCl}}}_{3}$ 的摩尔质量 $M = {119.5}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1}$ ,故带走的 ${\mathrm{{CHCl}}}_{3}$ 的质量为

$$
m = {Mn} = {119.5}\mathrm{\;g} \cdot {\mathrm{{mol}}}^{-1} \times {0.152}\mathrm{\;{mol}} = {18.2}\mathrm{\;g}
$$
"
