question,answer
"在 ${25}^{ \circ }\mathrm{C}$ 时,若两个反应的平衡常数之比为 10,则两个反应的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus }$ 相差___ $\mathrm{{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。",5.7
"某温度下,反应 ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{{Br}}}_{2}\left( \mathrm{\;g}\right) \rightleftharpoons 2\mathrm{{HBr}}\left( \mathrm{g}\right)$ 的 ${K}_{c} = {8.10} \times {10}^{3}$ 。当 ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right)$ 和 ${\mathrm{{Br}}}_{2}\left( \mathrm{\;g}\right)$ 的起始浓度都为 ${1.00}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 时, ${\mathrm{{Br}}}_{2}$ 的平衡转化率为 $\;$ ; 当 ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right)$ 和 ${\mathrm{{Br}}}_{2}\left( \mathrm{\;g}\right)$ 的起始浓度分别为 ${10.00}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 和 ${1.00}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 时, ${\mathrm{{Br}}}_{2}$ 的平衡转化率又为___。","97.8% ,99.99%"
"在 ${100}^{ \circ }\mathrm{C}$ 时,反应 $\mathrm{{AB}}\left( \mathrm{g}\right) \rightleftharpoons \mathrm{A}\left( \mathrm{g}\right) + \mathrm{B}\left( \mathrm{g}\right)$ 的平衡常数 ${K}_{\mathrm{c}} = {0.21}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,则标准平衡常数 ${K}^{ \ominus }$ 的值为___。",6.43
"已知环戊烷汽化过程的 ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } = {28.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1},{\Delta }_{\mathrm{r}}{S}_{\mathrm{m}}^{ \ominus } = {88}\mathrm{\;J} \cdot {\mathrm{{mol}}}^{-1} \cdot {\mathrm{K}}^{-1}$ 。环戊烷的正常沸点为 ${}^{ \circ }\mathrm{C}$ ,在 ${25}^{ \circ }\mathrm{C}$ 时的饱和蒸气压为 $\mathrm{{kPa}}$ 。","53.1,37.3"
"已知反应 ${\mathrm{{NiSO}}}_{4} \cdot 6{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right) \rightleftharpoons {\mathrm{{NiSO}}}_{4}\left( \mathrm{\;s}\right) + 6{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ 的 ${\Delta }_{\mathrm{r}}{G}_{\mathrm{m}}^{ \ominus } = {77.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ,则平衡时 ${\mathrm{{NiSO}}}_{4} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ 固体表面上水的蒸气压 $p\left( {{\mathrm{H}}_{2}\mathrm{O}}\right)$ 为___ $\mathrm{{Pa}}$ 。",537
"反应 ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right) \rightleftharpoons 2\mathrm{I}\left( \mathrm{g}\right)$ 达平衡时:

（1）升高温度, 平衡常数

（2）压缩气体时, ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right)$ 的解离度 ; 原因是

（3）恒容时充入 ${\mathrm{N}}_{2}$ 气体, ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right)$ 的解离度 ; 原因是

___。

（4）恒压时充入 ${\mathrm{N}}_{2}$ 气体, ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right)$ 的解离度___; 原因是

___。","(1) 增大, ${\mathrm{I}}_{2}$ 解离是吸热反应 $\left( {\Delta {}_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } > 0}\right)$ ;

（2）减小, 总体积减小, 压强增大, 平衡向气体粒子数减少的方向移动;

（3）不变, ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right)$ 和 $\mathrm{I}\left( \mathrm{g}\right)$ 的分压都不变;

（4）增大,体积变大时则 ${\mathrm{I}}_{2}\left( \mathrm{\;g}\right)$ 和 $\mathrm{I}\left( \mathrm{g}\right)$ 的分压同时减小,平衡向粒子数增多的方向移动。"
"合成氨反应 ${\mathrm{N}}_{2}\left( \mathrm{\;g}\right) + 3{\mathrm{H}}_{2}\left( \mathrm{\;g}\right) = 2{\mathrm{{NH}}}_{3}\left( \mathrm{\;g}\right)$ 在 ${673}\mathrm{\;K}$ 时 ${K}^{ \ominus } = {5.7} \times {10}^{-4}$ ; 在 ${473}\mathrm{\;K}$ 时 ${K}^{ \ominus } = {0.61}$ ,则在 ${873}\mathrm{\;K}$ 时 ${K}^{ \ominus } =$",${1.3} \times {10}^{-5}$
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
