question,answer
"对于恒温恒压有非体积功的反应, 下列等式正确的是

(A) $Q = {\Delta H}$ ; (B) $Q = {\Delta H} + {W}_{\text{非 }}$ ; (C) ${\Delta H} = Q + {W}_{\text{非 }}$ ; (D) $Q = {\Delta U}$ 。",C
"已知 ${\Delta }_{\mathrm{c}}{H}_{\mathrm{m}}^{ \ominus }\left( {\mathrm{C}\text{,石墨}}\right) = - {393.5}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1},{\Delta }_{\mathrm{c}}{H}_{\mathrm{m}}^{ \ominus }\left( {\mathrm{C}\text{,金刚石}}\right) = - {395.6}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ,则 ${\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {\mathrm{C}\text{,金刚石}}\right)$ 为

(A) $- {789.3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (B) ${2.1}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ;

(C) $- {2.1}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (D) ${789.3}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。",B
"已知反应 $2\mathrm{{PbS}}\left( \mathrm{s}\right) + 3{\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = 2\mathrm{{PbO}}\left( \mathrm{s}\right) + 2{\mathrm{{SO}}}_{2}\left( \mathrm{\;g}\right)$ 的 ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } = - {843.4}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ,则 ${298}\mathrm{\;K}$ 时, $1\mathrm{\;{mol}}$ 该反应的恒容反应热 ${Q}_{\mathrm{v}}$ 的值为

(A) ${840.9}\mathrm{\;{kJ}}$ ; (B) ${845.9}\mathrm{\;{kJ}}$ ; (C) $- {845.9}\mathrm{\;{kJ}}$ ; (D) $- {840.9}\mathrm{\;{kJ}}$ 。",D
"将固体 ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{3}$ 溶于水中,溶液变冷,则该过程的 ${\Delta G},{\Delta H},{\Delta S}$ 的符号依次是

(A) $+ , - , -$ ; (B) $+ , + , -$ ; (C) $- , + , -$ ; (D) $- , + , +$ 。",D
"已知 ${\mathrm{{MnO}}}_{2}\left( \mathrm{\;s}\right) = \mathrm{{MnO}}\left( \mathrm{s}\right) + \frac{1}{2}{\mathrm{O}}_{2}\left( \mathrm{\;g}\right)$ ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } = {134.8}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

${\mathrm{{MnO}}}_{2}\left( \mathrm{\;s}\right) + \mathrm{{Mn}}\left( \mathrm{s}\right) = 2\mathrm{{MnO}}\left( \mathrm{s}\right)$ ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus } = - {250.1}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

则 ${\mathrm{{MnO}}}_{2}$ 的标准摩尔生成热 ${\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }$ 为

(A) ${519.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (B) $- {317.5}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ;

(C) $- {519.7}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ; (D) ${317.5}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。",C
"冰的熔化热为 ${330.5}\mathrm{\;J} \cdot {\mathrm{g}}^{-1},{0}^{ \circ }\mathrm{C}$ 时将 ${1.0}\mathrm{\;g}$ 水凝结为冰时的 ${\Delta S}$ 为

(A) $- {330.5}\mathrm{\;J} \cdot {\mathrm{K}}^{-1}$ ; (B) -1.21 J. ${\mathrm{K}}^{-1}$ ;

(C) 0 ; (D) ${1.21}\mathrm{\;J} \cdot {\mathrm{K}}^{-1}$ 。",B
"下列反应中, ${\Delta }_{\mathrm{r}}{H}_{\mathrm{m}}^{ \ominus }$ 与产物的 ${\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }$ 相同的是

(A) $2{\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = 2{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{l}\right)$ ; (B) $\mathrm{{NO}}\left( \mathrm{g}\right) + \frac{1}{2}{\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{{NO}}}_{2}\left( \mathrm{\;g}\right)$ ;

(C) $\mathrm{C}$ (金刚石) $= \mathrm{C}$ (石墨); (D) ${\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + \frac{1}{2}{\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right)$ 。
",D
"下列物质中, 标准摩尔熵最大的是

(A) ${\mathrm{{MgF}}}_{2}$ ; (B) $\mathrm{{MgO}}$ ; (C) ${\mathrm{{MgSO}}}_{4}$ ; (D) ${\mathrm{{MgCO}}}_{3}$ 。",C
"下列反应中, ${\Delta }_{\mathrm{r}}{S}_{\mathrm{m}}^{ \ominus }$ 最大的是

(A) $\mathrm{C}\left( \mathrm{s}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = {\mathrm{{CO}}}_{2}\left( \mathrm{\;g}\right)$ ;

(B) $2{\mathrm{{SO}}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = 2{\mathrm{{SO}}}_{3}\left( \mathrm{\;g}\right)$ ;

(C) $3{\mathrm{H}}_{2}\left( \mathrm{\;g}\right) + {\mathrm{N}}_{2}\left( \mathrm{\;g}\right) = 2{\mathrm{{NH}}}_{3}\left( \mathrm{\;g}\right)$ ;

(D) ${\mathrm{{CuSO}}}_{4}\left( \mathrm{\;s}\right) + 5{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{l}\right) = {\mathrm{{CuSO}}}_{4} \cdot 5{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{s}\right)$ 。",A
"下列反应在常温下均为非自发反应, 在高温下仍为非自发的是

(A) $2{\mathrm{{Ag}}}_{2}\mathrm{O}\left( \mathrm{s}\right) = 4\mathrm{{Ag}}\left( \mathrm{s}\right) + {\mathrm{O}}_{2}\left( \mathrm{\;g}\right)$ ;

(B) $2{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}\left( \mathrm{\;s}\right) + 3\mathrm{C}\left( \mathrm{s}\right) = 4\mathrm{{Fe}}\left( \mathrm{s}\right) + 3{\mathrm{{CO}}}_{2}\left( \mathrm{\;g}\right)$ ;

(C) ${\mathrm{N}}_{2}{\mathrm{O}}_{4}\left( \mathrm{\;g}\right) = 2{\mathrm{{NO}}}_{2}\left( \mathrm{\;g}\right)$ ;

(D) $6\mathrm{C}\left( \mathrm{s}\right) + 6{\mathrm{H}}_{2}\mathrm{O}\left( \mathrm{g}\right) = {\mathrm{C}}_{6}{\mathrm{H}}_{12}{\mathrm{O}}_{6}\left( \mathrm{\;s}\right)$ 。",D
