question,answer
"4p 亚层中轨道的主量子数为___, 角量子数为___, 该亚层的轨道最多可以有 ___ 种空间取向, 最多可容纳___个电子。","4,1,3,6"
"第四周期元素中, $4\mathrm{p}$ 轨道半充满的是 $\;,3\mathrm{\;d}$ 轨道半充满的是___ $,4\mathrm{\;s}$ 轨道半充满的是___,价层中 $\mathrm{s}$ 电子数与 $\mathrm{d}$ 电子数相同的是","$\mathrm{{As}},\mathrm{{Cr}}$ 和 $\mathrm{{Mn}},\mathrm{K}\text{、}\mathrm{{Cr}}$ 和 $\mathrm{{Cu}},\mathrm{{Ti}}$"
"周期表中最活泼的金属为 , 最活泼的非金属为 ___ ; 原子序数最小的放射性元素为第___周期元素, 其元素符号为___。","$\mathrm{{Fr}},\mathrm{F}$ ,五, $\mathrm{{Tc}}$"
"给出下列元素的价层电子排布式: $\mathrm{W}$___ ___, $\mathrm{{Nb}}$ ___, $\mathrm{{Ru}}$ ___, $\mathrm{{Rh}}$ ___, $\mathrm{{Pd}}$ ___ $,\mathrm{{Pt}}$ ___。","$5{\mathrm{\;d}}^{4}6{\mathrm{\;s}}^{2},4{\mathrm{\;d}}^{4}5{\mathrm{\;s}}^{1},4{\mathrm{\;d}}^{7}5{\mathrm{\;s}}^{1},4{\mathrm{\;d}}^{8}5{\mathrm{\;s}}^{1},4{\mathrm{\;d}}^{10}5{\mathrm{\;s}}^{0},5{\mathrm{\;d}}^{9}6{\mathrm{\;s}}^{1}$"
 氢原子轨道的能量计算公式为 $\rightarrow {\mathrm{{He}}}^{ + }$ 基态电子的能量与 $\mathrm{H}$ 基态电子的能量之比为___; $\mathrm{{Li}}$ 的第三电离能为___ $\mathrm{{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。,"$E = - {13.6}\frac{1}{{n}^{2}}\mathrm{{eV}}$ ,4 : 1,11804"
"镧系元素包括原子序数从___ 至 ___ 共 ___ 种元素; 从 La 到 Lu 金属半径共减少 $\mathrm{{pm}}$ ,这一事实称为___","57,71,15,9,镧系收缩,使第二过渡元素和第三过渡元素原子半径相近"
"某元素原子序数在氪之前, 该元素的原子失去 2 个电子后的离子在角量子数为 2 的轨道中有 1 个单电子, 若只失去 1 个电子则离子的轨道中没有单电子。该元素的符号为 , 其基态原子核外电子排布为 , 该元素在 ___ 区, 第 ___ 族。","Cu, $\left\lbrack \mathrm{{Ar}}\right\rbrack 3{\mathrm{\;d}}^{10}4{\mathrm{\;s}}^{1},\mathrm{{ds}},\mathrm{{IB}}$ "
" A 原子的 $\mathrm{M}$ 层比 $\mathrm{B}$ 原子的 $\mathrm{M}$ 层少 4 个电子, $\mathrm{B}$ 原子的 $\mathrm{N}$ 层比 $\mathrm{A}$ 原子的 $\mathrm{N}$ 层多 5 个电子。则 $\mathrm{A}$ 的元素符号为中反应得到的两种化合物为___","$\mathrm{{Fe}},\mathrm{{Br}},{\mathrm{{FeBr}}}_{2}$ 和 ${\mathrm{{FeBr}}}_{3}$"
"非放射性元素中, 单电子数最多的元素单电子数为 ___  个, 该元素在周期表中位于第 ___ 周期、第___ 族。","8 ,六, III B"
"五种原子的基态电子排布如下: ① $1{\mathrm{\;s}}^{2}2{\mathrm{\;s}}^{2}$ ; ② $1{\mathrm{\;s}}^{2}2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{5}$ ; ③ $1{\mathrm{\;s}}^{2}2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{1}$ ; ④ $1{\mathrm{\;s}}^{2}2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{6}3{\mathrm{\;s}}^{1}$ ; ⑤ $1{\mathrm{\;s}}^{2}2{\mathrm{\;s}}^{2}2{\mathrm{p}}^{6}3{\mathrm{\;s}}^{2}$ ,其中原子半径最大的是 ,第二电离能最小的是 ,电负性最大的是","④,⑤,②"
,
"",
"",
"",
"",
"",
"",
"",
