question,answer
"根据下列已知数据,由玻恩-哈伯循环计算 ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ 的晶格能。

$$
{\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3},\mathrm{s}}\right) = - {1676}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
\mathrm{{Al}}\left( \mathrm{s}\right) = \mathrm{{Al}}\left( \mathrm{g}\right)
$$

$$
\mathrm{{Al}}\left( \mathrm{g}\right) = {\mathrm{{Al}}}^{ + }\left( \mathrm{g}\right) + {\mathrm{e}}^{ - }
$$

$$
{\mathrm{{Al}}}^{ + }\left( \mathrm{g}\right) = {\mathrm{{Al}}}^{2 + }\left( \mathrm{g}\right) + {\mathrm{e}}^{ - }
$$

${\mathrm{{Al}}}^{2 + }\left( \mathrm{g}\right) = {\mathrm{{Al}}}^{3 + }\left( \mathrm{g}\right) + {\mathrm{e}}^{-1}\;{I}_{3} = {2745}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

${\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = 2\mathrm{O}\left( \mathrm{g}\right)$ $E = {498}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

$\mathrm{O}\left( \mathrm{g}\right) + {\mathrm{e}}^{ - } = {\mathrm{O}}^{ - }\left( \mathrm{g}\right)$ ${E}_{1} = {141}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$

${\mathrm{O}}^{ - }\left( \mathrm{g}\right) + {\mathrm{e}}^{ - } = {\mathrm{O}}^{2 - }\left( \mathrm{g}\right)$ ${E}_{2} = - {780}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$","玻恩-哈伯循环设计如下:

$$
2\mathrm{{Al}}\left( \mathrm{s}\right) + \frac{3}{2}{\mathrm{O}}_{2}\left( \mathrm{\;g}\right) = \frac{{\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3},\mathrm{s}}\right) }{}{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}\left( \mathrm{\;s}\right)
$$

根据盖斯定律

$$
{\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3},\mathrm{s}}\right) = {2\Delta H} + 2{I}_{1} + 2{I}_{2} + 2{I}_{3} + \frac{3}{2}E - 3{E}_{1} - 3{E}_{2} - U
$$

所以 $U = {2\Delta H} + 2\left( {{I}_{1} + {I}_{2} + {I}_{3}}\right) + \frac{3}{2}E - 3\left( {{E}_{1} + {E}_{2}}\right) - {\Delta }_{\mathrm{f}}{H}_{\mathrm{m}}^{ \ominus }\left( {{\mathrm{{Al}}}_{2}{\mathrm{O}}_{3},\mathrm{s}}\right)$

$$
= {326.4}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} \times 2 + \left( {{578}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} + {1817}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} + {2745}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right)
$$

$$
\times 2 + {498}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} \times \frac{3}{2} - \left( {{141}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1} - {780}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}}\right) \times 3
$$

$$
+ {1676}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$

$$
= {1.53} \times {10}^{4}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}
$$
"
"已知 $\mathrm{{NaF}}$ 中键的离子性比 $\mathrm{{CsF}}$ 小,但 $\mathrm{{NaF}}$ 的晶格能却比 $\mathrm{{CsF}}$ 大。请解释原因。","Na 与 $\mathrm{F}$ 的电负性差为 ${3.05},\mathrm{{Cs}}$ 与 $\mathrm{F}$ 的电负性差为 3.19,可见 $\mathrm{{NaF}}$ 中键的极性比 $\mathrm{{CsF}}$ 中键的极性小。晶格能体现的是正、负离子间的引力大小, 这种静电引力不仅和离子键的极性大小有关, 还与正、负离子的半径有关, 半径越小, 正、负离子间的引力越大, 晶格能越大。由于 ${\mathrm{{Cs}}}^{ + }$ 的半径 $\left( {{169}\mathrm{{pm}}}\right)$ 比 ${\mathrm{{Na}}}^{ + }$ 的半径 $\left( {{95}\mathrm{{pm}}}\right)$ 大得多,因而 ${\mathrm{{Cs}}}^{ + }$ 与 ${\mathrm{F}}^{ - }$ 间的静电引力比 ${\mathrm{{Na}}}^{ + }$ 与 ${\mathrm{F}}^{ - }$ 的小,使 $\mathrm{{CsF}}$ 的晶格能比 $\mathrm{{NaF}}$ 小。"
"指出下列物质在晶体中质点间的作用力、晶体类型及熔点高低。

(1) $\mathrm{{KCl}}$ ; (2) $\mathrm{{SiC}}$ ; (3) ${\mathrm{{CH}}}_{3}\mathrm{{Cl}}$ ; (4) ${\mathrm{{NH}}}_{3}$ ; (5) $\mathrm{{Cu}}$ ; (6) $\mathrm{{Xe}}$ 。","结果见下表:

<table><thead><tr><th>物质</th><th>晶体中质点间的作用力</th><th>晶体类型</th><th>熔点</th></tr></thead><tr><td>$\mathrm{{KCl}}$</td><td>离子键</td><td>离子晶体</td><td>较高</td></tr><tr><td>SiC</td><td>共价键</td><td>原子晶体</td><td>很高</td></tr><tr><td>${\mathrm{{CH}}}_{3}\mathrm{{Cl}}$</td><td>分子间力</td><td>分子晶体</td><td>较低</td></tr><tr><td>${\mathrm{{NH}}}_{3}$</td><td>氢键, 分子间力</td><td>分子晶体</td><td>较低</td></tr><tr><td>$\mathrm{{Cu}}$</td><td>金属键</td><td>金属晶体</td><td>较高</td></tr><tr><td>$\mathrm{{Xe}}$</td><td>色散力</td><td>分子晶体</td><td>很低</td></tr></table>
"
"已知 $\mathrm{{KF}}$ 晶体具有 $\mathrm{{NaCl}}$ 型结构,在 ${20}^{ \circ }\mathrm{C}$ 时测出 $\mathrm{{KF}}$ 晶体密度为 ${2.481}\mathrm{\;g} \cdot {\mathrm{{cm}}}^{-3}$ ,试计算 $\mathrm{{KF}}$ 晶胞的边长及在晶胞中相邻的 ${\mathrm{K}}^{ + }$ 和 ${\mathrm{F}}^{ - }$ 间的距离。已知 ${A}_{\mathrm{r}}\left( \mathrm{K}\right) = {39.10},{A}_{\mathrm{r}}\left( \mathrm{F}\right) =$ 19.00 。","$\mathrm{{KF}}$ 晶体具有 $\mathrm{{NaCl}}$ 型结构,即 $\mathrm{{KF}}$ 晶体为立方面心晶格。一个 $\mathrm{{KF}}$ 晶胞中含有 4 个 ${\mathrm{K}}^{ + }$ 和 4 个 ${\mathrm{F}}^{ - }$ 。

$\mathrm{{KF}}$ 的晶胞体积为

$$
V = \frac{4 \times \left( {{39.10} + {19.00}}\right) \mathrm{g} \cdot {\mathrm{{mol}}}^{-1}}{{2.481}\mathrm{\;g} \cdot {\mathrm{{cm}}}^{-3} \times {6.023} \times {10}^{23}{\mathrm{\;{mol}}}^{-1}} = {1.555} \times {10}^{-{22}}{\mathrm{\;{cm}}}^{3}
$$

$\mathrm{{KF}}$ 的晶胞边长为

$$
a = \sqrt[3]{V} = \sqrt[3]{{1.555} \times {10}^{-{22}}{\mathrm{\;{cm}}}^{3}} = {5.38} \times {10}^{-8}\mathrm{\;{cm}} = {538}\mathrm{{pm}}
$$

${\mathrm{K}}^{ + }$ 和 ${\mathrm{F}}^{ - }$ 间距离为

$$
d = \frac{1}{2}a = {269}\mathrm{{pm}}
$$
"
"HF 分子间氢键比 ${\mathrm{H}}_{2}\mathrm{O}$ 分子间氢键更强些,为什么 $\mathrm{{HF}}$ 的沸点及汽化热均比 ${\mathrm{H}}_{2}\mathrm{O}$ 的低?","$\mathrm{F} - \mathrm{H} - - \mathrm{F}$ 氢键的键能为 ${28.0}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ ,而 $\mathrm{O} - \mathrm{H} - - \mathrm{O}$ 氢键的键能为 ${18.8}\mathrm{\;{kJ}} \cdot {\mathrm{{mol}}}^{-1}$ 。可见 $\mathrm{{HF}}$ 分子间氢键比 ${\mathrm{H}}_{2}\mathrm{O}$ 分子间氢键强。

${\mathrm{H}}_{2}\mathrm{O}$ 分子有两个孤电子对,两个 $\mathrm{H}$ 原子,因此,水分子最多可与周围分子形成 4 个氢键; 而 $\mathrm{{HF}}$ 分子只有一个 $\mathrm{H}$ 原子,最多可与周围 $\mathrm{{HF}}$ 分子形成两个氢键,即 ${\mathrm{H}}_{2}\mathrm{O}$ 分子间氢键比 $\mathrm{{HF}}$ 分子间氢键多。另外, ${\mathrm{H}}_{2}\mathrm{O}$ 汽化时,气态的 ${\mathrm{H}}_{2}\mathrm{O}$ 均为单分子而没有二聚、三聚分子,说明水汽化时要断开全部氢键; 而 HF 汽化时, 气相中仍有二聚体和三聚体, 即 HF 汽化时不必断开全部的氢键。综上所述,由于 ${\mathrm{H}}_{2}\mathrm{O}$ 分子间氢键多而汽化时需断开全部氢键, $\mathrm{{HF}}$ 分子间氢键数较 ${\mathrm{H}}_{2}\mathrm{O}$ 少且汽化时 $\mathrm{{HF}}$ 不必断开全部氢键,结果是 ${\mathrm{H}}_{2}\mathrm{O}$ 汽化热要比 $\mathrm{{HF}}$ 汽化热大, ${\mathrm{H}}_{2}\mathrm{O}$ 沸点比 $\mathrm{{HF}}$ 沸点高。"
"C 和 $\mathrm{O}$ 的电负性差较大, $\mathrm{{CO}}$ 分子极性却较弱,请说明原因。
","CO 分子的偶极矩为 ${0.12}\mathrm{D}$ ,偶极矩比较小。而 $\mathrm{C}$ 与 $\mathrm{O}$ 的电负性差为 0.89,显然,偶极矩大小与电负性差不符。

根据分子轨道理论, $\mathrm{{CO}}$ 分子中 $\mathrm{C}$ 与 $\mathrm{O}$ 间为三重键: 一个 $\sigma$ 键,两个 $\pi$ 键。两个 $\pi$ 键中有一个为氧原子提供电子对形成的 $\pi$ 配键。 $\mathrm{{CO}}$ 分子结构可表示为

$$
\text{: c == 0:}
$$

$\mathrm{{CO}}$ 分子的三重键中,两个共价键的电子对偏向 $\mathrm{O}$ 原子,产生的偶极方向指向 $\mathrm{O}$ 原子; 另一个由 O 原子提供电子对的配键产生的偶极方向指向 C 原子。由于共价键产生的偶极方向与配键产生的偶极方向相反, 大部分互相抵消, 因而 CO 分子的偶极矩很小。
"
"为什么由不同种元素的原子形成的 ${\mathrm{{PCl}}}_{5}$ 分子为非极性分子,而由同种元素的原子形成的 ${\mathrm{O}}_{3}$ 分子却是极性分子?","在 ${\mathrm{{PCl}}}_{5}$ 分子中,虽然 $\mathrm{P} - \mathrm{{Cl}}$ 为极性键,但由于 ${\mathrm{{PCl}}}_{5}$ 分子为三角双锥空间构型,键的偶极矩互相抵消,使分子的正电荷重心和负电荷重心重合,分子的偶极矩为零。因此, ${\mathrm{{PCl}}}_{5}$ 为非极性分子。在 ${\mathrm{O}}_{3}$ 分子中,虽然分子中的原子为同种元素原子,由于 ${\mathrm{O}}_{3}$ 分子为 $\mathrm{V}$ 形空间构型,分子中有 ${\Pi }_{3}^{4}$ 离域键,使中心氧原子与端氧原子的孤电子对数不同、电子密度不同,使 $\mathrm{O} - \mathrm{O}$ 键有极性,从而 ${\mathrm{O}}_{3}$ 分子的偶极矩不为零,分子有微弱的极性。"
"请指出下列分子中哪些是极性分子, 哪些是非极性分子?

${\mathrm{{NO}}}_{2},\;{\mathrm{{CHCl}}}_{3},\;{\mathrm{{NCl}}}_{3},\;{\mathrm{{SO}}}_{3},\;{\mathrm{{SCl}}}_{2},\;{\mathrm{{COCl}}}_{2},\;{\mathrm{{BCl}}}_{3}$ 。","极性分子有 ${\mathrm{{NO}}}_{2},{\mathrm{{CHCl}}}_{3},{\mathrm{{NCl}}}_{3},{\mathrm{{SCl}}}_{2},{\mathrm{{COCl}}}_{2}$ 。

非极性分子有 ${\mathrm{{SO}}}_{3},{\mathrm{{BCl}}}_{3}$ 。"
"解释下列现象:

（1）金属铜可以压片或抽丝, 而大理石却不能;

（2）根据离子半径比, $\mathrm{{AgI}}$ 晶体中正、负离子的配位数应为 6,但实测却为 4 ;

（3） $\mathrm{{IA}}$ 族元素单质与 $\mathrm{{WIA}}$ 族元素单质的熔点变化规律恰好相反。","(1) 金属铜原子间的作用力为金属键, 在晶体受外力发生形变时, 具有紧密堆积结构的金属原子层滑动, 而金属键不被破坏, 故金属具有很好的延展性。大理石是离子晶体, 当受到外力发生形变时, 层间离子位置错动, 造成同号电荷离子相接触, 彼此排斥, 离子键失去作用而使晶体破碎。

（2）由于 ${\mathrm{{Ag}}}^{ + }$ 是 18 电子构型,极化能力强; 而 ${\mathrm{I}}^{ - }$ 的半径大,有较大的变形性。所以 $\mathrm{{AgI}}$ 晶体中正、负离子间有较强的相互极化作用, 化学键的共价性增强, 相邻离子间的距离变小, 配位数随之变小。

（3） I A 族单质为金属, 同族元素的金属键随原子半径增大而减弱, 所以从上至下熔点逐渐降低。 ⅦＡ族元素单质为非金属, 都形成双原子分子, 分子间只有色散力, 色散力随分子体积的增大而增大, 故从上至下熔点逐渐升高。"
"判断下列各组分子之间存在何种形式的分子间作用力。

(1) ${\mathrm{{CS}}}_{2}$ 与 ${\mathrm{{CCl}}}_{4}$ ; (2) ${\mathrm{H}}_{2}\mathrm{O}$ 与 ${\mathrm{H}}_{2}$ ; (3) ${\mathrm{{CH}}}_{3}\mathrm{{Cl}}$ ; (4) ${\mathrm{H}}_{2}\mathrm{O}$ 与 ${\mathrm{{NH}}}_{3}$ 。"," (1) ${\mathrm{{CS}}}_{2}$ 与 ${\mathrm{{CCl}}}_{4}$ 色散力。

(2) ${\mathrm{H}}_{2}\mathrm{O}$ 与 ${\mathrm{H}}_{2}$ 诱导力,色散力。

(3) ${\mathrm{{CH}}}_{3}\mathrm{{Cl}}$ 取向力,诱导力,色散力。

(4) ${\mathrm{H}}_{2}\mathrm{O}$ 与 ${\mathrm{{NH}}}_{3}$ 取向力,诱导力,色散力,氢键。"
