question,answer
用离子电子法配平下列反应方程式 (酸性介质)。${\mathrm{{MnO}}}_{4}^{ - } + {\mathrm{{Cl}}}^{ - } \rightarrow {\mathrm{{Mn}}}^{2 + } + {\mathrm{{Cl}}}_{2}$,(1) $2{\mathrm{{MnO}}}_{4}^{ - } + {10}{\mathrm{{Cl}}}^{ - } + {16}{\mathrm{H}}^{ + } = 2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{{Cl}}}_{2} + 8{\mathrm{H}}_{2}\mathrm{O}$
用离子电子法配平下列反应方程式 (酸性介质)。${\mathrm{{Mn}}}^{2 + } + {\mathrm{{NaBiO}}}_{3} \rightarrow {\mathrm{{MnO}}}_{4}^{ - } + {\mathrm{{Bi}}}^{3 + }$,(2) $2{\mathrm{{Mn}}}^{2 + } + 5{\mathrm{{NaBiO}}}_{3} + {14}{\mathrm{H}}^{ + } = 2{\mathrm{{MnO}}}_{4}^{ - } + 5{\mathrm{{Bi}}}^{3 + } + 5{\mathrm{{Na}}}^{ + } + 7{\mathrm{H}}_{2}\mathrm{O}$
用离子电子法配平下列反应方程式 (酸性介质)。${\mathrm{{Cr}}}^{3 + } + {\mathrm{{PbO}}}_{2} \rightarrow {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + {\mathrm{{Pb}}}^{2 + }$,(3) $2{\mathrm{{Cr}}}^{3 + } + 3{\mathrm{{PbO}}}_{2} + {\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}^{2 - } + 3{\mathrm{{Pb}}}^{2 + } + 2{\mathrm{H}}^{ + }$
用离子电子法配平下列反应方程式 (酸性介质)。${\mathrm{C}}_{3}{\mathrm{H}}_{8}\mathrm{O} + {\mathrm{{MnO}}}_{4}^{ - } \rightarrow {\mathrm{C}}_{3}{\mathrm{H}}_{6}{\mathrm{O}}_{2} + {\mathrm{{Mn}}}^{2 + }$,(4) $5{\mathrm{C}}_{3}{\mathrm{H}}_{8}\mathrm{O} + 4{\mathrm{{MnO}}}_{4}^{ - } + {12}{\mathrm{H}}^{ + } = 5{\mathrm{C}}_{3}{\mathrm{H}}_{6}{\mathrm{O}}_{2} + 4{\mathrm{{Mn}}}^{2 + } + {11}{\mathrm{H}}_{2}\mathrm{O}$
用离子电子法配平下列反应方程式 (酸性介质)。${\mathrm{{HClO}}}_{3} + {\mathrm{P}}_{4} \rightarrow {\mathrm{{Cl}}}^{ - } + {\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$,(5) ${10}{\mathrm{{HClO}}}_{3} + 3{\mathrm{P}}_{4} + {18}{\mathrm{H}}_{2}\mathrm{O} = {10}{\mathrm{{Cl}}}^{ - } + {12}{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4} + {10}{\mathrm{H}}^{ + }$
"用离子电子法配平下列反应方程式 (碱性介质)。
${\mathrm{{CrO}}}_{4}^{2 - } + {\mathrm{{HSnO}}}_{2}^{ - } \rightarrow {\mathrm{{CrO}}}_{2}^{ - } + {\mathrm{{HSnO}}}_{3}^{ - }$",(1) $2{\mathrm{{CrO}}}_{4}^{2 - } + 3{\mathrm{{HSnO}}}_{2}^{ - } + {\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{CrO}}}_{2}^{ - } + 3{\mathrm{{HSnO}}}_{3}^{ - } + 2{\mathrm{{OH}}}^{ - }$
用离子电子法配平下列反应方程式 (碱性介质)。${\mathrm{H}}_{2}{\mathrm{O}}_{2} + {\mathrm{{CrO}}}_{2}^{ - } \rightarrow {\mathrm{{CrO}}}_{4}^{2 - }$,(2) $3{\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{{CrO}}}_{2}^{ - } + 2{\mathrm{{OH}}}^{ - } = 2{\mathrm{{CrO}}}_{4}^{2 - } + 4{\mathrm{H}}_{2}\mathrm{O}$
用离子电子法配平下列反应方程式 (碱性介质)。$\mathrm{{CuS}} + {\mathrm{{CN}}}^{ - } \rightarrow {\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - } + {\mathrm{S}}^{2 - } + {\mathrm{{NCO}}}^{ - }$,(3) $2\mathrm{{CuS}} + 9{\mathrm{{CN}}}^{ - } + 2{\mathrm{{OH}}}^{ - } = 2{\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - } + 2{\mathrm{\;S}}^{2 - } + {\mathrm{{NCO}}}^{ - } + {\mathrm{H}}_{2}\mathrm{O}$
用离子电子法配平下列反应方程式 (碱性介质)。${\mathrm{{CN}}}^{ - } + {\mathrm{O}}_{2} \rightarrow {\mathrm{{CO}}}_{3}^{2 - } + {\mathrm{{NH}}}_{3}$,(4) $2{\mathrm{{CN}}}^{ - } + {\mathrm{O}}_{2} + 2{\mathrm{{OH}}}^{ - } + 2{\mathrm{H}}_{2}\mathrm{O} = 2{\mathrm{{CO}}}_{3}^{2 - } + 2{\mathrm{{NH}}}_{3}$
用离子电子法配平下列反应方程式 (碱性介质)。$\mathrm{{Al}} + {\mathrm{{NO}}}_{2}^{ - } \rightarrow {\left\lbrack \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{ - } + {\mathrm{{NH}}}_{3}$,(5) $2\mathrm{{Al}} + {\mathrm{{NO}}}_{2}^{ - } + {\mathrm{{OH}}}^{ - } + 5{\mathrm{H}}_{2}\mathrm{O} = 2{\left\lbrack \mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{ - } + {\mathrm{{NH}}}_{3}$
