question,answer
给出下列物质的化学式。方铅矿,$\mathrm{{PbS}}$
给出下列物质的化学式。朱砂, $\mathrm{{HgS}}$
给出下列物质的化学式。闪锌矿,$\mathrm{{ZnS}}$
给出下列物质的化学式。黄铜矿,${\mathrm{{CuFeS}}}_{2}$
给出下列物质的化学式。黄铁矿,${\mathrm{{FeS}}}_{2}$
给出下列物质的化学式。芒硝,${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} \cdot {10}{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。海波,${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3} \cdot 5{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。保险粉,${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{4} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$
"比较大小:氧化性 ${\mathrm{O}}_{3}$ ___ ${\mathrm{O}}_{2}$,${\mathrm{O}}_{3}$ ___ ${\mathrm{H}}_{2}{\mathrm{O}}_{2},{\mathrm{O}}_{2}$ ___ ${\mathrm{{SO}}}_{3}$ ",">,>,>"
"比较大小:稳定性 ${\mathrm{O}}_{3}$ ___ ${\mathrm{O}}_{2}$,${\mathrm{{SO}}}_{2}$ ___ ${\mathrm{{SO}}}_{3}$, ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ ___ ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ","<,>,<"
"现有化合物 ${\mathrm{{KO}}}_{2},{\mathrm{\;K}}_{2}{\mathrm{O}}_{2},{\mathrm{{KO}}}_{3},{\mathrm{O}}_{2}^{ + }{\left\lbrack {\mathrm{{PtF}}}_{6}\right\rbrack }^{ - }$ ,按 $\mathrm{O} - \mathrm{O}$ 键长增加顺序排列为","${\mathrm{K}}_{2}{\mathrm{O}}_{2},{\mathrm{{KO}}}_{3},{\mathrm{{KO}}}_{2},{\mathrm{O}}_{2}^{ + }{\left\lbrack {\mathrm{{PtF}}}_{6}\right\rbrack }^{ - }$ "
"向各离子浓度均为 ${0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 的 ${\mathrm{{Mn}}}^{2 + },{\mathrm{{Zn}}}^{2 + },{\mathrm{{Cu}}}^{2 + },{\mathrm{{Ag}}}^{ + },{\mathrm{{Hg}}}^{2 + },{\mathrm{{Pb}}}^{2 + }$ 混合溶液中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,可被沉淀的离子有","${\mathrm{{Cu}}}^{2 + },{\mathrm{{Ag}}}^{ + },{\mathrm{{Hg}}}^{2 + },{\mathrm{{Pb}}}^{2 + }$"
