question,answer
" 常温下最稳定的晶体硫的分子式为

(A) ${\mathrm{S}}_{2}$ ; (B) ${\mathrm{S}}_{4}$ ;(C) ${\mathrm{S}}_{6}$ ; (D) ${\mathrm{S}}_{8}$ 。",D
"下列物质中, 酸性最强的是

(A) ${\mathrm{H}}_{2}\mathrm{\;S}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3}$ ;(C) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (D) ${\mathrm{H}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{7}$ 。",D
"干燥 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,可选用的干燥剂是

(A) 浓 ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (B) $\mathrm{{KOH}}$ ;

(C) ${\mathrm{P}}_{2}{\mathrm{O}}_{5}$ ; (D) ${\mathrm{{CuSO}}}_{4}$ 。",C
"下列物质中, 只有还原性的是

(A) ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{3}$ ; (B) ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ ; (C) ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ ; (D) ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}$ 。",B
"下列四个电极反应中, ${E}^{ \ominus }$ 值最大的是

(A) ${\mathrm{H}}_{2}{\mathrm{O}}_{2} + 2{\mathrm{H}}^{ + } + 2{\mathrm{e}}^{ - } = 2{\mathrm{H}}_{2}\mathrm{O}$ ; (B) ${\mathrm{{HO}}}_{2}^{ - } + {\mathrm{H}}_{2}\mathrm{O} + 2{\mathrm{e}}^{ - } = 3{\mathrm{{OH}}}^{ - }$ ;

(C) ${\mathrm{O}}_{2} + 2{\mathrm{H}}^{ + } + 2{\mathrm{e}}^{ - } = {\mathrm{H}}_{2}{\mathrm{O}}_{2}$ ; (D) ${\mathrm{O}}_{2} + {\mathrm{H}}_{2}\mathrm{O} + 2{\mathrm{e}}^{ - } = {\mathrm{{HO}}}_{2}^{ - } + {\mathrm{{OH}}}^{ - }$ 。",A
"为使已变暗的古油画恢复原来的白色, 使用的方法为

(A) 用 ${\mathrm{{SO}}}_{2}$ 气体漂白; (B) 用稀 ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 溶液擦洗;

(C) 用氯水擦洗; (D) 用 ${\mathrm{O}}_{3}$ 漂白。",B
"下列各组硫化物中, 颜色基本相同的是

(A) $\mathrm{{ZnS}},\mathrm{{MnS}},\mathrm{{FeS}}$ ; (B) $\mathrm{{CdS}},{\mathrm{{SnS}}}_{2},{\mathrm{{As}}}_{2}{\mathrm{\;S}}_{3}$ ;

(C) ${\mathrm{{Ag}}}_{2}\mathrm{\;S},{\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{5},{\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3}$ ; (D) SnS, PbS, CoS。",B
"下列分子中,结构和中心原子杂化类型都与 ${\mathrm{O}}_{3}$ 相同的是

(A) ${\mathrm{{SO}}}_{3}$ ; (B) ${\mathrm{{SO}}}_{2}$ ; (C) ${\mathrm{{CO}}}_{2}$ ; (D) ${\mathrm{{Cl}}}_{2}\mathrm{O}$ 。",B
"下列化合物中, 在标准状态下氧化能力最弱的是

(A) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{3}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (C) ${\mathrm{H}}_{2}{\mathrm{\;S}}_{2}{\mathrm{O}}_{8}$ ; (D) ${\mathrm{H}}_{2}{\mathrm{O}}_{2}$ 。",B
"下列各对物质中, 能发生化学反应的是

(A) $\mathrm{{CuS}}$ 和 $\mathrm{{HCl}}$ ; (B) $\mathrm{{Ag}}$ 和 $\mathrm{{HCl}}$ ; (C) ${\mathrm{{AlCl}}}_{3}$ 和 ${\mathrm{H}}_{2}\mathrm{\;S}$ ; (D) ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 和 ${\mathrm{I}}_{2}$ 。",D
"下列化合物中,与 ${\mathrm{H}}_{2}\mathrm{\;S}$ 和 ${\mathrm{{HNO}}}_{3}$ 都能发生氧化还原反应的是

(A) ${\mathrm{{FeCl}}}_{3}$ ; (B) ${\mathrm{{SO}}}_{2}$ ; (C) $\mathrm{{KI}}$ ; (D) ${\mathrm{{SO}}}_{3}$ 。",B
"向下列各对溶液中分别通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体,均能得到预期硫化物沉淀的是

(A) ${\mathrm{{SbCl}}}_{5},{\mathrm{{SnCl}}}_{4}$ ; (B) ${\mathrm{{SnCl}}}_{4},{\mathrm{{FeCl}}}_{3}$ ;

(C) ${\mathrm{{FeCl}}}_{3},{\mathrm{{CdCl}}}_{2}$ ; (D) ${\mathrm{{SnCl}}}_{4},{\mathrm{{CdCl}}}_{2}$ 。",D
"下列各组硫化物中, 难溶于稀盐酸, 但能溶于浓盐酸的是

(A) ${\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3}$ 和 $\mathrm{{ZnS}}$ ; (B) $\mathrm{{CuS}}$ 和 ${\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{3}$ ;

(C) $\mathrm{{CdS}}$ 和 $\mathrm{{SnS}}$ ; (D) ${\mathrm{{As}}}_{2}{\mathrm{\;S}}_{3}$ 和 $\mathrm{{HgS}}$ 。",C
"下列硫化物中,既能溶于 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液又能溶于 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}$ 溶液的是

(A) $\mathrm{{ZnS}}$ ; (B) $\mathrm{{SnS}}$ ; (C) ${\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{3}$ ; (D) $\mathrm{{HgS}}$ 。",C
"下列硫化物中,不溶于 ${\mathrm{{Na}}}_{2}{\mathrm{\;S}}_{2}$ 溶液的是

(A) $\mathrm{{SnS}}$ ; (B) ${\mathrm{{As}}}_{2}{\mathrm{\;S}}_{3}$ ; (C) ${\mathrm{{Sb}}}_{2}{\mathrm{\;S}}_{3}$ ; (D) ${\mathrm{{ZnS}}}$",D
"按酸性由强至弱排列, 顺序正确的是

(A) ${\mathrm{H}}_{2}\mathrm{{Te}},{\mathrm{H}}_{2}\mathrm{\;S},{\mathrm{H}}_{2}\mathrm{{Se}}$ ; (B) ${\mathrm{H}}_{2}\mathrm{{Se}},{\mathrm{H}}_{2}\mathrm{{Te}},{\mathrm{H}}_{2}\mathrm{\;S}$ ;

(C) ${\mathrm{H}}_{2}\mathrm{{Te}},{\mathrm{H}}_{2}\mathrm{{Se}},{\mathrm{H}}_{2}\mathrm{\;S}$ ; (D) ${\mathrm{H}}_{2}\mathrm{\;S},{\mathrm{H}}_{2}\mathrm{{Se}},{\mathrm{H}}_{2}\mathrm{{Te}}$ 。",C
,
"",
"",
"",
"",
"",
