question,answer
"已知 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {5.6} \times {10}^{-{12}},{\mathrm{{NH}}}_{3}$ 的 ${K}_{\mathrm{b}}^{ \ominus } = {1.8} \times {10}^{-5}$ 。欲使 ${0.40}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ${\mathrm{{MgCl}}}_{2}$ 溶液与 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 氨水等体积混合后不产生沉淀,则混合溶液中需含 ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ 的最小浓度为

(A) ${3.4}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ; (B) ${0.17}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ;

(C) 0.31 $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ; (D) ${0.34}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。",D
"${\mathrm{{CaCO}}}_{3}$ 在相同浓度的下列溶液中溶解度最大的是

(A) ${\mathrm{{NH}}}_{4}\mathrm{{Ac}}$ ; (B) ${\mathrm{{CaCl}}}_{2}$ ; (C) ${\mathrm{{NH}}}_{4}\mathrm{{Cl}}$ ; (D) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 。",C
"难溶盐 ${\mathrm{{Ca}}}_{3}{\left( {\mathrm{{PO}}}_{4}\right) }_{2}$ 在 $a\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ 溶液中的溶解度 $s$ 与溶度积 ${K}_{\mathrm{{sp}}}^{ \ominus }$ 关系式中正确的是

(A) ${K}_{\mathrm{{sp}}}^{ \ominus } = {108}{s}^{5}$ ; (B) ${K}_{\mathrm{{sp}}}^{ \ominus } = {\left( 3s\right) }^{3} \cdot {\left( 2s + a\right) }^{2}$ ;

(C) ${K}_{\mathrm{{sp}}}^{\Theta } = {s}^{5}$ ; (D) ${K}_{\mathrm{{sp}}}^{ \ominus } = {s}^{3} \cdot {\left( s + a\right) }^{2}$ 。",B
"$\mathrm{{AgCl}}$ 和 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 的溶度积分别为 ${1.8} \times {10}^{-{10}}$ 和 ${1.1} \times {10}^{-{12}}$ ,则下面叙述中正确的是

(A) $\mathrm{{AgCl}}$ 与 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 的溶解度相等; (B) $\mathrm{{AgCl}}$ 的溶解度大于 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ ;

(C) $\mathrm{{AgCl}}$ 的溶解度小于 ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ ; (D) 都是难溶盐, 溶解度无意义。",C
"${\mathrm{{BaSO}}}_{4}$ 的相对分子质量为 ${233},{K}_{\mathrm{{sp}}}^{ \ominus } = {1.1} \times {10}^{-{10}}$ ,把 ${1.0} \times {10}^{-3}\mathrm{\;{mol}}{\mathrm{{BaSO}}}_{4}$ 配成 ${10}{\mathrm{{dm}}}^{3}$ 溶液, ${\mathrm{{BaSO}}}_{4}$ 未溶解的质量是

(A) ${0.0021}\mathrm{\;g}$ ; (B) ${0.021}\mathrm{\;g}$ ; (C) ${0.21}\mathrm{\;g}$ ; (D) ${2.1}\mathrm{\;g}$ 。",C
"已知 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {5.6} \times {10}^{-{12}}$ ,则向 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ 饱和溶液中加 ${\mathrm{{MgCl}}}_{2}$ ,使 ${\mathrm{{Mg}}}^{2 + }$ 浓度为 ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,则该溶液的 $\mathrm{{pH}}$ 为

(A) 9.1 ; (B) 9.4 ; (C) 8.4 ; (D) 4.6 。",B
"已知 $\mathrm{{FeS}}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {6.3} \times {10}^{-{18}};{\mathrm{H}}_{2}\mathrm{\;S}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {1.4} \times {10}^{-{20}}$ ,向 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Fe}}}^{2 + }$ 溶液中通

入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体至饱和 $\left( {{0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}}\right)$ ,欲使 ${\mathrm{{Fe}}}^{2 + }$ 不生成 $\mathrm{{FeS}}$ 沉淀,溶液的 $\mathrm{{pH}}$ 应满足

(A) $\mathrm{{pH}} \geq {2.33}$ ; (B) $\mathrm{{pH}} \geq {3.53}$ ; (C) $\mathrm{{pH}} \leq {3.53}$ ; (D) $\mathrm{{pH}} \leq {2.33}$ 。",D
"已知 ${K}_{\mathrm{{sp}}}^{ \ominus } : \mathrm{{AgCl}}{1.8} \times {10}^{-{10}},\mathrm{{AgBr}}{5.4} \times {10}^{-{13}},\mathrm{{AgSCN}}{1.0} \times {10}^{-{12}},{\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}{1.1} \times$ ${10}^{-{12}}$ ,混合溶液中 $\mathrm{{KCl}},\mathrm{{KBr}},\mathrm{{KSCN}}$ 和 ${\mathrm{K}}_{2}{\mathrm{{CrO}}}_{4}$ 浓度均为 ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,向溶液中滴加 ${0.010}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{AgNO}}}_{3}$ 溶液时,最先和最后生成的沉淀是

(A) ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4},\mathrm{{AgCl}}$ ; (B) $\mathrm{{AgSCN}},\mathrm{{AgCl}}$ ;

(C) $\mathrm{{AgBr}},{\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ ; (D) $\mathrm{{AgCl}},{\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ 。",C
"已知 ${K}_{\text{sp }}^{ \ominus }$ : NiS ${1.0} \times {10}^{-{24}},{\mathrm{{Bi}}}_{2}{\mathrm{\;S}}_{3}{1.0} \times {10}^{-{97}}$, CuS ${6.3} \times {10}^{-{36}},\mathrm{{MnS}}{2.5} \times {10}^{-{13}}$, CdS ${8.0} \times$ ${10}^{-{27}},\mathrm{{ZnS}}{2.5} \times {10}^{-{22}}$ ,下列各对离子的混合溶液中均含有 ${0.30}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 盐酸,不能用 ${\mathrm{H}}_{2}\mathrm{\;S}$ 进行分离的是

(A) ${\mathrm{{Cu}}}^{2 + },{\mathrm{{Ni}}}^{2 + }$ ; (B) ${\mathrm{{Bi}}}^{3 + },{\mathrm{{Cu}}}^{2 + }$ ; (C) ${\mathrm{{Mn}}}^{2 + },{\mathrm{{Cd}}}^{2 + }$ ; (D) ${\mathrm{{Zn}}}^{2 + },{\mathrm{{Ni}}}^{2 + }$ 。",B
"溶液中 ${\mathrm{{FeCl}}}_{2}$ 和 ${\mathrm{{CuCl}}}_{2}$ 的浓度均为 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ,向其中通入 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体至饱和,沉淀生成情况为 (已知 $\mathrm{{FeS}}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {6.3} \times {10}^{-{18}},\mathrm{{CuS}}$ 的 ${K}_{\mathrm{{sp}}}^{ \ominus } = {6.3} \times {10}^{-{36}},{\mathrm{H}}_{2}\mathrm{\;S}$ 的 ${K}_{\mathrm{a}}^{ \ominus } = {1.4} \times$ ${10}^{-{20}}$ )

(A) 先生成 $\mathrm{{CuS}}$ 沉淀,后生成 $\mathrm{{FeS}}$ 沉淀;

(B) 先生成 $\mathrm{{FeS}}$ 沉淀,后生成 $\mathrm{{CuS}}$ 沉淀;

(C) 只生成 $\mathrm{{CuS}}$ 沉淀,不生成 $\mathrm{{FeS}}$ 沉淀;

(D) 只生成 $\mathrm{{FeS}}$ 沉淀,不生成 $\mathrm{{CuS}}$ 沉淀。",C
