question,answer
给出下列物质的化学式。萤石,${\mathrm{{CaF}}}_{2}$
给出下列物质的化学式。岩盐,$\mathrm{{NaCl}}$
给出下列物质的化学式。石膏,${\mathrm{{CaSO}}}_{4} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。泻盐,${\mathrm{{MgSO}}}_{4} \cdot 7{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。芒硝,${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} \cdot {10}{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。 明矾, ${\mathrm{K}}_{2}{\mathrm{{SO}}}_{4} \cdot {\mathrm{{Al}}}_{2}{\left( {\mathrm{{SO}}}_{4}\right) }_{3} \cdot {24}{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。光卤石,$\mathrm{{KCl}} \cdot {\mathrm{{MgCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。重晶石,${\mathrm{{BaSO}}}_{4}$
给出下列物质的化学式。天青石,${\mathrm{{SrSO}}}_{4}$
给出下列物质的化学式。方解石,${\mathrm{{CaCO}}}_{3}$
给出下列物质的化学式。白云石, ${\mathrm{{MgCO}}}_{3} \cdot {\mathrm{{CaCO}}}_{3}$
给出下列物质的化学式。元明石,${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$
"金属锂应保存在 ___ 中, 金属钠和钾应保存在 ___ 中。","液态石蜡, 煤油"
"在 $\mathrm{s}$ 区金属中,熔点最高的是度最小的是","Be, Cs, Li, Cs"
"元素周期表中,处于斜线位置的 $\mathrm{B}$ 与 $\mathrm{{Si}}$ ,___ , ___ 性质十分相似,人们习惯上把这种现象称为“斜线规则”或“对角线规则”。","Be 与 Al, Li 与 Mg"
$\mathrm{{Be}}{\left( \mathrm{{OH}}\right) }_{2}$ 与 $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ 性质的最大差异是___。,"$\mathrm{{Be}}{\left( \mathrm{{OH}}\right) }_{2}$ 具有两性,既溶于酸又溶于强碱; $\mathrm{{Mg}}{\left( \mathrm{{OH}}\right) }_{2}$ 为碱性,只溶于酸"
"熔盐电解法制得的金属钠中一般含有少量的___, 其原因是","金属钙,电解时加入 ${\mathrm{{CaCl}}}_{2}$ 助熔剂而有少量的钙电解时析出"
"电解熔盐 $\mathrm{{NaCl}}$ 制备金属钠时加入 ${\mathrm{{CaCl}}}_{2}$ 的作用是 ___

熔盐 ${\mathrm{{BeCl}}}_{2}$ 制备金属铍时加入 $\mathrm{{NaCl}}$ 的作用是___。","降低盐的熔点, 增加熔盐的导电性"
"盛 $\mathrm{{Ba}}{\left( \mathrm{{OH}}\right) }_{2}$ 的试剂瓶在空气中放置一段时间后,瓶内壁出现的一层白膜是",${\mathrm{{BaCO}}}_{3}$
"比较各对化合物溶解度的大小:

(1) $\mathrm{{LiF}}$ ___ $\mathrm{{AgF}}$ ；（2）LiI___ $\mathrm{{AgI}}$ ； （3） ${\mathrm{{NaClO}}}_{4}$ ___ ${\mathrm{{KClO}}}_{4}$ ;

(4) ${\mathrm{{CaCO}}}_{3}\;\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ ; (5) ${\mathrm{{Li}}}_{2}{\mathrm{{CO}}}_{3}$ ___ ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 。","<,>,>,<,<"
"碱土金属的氧化物, 从上至下晶格能依次___, 硬度依次___, 熔点依次___。","减小, 减小, 降低"
,
