question,answer
命名下列配位化合物。$\left\lbrack {\mathrm{{Pt}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}{\left( \mathrm{{OH}}\right) }_{2}{\mathrm{{Cl}}}_{2}}\right\rbrack$,二氯・二羟・二氨合铂（IV）
命名下列配位化合物。$\left\lbrack {\mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\mathrm{{Cl}}}\right\rbrack {\mathrm{{Cl}}}_{2} \cdot {\mathrm{H}}_{2}\mathrm{O}$,一水合二氯化氯·五水合铬（Ⅲ）
命名下列配位化合物。$\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{en}}\right) }_{3}}\right\rbrack {\mathrm{{Cl}}}_{2}$,二氯化三（乙二胺）合镍（Ⅱ）
命名下列配位化合物。$\left\lbrack {\mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}}\right\rbrack \left\lbrack {\mathrm{{PtCl}}}_{4}\right\rbrack$,四氯合铂（II）酸四氨合铜（II）
命名下列配位化合物。${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{3}}\right\rbrack \cdot 3{\mathrm{H}}_{2}\mathrm{O}$,三水合三草酸根合铁 (III) 酸钾
命名下列配位化合物。${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Cu}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{2}}\right\rbrack$,二草酸根合铜（II）酸钾
命名下列配位化合物。$\left\lbrack {\mathrm{{Pt}}{\left( \mathrm{{py}}\right) }_{4}}\right\rbrack \left\lbrack {\mathrm{{PtCl}}}_{4}\right\rbrack$,四氯合铂 (II) 酸四吡啶合铂 (II)
命名下列配位化合物。$\left\lbrack {{\left( \mathrm{{CO}}\right) }_{3}\mathrm{{Co}} - {\left( \mathrm{{CO}}\right) }_{2} - \mathrm{{Co}}{\left( \mathrm{{CO}}\right) }_{3}}\right\rbrack$ ,二 ( $\mu -$ 羰基) . 二 (三羰基合钴)
根据下列配位化合物的名称写出其化学式。五氰·羰合铁（II）配离子,${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{5}\mathrm{{CO}}\right\rbrack }^{3 - }$
根据下列配位化合物的名称写出其化学式。二氯·二羟·二氨合铂（IV）,$\left\lbrack {{\mathrm{{PtCl}}}_{2}{\left( \mathrm{{OH}}\right) }_{2}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}}\right\rbrack$
根据下列配位化合物的名称写出其化学式。四硫氰根・二氨合铬（Ⅲ）酸铵,${\mathrm{{NH}}}_{4}\left\lbrack {\mathrm{{Cr}}{\left( \mathrm{{SCN}}\right) }_{4}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}}\right\rbrack$
根据下列配位化合物的名称写出其化学式。二水合一溴化二溴·四水合铬（Ⅲ）,$\left\lbrack {\mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{4}{\mathrm{{Br}}}_{2}}\right\rbrack \mathrm{{Br}} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$
根据下列配位化合物的名称写出其化学式。六氰合钴（Ⅲ）酸六氨合铬（Ⅲ）,$\left\lbrack {\mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}}\right\rbrack \left\lbrack {\mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack$
"配位化合物 ${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{5}\left( \mathrm{{CO}}\right) }\right\rbrack$ 中配离子的电荷数为___,配离子的空间构型为___
___ ,配位原子为 ,中心离子的配位数为 $\;$ ___ 。d 电子在 ${\mathrm{t}}_{2\mathrm{\;g}}$ 和 ${\mathrm{e}}_{\mathrm{g}}$ 轨道上的排布方式为___, 配离子中心的杂化轨道类型为___, 该配位化合物属___磁性物质。","- 3,八面体, $\mathrm{C}$ (或碳), $6,{\mathrm{t}}_{2\mathrm{\;g}}^{6}{\mathrm{e}}_{\mathrm{g}}^{0},{\mathrm{d}}^{2}{\mathrm{{sp}}}^{3}$ ,逆"
"${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }$ 具有顺磁性,则它的空间构型为___; ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 的空间构型为
___ ,具有______________ 磁性。","四面体; 正方形, 逆"
指出下列配离子中心的未成对电子数:${\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - }$,3
指出下列配离子中心的未成对电子数:${\left\lbrack {\mathrm{{MnF}}}_{6}\right\rbrack }^{4 - }$,5
指出下列配离子中心的未成对电子数:${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$,4
指出下列配离子中心的未成对电子数: ${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$,2
指出下列配离子中心的未成对电子数: ${\left\lbrack \mathrm{{Mn}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - }$,1
指出下列配离子中心的未成对电子数:${\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$,0
"根据晶体场理论估计下列每一对配离子中,哪一个吸收光的波长较长? (用 $>$ 或 $<$ 表示)

(1) ${\left\lbrack {\mathrm{{TiF}}}_{6}\right\rbrack }^{3 - }$ ___ ${\left\lbrack \mathrm{{Ti}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ; (2) ${\left\lbrack {\mathrm{{CrCl}}}_{6}\right\rbrack }^{3 - }\;{\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$ ;

(3) ${\left\lbrack \operatorname{Ir}{\left( \mathrm{{en}}\right) }_{3}\right\rbrack }^{3 + }$ ___ ${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{en}}\right) }_{3}\right\rbrack }^{3 + }$ ; (4) ${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$ ___ ${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ 。",">,>,<,<"
"按 EAN 规则 (18 电子规则),化合物 $\mathrm{{Mo}}{\left( \mathrm{{CO}}\right) }_{x}\left( {{\mathrm{C}}_{6}{\mathrm{H}}_{6}}\right) ,\mathrm{{HCo}}{\left( \mathrm{{CO}}\right) }_{y},{\mathrm{{Mn}}}_{2}{\left( \mathrm{{CO}}\right) }_{z}$ 分子式中的 $x, y, z$ 值分别为___, ___ 和 ___ 。","3,4,10"
