question,answer
"已知 ${E}^{ \ominus }\left( {{\mathrm{{Hg}}}^{2 + }/\mathrm{{Hg}}}\right) = {0.854}\mathrm{\;V},{K}_{\mathrm{B}}^{ \ominus }\left( {\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }\right) = {6.8} \times {10}^{29}$ ,则 ${E}^{ \ominus }\left( {{\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - }/\mathrm{{Hg}}}\right)$ 值为

(A) $- {0.026}\mathrm{\;V}$ ; (B) ${0.026}\mathrm{\;V}$ ; (C) $- {0.906}\mathrm{\;V}$ ; (D) $- {0.052}\mathrm{\;V}$ 。",A
"已知 ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{en}}\right) }_{3}\right\rbrack }^{2 + }$ 的 ${K}_{\text{稳 }}^{ \ominus } = {2.14} \times {10}^{18}$ ,将 ${2.00}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ en 溶液与 ${0.200}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ${\mathrm{{NiSO}}}_{4}$ 溶液等体积混合,则平衡时 $c\left( {\mathrm{{Ni}}}^{2 + }\right)$ 为

(A) ${1.36} \times {10}^{-{18}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ; (B) ${2.91} \times {10}^{-{18}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ;

(C) ${1.36} \times {10}^{-{19}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ; (D) ${4.36} \times {10}^{-{20}}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。",C
"中心的 $3\mathrm{\;d}$ 电子排布为 ${\mathrm{t}}_{2\mathrm{\;g}}^{3}{\mathrm{e}}_{\mathrm{g}}^{0}$ 的八面体配位化合物是

(A) ${\left\lbrack \mathrm{{Mn}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ ; (B) ${\left\lbrack {\mathrm{{FeF}}}_{6}\right\rbrack }^{3 - }$ ;

(C) ${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ; (D) ${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$ 。",D
"下列配位化合物按稳定性由高到低的顺序排列, 正确的是

(A) ${\left\lbrack {\mathrm{{HgI}}}_{4}\right\rbrack }^{2 - } > {\left\lbrack {\mathrm{{HgCl}}}_{4}\right\rbrack }^{2 - } > {\left\lbrack \mathrm{{Hg}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ ;

(B) ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + } > {\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - } > {\left\lbrack \mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ;

(C) ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{en}}\right) }_{3}\right\rbrack }^{2 + } > {\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + } > {\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ ;

(D) ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{6}\right\rbrack }^{3 - } > {\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - } > {\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - }$ 。",C
"下列配离子中, 具有逆磁性的是

(A) ${\left\lbrack \mathrm{{Mn}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - }$ ; (B) ${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ ;

(C) ${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ; (D) ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ 。",C
"下列配离子中, 分裂能最大的是

(A) ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ ; (B) ${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }$ ;

(C) ${\left\lbrack \mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{3 - }$ ; (D) ${\left\lbrack \mathrm{{Zn}}{\left( \mathrm{{CN}}\right) }_{4}\right\rbrack }^{2 - }$ 。",A
"下列配位化合物中, 除存在几何异构体外, 还存在旋光异构体的是

(A) $\left\lbrack {\mathrm{{Pt}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}{\mathrm{{Cl}}}_{2}}\right\rbrack$ ; (B) $\left\lbrack {\mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}{\mathrm{{Cl}}}_{2}}\right\rbrack \mathrm{{Cl}}$ ;

(C) $\left\lbrack {\mathrm{{Co}}{\left( \mathrm{{en}}\right) }_{2}{\mathrm{{Cl}}}_{2}}\right\rbrack \mathrm{{Cl}}$ ; (D) $\left\lbrack {\mathrm{{Pt}}\left( {\mathrm{{NH}}}_{3}\right) \mathrm{{ClBrPy}}}\right\rbrack$ 。",C
"在八面体配位化合物中, 可能发生畸变的电子结构为

(A) ${\left( {\mathrm{t}}_{2\mathrm{\;g}}\right) }^{5}{\left( \mathrm{{eg}}\right) }^{2}$ ; (B) ${\left( {\mathrm{t}}_{2\mathrm{\;g}}\right) }^{4}{\left( {\mathrm{e}}_{\mathrm{g}}\right) }^{2}$ ;

(C) ${\left( {\mathrm{t}}_{2\mathrm{\;g}}\right) }^{6}{\left( {\mathrm{e}}_{\mathrm{g}}\right) }^{3}$ ; (D) ${\left( {\mathrm{t}}_{2\mathrm{\;g}}\right) }^{4}{\left( {\mathrm{e}}_{\mathrm{g}}\right) }^{0}$ 。",C
"下列配位化合物中, 不具有平面四边形结构的是

(A) $\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CO}}\right) }_{4}}\right\rbrack$ ; (B) ${\left\lbrack \mathrm{{Cu}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\right\rbrack }^{2 + }$ ;

(C) ${\left\lbrack {\mathrm{{AuCl}}}_{4}\right\rbrack }^{ - }$ ; (D) ${\left\lbrack {\mathrm{{PtCl}}}_{4}\right\rbrack }^{2 - }$ 。",A
"下列配位化合物中, 不存在几何异构体的是

(A) $\left\lbrack {{\mathrm{{CrCl}}}_{2}{\left( \mathrm{{en}}\right) }_{2}}\right\rbrack \mathrm{{Cl}}$ ; (B) $\left\lbrack {\mathrm{{Pt}}\left( \mathrm{{en}}\right) {\mathrm{{Cl}}}_{4}}\right\rbrack$ ;

(C) $\left\lbrack {\mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{2}}\right\rbrack {\mathrm{{SO}}}_{4}$ ; (D) $\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CO}}\right) }_{2}{\left( \mathrm{{CN}}\right) }_{2}}\right\rbrack$ 。",D
"根据 18 电子规则, 下列配位化合物中应以双聚体形式存在的是

(A) $\mathrm{{Mn}}{\left( \mathrm{{CO}}\right) }_{4}\mathrm{{NO}}$ ; (B) $\mathrm{{Fe}}{\left( \mathrm{{CO}}\right) }_{5}$ ;

(C) $\mathrm{{Cr}}{\left( \mathrm{{CO}}\right) }_{6}$ ; (D) $\mathrm{{Co}}{\left( \mathrm{{CO}}\right) }_{4}$ 。",D
"下列配离子具有正方形或八面体结构,其中 ${\mathrm{{CO}}}_{3}^{2 - }$ 作螯合配体的是

(A) ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{5}\left( {\mathrm{{CO}}}_{3}\right) \right\rbrack }^{ + }$ ; (B) ${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Pt}}\left( \mathrm{{en}}\right) {\left( {\mathrm{{CO}}}_{3}\right) }_{2}}\right\rbrack$ ;

(C) $\left\lbrack {\mathrm{{Pt}}\left( \mathrm{{en}}\right) \left( {\mathrm{{NH}}}_{3}\right) \left( {\mathrm{{CO}}}_{3}\right) }\right\rbrack$ ; (D) $\left\lbrack {\mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{4}\left( {\mathrm{{CO}}}_{3}\right) }\right\rbrack$ 。
",D
"下列化合物中, 肯定为无色的是

(A) ${\mathrm{{ScF}}}_{3}$ ; (B) ${\mathrm{{TiCl}}}_{3}$ ; (C) ${\mathrm{{MnF}}}_{3}$ ; (D) ${\mathrm{{CrF}}}_{3}$ 。",A
"某金属离子生成的两种配位化合物的磁矩分别为 $\mu = {4.90}{\mu }_{\mathrm{B}}$ 和 $\mu = 0$ ,则该金属可能是

(A) ${\mathrm{{Cr}}}^{3 + }$ ; (B) ${\mathrm{{Mn}}}^{2 + }$ ; (C) ${\mathrm{{Mn}}}^{3 + }$ ; (D) ${\mathrm{{Fe}}}^{2 + }$ 。",D
