question,answer
"已知 ${\mathrm{H}}_{2}{\mathrm{{CO}}}_{3}\;{K}_{{\mathrm{a}}_{1}}^{ \ominus } = {4.5} \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {4.7} \times {10}^{-{11}}$

${\mathrm{H}}_{2}\mathrm{\;S}\;{K}_{{\mathrm{a}}_{1}}^{ \ominus } = {1.1} \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {1.3} \times {10}^{-{13}}$

将相同浓度的 ${\mathrm{H}}_{2}\mathrm{\;S}$ 和 ${\mathrm{H}}_{2}{\mathrm{{CO}}}_{3}$ 溶液等体积混合后,下列对离子浓度相对大小表达正确的是

(A) $c\left( {\mathrm{{CO}}}_{3}^{2 - }\right) < c\left( {\mathrm{\;S}}^{2 - }\right)$ ; (B) $c\left( {\mathrm{{CO}}}_{3}^{2 - }\right) > c\left( {\mathrm{\;S}}^{2 - }\right)$ ;

(C) $c\left( {\mathrm{{HCO}}}_{3}^{ - }\right) < c\left( {\mathrm{\;S}}^{2 - }\right)$ ; (D) $c\left( {\mathrm{{HS}}}^{ - }\right) < c\left( {\mathrm{{CO}}}_{3}^{2 - }\right)$ 。",B
"已知 ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 的 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = {6.9} \times {10}^{-3},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {6.1} \times {10}^{-8},{K}_{{\mathrm{a}}_{3}}^{ \ominus } = {4.8} \times {10}^{-{13}}$ ,则在 ${0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ ${\mathrm{{NaH}}}_{2}{\mathrm{{PO}}}_{4}$ 溶液中离子浓度由大到小的顺序正确的是

(A) ${\mathrm{{Na}}}^{ + },{\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - },{\mathrm{{HPO}}}_{4}^{2 - },{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4},{\mathrm{{PO}}}_{4}^{3 - }$ ;

(B) ${\mathrm{{Na}}}^{ + },{\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - },{\mathrm{{HPO}}}_{4}^{2 - },{\mathrm{{PO}}}_{4}^{3 - },{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ ;

(C) ${\mathrm{{Na}}}^{ + },{\mathrm{{HPO}}}_{4}^{2 - },{\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - },{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4},{\mathrm{{PO}}}_{4}^{3 - }$ ;

(D) ${\mathrm{{Na}}}^{ + },{\mathrm{{HPO}}}_{4}^{2 - },{\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - },{\mathrm{{PO}}}_{4}^{3 - },{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 。",A
"将 ${0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 下列溶液加水稀释 1 倍后, $\mathrm{{pH}}$ 变化最小的是

(A) $\mathrm{{HCl}}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (C) ${\mathrm{{HNO}}}_{3}$ ; (D) $\mathrm{{HAc}}$ 。",D
"在下列溶液中 $\mathrm{{HCN}}$ 解离度最大的是

(A) ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{KCN}}$ ;

(B) ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{NaCl}}$ ;

(C) ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{KCN}}$ 和 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{KCl}}$ 混合溶液;

(D) ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{KCl}}$ 和 ${0.20}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{NaCl}}$ 混合溶液。",D
"将 ${0.1}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}\mathrm{{NaAc}}$ 溶液加水稀释时,下列各项数值中增大的是

(A) $c\left( {\mathrm{{Ac}}}^{ - }\right) /c\left( {\mathrm{{OH}}}^{ - }\right)$ ; (B) $c\left( {\mathrm{{OH}}}^{ - }\right) /c\left( {\mathrm{{Ac}}}^{ - }\right)$ ;

(C) $c\left( {\mathrm{{Ac}}}^{ - }\right)$ ; (D) $c\left( {\mathrm{{OH}}}^{ - }\right)$ 。",B
"在 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 氨水中加入等体积的 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 下列溶液后,使混合溶液的 $\mathrm{{pH}}$ 最大的是

(A) $\mathrm{{HCl}}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ ; (C) ${\mathrm{{HNO}}}_{3}$ ; (D) $\mathrm{{HAc}}$ 。",D
"在 ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 溶液中加入一定量 $\mathrm{{NaOH}}$ 后,溶液的 $\mathrm{{pH}} = {10.00}$ ,在该溶液中下列物种中浓度最大的是

(A) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ ; (B) ${\mathrm{H}}_{2}{\mathrm{{PO}}}_{4}^{ - }$ ; (C) ${\mathrm{{HPO}}}_{4}^{2 - }$ ; (D) ${\mathrm{{PO}}}_{4}^{3 - }$ 。",C
"下列溶液中, 具有明显缓冲作用的是

(A) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (B) ${\mathrm{{NaHCO}}}_{3}$ ; (C) ${\mathrm{{NaHSO}}}_{4}$ ; (D) ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ 。",B
"已知 ${\mathrm{H}}_{2}{\mathrm{{CO}}}_{3}$ 的 ${K}_{{\mathrm{a}}_{1}}^{ \ominus } = {4.5} \times {10}^{-7},{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {4.7} \times {10}^{-{11}}$ ,则 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{NaHCO}}}_{3}$ 溶液的 $\mathrm{{pH}}$ 约为

(A) 5.6 ; (B) 7.0 ; (C) 8.3 ; (D) 13.0 。",C
"已知 ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 的 $\mathrm{p}{K}_{{\mathrm{a}}_{1}}^{ \ominus } = {2.16},\mathrm{p}{K}_{{\mathrm{a}}_{2}}^{ \ominus } = {7.21},\mathrm{p}{K}_{{\mathrm{a}}_{3}}^{ \ominus } = {12.32}$ ,则 ${0.10}\mathrm{\;{mol}} \cdot {\mathrm{{dm}}}^{-3}{\mathrm{{Na}}}_{2}{\mathrm{{HPO}}}_{4}$ 溶液的 $\mathrm{{pH}}$ 约为

(A) 4.7 ; (B) ${7.3}$ ; (C) 10.1 ; (D) 9.8 。",D
