question,answer
给出下列物质的化学式。赤铁矿,${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$
给出下列物质的化学式。磁铁矿,${\mathrm{{Fe}}}_{3}{\mathrm{O}}_{4}$
给出下列物质的化学式。褐铁矿,$2{\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3} \cdot 3{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。菱铁矿,${\mathrm{{FeCO}}}_{3}$
给出下列物质的化学式。砷钴矿,${\mathrm{{CoAs}}}_{2}$
给出下列物质的化学式。辉钴矿,${\mathrm{{CoAsS}}}$
给出下列物质的化学式。硫钴矿,${\mathrm{{Co}}}_{2}{\mathrm{S}}_{4}$
给出下列物质的化学式。 赤血盐,${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack$
给出下列物质的化学式。黄血盐,${\mathrm{K}}_{4}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack \cdot 3{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。绿矾,${\mathrm{{FeSO}}}_{4} \cdot 7{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。莫尔盐, ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4} \cdot {\mathrm{{FeSO}}}_{4} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。铁铵矾,${\mathrm{{NH}}}_{4}\mathrm{{Fe}}{\left( {\mathrm{{SO}}}_{4}\right) }_{2} \cdot {12}{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。二茂铁,$\mathrm{{Fe}}{\left( {\mathrm{C}}_{5}{\mathrm{H}}_{5}\right) }_{2}$
给出下列物质的化学式。蔡斯盐,$\mathrm{K}\left\lbrack {\mathrm{{Pt}}\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{4}}\right) {\mathrm{{Cl}}}_{3}}\right\rbrack$
给出下列物质的化学式。顺铂,$\operatorname{cis} - \mathrm{{Pt}}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}{\mathrm{{Cl}}}_{2}$
"向 ${\mathrm{{FeCl}}}_{3}$ 溶液中加入 $\mathrm{{KSCN}}$ 溶液后,溶液变为___色,再加入过量 ${\mathrm{{NH}}}_{4}\mathrm{\;F}$ 溶液后,溶液又变为___色。最后滴加 $\mathrm{{NaOH}}$ 溶液时,又有 ___ 色沉淀 ___ 生成","血红,无,棕, $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{3}$"
比较下列各对配位化合物的稳定性 (填 $>$ 或 $<$ )。 ${\left\lbrack {\mathrm{{NiCl}}}_{4}\right\rbrack }^{2 - }$ ___ ${\left\lbrack {\mathrm{{PtCl}}}_{4}\right\rbrack }^{2 - }$ ,<
比较下列各对配位化合物的稳定性 (填 $>$ 或 $<$ )。${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{en}}\right) }_{3}\right\rbrack }^{2 + }$ ___ ${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$,>
比较下列各对配位化合物的稳定性 (填 $>$ 或 $<$ )。 ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ___ $\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}{\rbrack }^{4 - }$,>
比较下列各对配位化合物的稳定性 (填 $>$ 或 $<$ )。${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$ ___ ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$ ,<
"向热的氢氧化铁浓碱性悬浮液中通入氯气,溶液变为___色;再加入 ${\mathrm{{BaCl}}}_{2}$ 溶液,则有___","紫红,红棕, ${\mathrm{{BaFeO}}}_{4}$ "
"在配制 ${\mathrm{{FeSO}}}_{4}$ 溶液时,常向溶液中加入一些 ___ 和 ___ ,其目的是 ___","铁屑,硫酸,防止 ${\mathrm{{Fe}}}^{2 + }$ 水解和被氧化"
"蔡斯(Zeise)盐为铂的配位化合物, 其化学式为___, 内界的空间构型为___; 顺铂的化学式为___, 空间构型为___。","$\mathrm{K}\left\lbrack {\mathrm{{Pt}}\left( {{\mathrm{C}}_{2}{\mathrm{H}}_{4}}\right) {\mathrm{{Cl}}}_{3}}\right\rbrack$ ,平面四边形, $\left\lbrack {{\mathrm{{PtCl}}}_{2}{\left( {\mathrm{{NH}}}_{3}\right) }_{2}}\right\rbrack$ ,平面四边形"
"现有四瓶绿色溶液,分别含有 $\mathrm{{Ni}}\left( \mathrm{{II}}\right) ,\mathrm{{Cu}}\left( \mathrm{{II}}\right) ,\mathrm{{Cr}}\left( \mathrm{{III}}\right) ,{\mathrm{{MnO}}}_{4}^{2 - }$ 。

（1）加水稀释后, 溶液变蓝的是

（2）加入过量酸性 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 溶液后,变为无色的是

（3）加入适量 $\mathrm{{NaOH}}$ 溶液有沉淀生成, $\mathrm{{NaOH}}$ 过量时沉淀溶解,又得到绿色溶液的是___；

（4）加入适量氨水有绿色沉淀生成, 氨水过量时得到蓝色溶液的是
",(1) $\mathrm{{Cu}}\left( \mathrm{{II}}\right)$ ; (2) ${\mathrm{{MnO}}}_{4}^{2 - }$ ; (3) $\mathrm{{Cr}}\left( \mathrm{{III}}\right)$ ; (4) $\mathrm{{Ni}}\left( \mathrm{{II}}\right)$
"在 ${\mathrm{{Cr}}}^{3 + },{\mathrm{{Mn}}}^{2 + },{\mathrm{{Fe}}}^{2 + },{\mathrm{{Fe}}}^{3 + },{\mathrm{{Co}}}^{2 + },{\mathrm{{Ni}}}^{2 + }$ 中,易溶于过量氨水的是","${\mathrm{{Co}}}^{2 + },{\mathrm{{Ni}}}^{2 + }$"
"向 ${\mathrm{{CoSO}}}_{4}$ 溶液中加入过量 $\mathrm{{KCN}}$ 溶液,则有 ___ 生成，放置后逐渐转化为 ___","${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{4 - },{\left\lbrack \mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ "
给出下列离子的颜色。${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ 绿
给出下列离子的颜色。${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ ,${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ 粉红
给出下列离子的颜色。${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Ni}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ 绿
给出下列离子的颜色。${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$ ,${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$ 淡紫
给出下列离子的颜色。${\left\lbrack {\mathrm{{FeCl}}}_{4}\right\rbrack }^{ - }$ ,${\left\lbrack {\mathrm{{FeCl}}}_{4}\right\rbrack }^{ - }$ 黄
给出下列离子的颜色。${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{6}\right\rbrack }^{3 - }$ ,${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{6}\right\rbrack }^{3 - }$ 红
给出下列离子的颜色。${\left\lbrack {\mathrm{{FeF}}}_{5}\right\rbrack }^{2 - }$,${\left\lbrack {\mathrm{{FeF}}}_{5}\right\rbrack }^{2 - }$ 无
给出下列离子的颜色。${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{3}\right\rbrack }^{3 - }$ ,${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{C}}_{2}{\mathrm{O}}_{4}\right) }_{3}\right\rbrack }^{3 - }$ 黄绿
给出下列离子的颜色。${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\mathrm{{OH}}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Fe}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\mathrm{{OH}}\right\rbrack }^{2 + }$ 黄
给出下列离子的颜色。${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{2 + }$ 棕黄
给出下列离子的颜色。${\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - }$ ,${\left\lbrack {\mathrm{{CoCl}}}_{4}\right\rbrack }^{2 - }$ 蓝
给出下列离子的颜色。${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$ ,${\left\lbrack \mathrm{{Co}}{\left( \mathrm{{SCN}}\right) }_{4}\right\rbrack }^{2 - }$ 蓝
