question,answer
"既易溶于稀氢氧化钠溶液, 又易溶于氨水的是

(A) $\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (B) ${\mathrm{{Ag}}}_{2}\mathrm{O}$ ; (C) $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (D) $\mathrm{{Cd}}{\left( \mathrm{{OH}}\right) }_{2}$ ",C
"下列化合物中,在 $\mathrm{{NaOH}}$ 溶液中溶解度最小的是

(A) $\mathrm{{Sn}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (B) $\mathrm{{Pb}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (C) $\mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (D) $\mathrm{{Zn}}{\left( \mathrm{{OH}}\right) }_{2}$ ",C
" 和稀硫酸作用有金属单质生成的是

(A) ${\mathrm{{Ag}}}_{2}\mathrm{O}$ ; (B) ${\mathrm{{Cu}}}_{2}\mathrm{O}$ ; (C) $\mathrm{{ZnO}}$ ; (D) $\mathrm{{HgO}}$ ",B
" 为除去铜粉中的少量氧化铜, 应采取的操作是

(A) 浓盐酸洗; (B) $\mathrm{{KCN}}$ 溶液洗; (C) 稀硝酸洗; (D) 稀硫酸洗",D
"欲除去 $\mathrm{{Cu}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中的少量 ${\mathrm{{AgNO}}}_{3}$ ,最好加入

(A) 铜粉; (B) $\mathrm{{NaOH}}$ ; (C) ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ ; (D) ${\mathrm{{NaHCO}}}_{3}$",A
"下列化合物中, 其浓溶液可以溶解铁锈的是

(A) ${\mathrm{{FeCl}}}_{2}$ ; (B) ${\mathrm{{CoCl}}}_{2}$ ; (C) ${\mathrm{{ZnCl}}}_{2}$ ; (D) ${\mathrm{{CuCl}}}_{2}$ ",C
"向 ${\mathrm{{Hg}}}_{2}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 溶液中加入 $\mathrm{{NaOH}}$ 溶液,生成的沉淀是

(A) ${\mathrm{{Hg}}}_{2}\mathrm{O}$ ; (B) $\mathrm{{HgOH}}$ ; (C) $\mathrm{{HgO}} + \mathrm{{Hg}}$ ; (D) $\mathrm{{Hg}}{\left( \mathrm{{OH}}\right) }_{2} + \mathrm{{Hg}}$ ",C
"下列化合物中, 在硝酸和氨水中都能溶解的是

(A) $\mathrm{{AgCl}}$ ; (B) ${\mathrm{{Ag}}}_{2}{\mathrm{{CrO}}}_{4}$ ; (C) ${\mathrm{{HgCl}}}_{2}$ ; (D) $\mathrm{{CuS}}$",B
"在分析气体时,可用于吸收 $\mathrm{{CO}}$ 的试剂为

(A) ${\mathrm{{PdCl}}}_{2}$ ; (B) $\mathrm{{CuCl}}$ ; (C) $\mathrm{{AgCl}}$ ; (D) ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$",B
"下列化合物中, 颜色最深的是

(A) $\mathrm{{CuO}}$ ; (B) $\mathrm{{ZnO}}$ ; (C) $\mathrm{{HgO}}$ ; (D) $\mathrm{{PbO}}$",A
"下列化合物中, 在氨水、盐酸、氢氧化钠溶液中均不溶解的是

(A) ${\mathrm{{ZnCl}}}_{2}$ ; (B) ${\mathrm{{CuCl}}}_{2}$ ; (C) ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ ; (D) $\mathrm{{AgCl}}$ ",C
"下列试剂中,可将 ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2},\mathrm{{CuCl}},\mathrm{{AgCl}}$ 鉴别开的是

(A) ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ ; (B) ${\mathrm{{NH}}}_{3} \cdot {\mathrm{H}}_{2}\mathrm{O}$ ; (C) ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4}$ ; (D) ${\mathrm{{KNO}}}_{3}$ ",B
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
