question,answer
给出下列物质的化学式。铬铁矿,${\mathrm{{FeCr}}}_{2}{\mathrm{O}}_{4}$
给出下列物质的化学式。铬铅矿,${\mathrm{{PbCrO}}}_{4}$
给出下列物质的化学式。铬赭石矿,${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3}$
给出下列物质的化学式。辉钼矿,${\mathrm{{MoS}}}_{2}$
给出下列物质的化学式。钼铅矿,${\mathrm{{PbMoO}}}_{4}$
给出下列物质的化学式。白钨矿,${\mathrm{{CaWO}}}_{4}$
给出下列物质的化学式。软锰矿,${\mathrm{{MnO}}}_{2}$
给出下列物质的化学式。黑锰矿,${\mathrm{{Mn}}}_{3}{\mathrm{O}}_{4}$
给出下列物质的化学式。方锰矿,$\mathrm{{MnO}}$
给出下列物质的化学式。菱锰矿,${\mathrm{{MnCO}}}_{3}$
"铬缓慢溶于盐酸生成的蓝色产物是 ___ ; 该产物不稳定 ___ , 很容易被氧化为绿色的___。","${\mathrm{{CrCl}}}_{2},{\mathrm{{CrCl}}}_{3}$"
"${\mathrm{{KMnO}}}_{4}$ 溶液被 ${\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{3}$ 还原的产物与溶液的酸碱性有关,在酸性溶液中的还原产物为___; 在碱性溶液中的还原产物为___ ; 在中性溶液中的还原产物为___。","${\mathrm{{Mn}}}^{2 + },{\mathrm{{MnO}}}_{4}^{2 - },{\mathrm{{MnO}}}_{2}$"
给出下列离子的颜色。${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$,$\mathrm{Cr}{\lbrack }{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}{\rbrack }^{3 + }$ 紫
给出下列离子的颜色。${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\mathrm{{Cl}}\right\rbrack }^{2 + }$,${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{5}\mathrm{{Cl}}\right\rbrack }^{2 + }$ 浅绿
给出下列离子的颜色。${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$,${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$ 黄
给出下列离子的颜色。${\left\lbrack \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{ - }$ ,${\left\lbrack \mathrm{{Cr}}{\left( \mathrm{{OH}}\right) }_{4}\right\rbrack }^{ - }$ 绿
给出下列离子的颜色。${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{3}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{3}\right\rbrack }^{3 + }$,${\left\lbrack \mathrm{{Cr}}{\left( {\mathrm{{NH}}}_{3}\right) }_{3}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{3}\right\rbrack }^{3 + }$ 红
给出下列离子的颜色。 ${\mathrm{{CrO}}}_{4}^{2 - }$,${\mathrm{{CrO}}}_{4}^{2 - }$ 黄
